date_obj,Dragon%20bolts%20(unf) price
2018-10-26,1593
2018-10-27,1602
2018-10-28,1615
2018-10-29,1622
2018-10-30,1623
2018-10-31,1620
2018-11-01,1636
2018-11-03,1627
2018-11-04,1638
2018-11-05,1651
2018-11-06,1652
2018-11-07,1635
2018-11-08,1587
2018-11-09,1547
2018-11-10,1548
2018-11-11,1556
2018-11-12,1564
2018-11-13,1552
2018-11-14,1551
2018-11-15,1559
2018-11-16,1555
2018-11-17,1543
2018-11-18,1540
2018-11-19,1536
2018-11-20,1534
2018-11-21,1510
2018-11-22,1447
2018-11-23,1388
2018-11-24,1346
2018-11-25,1376
2018-11-26,1390
2018-11-27,1405
2018-11-28,1420
2018-11-29,1426
2018-12-01,1407
2018-12-02,1421
2018-12-03,1423
2018-12-04,1432
2018-12-05,1444
2018-12-07,1466
2018-12-09,1481
2018-12-10,1489
2018-12-11,1489
2018-12-12,1496
2018-12-13,1499
2018-12-14,1465
2018-12-15,1457
2018-12-16,1471
2018-12-17,1470
2018-12-18,1474
2018-12-19,1475
2018-12-20,1484
2018-12-21,1488
2018-12-22,1492
2018-12-23,1470
2018-12-24,1453
2018-12-25,1452
2018-12-26,1454
2018-12-27,1446
2018-12-28,1437
2018-12-29,1440
2018-12-30,1436
2018-12-31,1438
2019-01-01,1421
2019-01-02,1384
2019-01-03,1375
2019-01-04,1384
2019-01-05,1389
2019-01-06,1395
2019-01-08,1406
2019-01-10,1338
2019-01-11,1275
2019-01-12,1241
2019-01-13,1232
2019-01-14,1204
2019-01-15,1212
2019-01-16,1212
2019-01-17,1191
2019-01-18,1150
2019-01-19,1130
2019-01-20,1159
2019-01-21,1167
2019-01-22,1176
2019-01-23,1176
2019-01-24,1154
2019-01-25,1160
2019-01-26,1158
2019-01-27,1171
2019-01-28,1174
2019-01-29,1173
2019-01-30,1176
2019-01-31,1179
2019-02-01,1183
2019-02-02,1195
2019-02-03,1233
2019-02-04,1276
2019-02-05,1332
2019-02-06,1371
2019-02-07,1412
2019-02-08,1428
2019-02-09,1435
2019-02-10,1449
2019-02-11,1446
2019-02-12,1451
2019-02-13,1460
2019-02-14,1454
2019-02-15,1455
2019-02-16,1456
2019-02-17,1460
2019-02-18,1454
2019-02-19,1453
2019-02-20,1435
2019-02-21,1426
2019-02-22,1419
2019-02-23,1412
2019-02-24,1433
2019-02-25,1450
2019-02-26,1456
2019-02-27,1449
2019-02-28,1455
2019-03-01,1455
2019-03-02,1468
2019-03-03,1472
2019-03-04,1475
2019-03-05,1484
2019-03-06,1492
2019-03-07,1515
2019-03-08,1533
2019-03-09,1522
2019-03-10,1551
2019-03-11,1569
2019-03-12,1584
2019-03-13,1588
2019-03-14,1587
2019-03-15,1590
2019-03-16,1590
2019-03-17,1595
2019-03-18,1591
2019-03-19,1611
2019-03-20,1626
2019-03-21,1620
2019-03-22,1612
2019-03-23,1621
2019-03-24,1636
2019-03-25,1639
2019-03-26,1649
2019-03-27,1657
2019-03-28,1663
2019-03-29,1650
2019-03-30,1633
2019-03-31,1638
2019-04-01,1653
2019-04-02,1670
2019-04-03,1670
2019-04-04,1661
2019-04-05,1654
2019-04-06,1631
2019-04-07,1639
2019-04-08,1626
2019-04-09,1617
2019-04-10,1632
2019-04-11,1626
2019-04-12,1610
2019-04-13,1603
2019-04-14,1609
2019-04-15,1604
2019-04-16,1603
2019-04-17,1555
2019-04-18,1501
2019-04-19,1438
2019-04-20,1407
2019-04-21,1372
2019-04-22,1380
2019-04-23,1386
2019-04-24,1362
2019-04-25,1355
2019-04-26,1344
2019-04-27,1366
2019-04-28,1361
2019-04-29,1359
2019-04-30,1348
2019-05-01,1320
2019-05-02,1313
2019-05-03,1297
2019-05-04,1327
2019-05-05,1342
2019-05-06,1356
2019-05-07,1371
2019-05-08,1366
2019-05-09,1359
2019-05-10,1345
2019-05-11,1359
2019-05-12,1368
2019-05-13,1372
2019-05-14,1372
2019-05-15,1377
2019-05-16,1386
2019-05-17,1382
2019-05-18,1379
2019-05-19,1374
2019-05-20,1365
2019-05-21,1367
2019-05-22,1370
2019-05-23,1347
2019-05-24,1337
2019-05-25,1346
2019-05-26,1348
2019-05-27,1336
2019-05-28,1339
2019-05-29,1341
2019-05-30,1342
2019-05-31,1340
2019-06-01,1339
2019-06-02,1332
2019-06-03,1335
2019-06-04,1352
2019-06-05,1336
2019-06-06,1319
2019-06-07,1316
2019-06-08,1315
2019-06-09,1317
2019-06-10,1303
2019-06-11,1307
2019-06-12,1307
2019-06-13,1307
2019-06-14,1296
2019-06-15,1298
2019-06-16,1297
2019-06-17,1282
2019-06-18,1253
2019-06-19,1216
2019-06-20,1208
2019-06-21,1218
2019-06-22,1226
2019-06-23,1222
2019-06-24,1203
2019-06-25,1188
2019-06-26,1162
2019-06-27,1153
2019-06-28,1140
2019-06-29,1129
2019-06-30,1137
2019-07-01,1135
2019-07-02,1121
2019-07-03,1110
2019-07-04,1102
2019-07-05,1081
2019-07-06,1083
2019-07-07,1089
2019-07-08,1100
2019-07-09,1107
2019-07-10,1105
2019-07-11,1106
2019-07-12,1094
2019-07-13,1098
2019-07-14,1099
2019-07-15,1103
2019-07-16,1099
2019-07-17,1072
2019-07-18,1038
2019-07-19,1019
2019-07-20,1027
2019-07-21,1049
2019-07-22,1073
2019-07-23,1095
2019-07-24,1086
2019-07-25,1080
2019-07-26,1084
2019-07-27,1071
2019-07-28,1078
2019-07-29,1088
2019-07-30,1093
2019-07-31,1107
2019-08-01,1123
2019-08-02,1101
2019-08-03,1077
2019-08-04,1064
2019-08-05,1049
2019-08-06,1051
2019-08-07,1037
2019-08-08,1019
2019-08-09,1014
2019-08-10,1017
2019-08-11,1023
2019-08-12,1027
2019-08-13,1039
2019-08-14,1038
2019-08-15,1027
2019-08-16,1021
2019-08-17,1030
2019-08-18,1029
2019-08-19,1034
2019-08-20,1040
2019-08-21,1037
2019-08-22,1031
2019-08-23,1024
2019-08-24,1031
2019-08-24,1031
2019-08-25,1029
2019-08-25,1029
2019-08-26,1024
2019-08-27,1024
2019-08-27,1024
2019-08-28,1026
2019-08-29,1014
2019-08-30,987
2019-08-31,988
2019-09-01,995
2019-09-02,1001
2019-09-03,1007
2019-09-04,1017
2019-09-05,1022
2019-09-06,1010
2019-09-07,1011
2019-09-08,1015
2019-09-09,1016
2019-09-10,1012
2019-09-11,999
2019-09-12,975
2019-09-13,979
2019-09-14,976
2019-09-15,973
2019-09-16,977
2019-09-17,981
2019-09-18,981
2019-09-19,984
2019-09-20,988
2019-09-21,992
2019-09-22,993
2019-09-23,978
2019-09-24,974
2019-09-25,977
2019-09-26,983
2019-09-27,972
2019-09-28,974
2019-09-29,985
2019-09-30,988
2019-10-01,994
2019-10-02,1014
2019-10-03,1020
2019-10-04,1008
2019-10-05,1008
2019-10-06,998
2019-10-07,989
2019-10-08,975
2019-10-09,962
2019-10-10,957
2019-10-11,949
2019-10-12,959
2019-10-13,964
2019-10-14,968
2019-10-15,967
2019-10-16,970
2019-10-17,973
2019-10-18,971
2019-10-19,967
2019-10-20,965
2019-10-21,977
2019-10-22,983
2019-10-23,982
2019-10-24,978
2019-10-25,971
2019-10-26,969
2019-10-27,971
2019-10-28,977
2019-10-29,977
2019-10-30,978
2019-10-31,976
2019-11-01,951
2019-11-02,943
2019-11-03,944
2019-11-04,950
2019-11-05,946
2019-11-06,948
2019-11-07,933
2019-11-08,902
2019-11-09,873
2019-11-10,889
2019-11-11,901
2019-11-12,904
2019-11-13,913
2019-11-14,921
2019-11-15,926
2019-11-16,928
2019-11-17,926
2019-11-18,916
2019-11-19,917
2019-11-20,925
2019-11-21,929
2019-11-22,932
2019-11-23,946
2019-11-24,945
2019-11-25,941
2019-11-26,940
2019-11-27,940
2019-11-28,950
2019-11-29,953
2019-11-30,966
2019-12-01,978
2019-12-02,993
2019-12-03,1021
2019-12-04,1050
2019-12-05,1078
2019-12-06,1089
2019-12-07,1096
2019-12-08,1115
2019-12-09,1101
2019-12-10,1051
2019-12-11,1024
2019-12-12,1020
2019-12-13,1036
2019-12-14,1029
2019-12-15,1057
2019-12-16,1049
2019-12-17,1046
2019-12-18,1053
2019-12-19,1061
2019-12-20,1063
2019-12-21,1071
2019-12-22,1062
2019-12-23,1046
2019-12-24,1059
2019-12-25,1058
2019-12-26,1059
2019-12-27,1060
2019-12-28,1078
2019-12-29,1106
2019-12-30,1124
2019-12-31,1133
2020-01-01,1135
2020-01-02,1155
2020-01-03,1162
2020-01-04,1184
2020-01-05,1215
2020-01-06,1235
2020-01-07,1247
2020-01-08,1263
2020-01-09,1283
2020-01-10,1274
2020-01-11,1286
2020-01-12,1284
2020-01-13,1271
2020-01-14,1277
2020-01-15,1295
2020-01-16,1299
2020-01-17,1306
2020-01-18,1315
2020-01-19,1324
2020-01-20,1323
2020-01-21,1336
2020-01-22,1332
2020-01-23,1318
2020-01-24,1293
2020-01-25,1295
2020-01-26,1308
2020-01-27,1301
2020-01-28,1301
2020-01-29,1294
2020-01-30,1289
2020-01-31,1280
2020-02-01,1252
2020-02-02,1245
2020-02-03,1262
2020-02-04,1275
2020-02-05,1284
2020-02-06,1264
2020-02-07,1203
2020-02-08,1142
2020-02-09,1091
2020-02-10,1052
2020-02-11,1049
2020-02-12,1058
2020-02-13,1061
2020-02-14,1061
2020-02-15,1060
2020-02-16,1053
2020-02-17,1062
2020-02-18,1052
2020-02-19,1047
2020-02-20,1056
2020-02-21,1055
2020-02-22,1044
2020-02-23,1048
2020-02-24,1061
2020-02-25,1084
2020-02-26,1075
2020-02-27,1067
2020-02-28,1068
2020-02-29,1066
2020-03-01,1080
2020-03-02,1081
2020-03-03,1091
2020-03-04,1092
2020-03-05,1073
2020-03-06,1072
2020-03-07,1070
2020-03-08,1076
2020-03-09,1080
2020-03-10,1083
2020-03-11,1084
2020-03-12,1087
2020-03-13,1086
2020-03-14,1091
2020-03-15,1081
2020-03-16,1068
2020-03-17,1065
2020-03-18,1072
2020-03-19,1090
2020-03-20,1090
2020-03-21,1089
2020-03-22,1087
2020-03-23,1082
2020-03-24,1083
2020-03-25,1091
2020-03-26,1092
2020-03-27,1081
2020-03-28,1077
2020-03-29,1081
2020-03-30,1086
2020-03-31,1086
2020-04-01,1078
2020-04-02,1083
2020-04-03,1083
2020-04-04,1083
2020-04-05,1084
2020-04-06,1082
2020-04-07,1085
2020-04-08,1096
2020-04-09,1097
2020-04-10,1092
2020-04-11,1095
2020-04-12,1093
2020-04-13,1095
2020-04-14,1104
2020-04-15,1114
2020-04-16,1115
2020-04-17,1120
2020-04-18,1120
2020-04-19,1127
2020-04-20,1129
2020-04-21,1135
2020-04-22,1122
2020-04-23,1122
2020-04-24,1114
2020-04-25,1115
2020-04-26,1131
2020-04-27,1134
2020-04-28,1141
2020-04-29,1144
2020-04-30,1147
2020-05-01,1144
2020-05-02,1103
2020-05-03,1095
2020-05-04,1110
2020-05-05,1094
2020-05-06,1093
2020-05-07,1099
2020-05-08,1102
2020-05-09,1134
2020-05-10,1145
2020-05-11,1146
2020-05-12,1135
2020-05-13,1139
