date_obj,Enchant%20sapphire%20or%20opal price
2016-08-07,289
2016-08-08,289
2016-08-09,289
2016-08-10,289
2016-08-11,289
2016-08-12,289
2016-08-13,289
2016-08-14,289
2016-08-15,289
2016-08-16,289
2016-08-17,289
2016-08-18,289
2016-08-19,289
2016-08-20,289
2016-08-21,289
2016-08-22,276
2016-08-23,276
2016-08-24,276
2016-08-25,276
2016-08-26,276
2016-08-28,276
2016-08-31,276
2016-09-01,276
2016-09-02,276
2016-09-03,276
2016-09-04,276
2016-09-05,276
2016-09-06,276
2016-09-07,276
2016-09-08,276
2016-09-09,276
2016-09-10,276
2016-09-11,276
2016-09-12,276
2016-09-13,276
2016-09-14,276
2016-09-15,276
2016-09-16,276
2016-09-17,276
2016-09-18,276
2016-09-19,276
2016-09-20,276
2016-09-21,276
2016-09-22,276
2016-09-23,276
2016-09-24,276
2016-09-25,276
2016-09-26,276
2016-09-27,276
2016-09-28,276
2016-09-29,276
2016-09-30,276
2016-10-01,276
2016-10-02,276
2016-10-03,276
2016-10-04,274
2016-10-05,274
2016-10-06,274
2016-10-07,274
2016-10-08,274
2016-10-09,274
2016-10-10,274
2016-10-11,274
2016-10-12,274
2016-10-13,274
2016-10-14,274
2016-10-15,274
2016-10-16,274
2016-10-17,274
2016-10-18,274
2016-10-19,274
2016-10-20,274
2016-10-21,274
2016-10-22,274
2016-10-23,274
2016-10-24,274
2016-10-25,274
2016-10-26,274
2016-10-27,274
2016-10-28,274
2016-10-29,274
2016-10-30,274
2016-10-31,274
2016-11-01,274
2016-11-02,274
2016-11-03,274
2016-11-04,274
2016-11-05,274
2016-11-06,274
2016-11-07,274
2016-11-08,274
2016-11-09,274
2016-11-10,274
2016-11-11,274
2016-11-12,274
2016-11-13,274
2016-11-14,274
2016-11-15,274
2016-12-07,274
2016-12-08,274
2016-12-09,274
2016-12-10,274
2016-12-11,274
2016-12-12,274
2016-12-13,274
2016-12-14,274
2016-12-15,274
2016-12-16,274
2016-12-17,274
2016-12-18,274
2016-12-19,274
2016-12-20,274
2016-12-21,274
2016-12-22,274
2016-12-23,274
2016-12-24,274
2016-12-25,264
2016-12-26,264
2016-12-27,264
2016-12-28,264
2016-12-29,264
2016-12-30,264
2016-12-31,264
2017-01-01,264
2017-01-02,264
2017-01-03,264
2017-01-04,264
2017-01-05,264
2017-01-06,264
2017-01-07,264
2017-01-08,264
2017-01-09,264
2017-01-10,264
2017-01-11,264
2017-01-12,264
2017-01-13,264
2017-01-14,264
2017-01-15,264
2017-01-16,264
2017-01-17,264
2017-01-18,264
2017-01-19,264
2017-01-20,264
2017-01-21,264
2017-01-22,264
2017-01-23,264
2017-01-27,264
2017-01-28,264
2017-01-29,264
2017-01-30,264
2017-01-31,264
2017-02-01,264
2017-02-02,264
2017-02-03,264
2017-02-04,264
2017-02-05,264
2017-02-06,264
2017-02-07,264
2017-02-08,264
2017-02-09,264
2017-02-10,264
2017-02-11,264
2017-02-12,264
2017-02-13,264
2017-02-14,264
2017-02-15,264
2017-02-16,264
2017-02-18,264
2017-02-19,264
2017-02-20,264
2017-02-21,264
2017-02-22,264
2017-02-23,264
2017-02-24,264
2017-02-25,264
2017-02-26,264
2017-02-27,264
2017-02-28,264
2017-03-01,264
2017-03-02,264
2017-03-03,264
2017-03-04,264
2017-03-05,264
2017-03-06,264
2017-03-07,264
2017-03-08,258
2017-03-09,258
2017-03-10,258
2017-03-11,258
2017-03-12,258
2017-03-13,258
2017-03-14,258
2017-03-15,258
2017-03-16,258
2017-03-17,258
2017-03-18,258
2017-03-19,258
2017-03-20,258
