date_obj,Dragonstone%20gauntlets price
2020-04-12,1328905
2020-04-13,1328905
2020-04-14,1328905
2020-04-15,1328905
2020-04-16,1328905
2020-04-17,1328905
2020-04-18,1328905
2020-04-19,1374912
2020-04-20,1374912
2020-04-21,1374912
2020-04-22,1374912
2020-04-23,1374912
2020-04-24,1374912
2020-04-25,1374912
2020-04-26,1374912
2020-04-27,1374912
2020-04-28,1384159
2020-04-29,1384159
2020-04-30,1384159
2020-05-01,1384159
2020-05-02,1384159
2020-05-03,1384159
2020-05-04,1384159
2020-05-05,1384159
2020-05-06,1384159
2020-05-07,1384159
2020-05-08,1412043
2020-05-09,1412043
2020-05-10,1412043
2020-05-11,1412043
2020-05-12,1412043
2020-05-13,1412043
