date_obj,Orange%20boater price
2015-10-31,5930
2015-11-01,5930
2015-11-02,5930
2015-11-03,5930
2015-11-04,5930
2015-11-05,5930
2015-11-06,5930
2015-11-07,5930
2015-11-08,5930
2015-11-09,5930
2015-11-10,5930
2015-11-11,5656
2015-11-12,5656
2015-11-13,5656
2015-11-14,5656
2015-11-15,5656
2015-11-16,5656
2015-11-17,5656
2015-11-18,5656
2015-11-19,5656
2015-11-20,5656
2015-11-21,5656
2015-11-22,5396
2015-11-23,5396
2015-11-24,5396
2015-11-25,5396
2015-11-26,5396
2015-11-27,5396
2015-11-28,5396
2015-11-29,5396
2015-11-30,5396
2015-12-01,5146
2015-12-02,5146
2015-12-03,5146
2015-12-04,5146
2015-12-05,5146
2015-12-06,5146
2015-12-07,5146
2015-12-08,5146
2015-12-09,5146
2015-12-10,4916
2015-12-11,4916
2015-12-12,4916
2015-12-13,4916
2015-12-14,4916
2015-12-15,4916
2015-12-16,4916
2015-12-17,4916
2015-12-18,4916
2015-12-19,4916
2015-12-20,4703
2015-12-21,4703
2015-12-22,4703
2015-12-23,4703
2015-12-24,4703
2015-12-25,4703
2015-12-26,4703
2015-12-27,4703
2015-12-28,4703
2015-12-29,4488
2015-12-30,4488
2015-12-31,4488
2016-01-01,4488
2016-01-02,4488
2016-01-03,4488
2016-01-04,4488
2016-01-05,4488
2016-01-06,4291
2016-01-07,4291
2016-01-08,4291
2016-01-09,4291
2016-01-10,4291
2016-01-11,4291
2016-01-12,4291
2016-01-13,4291
2016-01-14,4291
2016-01-15,4137
2016-01-16,4137
2016-01-17,4137
2016-01-18,4137
2016-01-19,4137
2016-01-20,4137
2016-01-21,4137
2016-01-22,3946
2016-01-23,3946
2016-01-24,3946
2016-01-25,3946
2016-01-26,3946
2016-01-27,3946
2016-01-28,3946
2016-01-29,3761
2016-01-30,3761
2016-01-31,3761
2016-02-01,3761
2016-02-02,3761
2016-02-03,3761
2016-02-04,3761
2016-02-05,3761
2016-02-06,3672
2016-02-07,3672
2016-02-08,3672
2016-02-09,3672
2016-02-10,3672
2016-02-11,3672
2016-02-12,3672
2016-02-13,3494
2016-02-14,3494
2016-02-15,3494
2016-02-16,3494
2016-02-17,3494
2016-02-18,3494
2016-02-19,3494
2016-02-20,3494
2016-02-21,3508
2016-02-22,3508
2016-02-23,3508
2016-02-24,3508
2016-02-25,3508
2016-02-26,3508
2016-02-27,3508
2016-02-28,3508
2016-02-29,3657
2016-03-01,3657
2016-03-02,3657
2016-03-03,3657
2016-03-04,3657
2016-03-05,3657
2016-03-06,3657
2016-03-07,3657
2016-03-08,3588
2016-03-09,3588
2016-03-10,3588
2016-03-11,3588
2016-03-12,3588
2016-03-13,3588
2016-03-14,3588
2016-03-15,3547
2016-03-16,3547
2016-03-17,3547
2016-03-18,3547
2016-03-19,3547
2016-03-20,3547
2016-03-21,3547
2016-03-22,3510
2016-03-23,3510
2016-03-24,3510
2016-03-25,3510
2016-03-26,3510
2016-03-27,3510
2016-03-28,3510
2016-03-29,3471
2016-03-30,3471
2016-03-31,3471
2016-04-01,3471
2016-04-02,3471
2016-04-03,3471
2016-04-04,3471
2016-04-05,3471
2016-04-06,3471
2016-04-07,3471
2016-04-08,3349
2016-04-09,3349
2016-04-10,3349
2016-04-11,3349
2016-04-12,3349
2016-04-13,3349
2016-04-14,3349
2016-04-15,3415
2016-04-16,3415
2016-04-17,3415
2016-04-18,3415
2016-04-19,3415
2016-04-20,3415
2016-04-21,3415
2016-04-22,3415
2016-04-23,3500
2016-04-24,3500
2016-04-25,3500
2016-04-26,3500
2016-04-27,3500
2016-04-28,3500
2016-04-29,3500
2016-04-30,3475
2016-05-01,3475
2016-05-02,3475
2016-05-03,3475
2016-05-04,3475
2016-05-05,3475
2016-05-06,3475
2016-05-07,3475
2016-05-08,3534
2016-05-09,3534
2016-05-10,3534
2016-05-11,3534
2016-05-12,3534
2016-05-13,3534
2016-05-14,3534
2016-05-15,3534
2016-05-16,3454
2016-05-17,3454
2016-05-18,3454
2016-05-19,3454
2016-05-22,3454
2016-05-23,3470
2016-05-24,3470
2016-05-25,3470
2016-05-26,3470
2016-05-27,3470
2016-05-28,3470
2016-05-29,3470
2016-05-30,3470
2016-05-31,3463
2016-06-01,3463
2016-06-02,3463
2016-06-03,3463
2016-06-04,3463
2016-06-05,3463
2016-06-06,3463
2016-06-07,3463
2016-06-08,3463
2016-06-09,3414
2016-06-10,3414
2016-06-11,3414
2016-06-12,3414
2016-06-13,3414
2016-06-14,3414
2016-06-15,3414
2016-06-16,3414
2016-06-17,3304
2016-06-18,3304
2016-06-19,3304
2016-06-20,3304
2016-06-21,3304
2016-06-22,3304
2016-06-23,3304
2016-06-24,3304
2016-06-25,3200
2016-06-26,3200
2016-06-27,3200
2016-06-28,3200
2016-06-29,3200
2016-06-30,3200
2016-07-01,3200
2016-07-02,3200
2016-07-03,3200
2016-07-04,3165
2016-07-05,3165
2016-07-06,3165
2016-07-07,3165
2016-07-08,3153
2016-07-09,3153
2016-07-10,3153
2016-07-11,3153
2016-07-12,3102
2016-07-13,3102
2016-07-14,3102
2016-07-15,3102
2016-07-16,3102
2016-07-17,3024
2016-07-18,3024
2016-07-23,2919
2016-07-24,2919
2016-07-25,2919
2016-07-26,2919
2016-07-27,2919
2016-07-28,2919
2016-07-29,2909
2016-07-30,2909
2016-07-31,2909
2016-08-01,2909
2016-08-02,2909
2016-08-03,2909
2016-08-04,2909
2016-08-05,2895
2016-08-06,2895
2016-08-07,2895
2016-08-08,2895
2016-08-09,2895
2016-08-10,2895
2016-08-11,2940
2016-08-12,2940
2016-08-13,2940
2016-08-14,2940
2016-08-15,2940
2016-08-16,2940
2016-08-17,2940
2016-08-18,2910
2016-08-19,2910
2016-08-20,2910
2016-08-21,2910
2016-08-22,2910
2016-08-23,2910
2016-08-24,2910
2016-08-25,2849
2016-08-26,2849
2016-08-28,2849
2016-08-31,2849
2016-09-01,2849
2016-09-02,2849
2016-09-03,2849
2016-09-04,2768
2016-09-05,2768
2016-09-06,2768
2016-09-07,2768
2016-09-08,2768
2016-09-09,2768
2016-09-10,2768
2016-09-11,2768
2016-09-12,2768
2016-09-13,2643
2016-09-14,2643
2016-09-15,2643
2016-09-16,2643
2016-09-17,2643
2016-09-18,2643
2016-09-19,2643
2016-09-20,2643
2016-09-21,2643
2016-09-22,2618
2016-09-23,2618
2016-09-24,2618
2016-09-25,2618
2016-09-26,2618
2016-09-27,2618
2016-09-28,2618
2016-09-29,2618
2016-09-30,2618
2016-10-01,2618
2016-10-02,2618
2016-10-03,2639
2016-10-04,2639
2016-10-05,2639
2016-10-06,2639
2016-10-07,2639
2016-10-08,2639
2016-10-09,2639
2016-10-10,2639
2016-10-11,2639
2016-10-12,2639
2016-10-13,2639
2016-10-14,2642
2016-10-15,2642
2016-10-16,2642
2016-10-17,2642
2016-10-18,2642
2016-10-19,2642
2016-10-20,2642
2016-10-21,2642
2016-10-22,2642
2016-10-23,2642
2016-10-24,2577
2016-10-25,2577
2016-10-26,2577
2016-10-27,2577
2016-10-28,2577
2016-10-29,2577
2016-10-30,2577
2016-10-31,2577
2016-11-01,2577
2016-11-02,2577
2016-11-03,2519
2016-11-04,2519
2016-11-05,2519
2016-11-06,2519
2016-11-07,2519
2016-11-08,2519
2016-11-09,2519
2016-11-10,2519
2016-11-11,2519
2016-11-12,2519
2016-11-13,2458
2016-11-14,2458
2016-12-07,2369
2016-12-08,2369
2016-12-09,2369
2016-12-10,2369
2016-12-11,2369
2016-12-12,2369
2016-12-13,2369
2016-12-14,2374
2016-12-15,2374
2016-12-16,2374
2016-12-17,2374
2016-12-18,2374
2016-12-19,2374
2016-12-20,2374
2016-12-21,2374
2016-12-22,2374
2016-12-23,2298
2016-12-24,2298
2016-12-25,2298
2016-12-26,2298
2016-12-27,2298
2016-12-28,2298
2016-12-29,2298
2016-12-30,2298
2016-12-31,2298
2017-01-01,2207
2017-01-02,2207
2017-01-03,2207
2017-01-04,2207
2017-01-05,2207
2017-01-06,2207
2017-01-07,2207
2017-01-08,2129
2017-01-09,2129
2017-01-10,2129
2017-01-11,2129
2017-01-12,2129
2017-01-13,2129
2017-01-14,2034
2017-01-15,2034
2017-01-16,2034
2017-01-17,2034
2017-01-18,2034
2017-01-19,2034
2017-01-20,1962
2017-01-21,1962
2017-01-22,1962
2017-01-27,1931
2017-01-28,1931
2017-01-29,1931
2017-01-30,1931
2017-01-31,1931
2017-02-01,1897
2017-02-02,1897
2017-02-03,1897
2017-02-04,1897
2017-02-05,1897
2017-02-06,1897
2017-02-07,1897
2017-02-08,1902
2017-02-09,1902
2017-02-10,1902
2017-02-11,1902
2017-02-12,1902
2017-02-13,1902
2017-02-14,1930
2017-02-15,1930
2017-02-16,1930
2017-02-18,1930
2017-02-19,1930
2017-02-20,1981
2017-02-21,1981
2017-02-22,1981
2017-02-23,1981
2017-02-24,1981
2017-02-25,1981
2017-02-26,1981
2017-02-27,1973
2017-02-28,1973
2017-03-01,1973
2017-03-02,1973
2017-03-03,1973
2017-03-04,1973
2017-03-05,1892
2017-03-06,1892
2017-03-07,1892
2017-03-08,1892
2017-03-09,1892
2017-03-10,1892
2017-03-11,1890
2017-03-12,1890
2017-03-13,1890
2017-03-14,1890
2017-03-15,1890
2017-03-16,1908
2017-03-17,1908
2017-03-18,1908
2017-03-19,1908
2017-03-20,1908
2017-03-21,1860
2017-03-22,1860
2017-03-23,1860
2017-03-24,1860
2017-03-25,1860
2017-03-26,1860
2017-03-27,1860
2017-03-28,1816
2017-03-29,1816
2017-03-30,1816
2017-03-31,1816
2017-04-01,1816
2017-04-02,1816
2017-04-03,1785
2017-04-04,1785
2017-04-12,1703
2017-04-13,1703
2017-04-14,1703
2017-04-15,1703
2017-04-16,1690
2017-04-17,1690
2017-04-18,1690
2017-04-19,1690
2017-04-20,1690
2017-04-21,1690
2017-04-22,1690
2017-04-23,1626
2017-04-24,1626
2017-04-25,1626
