date_obj,Ogre%20arrow price
2018-04-03,240
2018-04-04,241
2018-04-05,241
2018-04-06,245
2018-04-08,249
2018-04-09,255
2018-04-10,255
2018-04-11,254
2018-04-12,251
2018-04-13,249
2018-04-14,247
2018-04-15,248
2018-04-16,248
2018-04-17,250
2018-04-18,250
2018-04-19,245
2018-04-20,244
2018-04-21,243
2018-04-22,242
2018-04-23,239
2018-04-24,240
2018-04-25,242
2018-04-26,242
2018-04-27,241
2018-04-28,246
2018-04-29,249
2018-04-30,255
2018-05-01,264
2018-05-02,271
2018-05-04,282
2018-05-05,285
2018-05-06,285
2018-05-07,288
2018-05-08,288
2018-05-09,290
2018-05-10,286
2018-05-11,281
2018-05-12,273
2018-05-13,273
2018-05-14,264
2018-05-15,252
2018-05-16,245
2018-05-17,245
2018-05-18,245
2018-05-19,243
2018-05-20,245
2018-05-21,243
2018-05-22,243
2018-05-23,241
2018-05-24,245
2018-05-25,245
2018-05-26,244
2018-05-27,244
2018-05-28,243
2018-05-29,249
2018-05-30,253
2018-05-31,258
2018-06-01,259
2018-06-02,259
2018-06-03,256
2018-06-04,256
2018-06-05,258
2018-06-06,263
2018-06-07,263
2018-06-08,266
2018-06-09,264
2018-06-10,268
2018-06-11,271
2018-06-12,276
2018-06-13,285
2018-06-14,287
2018-06-15,292
2018-06-16,297
2018-06-17,297
2018-06-18,293
2018-06-19,291
2018-06-20,291
2018-06-21,290
2018-06-22,285
2018-06-23,285
2018-06-24,283
2018-06-25,277
2018-06-26,271
2018-06-27,264
2018-06-28,259
2018-06-29,256
2018-06-30,252
2018-07-01,256
2018-07-02,254
2018-07-03,258
2018-07-04,265
2018-07-05,264
2018-07-06,261
2018-07-07,257
2018-07-08,258
2018-07-09,253
2018-07-10,250
2018-07-11,246
2018-07-12,245
2018-07-13,238
2018-07-14,238
2018-07-15,245
2018-07-16,241
2018-07-17,240
2018-07-18,242
2018-07-19,243
2018-07-20,244
2018-07-21,247
2018-07-22,246
2018-07-23,249
2018-07-24,245
2018-07-25,248
2018-07-26,248
2018-07-27,242
2018-07-28,238
2018-07-29,238
2018-07-30,240
2018-07-31,239
2018-08-01,239
2018-08-02,236
2018-08-03,239
2018-08-04,241
2018-08-05,243
2018-08-06,243
2018-08-07,245
2018-08-08,241
2018-08-09,242
2018-08-10,241
2018-08-11,232
2018-08-12,227
2018-08-14,221
2018-08-16,223
2018-08-17,220
2018-08-18,220
2018-08-19,218
2018-08-20,224
2018-08-21,227
2018-08-22,234
2018-08-23,236
2018-08-24,239
2018-08-25,237
2018-08-26,230
2018-08-27,226
2018-08-28,226
2018-08-29,225
2018-08-30,231
2018-08-31,229
2018-09-01,229
2018-09-02,227
2018-09-03,228
2018-09-04,230
2018-09-05,228
2018-09-06,228
2018-09-07,229
2018-09-08,238
2018-09-09,243
2018-09-10,242
2018-09-11,242
2018-09-12,243
2018-09-13,246
2018-09-14,250
2018-09-15,248
2018-09-16,245
2018-09-17,240
2018-09-18,237
2018-09-19,239
2018-09-20,239
2018-09-21,238
2018-09-22,235
2018-09-23,233
2018-09-24,233
2018-09-25,233
2018-09-26,230
2018-09-27,230
2018-09-28,230
2018-09-29,232
2018-09-30,232
2018-10-02,231
2018-10-03,231
2018-10-04,231
2018-10-05,227
2018-10-06,226
2018-10-07,228
2018-10-08,228
2018-10-09,228
2018-10-10,229
2018-10-11,226
2018-10-12,228
2018-10-13,229
2018-10-14,231
2018-10-15,229
2018-10-16,226
2018-10-17,230
2018-10-18,226
2018-10-19,231
2018-10-20,231
2018-10-21,231
2018-10-22,231
2018-10-23,227
2018-10-24,218
2018-10-25,220
2018-10-26,223
2018-10-27,226
2018-10-28,229
2018-10-29,228
2018-10-30,235
2018-10-31,237
2018-11-01,240
2018-11-03,244
2018-11-04,246
2018-11-05,246
2018-11-06,243
2018-11-07,237
2018-11-08,233
2018-11-09,234
2018-11-10,234
2018-11-11,232
2018-11-12,228
2018-11-13,230
2018-11-15,227
2018-11-16,226
2018-11-17,229
2018-11-18,225
2018-11-19,228
2018-11-20,229
2018-11-21,232
2018-11-22,225
2018-11-23,219
2018-11-24,219
2018-11-25,222
2018-11-26,226
2018-11-27,225
2018-11-28,222
2018-11-29,222
2018-12-01,223
2018-12-02,221
2018-12-03,223
2018-12-04,224
2018-12-05,226
2018-12-07,226
2018-12-09,228
2018-12-10,223
2018-12-11,217
2018-12-12,215
2018-12-13,209
2018-12-14,206
2018-12-15,203
2018-12-16,198
2018-12-17,195
2018-12-18,194
2018-12-19,194
2018-12-20,195
2018-12-21,199
2018-12-22,197
2018-12-23,200
2018-12-24,202
2018-12-25,203
2018-12-26,204
2018-12-27,210
2018-12-28,216
2018-12-29,220
2018-12-30,215
2018-12-31,213
2019-01-01,213
2019-01-02,211
2019-01-03,212
2019-01-04,211
2019-01-05,213
2019-01-06,214
2019-01-08,214
2019-01-10,206
2019-01-11,200
2019-01-12,193
2019-01-13,184
2019-01-14,177
2019-01-15,168
2019-01-16,160
2019-01-17,155
2019-01-18,153
2019-01-19,148
2019-01-20,148
2019-01-21,150
2019-01-22,150
2019-01-23,151
2019-01-24,151
2019-01-25,152
2019-01-26,152
2019-01-27,154
2019-01-28,158
2019-01-29,160
2019-01-30,166
2019-01-31,171
2019-02-01,176
2019-02-02,181
2019-02-03,189
2019-02-04,197
2019-02-05,202
2019-02-06,202
2019-02-07,206
2019-02-08,208
2019-02-09,211
2019-02-10,215
2019-02-11,216
2019-02-12,220
2019-02-13,218
2019-02-14,218
2019-02-15,220
2019-02-16,219
2019-02-17,219
2019-02-18,218
2019-02-19,215
2019-02-20,216
2019-02-21,215
2019-02-22,211
2019-02-23,206
2019-02-24,209
2019-02-25,209
2019-02-26,208
2019-02-27,208
2019-02-28,209
2019-03-01,209
2019-03-02,206
2019-03-03,199
2019-03-04,195
2019-03-05,195
2019-03-06,195
2019-03-07,194
2019-03-08,191
2019-03-09,190
2019-03-10,192
2019-03-11,193
2019-03-12,195
2019-03-13,195
2019-03-14,196
2019-03-15,191
2019-03-16,196
2019-03-17,195
2019-03-18,195
2019-03-19,193
2019-03-20,197
2019-03-21,203
2019-03-22,207
2019-03-23,207
2019-03-24,206
2019-03-25,208
2019-03-26,209
2019-03-27,210
2019-03-28,214
2019-03-29,220
2019-03-30,222
2019-03-31,220
2019-04-01,216
2019-04-02,210
2019-04-03,208
2019-04-04,205
2019-04-05,205
2019-04-06,202
2019-04-07,198
2019-04-08,196
2019-04-09,197
2019-04-10,201
2019-04-11,205
2019-04-12,205
2019-04-13,209
2019-04-14,210
2019-04-15,210
2019-04-16,209
2019-04-17,211
2019-04-18,210
2019-04-19,210
2019-04-20,209
2019-04-21,210
2019-04-22,212
2019-04-23,213
2019-04-24,212
2019-04-25,210
2019-04-26,209
2019-04-27,209
2019-04-28,207
2019-04-29,203
2019-04-30,206
2019-05-01,208
2019-05-02,209
2019-05-03,208
2019-05-04,211
2019-05-05,210
2019-05-06,208
2019-05-07,206
2019-05-08,204
2019-05-09,206
2019-05-10,206
2019-05-11,209
2019-05-12,208
2019-05-13,209
2019-05-14,211
2019-05-15,209
2019-05-16,209
2019-05-17,209
2019-05-18,210
2019-05-19,211
2019-05-20,212
2019-05-21,211
2019-05-22,206
2019-05-23,209
2019-05-24,210
2019-05-25,211
2019-05-26,211
2019-05-27,209
2019-05-28,207
2019-05-29,206
2019-05-30,206
2019-05-31,209
2019-06-01,209
2019-06-02,209
2019-06-03,210
2019-06-04,208
2019-06-05,210
2019-06-06,210
2019-06-07,211
2019-06-08,211
2019-06-09,211
2019-06-10,210
2019-06-11,210
2019-06-12,208
2019-06-13,208
2019-06-14,209
2019-06-15,204
2019-06-16,200
2019-06-17,196
2019-06-18,197
2019-06-19,192
2019-06-20,191
2019-06-21,197
2019-06-22,203
2019-06-23,201
2019-06-24,199
2019-06-25,196
2019-06-26,193
2019-06-27,194
2019-06-28,195
2019-06-29,197
2019-06-30,194
2019-07-01,192
2019-07-02,191
2019-07-03,190
2019-07-04,187
2019-07-05,186
2019-07-06,189
2019-07-07,188
2019-07-08,193
2019-07-09,196
2019-07-10,199
2019-07-11,201
2019-07-12,201
2019-07-13,202
2019-07-14,204
2019-07-15,205
2019-07-16,205
2019-07-17,205
2019-07-18,207
2019-07-19,207
2019-07-20,206
2019-07-21,209
2019-07-22,210
2019-07-23,210
2019-07-24,209
2019-07-25,210
2019-07-26,209
2019-07-27,209
2019-07-28,209
2019-07-29,208
2019-07-30,209
2019-07-31,210
2019-08-01,208
2019-08-02,210
2019-08-03,208
2019-08-04,208
2019-08-05,208
2019-08-06,206
2019-08-07,208
2019-08-08,207
2019-08-09,208
2019-08-10,205
2019-08-11,202
2019-08-12,200
2019-08-13,201
2019-08-14,196
2019-08-15,197
2019-08-16,198
2019-08-17,196
2019-08-18,197
2019-08-19,197
2019-08-20,198
2019-08-21,199
2019-08-22,199
2019-08-23,198
2019-08-24,198
2019-08-24,198
2019-08-25,199
2019-08-25,199
2019-08-26,198
2019-08-26,198
2019-08-27,200
2019-08-27,200
2019-08-28,200
2019-08-29,199
2019-08-30,200
2019-08-31,202
2019-09-01,203
2019-09-02,202
2019-09-03,202
2019-09-04,202
