date_obj,Ensouled%20dagannoth%20head price
2017-07-15,3857
2017-07-16,3887
2017-07-17,3799
2017-07-18,3639
2017-07-19,3733
2017-07-20,3777
2017-07-21,3944
2017-07-22,4134
2017-07-23,4116
2017-07-24,3993
2017-07-25,3962
2017-07-26,3949
2017-07-27,3899
2017-07-28,4087
2017-07-29,4134
2017-07-30,3989
2017-07-31,3908
2017-08-01,3913
2017-08-02,4067
2017-08-03,4004
2017-08-04,3915
2017-08-05,3784
2017-08-06,3718
2017-08-09,3708
2017-08-10,3756
2017-08-11,3860
2017-08-12,4001
2017-08-13,4000
2017-08-14,4080
2017-08-15,3965
2017-08-16,3884
2017-08-17,3933
2017-08-18,3837
2017-08-19,3721
2017-08-20,3766
2017-08-21,3743
2017-08-22,3708
2017-08-23,3733
2017-08-24,3786
2017-08-25,3839
2017-08-26,3845
2017-08-27,3703
2017-08-28,3784
2017-08-29,3757
2017-08-30,3699
2017-08-31,3651
2017-09-01,3663
2017-09-03,3666
2017-09-04,3697
2017-09-05,3827
2017-09-06,3736
2017-09-07,3844
2017-09-08,3753
2017-09-09,3772
2017-09-10,3784
2017-09-11,3732
2017-09-12,3596
2017-09-13,3471
2017-09-14,3476
2017-09-15,3532
2017-09-16,3366
2017-09-17,3315
2017-09-18,3407
2017-09-19,3482
2017-09-20,3582
2017-09-21,3524
2017-09-22,3466
2017-09-23,3530
2017-09-24,3488
2017-09-25,3465
2017-09-26,3504
2017-09-27,3467
2017-09-28,3316
2017-09-29,3315
2017-09-30,3314
2017-10-01,3284
2017-10-02,3351
2017-10-03,3355
2017-10-04,3425
2017-10-05,3272
2017-10-06,3295
2017-10-07,3320
2017-10-08,3315
2017-10-09,3305
2017-10-10,3270
2017-10-11,3172
2017-10-12,3163
2017-10-13,3028
2017-10-14,3033
2017-10-15,3069
2017-10-16,3214
2017-10-17,3257
2017-10-18,3178
2017-10-19,3160
2017-10-20,3148
2017-10-21,3087
2017-10-22,3147
2017-10-23,3188
2017-10-24,3036
2017-10-25,3005
2017-10-26,3026
2017-10-27,3010
2017-10-28,3096
2017-10-29,3130
2017-10-30,3119
2017-10-31,3093
2017-11-01,3032
2017-11-02,2940
2017-11-03,3056
2017-11-04,2959
2017-11-05,2932
2017-11-06,2952
2017-11-07,3079
2017-11-08,3069
2017-11-09,3097
2017-11-10,3076
2017-11-11,3152
2017-11-12,3293
2017-11-13,3185
2017-11-14,3073
2017-11-15,2963
2017-11-16,2991
2017-11-17,2976
2017-11-18,2977
2017-11-19,3083
2017-11-20,3182
2017-11-21,3216
2017-11-22,3367
2017-11-23,3280
2017-11-24,3187
2017-11-25,3127
2017-11-26,3076
2017-11-27,3009
2017-11-28,3035
2017-11-29,3001
2017-11-30,3045
2017-12-01,2961
2017-12-02,2848
2017-12-03,2920
2017-12-04,3066
2017-12-05,3217
2017-12-06,3276
2017-12-07,3340
2017-12-08,3405
2017-12-09,3545
2017-12-10,3370
2017-12-11,3203
2017-12-12,3154
2017-12-13,3036
2017-12-14,2981
2017-12-15,2924
2017-12-16,2993
2017-12-17,3020
2017-12-18,2945
2017-12-19,2876
2017-12-20,2892
2017-12-21,2979
2017-12-22,2996
2017-12-23,2954
2017-12-24,3060
2017-12-25,3142
2017-12-26,3186
2017-12-27,3088
2017-12-28,3002
2017-12-29,2939
2017-12-30,2881
2017-12-31,2910
2018-01-01,2810
2018-01-02,2895
2018-01-03,2776
2018-01-04,2692
2018-01-05,2733
2018-01-06,2821
2018-01-07,2749
2018-01-08,2759
2018-01-09,2790
2018-01-10,2872
2018-01-11,2770
2018-01-12,2781
2018-01-13,2808
2018-01-14,2689
2018-01-15,2646
2018-01-16,2702
2018-01-17,2759
2018-01-18,2770
2018-01-19,2706
2018-01-20,2779
2018-01-21,2918
2018-01-22,2982
2018-01-23,2929
2018-01-25,3137
2018-01-26,3294
2018-01-27,3428
2018-01-28,3274
2018-01-29,3298
2018-01-30,3152
2018-01-31,3281
2018-02-01,3359
2018-02-02,3408
2018-02-03,3439
2018-02-04,3578
2018-02-05,3757
2018-02-06,3863
2018-02-07,3786
2018-02-08,3596
2018-02-09,3480
2018-02-10,3326
2018-02-11,3312
2018-02-12,3297
2018-02-13,3147
2018-02-14,3078
2018-02-15,3095
2018-02-16,3142
2018-02-17,3078
2018-02-18,3094
2018-02-19,3201
2018-02-20,3195
2018-02-21,3314
2018-02-22,3480
2018-02-23,3546
2018-02-24,3535
2018-02-25,3439
2018-02-26,3463
2018-02-27,3549
2018-02-28,3527
2018-03-01,3453
2018-03-02,3453
2018-03-03,3401
2018-03-04,3535
2018-03-05,3568
2018-03-06,3643
2018-03-07,3697
2018-03-08,3862
2018-03-09,3897
2018-03-10,3933
2018-03-11,3952
2018-03-12,3982
2018-03-13,3939
2018-03-14,3983
2018-03-15,4006
2018-03-16,4064
2018-03-17,4044
2018-03-18,3955
2018-03-20,3758
2018-03-21,3732
2018-03-23,3815
2018-03-24,3771
2018-03-25,3893
2018-03-26,3906
2018-03-27,3902
2018-03-28,3813
2018-03-29,3849
2018-03-30,3780
2018-03-31,3599
2018-04-01,3470
2018-04-02,3581
2018-04-03,3590
2018-04-04,3725
2018-04-05,3650
2018-04-06,3622
2018-04-07,3746
2018-04-08,3818
2018-04-09,3727
2018-04-10,3620
2018-04-11,3697
2018-04-12,3765
2018-04-13,3684
2018-04-14,3573
2018-04-15,3572
2018-04-16,3690
2018-04-17,3796
2018-04-18,3974
2018-04-19,3961
2018-04-20,3921
2018-04-21,3912
2018-04-22,3895
2018-04-23,3883
2018-04-24,3825
2018-04-25,3807
2018-04-26,3836
2018-04-27,3734
2018-04-28,3685
2018-04-29,3793
2018-04-30,3797
2018-05-01,3842
2018-05-03,3845
2018-05-04,3813
2018-05-05,3806
2018-05-07,3605
2018-05-08,3586
2018-05-09,3622
2018-05-10,3583
2018-05-11,3700
2018-05-12,3794
2018-05-13,3753
2018-05-14,3767
2018-05-15,3856
2018-05-16,3791
2018-05-17,3692
2018-05-18,3727
2018-05-19,3830
2018-05-20,3958
2018-05-21,3960
2018-05-22,3958
2018-05-23,3833
2018-05-24,3788
2018-05-25,3726
2018-05-26,3756
2018-05-27,3770
2018-05-28,3772
2018-05-29,3789
2018-05-30,3625
2018-05-31,3662
2018-06-01,3772
2018-06-02,3678
2018-06-03,3686
2018-06-04,3630
2018-06-05,3712
2018-06-06,3729
2018-06-07,3693
2018-06-08,3694
2018-06-09,3702
2018-06-10,3810
2018-06-11,3727
2018-06-12,3646
2018-06-13,3623
2018-06-14,3601
2018-06-15,3495
2018-06-16,3370
2018-06-17,3410
2018-06-18,3457
2018-06-19,3555
2018-06-20,3598
2018-06-21,3633
2018-06-22,3560
2018-06-23,3535
2018-06-24,3511
2018-06-25,3596
2018-06-26,3462
2018-06-27,3436
2018-06-28,3521
2018-06-29,3588
2018-06-30,3577
2018-07-01,3478
2018-07-02,3390
2018-07-03,3550
2018-07-04,3728
2018-07-05,3813
2018-07-06,4003
2018-07-07,3958
2018-07-08,3828
2018-07-09,3636
2018-07-10,3466
2018-07-11,3403
2018-07-12,3551
2018-07-13,3649
2018-07-14,3579
2018-07-15,3715
2018-07-16,3784
2018-07-17,3901
2018-07-18,3939
2018-07-19,3870
2018-07-20,3808
2018-07-21,3766
2018-07-22,3955
