date_obj,Runite%20bolts price
2016-09-18,128
2016-09-19,129
2016-09-20,130
2016-09-21,132
2016-09-22,135
2016-09-23,135
2016-09-24,135
2016-09-25,134
2016-09-26,135
2016-09-27,136
2016-09-28,140
2016-09-29,140
2016-09-30,140
2016-10-01,141
2016-10-02,143
2016-10-03,143
2016-10-04,150
2016-10-05,155
2016-10-06,160
2016-10-07,166
2016-10-08,168
2016-10-09,165
2016-10-10,164
2016-10-11,157
2016-10-12,150
2016-10-13,148
2016-10-14,149
2016-10-15,151
2016-10-16,153
2016-10-17,157
2016-10-18,160
2016-10-19,161
2016-10-20,161
2016-10-21,162
2016-10-22,163
2016-10-23,164
2016-10-24,165
2016-10-25,166
2016-10-26,165
2016-10-27,163
2016-10-28,159
2016-10-29,158
2016-10-30,162
2016-10-31,163
2016-11-01,163
2016-11-02,165
2016-11-03,167
2016-11-04,166
2016-11-05,166
2016-11-06,167
2016-11-07,165
2016-11-08,163
2016-11-09,164
2016-11-10,164
2016-11-11,165
2016-11-12,162
2016-11-13,158
2016-11-14,156
2016-12-08,217
2016-12-09,221
2016-12-10,221
2016-12-11,221
2016-12-12,219
2016-12-13,213
2016-12-14,207
2016-12-15,204
2016-12-16,201
2016-12-17,194
2016-12-18,192
2016-12-19,198
2016-12-20,205
2016-12-21,212
2016-12-22,220
2016-12-23,230
2016-12-24,230
2016-12-25,221
2016-12-26,217
2016-12-27,218
2016-12-28,220
2016-12-29,222
2016-12-30,226
2016-12-31,224
2017-01-01,216
2017-01-02,210
2017-01-03,206
2017-01-04,202
2017-01-05,202
2017-01-06,200
2017-01-07,196
2017-01-08,195
2017-01-09,198
2017-01-10,201
2017-01-11,199
2017-01-12,197
2017-01-13,195
2017-01-14,194
2017-01-15,194
2017-01-16,195
2017-01-17,196
2017-01-18,202
2017-01-19,205
2017-01-20,208
2017-01-21,211
2017-01-22,211
2017-01-27,200
2017-01-28,197
2017-01-29,195
2017-01-30,193
2017-01-31,194
2017-02-01,196
2017-02-02,199
2017-02-03,203
2017-02-04,205
2017-02-05,205
2017-02-06,204
2017-02-07,204
2017-02-08,202
2017-02-09,199
2017-02-10,196
2017-02-11,194
2017-02-12,191
2017-02-13,188
2017-02-14,188
2017-02-15,193
2017-02-16,194
2017-02-18,192
2017-02-19,189
2017-02-20,186
2017-02-21,187
2017-02-22,188
2017-02-23,191
2017-02-24,196
2017-02-25,195
2017-02-26,194
2017-02-27,194
2017-02-28,196
2017-03-01,195
2017-03-02,198
2017-03-03,200
2017-03-04,201
2017-03-05,207
2017-03-06,209
2017-03-07,215
2017-03-08,214
2017-03-09,214
2017-03-10,214
2017-03-11,212
2017-03-12,208
2017-03-13,205
2017-03-14,204
2017-03-15,201
2017-03-16,200
2017-03-17,199
2017-03-18,201
2017-03-19,201
2017-03-20,201
2017-03-21,201
2017-03-22,204
2017-03-23,207
2017-03-24,214
2017-03-25,216
2017-03-26,222
2017-03-27,224
2017-03-28,230
2017-03-29,238
2017-03-30,244
2017-03-31,250
2017-04-01,251
2017-04-02,253
2017-04-03,261
2017-04-04,263
2017-04-12,235
2017-04-13,239
2017-04-14,241
2017-04-15,248
2017-04-16,252
2017-04-17,251
2017-04-18,252
2017-04-19,251
2017-04-20,255
2017-04-21,263
2017-04-22,264
2017-04-23,265
2017-04-24,266
2017-04-25,268
2017-04-26,267
2017-04-27,267
2017-04-28,267
2017-04-29,266
2017-04-30,264
2017-05-01,264
