date_obj,Raw%20anglerfish price
2017-09-11,1685
2017-09-12,1671
2017-09-13,1654
2017-09-14,1671
2017-09-15,1671
2017-09-16,1679
2017-09-17,1663
2017-09-19,1670
2017-09-20,1666
2017-09-21,1666
2017-09-22,1685
2017-09-23,1685
2017-09-24,1671
2017-09-25,1683
2017-09-26,1628
2017-09-27,1628
2017-09-28,1596
2017-09-29,1595
2017-09-30,1595
2017-10-01,1580
2017-10-02,1583
2017-10-03,1583
2017-10-04,1573
2017-10-05,1549
2017-10-06,1522
2017-10-07,1461
2017-10-08,1460
2017-10-09,1504
2017-10-10,1511
2017-10-11,1511
2017-10-12,1504
2017-10-13,1465
2017-10-14,1416
2017-10-15,1416
2017-10-16,1406
2017-10-17,1406
2017-10-18,1399
2017-10-19,1377
2017-10-20,1377
2017-10-21,1348
2017-10-22,1334
2017-10-23,1334
2017-10-24,1330
2017-10-25,1354
2017-10-26,1361
2017-10-27,1387
2017-10-28,1387
2017-10-29,1413
2017-10-30,1386
2017-10-31,1369
2017-11-01,1369
2017-11-02,1395
2017-11-03,1394
2017-11-04,1387
2017-11-05,1387
2017-11-06,1408
2017-11-07,1408
2017-11-08,1395
2017-11-09,1393
2017-11-10,1393
2017-11-11,1373
2017-11-12,1359
2017-11-13,1379
2017-11-14,1379
2017-11-15,1368
2017-11-16,1367
2017-11-17,1350
2017-11-18,1350
2017-11-19,1314
2017-11-20,1321
2017-11-21,1329
2017-11-22,1329
2017-11-23,1328
2017-11-24,1328
2017-11-25,1344
2017-11-26,1371
2017-11-27,1371
2017-11-28,1376
2017-11-29,1376
2017-11-30,1375
2017-12-01,1367
2017-12-02,1367
2017-12-03,1394
2017-12-04,1394
2017-12-05,1418
2017-12-06,1399
2017-12-07,1395
2017-12-08,1395
2017-12-09,1357
2017-12-10,1334
2017-12-11,1352
2017-12-12,1352
2017-12-14,1333
2017-12-15,1311
2017-12-16,1311
2017-12-17,1303
2017-12-18,1316
2017-12-19,1316
2017-12-20,1320
2017-12-21,1295
2017-12-22,1248
2017-12-23,1268
2017-12-24,1268
2017-12-25,1313
2017-12-26,1323
2017-12-27,1317
2017-12-28,1317
2017-12-29,1291
2017-12-30,1309
2017-12-31,1309
2018-01-01,1296
2018-01-02,1301
2018-01-03,1301
2018-01-04,1272
2018-01-05,1330
2018-01-06,1394
2018-01-07,1401
2018-01-08,1422
2018-01-09,1407
2018-01-10,1369
2018-01-11,1341
2018-01-12,1344
2018-01-13,1328
2018-01-14,1355
2018-01-15,1352
2018-01-16,1370
2018-01-17,1397
2018-01-18,1384
2018-01-19,1384
2018-01-20,1391
2018-01-21,1419
2018-01-22,1402
2018-01-23,1429
2018-01-24,1437
2018-01-25,1411
2018-01-26,1399
2018-01-27,1393
2018-01-28,1382
2018-01-29,1384
2018-01-31,1377
2018-02-01,1376
2018-02-02,1370
2018-02-03,1373
2018-02-04,1383
