date_obj,Larupia%20hat price
2016-09-12,5626
2016-09-13,5626
2016-09-14,5626
2016-09-15,5665
2016-09-16,5665
2016-09-17,5665
2016-09-18,5665
2016-09-19,5815
2016-09-20,5815
2016-09-21,5815
2016-09-22,6094
2016-09-23,6094
2016-09-24,6094
2016-09-25,6094
2016-09-26,6094
2016-09-27,6081
2016-09-28,6081
2016-09-29,6081
2016-09-30,6081
2016-10-01,6175
2016-10-02,6175
2016-10-03,6175
2016-10-04,6175
2016-10-05,6175
2016-10-06,6216
2016-10-07,6216
2016-10-08,6216
2016-10-09,6216
2016-10-10,6216
2016-10-11,5905
2016-10-12,5905
2016-10-13,5905
2016-10-14,5905
2016-10-15,5905
2016-10-16,5661
2016-10-17,5661
2016-10-18,5661
2016-10-19,5661
2016-10-20,5419
2016-10-21,5419
2016-10-22,5419
2016-10-23,5419
2016-10-24,5153
2016-10-25,5153
2016-10-26,5153
2016-10-27,5153
2016-10-28,5153
2016-10-29,4895
2016-10-30,4895
2016-10-31,4895
2016-11-01,4895
2016-11-02,4686
2016-11-03,4686
2016-11-04,4686
2016-11-05,4686
2016-11-06,4686
2016-11-07,4485
2016-11-08,4485
2016-11-09,4485
2016-11-10,4485
2016-11-11,4485
2016-11-12,4309
2016-11-13,4309
2016-11-14,4309
2016-12-07,5233
2016-12-08,5233
2016-12-09,5233
2016-12-10,5233
2016-12-11,5495
2016-12-12,5495
2016-12-13,5495
2016-12-14,5495
2016-12-15,5495
2016-12-16,5680
2016-12-17,5680
2016-12-18,5680
2016-12-19,5680
2016-12-20,5799
2016-12-21,5799
2016-12-22,5799
2016-12-23,5799
2016-12-24,5825
2016-12-25,5825
2016-12-26,5825
2016-12-27,5825
2016-12-28,5533
2016-12-29,5533
2016-12-30,5533
2016-12-31,5533
2017-01-01,5281
2017-01-02,5281
2017-01-03,5281
2017-01-04,5046
2017-01-05,5046
2017-01-06,5046
2017-01-07,5046
2017-01-08,4956
2017-01-09,4956
2017-01-10,4956
2017-01-11,5023
2017-01-12,5023
2017-01-13,5023
2017-01-14,5023
2017-01-15,5144
2017-01-16,5144
2017-01-17,5144
2017-01-18,5230
2017-01-19,5230
2017-01-20,5230
2017-01-21,5230
2017-01-22,5492
2017-01-27,5445
2017-01-28,5202
2017-01-29,5202
2017-01-30,5202
2017-01-31,5202
2017-02-01,5176
2017-02-02,5176
2017-02-03,5176
2017-02-04,5176
2017-02-05,5120
2017-02-06,5120
2017-02-07,5120
2017-02-08,5120
2017-02-09,5216
2017-02-10,5216
2017-02-11,5216
2017-02-12,5333
2017-02-13,5333
2017-02-14,5333
2017-02-15,5333
2017-02-16,5359
2017-02-18,5359
2017-02-19,5359
2017-02-20,5450
2017-02-21,5450
2017-02-22,5450
2017-02-23,5450
2017-02-24,5450
2017-02-25,5385
2017-02-26,5385
2017-02-27,5385
2017-02-28,5385
2017-03-01,5115
2017-03-02,5115
2017-03-03,5115
2017-03-04,5115
2017-03-05,4917
2017-03-06,4917
2017-03-07,4917
2017-03-08,4917
2017-03-09,4831
2017-03-10,4831
2017-03-11,4831
2017-03-12,4831
2017-03-13,4591
2017-03-14,4591
2017-03-15,4591
2017-03-16,4591
2017-03-17,4402
2017-03-18,4402
2017-03-19,4402
2017-03-20,4302
2017-03-21,4302
2017-03-22,4302
2017-03-23,4302
2017-03-24,4376
2017-03-25,4376
2017-03-26,4376
2017-03-27,4376
2017-03-28,4496
2017-03-29,4496
2017-03-30,4496
2017-03-31,4576
2017-04-01,4576
2017-04-02,4576
2017-04-03,4576
2017-04-04,4663
2017-04-12,4493
2017-04-13,4493
2017-04-14,4493
2017-04-15,4493
2017-04-16,4274
2017-04-17,4274
2017-04-18,4274
2017-04-19,4274
2017-04-20,4403
2017-04-21,4403
2017-04-22,4403
2017-04-23,4403
2017-04-24,4603
2017-04-25,4603
2017-04-26,4603
2017-04-27,4603
2017-04-28,4463
2017-04-29,4463
2017-04-30,4463
2017-05-01,4463
2017-05-02,4239
2017-05-03,4239
2017-05-04,4239
2017-05-05,4239
2017-05-06,4041
2017-05-07,4041
2017-05-08,4041
2017-05-09,4041
2017-05-10,3838
2017-05-11,3838
2017-05-12,3838
2017-05-13,3838
2017-05-14,3762
2017-05-15,3762
2017-05-16,3762
2017-05-17,3762
2017-05-18,3574
2017-05-19,3574
2017-05-20,3574
2017-05-21,3574
2017-05-22,3574
2017-05-23,3446
2017-05-24,3446
2017-05-25,3446
2017-05-26,3446
2017-05-27,3460
2017-05-28,3460
2017-05-29,3460
2017-05-30,3460
2017-05-31,3460
2017-06-01,3561
2017-06-02,3561
2017-06-03,3561
2017-06-04,3561
2017-06-06,3668
2017-06-07,3668
2017-06-08,3668
2017-06-09,3740
2017-06-10,3740
2017-06-11,3740
2017-06-12,3918
2017-06-13,3918
2017-06-14,3918
2017-06-15,3918
2017-06-16,4003
2017-06-17,4003
2017-06-18,4003
2017-06-19,4003
2017-06-20,4200
2017-06-21,4200
2017-06-22,4200
2017-06-23,4200
2017-06-24,4200
2017-06-25,4059
2017-06-26,4059
2017-06-27,4059
2017-06-28,4059
2017-06-29,3992
2017-06-30,3992
2017-07-01,3992
2017-07-02,3992
2017-07-03,3992
2017-07-04,3846
2017-07-05,3846
2017-07-06,3846
2017-07-07,3846
2017-07-08,3846
2017-07-13,3804
2017-07-14,3765
2017-07-15,3765
2017-07-16,3765
2017-07-17,3765
2017-07-18,3765
2017-07-19,3709
2017-07-20,3709
2017-07-21,3709
2017-07-22,3709
2017-07-23,3603
2017-07-24,3603
2017-07-25,3603
2017-07-26,3603
2017-07-27,3595
2017-07-28,3595
2017-07-29,3595
2017-07-30,3595
2017-07-31,3595
2017-08-01,3525
2017-08-02,3525
2017-08-03,3525
2017-08-04,3525
2017-08-05,3456
2017-08-06,3456
2017-08-09,3411
2017-08-10,3411
2017-08-11,3411
2017-08-12,3411
2017-08-13,3355
2017-08-14,3355
2017-08-15,3355
2017-08-17,3271
2017-08-18,3271
2017-08-19,3271
2017-08-20,3271
2017-08-21,3294
2017-08-22,3294
2017-08-23,3294
2017-08-24,3294
2017-08-25,3220
2017-08-26,3220
2017-08-27,3220
2017-08-28,3220
2017-08-29,3223
2017-08-30,3223
2017-08-31,3223
2017-09-01,3223
2017-09-02,3352
2017-09-03,3352
2017-09-04,3352
2017-09-05,3352
2017-09-06,3456
2017-09-07,3456
2017-09-08,3456
2017-09-09,3456
2017-09-10,3415
2017-09-11,3415
2017-09-12,3415
2017-09-13,3415
2017-09-14,3454
2017-09-15,3454
2017-09-16,3454
2017-09-17,3454
2017-09-19,3461
2017-09-20,3461
2017-09-21,3461
2017-09-22,3461
2017-09-23,3461
2017-09-24,3481
2017-09-25,3481
2017-09-26,3481
2017-09-27,3481
2017-09-28,3481
2017-09-29,3436
2017-09-30,3436
2017-10-01,3436
2017-10-02,3436
2017-10-03,3436
2017-10-04,3436
2017-10-05,3361
2017-10-06,3361
2017-10-07,3361
2017-10-08,3361
2017-10-09,3361
2017-10-10,3467
2017-10-11,3467
2017-10-12,3467
2017-10-13,3467
2017-10-14,3467
2017-10-15,3472
2017-10-16,3472
2017-10-17,3472
2017-10-18,3472
2017-10-19,3472
2017-10-20,3497
2017-10-21,3497
2017-10-22,3497
2017-10-23,3497
2017-10-24,3497
2017-10-25,3629
2017-10-26,3629
2017-10-27,3629
2017-10-28,3629
2017-10-29,3629
2017-10-30,3671
2017-10-31,3671
2017-11-01,3671
2017-11-02,3671
2017-11-03,3671
2017-11-04,3844
2017-11-05,3844
2017-11-06,3844
2017-11-07,3844
2017-11-08,3844
2017-11-09,4028
2017-11-10,4028
2017-11-11,4028
2017-11-12,4028
2017-11-13,4028
2017-11-14,4065
2017-11-15,4065
2017-11-16,4065
2017-11-17,4065
2017-11-18,4065
2017-11-19,3902
2017-11-20,3902
2017-11-21,3902
2017-11-22,3902
2017-11-23,3902
2017-11-24,3885
2017-11-25,3885
2017-11-26,3885
2017-11-27,3885
2017-11-28,3885
2017-11-29,3903
2017-11-30,3903
2017-12-01,3903
2017-12-02,3903
2017-12-03,3903
2017-12-04,3921
2017-12-05,3921
2017-12-06,3921
2017-12-07,3921
2017-12-08,3755
2017-12-09,3755
2017-12-10,3755
2017-12-11,3755
2017-12-12,3647
2017-12-14,3647
2017-12-15,3647
2017-12-16,3647
2017-12-17,3483
2017-12-18,3483
2017-12-19,3483
2017-12-20,3483
2017-12-21,3568
2017-12-22,3568
2017-12-23,3568
2017-12-24,3568
2017-12-25,3568
2017-12-26,3624
2017-12-27,3624
2017-12-28,3624
2017-12-29,3624
2017-12-30,3579
2017-12-31,3579
2018-01-01,3579
2018-01-02,3579
2018-01-03,3415
2018-01-04,3415
2018-01-05,3415
2018-01-06,3415
2018-01-07,3296
2018-01-08,3296
2018-01-09,3296
2018-01-10,3296
2018-01-11,3296
2018-01-12,3237
2018-01-13,3237
2018-01-14,3237
2018-01-15,3237
2018-01-16,3201
2018-01-17,3201
2018-01-18,3201
2018-01-19,3201
2018-01-20,3157
2018-01-21,3157
2018-01-22,3157
2018-01-23,3157
2018-01-25,3091
2018-01-26,3091
2018-01-27,3113
2018-01-28,3113
2018-01-29,3165
2018-01-31,3165
2018-02-01,3133
2018-02-02,3133
2018-02-03,3206
2018-02-04,3206
2018-02-05,3206
2018-02-06,3046
2018-02-07,3046
2018-02-08,3046
2018-02-09,2965
2018-02-10,2965
2018-02-11,2965
2018-02-12,2846
2018-02-13,2846
2018-02-14,2846
2018-02-15,2707
2018-02-16,2707
2018-02-17,2707
2018-02-18,2588
2018-02-19,2588
2018-02-20,2606
2018-02-21,2606
2018-02-22,2606
2018-02-23,2504
2018-02-24,2504
2018-02-25,2504
2018-02-26,2552
2018-02-27,2552
2018-02-28,2552
2018-03-01,2514
2018-03-02,2514
2018-03-03,2495
2018-03-04,2495
2018-03-05,2495
2018-03-06,2479
2018-03-07,2479
2018-03-08,2479
2018-03-09,2465
2018-03-10,2465
2018-03-11,2465
2018-03-12,2385
2018-03-13,2385
2018-03-14,2385
2018-03-15,2286
2018-03-16,2286
2018-03-17,2286
2018-03-18,2211
2018-03-19,2211
2018-03-20,2211
2018-03-21,2207
2018-03-23,2207
2018-03-24,2145
2018-03-25,2145
2018-03-26,2145
2018-03-27,2066
2018-03-28,2066
2018-03-29,2066
2018-03-30,1974
2018-03-31,1974
2018-04-01,1974
2018-04-02,1903
2018-04-03,1903
2018-04-04,1903
2018-04-05,1895
2018-04-06,1895
2018-04-07,1895
2018-04-08,1914
2018-04-09,1914
2018-04-10,1914
2018-04-11,1985
2018-04-12,1985
2018-04-13,1985
2018-04-14,1900
2018-04-15,1900
2018-04-16,1900
2018-04-17,1805
2018-04-18,1805
2018-04-19,1805
2018-04-20,1804
2018-04-21,1804
2018-04-22,1804
2018-04-23,1895
2018-04-24,1895
2018-04-25,1895
2018-04-26,1895
2018-04-27,1974
2018-04-28,1974
2018-04-29,1974
2018-04-30,1964
2018-05-01,1964
2018-05-04,2029
2018-05-05,2029
2018-05-06,2029
2018-05-08,2039
2018-05-09,2039
2018-05-10,2062
2018-05-11,2062
2018-05-12,2062
2018-05-13,2091
2018-05-14,2091
2018-05-15,2091
2018-05-16,2030
2018-05-17,2030
2018-05-18,2030
2018-05-19,2021
2018-05-20,2021
2018-05-21,2021
2018-05-22,2122
2018-05-23,2122
2018-05-24,2122
2018-05-25,2160
2018-05-26,2160
2018-05-27,2160
2018-05-28,2242
2018-05-29,2242
2018-05-30,2242
2018-05-31,2247
2018-06-01,2247
2018-06-02,2247
2018-06-03,2210
2018-06-04,2210
2018-06-05,2210
2018-06-06,2289
2018-06-07,2289
2018-06-08,2289
2018-06-09,2337
2018-06-10,2337
2018-06-11,2337
2018-06-12,2425
2018-06-13,2425
2018-06-14,2512
2018-06-15,2512
2018-06-16,2512
2018-06-17,2580
2018-06-18,2580
2018-06-19,2708
2018-06-20,2708
2018-06-21,2708
2018-06-22,2816
2018-06-23,2816
2018-06-24,2816
2018-06-25,2825
2018-06-26,2825
2018-06-27,2825
2018-06-28,2837
2018-06-29,2837
2018-06-30,2837
2018-07-01,2841
2018-07-02,2841
2018-07-03,2841
2018-07-04,2872
2018-07-05,2872
2018-07-06,2872
2018-07-07,2885
2018-07-08,2885
2018-07-09,2885
2018-07-10,2926
2018-07-11,2926
2018-07-12,2926
2018-07-13,2926
2018-07-14,2968
2018-07-15,2968
2018-07-16,2968
2018-07-17,2961
2018-07-18,2961
2018-07-19,2961
2018-07-20,2935
2018-07-21,2935
2018-07-22,2930
2018-07-23,2930
2018-07-24,2955
2018-07-25,2955
2018-07-26,2955
2018-07-27,2944
2018-07-28,2944
2018-07-29,2944
2018-07-30,2853
2018-07-31,2853
2018-08-01,2833
2018-08-02,2833
2018-08-03,2839
2018-08-04,2839
2018-08-05,2941
2018-08-06,2941
2018-08-07,3003
2018-08-08,3003
2018-08-09,3101
2018-08-10,3101
2018-08-11,3256
2018-08-12,3256
2018-08-14,3419
2018-08-16,3588
2018-08-17,3588
2018-08-18,3765
2018-08-19,3765
2018-08-20,3954
2018-08-21,3954
2018-08-22,3954
2018-08-23,4152
2018-08-24,4152
