date_obj,Old%20school%20bond price
2017-02-24,2423485
2017-02-25,2382042
2017-02-26,2328397
2017-02-27,2357464
2017-02-28,2366132
2017-03-01,2317786
2017-03-02,2339604
2017-03-03,2363345
2017-03-04,2420111
2017-03-05,2383231
2017-03-06,2423550
2017-03-07,2444156
2017-03-08,2460341
2017-03-09,2434657
2017-03-10,2420484
2017-03-11,2373445
2017-03-12,2351487
2017-03-13,2415273
2017-03-14,2481804
2017-03-15,2539437
2017-03-16,2570989
2017-03-17,2553956
2017-03-18,2472587
2017-03-19,2462802
2017-03-20,2524290
2017-03-21,2588922
2017-03-22,2646586
2017-03-23,2662936
2017-03-24,2619168
2017-03-25,2611996
2017-03-26,2599125
2017-03-27,2640630
2017-03-28,2690383
2017-03-29,2711779
2017-03-30,2709055
2017-03-31,2684256
2017-04-01,2671303
2017-04-02,2698882
2017-04-03,2791612
2017-04-04,2889318
2017-04-12,2872377
2017-04-13,2846590
2017-04-14,2822301
2017-04-15,2757171
2017-04-16,2751281
2017-04-17,2817684
2017-04-18,2897445
2017-04-19,2889646
2017-04-20,2880554
2017-04-21,2795162
2017-04-22,2686051
2017-04-23,2677904
2017-04-24,2703823
2017-04-25,2728739
2017-04-26,2736988
2017-04-27,2704503
2017-04-28,2600330
2017-04-29,2539494
2017-04-30,2544861
2017-05-01,2554985
2017-05-02,2553367
2017-05-03,2548503
2017-05-04,2559771
2017-05-05,2569577
2017-05-06,2553511
2017-05-07,2563639
2017-05-08,2630059
2017-05-09,2680637
2017-05-10,2738459
2017-05-11,2774398
2017-05-12,2747134
2017-05-13,2721311
2017-05-14,2759764
2017-05-15,2800817
2017-05-16,2858989
2017-05-17,2879681
2017-05-18,2944794
2017-05-19,2940856
2017-05-20,2938428
2017-05-21,2926486
2017-05-22,3016077
2017-05-23,3067383
2017-05-24,3065280
2017-05-25,2983813
2017-05-26,2881437
2017-05-27,2851074
2017-05-28,2883534
2017-05-29,2897074
2017-05-30,2947194
2017-05-31,2943080
2017-06-01,2853524
2017-06-02,2766332
2017-06-03,2712479
2017-06-06,2758551
2017-06-07,2700689
2017-06-08,2603893
2017-06-09,2492416
2017-06-10,2427505
2017-06-11,2527061
2017-06-12,2650797
2017-06-13,2748935
2017-06-14,2775970
2017-06-15,2795423
2017-06-16,2758380
2017-06-17,2711470
2017-06-18,2702126
2017-06-19,2745303
2017-06-20,2801083
2017-06-21,2806965
2017-06-22,2787048
2017-06-23,2696568
2017-06-24,2626710
2017-06-25,2635299
2017-06-26,2710769
2017-06-27,2772908
2017-06-28,2858738
2017-06-29,2851228
2017-06-30,2766534
2017-07-01,2747841
2017-07-02,2748920
2017-07-03,2673924
2017-07-04,2640716
2017-07-05,2583528
2017-07-06,2530595
2017-07-07,2496076
2017-07-08,2520628
2017-07-13,2846336
2017-07-14,2785785
2017-07-15,2720933
2017-07-16,2704268
2017-07-17,2782271
2017-07-18,2797522
2017-07-19,2795726
2017-07-20,2787346
2017-07-21,2725964
2017-07-22,2652671
2017-07-23,2660411
2017-07-24,2723267
2017-07-25,2692670
2017-07-26,2725299
2017-07-27,2708924
2017-07-28,2648683
2017-07-29,2592265
2017-07-30,2556998
2017-07-31,2603648
2017-08-01,2594145
2017-08-02,2631561
2017-08-03,2668166
2017-08-04,2614224
2017-08-05,2546174
2017-08-06,2578111
2017-08-09,2642534
2017-08-10,2669180
2017-08-11,2631550
2017-08-12,2606409
2017-08-13,2618248
2017-08-14,2675858
2017-08-15,2668672
2017-08-17,2646838
2017-08-18,2589677
2017-08-19,2564518
2017-08-20,2597108
2017-08-21,2606801
2017-08-22,2682842
2017-08-23,2694377
2017-08-24,2700392
2017-08-25,2657772
2017-08-26,2650258
2017-08-27,2663895
2017-08-28,2718225
2017-08-29,2798025
2017-08-30,2841003
2017-08-31,2852039
2017-09-01,2808496
2017-09-02,2746685
2017-09-03,2751026
2017-09-04,2832393
2017-09-05,2945987
2017-09-06,2996677
2017-09-07,3039984
2017-09-08,2948020
2017-09-09,2868589
2017-09-10,2878860
2017-09-11,3006322
2017-09-12,3109132
2017-09-13,3126594
2017-09-14,3089589
2017-09-15,3001530
2017-09-16,2983201
2017-09-17,3072537
2017-09-19,3270376
2017-09-20,3273185
2017-09-21,3224378
2017-09-22,3182712
2017-09-23,3233134
2017-09-24,3201386
2017-09-25,3233316
2017-09-26,3340564
2017-09-27,3309948
2017-09-28,3305102
2017-09-29,3170338
2017-09-30,3035337
2017-10-01,3073349
2017-10-02,3134763
2017-10-03,3217388
2017-10-04,3283460
2017-10-05,3318449
2017-10-06,3244701
2017-10-07,3225474
2017-10-08,3219166
2017-10-09,3260216
2017-10-10,3249455
2017-10-11,3126548
2017-10-12,3098194
2017-10-13,3118173
2017-10-14,3160447
2017-10-15,3212270
2017-10-16,3242342
2017-10-17,3236416
2017-10-18,3239741
2017-10-19,3231563
2017-10-20,3181001
2017-10-21,3173604
2017-10-22,3220780
2017-10-23,3337060
2017-10-24,3324511
2017-10-25,3284191
2017-10-26,3178436
2017-10-27,3124971
2017-10-28,3120445
2017-10-29,3088648
2017-10-30,3100779
2017-10-31,3151549
2017-11-01,3146430
2017-11-02,3116625
2017-11-03,3084667
2017-11-04,3037149
2017-11-05,3090047
2017-11-06,3197672
2017-11-07,3263470
2017-11-08,3265986
2017-11-09,3207303
2017-11-10,3118599
2017-11-11,3090369
2017-11-12,3159737
2017-11-13,3183195
2017-11-14,3193541
2017-11-15,3134325
2017-11-16,3099556
2017-11-17,3021487
2017-11-18,2999916
2017-11-19,3000838
2017-11-20,3058082
2017-11-21,3156347
2017-11-22,3220949
2017-11-23,3219438
2017-11-24,3206170
2017-11-25,3218742
2017-11-26,3265987
2017-11-27,3300269
2017-11-28,3405802
2017-11-29,3424678
2017-11-30,3312483
2017-12-01,3255130
2017-12-02,3253026
2017-12-03,3312086
2017-12-04,3369810
2017-12-05,3414662
2017-12-06,3438712
2017-12-07,3405058
2017-12-08,3281276
2017-12-09,3377394
2017-12-10,3438193
2017-12-11,3557919
2017-12-12,3636567
2017-12-14,3492479
2017-12-15,3340743
2017-12-16,3244228
2017-12-17,3199046
2017-12-18,3321490
2017-12-19,3394087
2017-12-20,3369727
2017-12-21,3325004
2017-12-22,3212681
2017-12-23,3153383
2017-12-24,3106175
2017-12-25,3009772
2017-12-26,3060051
2017-12-27,3113677
2017-12-28,3050631
2017-12-29,2987136
2017-12-30,2958264
2017-12-31,2933483
2018-01-01,2984732
2018-01-02,3026552
2018-01-03,3035042
2018-01-04,2926188
2018-01-05,2818424
2018-01-06,2736209
2018-01-07,2775508
2018-01-08,2810657
2018-01-09,2857021
2018-01-10,2855741
2018-01-11,2836193
2018-01-12,2785096
2018-01-13,2776079
2018-01-14,2802656
2018-01-15,2890892
2018-01-16,2947186
2018-01-17,2940429
2018-01-18,2892456
2018-01-19,2805135
