date_obj,Mithril%20plateskirt price
2018-05-15,1364
2018-05-16,1395
2018-05-17,1395
2018-05-18,1411
2018-05-19,1399
2018-05-20,1399
2018-05-21,1389
2018-05-22,1389
2018-05-23,1361
2018-05-24,1361
2018-05-25,1339
2018-05-26,1330
2018-05-27,1330
2018-05-28,1375
2018-05-29,1418
2018-05-30,1418
2018-05-31,1425
2018-06-01,1418
2018-06-02,1415
2018-06-03,1415
2018-06-04,1396
2018-06-05,1369
2018-06-06,1392
2018-06-07,1392
2018-06-08,1446
2018-06-09,1446
2018-06-10,1414
2018-06-11,1414
2018-06-12,1362
2018-06-13,1357
2018-06-14,1335
2018-06-15,1335
2018-06-16,1355
2018-06-17,1390
2018-06-18,1389
2018-06-19,1340
2018-06-20,1340
2018-06-21,1345
2018-06-22,1381
2018-06-23,1381
2018-06-24,1375
2018-06-25,1373
2018-06-26,1373
2018-06-27,1347
2018-06-28,1366
2018-06-29,1363
2018-06-30,1363
2018-07-01,1401
2018-07-02,1401
2018-07-03,1364
2018-07-04,1364
2018-07-05,1348
2018-07-06,1330
2018-07-07,1330
2018-07-08,1361
2018-07-09,1348
2018-07-10,1373
2018-07-11,1348
2018-07-12,1348
2018-07-13,1347
2018-07-14,1358
2018-07-15,1358
2018-07-16,1362
2018-07-17,1350
2018-07-18,1350
2018-07-19,1339
2018-07-20,1359
2018-07-21,1371
2018-07-22,1337
2018-07-23,1334
2018-07-24,1319
2018-07-25,1341
2018-07-26,1367
2018-07-27,1373
2018-07-28,1374
2018-07-29,1368
2018-07-30,1397
2018-07-31,1391
2018-08-01,1391
2018-08-02,1410
2018-08-03,1369
2018-08-04,1332
2018-08-05,1306
2018-08-06,1363
2018-08-07,1372
2018-08-08,1385
2018-08-09,1385
2018-08-10,1368
2018-08-11,1327
2018-08-12,1329
2018-08-14,1336
2018-08-16,1303
2018-08-17,1284
2018-08-18,1284
2018-08-19,1334
2018-08-20,1397
2018-08-21,1397
2018-08-22,1345
2018-08-23,1326
2018-08-24,1323
2018-08-25,1337
2018-08-26,1337
2018-08-27,1310
2018-08-28,1278
2018-08-29,1289
2018-08-30,1319
2018-08-31,1317
2018-09-01,1317
2018-09-02,1324
2018-09-03,1311
2018-09-04,1332
2018-09-05,1302
2018-09-06,1302
2018-09-07,1321
2018-09-08,1327
2018-09-09,1329
2018-09-10,1326
2018-09-11,1326
2018-09-12,1295
2018-09-13,1291
2018-09-14,1306
2018-09-15,1312
2018-09-16,1312
2018-09-17,1359
2018-09-18,1357
2018-09-19,1334
2018-09-20,1361
2018-09-21,1361
2018-09-22,1344
2018-09-23,1354
2018-09-24,1368
2018-09-25,1368
2018-09-26,1350
2018-09-27,1350
2018-09-28,1358
2018-09-29,1358
2018-09-30,1359
2018-10-02,1380
2018-10-03,1348
2018-10-04,1348
2018-10-05,1306
2018-10-06,1324
2018-10-07,1324
2018-10-08,1381
2018-10-09,1320
2018-10-10,1329
2018-10-11,1388
2018-10-12,1388
2018-10-13,1347
2018-10-14,1315
2018-10-15,1354
2018-10-16,1353
2018-10-17,1328
2018-10-18,1346
2018-10-19,1326
2018-10-20,1326
2018-10-21,1334
2018-10-22,1327
2018-10-23,1327
2018-10-24,1346
2018-10-25,1354
2018-10-26,1324
2018-10-27,1348
