date_obj,Hydra%20leather price
2019-10-13,8718599
2019-10-14,8727370
2019-10-15,8668821
2019-10-16,8689254
2019-10-17,8680372
2019-10-18,8694589
2019-10-19,8693242
2019-10-20,8653327
2019-10-21,8607085
2019-10-22,8584912
2019-10-23,8553317
2019-10-24,8517715
2019-10-25,8575748
2019-10-26,8656561
2019-10-27,8619961
2019-10-28,8558650
2019-10-29,8520991
2019-10-30,8483504
2019-10-31,8322890
2019-11-01,8217496
2019-11-02,8189518
2019-11-03,8140291
2019-11-04,8042598
2019-11-05,8020574
2019-11-06,7976448
2019-11-07,7879269
2019-11-08,7762549
2019-11-09,7644290
2019-11-10,7571955
2019-11-11,7635587
2019-11-12,7518918
2019-11-13,7526516
2019-11-14,7489211
2019-11-15,7470933
2019-11-16,7398146
2019-11-17,7398146
2019-11-18,7212479
2019-11-19,7214443
2019-11-20,7191544
2019-11-21,7124870
2019-11-22,6962769
2019-11-23,6701671
2019-11-24,6663431
2019-11-25,6669685
2019-11-26,6651941
2019-11-27,6574065
2019-11-28,6575562
2019-11-29,6558765
2019-11-30,6482822
2019-12-01,6420236
2019-12-02,6372678
2019-12-03,6317771
2019-12-04,6281493
2019-12-05,6232439
2019-12-06,6184713
2019-12-07,6087846
2019-12-08,5976188
2019-12-09,5903621
2019-12-10,5727698
2019-12-11,5712389
2019-12-12,5741860
2019-12-13,5789632
2019-12-14,5991816
2019-12-15,6246549
2019-12-16,6379052
2019-12-17,6494960
2019-12-18,6642415
2019-12-19,6624583
2019-12-20,6712751
2019-12-21,6716314
2019-12-22,6888021
2019-12-23,7040394
2019-12-24,7262168
2019-12-25,7265346
2019-12-26,7307388
2019-12-27,7273892
2019-12-28,7161456
2019-12-29,7085677
2019-12-30,6857034
2019-12-31,6729388
2020-01-01,6602291
2020-01-02,6572155
2020-01-03,6528373
2020-01-04,6549354
2020-01-05,6489342
2020-01-06,6424737
2020-01-07,6288359
2020-01-08,6165945
2020-01-09,6156663
2020-01-10,6129960
2020-01-11,6332247
2020-01-12,6337193
2020-01-13,6388549
2020-01-14,6379299
2020-01-15,6346528
2020-01-16,6336906
2020-01-17,6377272
2020-01-18,6396515
2020-01-19,6393094
2020-01-20,6357615
2020-01-21,6305585
2020-01-22,6175985
2020-01-23,6122449
2020-01-24,6082229
2020-01-25,6133492
2020-01-26,6128681
2020-01-27,6078638
2020-01-28,6053523
2020-01-29,6157914
2020-01-30,6207272
2020-01-31,6267201
2020-02-01,6246488
2020-02-02,6155804
2020-02-03,6148289
2020-02-04,6169112
2020-02-05,6220453
2020-02-06,6475579
2020-02-07,6799358
2020-02-08,7076398
2020-02-09,7103328
2020-02-10,7291582
2020-02-11,6978833
2020-02-12,6881025
2020-02-13,6881490
2020-02-14,6894077
2020-02-15,7107469
2020-02-16,7236688
2020-02-17,7183313
2020-02-18,7117329
2020-02-19,6953042
2020-02-20,6862594
2020-02-21,6824859
2020-02-22,6711437
2020-02-23,6625141
2020-02-24,6572291
2020-02-25,6558196
2020-02-26,6500541
2020-02-27,6454925
2020-02-28,6436913
2020-02-29,6410543
2020-03-01,6404895
2020-03-02,6450818
2020-03-03,6430279
2020-03-04,6309536
2020-03-05,6166064
2020-03-06,5967893
2020-03-07,5933981
2020-03-08,5901518
2020-03-09,5852364
2020-03-10,5852140
2020-03-11,5841334
2020-03-12,5845584
2020-03-13,5965895
2020-03-14,6264139
2020-03-15,6259152
2020-03-16,6263552
2020-03-17,6244930
2020-03-18,6234026
2020-03-19,6214512
2020-03-20,6203842
2020-03-21,6204846
2020-03-22,6211740
2020-03-23,6202804
2020-03-24,6286729
2020-03-25,6387977
2020-03-26,6360147
2020-03-27,6363007
2020-03-28,6491187
2020-03-29,6681341
2020-03-30,6850736
2020-03-31,7169440
2020-04-01,7082153
2020-04-02,7059858
2020-04-03,6919398
2020-04-04,6760938
2020-04-05,6674465
2020-04-06,6570065
2020-04-07,6500040
2020-04-08,6459588
2020-04-09,6563312
2020-04-10,6757048
2020-04-11,6635951
2020-04-12,6634254
2020-04-13,6799120
2020-04-14,6898533
2020-04-15,6881817
2020-04-16,6853250
2020-04-17,6794038
2020-04-18,6768746
2020-04-19,7018498
2020-04-20,7013168
2020-04-21,6961765
2020-04-22,6883559
2020-04-23,6834446
2020-04-24,6794325
2020-04-25,6758083
2020-04-26,6740060
2020-04-27,6766376
2020-04-28,6842966
2020-04-29,6871576
2020-04-30,6897045
2020-05-01,6870101
2020-05-02,6931449
2020-05-03,7145096
2020-05-04,7216041
2020-05-05,7130985
2020-05-06,7046861
2020-05-07,6808058
2020-05-08,6688433
2020-05-09,6656738
2020-05-10,6637152
2020-05-11,6614104
2020-05-12,6520981
2020-05-13,6488632
