date_obj,Tinderbox price
2017-11-15,74
2017-11-16,70
2017-11-17,66
2017-11-18,62
2017-11-19,62
2017-11-20,63
2017-11-21,61
2017-11-22,59
2017-11-23,57
2017-11-24,54
2017-11-25,52
2017-11-26,51
2017-11-27,50
2017-11-28,49
2017-11-29,47
2017-11-30,46
2017-12-01,45
2017-12-02,43
2017-12-03,43
2017-12-04,44
2017-12-05,44
2017-12-06,44
2017-12-07,44
2017-12-08,46
2017-12-09,46
2017-12-10,47
2017-12-11,49
2017-12-12,49
2017-12-13,50
2017-12-14,51
2017-12-15,52
2017-12-16,53
2017-12-17,54
2017-12-18,55
2017-12-19,56
2017-12-20,57
2017-12-21,58
2017-12-22,55
2017-12-23,57
2017-12-24,59
2017-12-25,61
2017-12-26,62
2017-12-27,62
2017-12-28,64
2017-12-29,62
2017-12-30,62
2017-12-31,58
2018-01-01,57
2018-01-02,58
2018-01-03,59
2018-01-04,61
2018-01-05,65
2018-01-06,68
2018-01-07,69
2018-01-08,69
2018-01-09,68
2018-01-10,66
2018-01-11,67
2018-01-12,65
2018-01-13,63
2018-01-14,59
2018-01-15,57
2018-01-16,57
2018-01-17,56
2018-01-18,55
2018-01-19,55
2018-01-20,55
2018-01-21,53
2018-01-22,50
2018-01-23,47
2018-01-24,44
2018-01-25,41
2018-01-26,39
2018-01-27,38
2018-01-28,36
2018-01-29,35
2018-01-30,35
2018-02-01,34
2018-02-02,34
2018-02-03,34
2018-02-04,34
2018-02-05,34
2018-02-06,34
2018-02-07,34
2018-02-08,35
2018-02-09,35
2018-02-10,35
2018-02-11,35
2018-02-12,35
2018-02-13,34
2018-02-14,34
2018-02-15,34
2018-02-16,34
2018-02-17,33
2018-02-18,33
2018-02-19,32
2018-02-20,33
2018-02-21,33
2018-02-22,33
2018-02-23,33
2018-02-24,32
2018-02-25,33
2018-02-26,33
2018-02-27,34
2018-02-28,35
2018-03-01,36
2018-03-02,37
2018-03-03,38
2018-03-04,39
2018-03-05,40
2018-03-06,41
2018-03-07,43
2018-03-08,46
2018-03-09,47
2018-03-10,50
2018-03-11,51
2018-03-12,51
2018-03-13,51
2018-03-14,51
2018-03-15,50
2018-03-16,52
2018-03-17,52
2018-03-18,52
2018-03-19,51
2018-03-20,51
2018-03-21,51
2018-03-23,51
2018-03-24,50
2018-03-26,50
2018-03-27,50
2018-03-28,51
2018-03-29,51
2018-03-30,50
2018-03-31,52
2018-04-01,52
2018-04-02,52
2018-04-03,52
2018-04-04,51
2018-04-05,52
2018-04-06,52
2018-04-08,52
2018-04-09,52
2018-04-10,52
2018-04-11,52
2018-04-12,52
2018-04-13,52
2018-04-14,52
2018-04-16,50
2018-04-17,52
2018-04-18,52
2018-04-19,52
2018-04-20,52
2018-04-21,54
2018-04-22,56
2018-04-23,58
2018-04-24,61
2018-04-25,64
2018-04-26,68
2018-04-27,71
2018-04-28,74
2018-04-29,75
2018-04-30,77
2018-05-02,80
2018-05-03,76
2018-05-04,72
2018-05-05,71
2018-05-06,74
2018-05-07,77
2018-05-08,79
2018-05-09,81
2018-05-10,84
2018-05-11,87
2018-05-12,87
2018-05-13,90
2018-05-14,92
2018-05-15,91
2018-05-16,92
2018-05-17,91
2018-05-18,87
2018-05-19,82
2018-05-20,78
2018-05-21,76
2018-05-22,80
2018-05-23,82
2018-05-24,86
2018-05-25,90
2018-05-26,93
2018-05-27,96
2018-05-28,99
2018-05-29,97
2018-05-30,95
2018-05-31,93
2018-06-01,92
2018-06-02,96
2018-06-03,97
2018-06-04,100
2018-06-05,104
2018-06-06,104
2018-06-07,108
2018-06-08,103
2018-06-09,105
2018-06-10,105
2018-06-11,100
2018-06-12,96
2018-06-13,92
2018-06-14,91
2018-06-15,93
2018-06-16,94
2018-06-17,92
2018-06-18,87
2018-06-19,82
2018-06-20,78
2018-06-21,78
2018-06-22,78
2018-06-23,78
2018-06-24,78
2018-06-25,79
2018-06-26,82
2018-06-27,86
2018-06-28,89
2018-06-29,90
2018-06-30,90
2018-07-01,94
2018-07-02,93
2018-07-03,90
2018-07-04,93
2018-07-05,97
2018-07-06,99
2018-07-07,101
2018-07-08,101
2018-07-09,103
2018-07-10,103
2018-07-11,101
2018-07-12,100
2018-07-13,97
2018-07-14,92
2018-07-15,87
2018-07-16,83
2018-07-17,82
2018-07-18,81
2018-07-19,84
2018-07-20,83
2018-07-21,78
2018-07-22,74
2018-07-23,70
2018-07-24,66
2018-07-25,62
2018-07-26,58
2018-07-27,55
2018-07-28,52
2018-07-29,52
2018-07-30,53
2018-07-31,54
2018-08-01,55
2018-08-02,57
2018-08-03,58
2018-08-04,60
2018-08-05,62
2018-08-06,59
2018-08-07,56
2018-08-08,53
2018-08-09,50
2018-08-10,47
2018-08-11,44
2018-08-12,41
2018-08-14,40
2018-08-16,44
2018-08-17,46
2018-08-18,48
2018-08-19,49
2018-08-20,51
2018-08-21,52
2018-08-22,53
2018-08-23,55
2018-08-24,55
2018-08-25,56
2018-08-26,58
2018-08-27,60
2018-08-28,62
2018-08-29,65
2018-08-30,68
2018-08-31,70
2018-09-01,71
2018-09-02,73
2018-09-03,75
2018-09-04,75
2018-09-05,75
2018-09-06,77
2018-09-07,74
2018-09-08,73
2018-09-09,75
2018-09-10,77
2018-09-11,80
2018-09-12,81
2018-09-13,83
2018-09-14,81
2018-09-15,85
2018-09-16,89
2018-09-17,92
2018-09-18,97
2018-09-19,98
2018-09-20,99
2018-09-21,98
2018-09-22,101
2018-09-23,105
2018-09-24,107
2018-09-25,110
2018-09-26,113
2018-09-27,117
2018-09-28,119
2018-09-29,120
2018-09-30,114
2018-10-02,107
2018-10-03,109
2018-10-04,114
2018-10-05,118
2018-10-06,119
2018-10-07,122
2018-10-08,125
2018-10-09,124
2018-10-10,122
2018-10-11,121
2018-10-12,125
2018-10-13,124
2018-10-14,118
2018-10-15,117
2018-10-16,116
2018-10-17,115
2018-10-18,117
2018-10-19,118
2018-10-20,119
2018-10-21,119
2018-10-22,119
2018-10-23,117
2018-10-24,113
2018-10-25,113
2018-10-26,110
2018-10-27,107
2018-10-28,109
2018-10-29,109
2018-10-30,104
2018-10-31,98
2018-11-01,93
2018-11-03,90
2018-11-04,90
2018-11-05,91
2018-11-06,90
2018-11-07,87
2018-11-08,85
2018-11-09,82
2018-11-10,80
2018-11-11,76
2018-11-12,73
2018-11-13,73
2018-11-14,70
2018-11-15,68
2018-11-16,69
2018-11-17,69
2018-11-18,70
2018-11-19,71
2018-11-20,72
2018-11-21,73
2018-11-22,74
2018-11-23,73
2018-11-24,74
2018-11-25,76
2018-11-26,73
2018-11-27,71
2018-11-28,70
2018-12-01,73
2018-12-02,75
2018-12-03,77
2018-12-04,75
2018-12-05,75
2018-12-07,79
2018-12-09,81
2018-12-10,81
2018-12-11,79
2018-12-12,79
2018-12-13,79
2018-12-14,75
2018-12-15,73
2018-12-16,71
2018-12-17,68
2018-12-18,65
2018-12-19,63
2018-12-20,62
2018-12-21,63
2018-12-22,65
2018-12-23,65
2018-12-24,65
2018-12-25,65
2018-12-26,66
2018-12-27,66
2018-12-28,67
2018-12-29,68
2018-12-30,66
2018-12-31,64
2019-01-01,63
2019-01-02,64
2019-01-03,64
2019-01-04,63
2019-01-05,61
2019-01-06,60
2019-01-08,64
2019-01-10,66
2019-01-11,65
2019-01-12,66
2019-01-13,67
2019-01-14,68
2019-01-15,69
2019-01-16,71
2019-01-17,72
2019-01-18,74
2019-01-19,75
2019-01-20,75
2019-01-22,71
2019-01-23,73
2019-01-24,74
2019-01-25,75
2019-01-26,73
2019-01-27,72
2019-01-28,72
2019-01-29,73
2019-01-30,69
2019-01-31,65
2019-02-01,62
2019-02-02,62
2019-02-03,64
2019-02-04,68
2019-02-05,70
2019-02-06,72
2019-02-07,74
2019-02-08,76
2019-02-09,77
2019-02-10,79
2019-02-11,81
2019-02-12,81
2019-02-13,83
2019-02-14,86
2019-02-15,87
2019-02-16,88
2019-02-17,90
2019-02-18,91
2019-02-19,88
2019-02-20,85
2019-02-21,84
2019-02-22,83
2019-02-23,82
2019-02-24,81
2019-02-25,80
2019-02-26,79
2019-02-27,76
2019-02-28,76
2019-03-01,78
2019-03-02,81
2019-03-03,78
2019-03-04,78
2019-03-05,80
2019-03-06,81
2019-03-07,86
2019-03-08,89
2019-03-09,88
2019-03-10,87
2019-03-11,90
2019-03-12,91
2019-03-13,90
2019-03-14,91
2019-03-15,87
2019-03-16,84
2019-03-17,86
2019-03-18,84
2019-03-19,83
2019-03-20,82
2019-03-21,78
2019-03-22,77
2019-03-23,73
2019-03-24,71
2019-03-25,72
2019-03-26,68
2019-03-27,64
2019-03-28,61
2019-03-29,57
2019-03-30,54
2019-03-31,52
2019-04-01,50
2019-04-02,47
2019-04-03,44
2019-04-04,41
2019-04-05,38
2019-04-06,36
2019-04-07,35
2019-04-08,35
2019-04-09,36
2019-04-10,36
2019-04-11,38
2019-04-12,39
2019-04-13,41
2019-04-14,44
2019-04-15,47
2019-04-16,50
2019-04-17,52
2019-04-18,53
2019-04-19,54
2019-04-20,56
2019-04-21,59
2019-04-22,62
2019-04-23,65
2019-04-24,68
2019-04-25,71
2019-04-26,74
2019-04-27,76
2019-04-28,78
2019-04-29,80
2019-04-30,81
2019-05-01,84
2019-05-02,83
2019-05-03,79
2019-05-04,75
2019-05-05,71
2019-05-06,69
2019-05-07,69
2019-05-08,69
2019-05-09,70
2019-05-10,74
2019-05-11,76
2019-05-12,77
2019-05-13,79
2019-05-14,79
2019-05-15,80
2019-05-16,81
2019-05-17,83
2019-05-18,82
2019-05-19,82
2019-05-20,82
2019-05-21,84
2019-05-22,88
2019-05-23,90
2019-05-24,91
2019-05-25,91
2019-05-26,86
2019-05-27,81
2019-05-28,76
2019-05-29,72
2019-05-30,68
2019-05-31,64
2019-06-01,60
2019-06-02,57
2019-06-03,54
2019-06-04,51
2019-06-05,48
2019-06-06,45
2019-06-07,42
2019-06-08,39
2019-06-09,37
2019-06-10,35
2019-06-11,33
2019-06-12,31
2019-06-13,29
2019-06-14,27
2019-06-15,25
2019-06-16,23
2019-06-17,22
2019-06-18,20
2019-06-19,19
2019-06-20,18
2019-06-21,17
2019-06-22,16
2019-06-23,15
2019-06-24,15
2019-06-25,15
2019-06-26,14
2019-06-27,13
2019-06-28,13
2019-06-29,12
2019-06-30,11
2019-07-01,11
2019-07-02,10
