date_obj,Ring%20of%20pursuit price
2018-12-26,678
2018-12-27,697
2018-12-28,697
2018-12-29,706
2018-12-30,706
2018-12-31,727
2019-01-01,727
2019-01-02,725
2019-01-03,725
2019-01-04,707
2019-01-05,733
2019-01-06,731
2019-01-08,732
2019-01-10,739
2019-01-11,739
2019-01-12,731
2019-01-13,731
2019-01-14,749
2019-01-15,749
2019-01-16,744
2019-01-17,744
2019-01-18,749
2019-01-19,749
2019-01-20,760
2019-01-21,760
2019-01-22,761
2019-01-23,761
2019-01-24,783
2019-01-25,783
2019-01-26,771
2019-01-28,743
2019-01-29,743
2019-01-30,749
2019-01-31,749
2019-02-01,734
2019-02-02,734
2019-02-03,731
2019-02-04,731
2019-02-05,730
2019-02-06,730
2019-02-07,736
2019-02-08,736
2019-02-09,735
2019-02-10,735
2019-02-11,711
2019-02-12,711
2019-02-13,703
2019-02-14,703
2019-02-15,714
2019-02-16,714
2019-02-17,704
2019-02-18,704
2019-02-19,718
2019-02-20,718
2019-02-21,716
2019-02-22,716
2019-02-23,742
2019-02-24,742
2019-02-25,737
2019-02-26,737
2019-02-27,737
2019-02-28,737
2019-03-01,707
2019-03-02,707
2019-03-03,708
2019-03-04,708
2019-03-05,682
2019-03-06,682
2019-03-07,662
2019-03-08,662
2019-03-09,662
2019-03-10,644
2019-03-11,644
2019-03-12,634
2019-03-13,634
2019-03-14,631
2019-03-15,631
2019-03-16,631
2019-03-17,613
2019-03-18,613
2019-03-19,613
2019-03-20,589
2019-03-21,589
2019-03-22,589
2019-03-23,569
2019-03-24,569
2019-03-25,569
2019-03-26,565
2019-03-27,565
2019-03-28,565
2019-03-29,574
2019-03-30,574
2019-03-31,574
2019-04-01,600
2019-04-02,600
2019-04-03,625
2019-04-04,625
2019-04-05,625
2019-04-06,650
2019-04-07,650
2019-04-08,665
2019-04-09,665
2019-04-10,665
2019-04-11,689
2019-04-12,689
2019-04-13,679
2019-04-14,679
2019-04-15,679
2019-04-16,665
2019-04-17,665
2019-04-18,665
2019-04-19,652
2019-04-20,652
2019-04-21,652
2019-04-22,643
2019-04-23,643
2019-04-24,643
2019-04-25,644
2019-04-26,644
2019-04-27,644
2019-04-28,646
2019-04-29,646
2019-04-30,646
2019-05-01,644
2019-05-02,644
2019-05-03,644
2019-05-04,619
2019-05-05,619
2019-05-06,619
2019-05-07,607
2019-05-08,607
2019-05-09,607
2019-05-10,596
2019-05-11,596
2019-05-12,596
2019-05-13,594
2019-05-14,594
2019-05-15,594
2019-05-16,610
2019-05-17,610
2019-05-18,610
2019-05-19,617
2019-05-20,617
2019-05-21,617
2019-05-22,629
2019-05-23,629
2019-05-24,629
2019-05-25,652
2019-05-26,652
2019-05-27,652
2019-05-28,683
2019-05-29,683
2019-05-30,683
2019-05-31,707
2019-06-01,707
2019-06-02,707
2019-06-03,699
2019-06-04,699
2019-06-05,699
2019-06-06,703
2019-06-07,703
2019-06-08,703
2019-06-09,685
2019-06-10,685
2019-06-11,685
2019-06-12,688
2019-06-13,688
2019-06-14,688
2019-06-15,694
2019-06-16,694
2019-06-17,692
2019-06-18,692
2019-06-19,692
2019-06-20,678
2019-06-21,678
2019-06-22,678
2019-06-23,668
2019-06-24,668
2019-06-25,668
2019-06-26,643
2019-06-27,643
2019-06-28,643
2019-06-29,617
2019-06-30,617
2019-07-01,617
2019-07-02,625
2019-07-03,625
2019-07-04,625
2019-07-05,625
2019-07-06,611
2019-07-07,611
2019-07-08,611
2019-07-09,611
2019-07-10,617
2019-07-11,617
2019-07-12,617
2019-07-13,617
2019-07-14,601
2019-07-15,601
2019-07-16,601
2019-07-17,601
2019-07-18,606
2019-07-19,606
2019-07-20,606
2019-07-21,606
2019-07-22,613
2019-07-23,613
2019-07-24,613
2019-07-25,613
2019-07-26,613
2019-07-27,604
2019-07-28,604
2019-07-29,604
2019-07-30,604
2019-07-31,595
2019-08-01,595
2019-08-02,595
2019-08-03,595
2019-08-04,590
2019-08-05,590
2019-08-06,590
2019-08-07,590
2019-08-08,582
2019-08-09,582
2019-08-10,582
2019-08-11,582
2019-08-12,582
2019-08-13,605
2019-08-14,605
2019-08-15,605
2019-08-16,605
2019-08-17,605
2019-08-18,608
2019-08-19,608
2019-08-20,608
2019-08-21,608
2019-08-22,608
2019-08-23,595
2019-08-24,595
2019-08-24,595
2019-08-25,595
2019-08-25,595
2019-08-26,595
2019-08-26,595
2019-08-27,577
2019-08-27,577
2019-08-28,577
2019-08-29,577
2019-08-30,577
2019-08-31,577
2019-09-01,548
2019-09-02,548
2019-09-03,548
2019-09-04,548
2019-09-05,528
2019-09-06,528
2019-09-07,528
2019-09-08,528
2019-09-09,528
2019-09-10,533
2019-09-11,533
2019-09-12,533
2019-09-13,533
2019-09-14,533
2019-09-15,537
2019-09-16,537
2019-09-17,537
2019-09-18,537
2019-09-19,537
2019-09-20,549
2019-09-21,549
2019-09-22,549
2019-09-23,549
2019-09-24,549
2019-09-25,557
2019-09-26,557
2019-09-27,557
2019-09-28,557
2019-09-29,557
2019-09-30,557
2019-10-01,565
2019-10-02,565
2019-10-03,565
2019-10-04,565
2019-10-05,565
2019-10-06,573
2019-10-07,573
2019-10-08,573
2019-10-09,573
2019-10-10,573
2019-10-11,573
2019-10-12,570
2019-10-13,570
2019-10-14,570
2019-10-15,570
2019-10-16,570
2019-10-17,565
2019-10-18,565
2019-10-19,565
2019-10-20,565
2019-10-21,565
2019-10-22,566
2019-10-23,566
2019-10-24,566
2019-10-25,566
2019-10-26,566
2019-10-27,564
2019-10-28,564
2019-10-29,564
2019-10-30,564
2019-10-31,564
2019-11-01,564
2019-11-02,541
2019-11-03,541
2019-11-04,541
2019-11-05,541
2019-11-06,541
2019-11-07,541
2019-11-08,515
2019-11-09,515
2019-11-10,515
2019-11-11,515
2019-11-12,515
2019-11-13,515
2019-11-14,503
2019-11-15,503
2019-11-16,503
2019-11-17,503
2019-11-18,503
2019-11-19,503
2019-11-20,503
2019-11-21,487
2019-11-22,487
2019-11-23,487
2019-11-24,487
2019-11-25,487
2019-11-26,487
2019-11-27,489
2019-11-28,489
2019-11-29,489
2019-11-30,489
2019-12-01,489
2019-12-02,489
2019-12-03,489
2019-12-04,490
2019-12-05,490
