date_obj,Asgarnian%20ale price
2016-10-19,103
2016-10-20,107
2016-10-21,113
2016-10-22,119
2016-10-23,125
2016-10-24,132
2016-10-25,132
2016-10-26,139
2016-10-27,135
2016-10-28,138
2016-10-29,140
2016-10-30,146
2016-10-31,154
2016-11-01,154
2016-11-02,162
2016-11-03,163
2016-11-04,160
2016-11-05,160
2016-11-06,161
2016-11-07,152
2016-11-08,148
2016-11-09,140
2016-11-10,133
2016-11-11,127
2016-11-12,121
2016-11-13,126
2016-11-14,127
2016-11-15,133
2016-12-07,87
2016-12-08,82
2016-12-09,77
2016-12-10,73
2016-12-11,69
2016-12-12,65
2016-12-13,62
2016-12-14,58
2016-12-15,58
2016-12-16,55
2016-12-17,54
2016-12-18,56
2016-12-19,56
2016-12-20,57
2016-12-21,58
2016-12-22,59
2016-12-23,61
2016-12-24,64
2016-12-25,63
2016-12-26,64
2016-12-27,65
2016-12-28,66
2016-12-29,70
2016-12-30,68
2016-12-31,64
2017-01-01,60
2017-01-02,57
2017-01-03,54
2017-01-04,51
2017-01-05,48
2017-01-06,46
2017-01-07,43
2017-01-08,40
2017-01-09,38
2017-01-10,36
2017-01-11,34
2017-01-12,32
2017-01-13,30
2017-01-14,28
2017-01-15,26
2017-01-16,24
2017-01-17,22
2017-01-18,24
2017-01-19,26
2017-01-20,28
2017-01-21,30
2017-01-22,31
2017-01-23,30
2017-01-27,35
2017-01-28,37
2017-01-29,38
2017-01-30,40
2017-01-31,39
2017-02-01,38
2017-02-02,40
2017-02-03,42
2017-02-04,45
2017-02-05,47
2017-02-06,50
2017-02-07,52
2017-02-08,54
2017-02-09,57
2017-02-10,60
2017-02-11,63
2017-02-12,67
2017-02-13,69
2017-02-14,72
2017-02-15,72
2017-02-16,71
2017-02-18,74
2017-02-19,76
2017-02-20,79
2017-02-21,79
2017-02-22,80
2017-02-23,78
2017-02-24,80
2017-02-25,80
2017-02-26,80
2017-02-27,79
2017-02-28,81
2017-03-01,85
2017-03-02,89
2017-03-03,94
2017-03-04,98
2017-03-05,103
2017-03-06,106
2017-03-07,109
2017-03-08,110
2017-03-09,111
2017-03-10,108
2017-03-11,103
2017-03-12,97
2017-03-13,96
2017-03-14,101
2017-03-15,105
2017-03-16,111
2017-03-17,117
2017-03-18,123
2017-03-19,128
2017-03-20,132
2017-03-21,136
2017-03-22,140
2017-03-23,143
2017-03-24,142
2017-03-25,149
2017-03-26,155
2017-03-27,154
2017-03-28,160
2017-03-29,158
2017-03-30,164
2017-03-31,159
2017-04-01,151
2017-04-02,143
2017-04-03,135
2017-04-04,128
