date_obj,Crystal%20armour%20seed price
2020-05-04,3957156
2020-05-05,3957156
2020-05-06,3759446
2020-05-07,3759446
2020-05-08,3759446
2020-05-09,3576323
2020-05-10,3576323
2020-05-11,3576323
2020-05-12,3406722
2020-05-13,3406722
