date_obj,Lesser%20demon%20mask price
2017-06-27,40508
2017-06-28,40508
2017-06-29,38958
2017-06-30,38958
2017-07-01,38958
2017-07-02,38958
2017-07-03,38958
2017-07-04,38958
2017-07-05,38958
2017-07-06,38958
2017-07-07,38958
2017-07-08,37118
2017-07-13,37118
2017-07-14,37118
2017-07-15,37118
2017-07-16,38052
2017-07-17,38052
2017-07-18,38052
2017-07-19,38052
2017-07-20,38052
2017-07-21,38052
2017-07-22,38052
2017-07-23,38052
2017-07-24,38052
2017-07-25,37504
2017-07-26,37504
2017-07-27,37504
2017-07-28,37504
2017-07-29,37504
2017-07-30,37504
2017-07-31,37504
2017-08-01,37504
2017-08-02,36032
2017-08-03,36032
2017-08-04,36032
2017-08-05,36032
2017-08-06,36032
2017-08-09,36032
2017-08-10,36032
2017-08-11,35936
2017-08-12,35936
2017-08-13,35936
2017-08-14,35936
2017-08-15,35936
2017-08-17,35936
2017-08-18,35936
2017-08-19,35936
2017-08-20,35028
2017-08-21,35028
2017-08-22,35028
2017-08-23,35028
2017-08-24,35028
2017-08-25,35028
2017-08-26,35028
2017-08-27,34643
2017-08-28,34643
2017-08-29,34643
2017-08-30,34643
2017-08-31,34643
2017-09-01,34643
2017-09-02,34643
2017-09-03,34643
2017-09-04,34026
2017-09-05,34026
2017-09-06,34026
2017-09-07,34026
2017-09-08,34026
2017-09-09,34026
2017-09-10,34026
2017-09-11,34026
2017-09-12,33412
2017-09-13,33412
2017-09-14,33412
2017-09-15,33412
2017-09-16,33412
2017-09-17,33412
2017-09-19,33412
2017-09-20,33623
2017-09-21,33623
2017-09-22,33623
2017-09-23,33623
2017-09-24,33623
2017-09-25,33623
2017-09-26,33623
2017-09-27,33623
2017-09-28,33623
2017-09-29,33225
2017-09-30,33225
2017-10-01,33225
2017-10-02,33225
2017-10-03,33225
2017-10-04,33225
2017-10-05,33225
2017-10-06,33225
2017-10-07,33225
2017-10-08,32561
2017-10-09,32561
2017-10-10,32561
2017-10-11,32561
2017-10-12,32561
2017-10-13,32561
2017-10-14,32561
2017-10-15,31848
2017-10-16,31848
2017-10-17,31848
2017-10-18,31848
2017-10-19,31848
2017-10-20,31848
2017-10-21,31848
2017-10-22,31848
2017-10-23,31848
2017-10-24,31129
2017-10-25,31129
2017-10-26,31129
2017-10-27,31129
2017-10-28,31129
2017-10-29,31129
2017-10-30,31129
2017-10-31,31129
2017-11-01,30497
2017-11-02,30497
2017-11-03,30497
2017-11-04,30497
2017-11-05,30497
2017-11-06,30497
2017-11-07,30497
2017-11-08,30497
2017-11-09,30230
2017-11-10,30230
2017-11-11,30230
2017-11-12,30230
2017-11-13,30230
2017-11-14,30230
2017-11-15,30230
2017-11-16,30230
2017-11-17,30230
2017-11-18,30230
2017-11-19,30394
2017-11-20,30394
2017-11-21,30394
2017-11-22,30394
2017-11-23,30394
2017-11-24,30394
2017-11-25,30394
2017-11-26,30394
2017-11-27,30394
2017-11-28,30394
2017-11-29,29294
2017-11-30,29294
2017-12-01,29294
2017-12-02,29294
2017-12-03,29294
2017-12-04,29294
2017-12-05,29294
2017-12-06,29294
2017-12-07,28866
2017-12-08,28866
2017-12-09,28866
2017-12-10,28866
2017-12-11,28866
2017-12-12,28866
2017-12-14,28866
2017-12-15,28866
2017-12-16,28866
2017-12-17,28083
2017-12-18,28083
2017-12-19,28083
2017-12-20,28083
2017-12-21,28083
2017-12-22,28083
2017-12-23,28083
2017-12-24,28083
2017-12-25,28083
2017-12-26,26983
2017-12-27,26983
2017-12-28,26983
2017-12-29,26983
2017-12-30,26983
2017-12-31,26983
2018-01-01,26983
2018-01-02,26983
2018-01-03,26147
2018-01-04,26147
2018-01-05,26147
