date_obj,Gilded%20med%20helm price
2017-11-10,214801
2017-11-11,214801
2017-11-12,215800
2017-11-13,215800
2017-11-14,215800
2017-11-15,217053
2017-11-16,217053
2017-11-17,218143
2017-11-18,218143
2017-11-19,218368
2017-11-20,218368
2017-11-21,218181
2017-11-22,218181
2017-11-23,218181
2017-11-24,218181
2017-11-25,218479
2017-11-26,218479
2017-11-27,218479
2017-11-28,218669
2017-11-29,218669
2017-11-30,218746
2017-12-01,220467
2017-12-02,220467
2017-12-03,218969
2017-12-04,218969
2017-12-05,219863
2017-12-06,219863
2017-12-07,219863
2017-12-08,220291
2017-12-09,220291
2017-12-10,220084
2017-12-11,220084
2017-12-12,220084
2017-12-13,219666
2017-12-14,219666
2017-12-15,220226
2017-12-16,220226
2017-12-17,220133
2017-12-18,220133
2017-12-19,219745
2017-12-20,219745
2017-12-21,221855
2017-12-22,221855
2017-12-23,221761
2017-12-24,221761
2017-12-25,229704
2017-12-26,229704
2017-12-27,234928
2017-12-28,234928
2017-12-29,234928
2017-12-30,240129
2017-12-31,240129
2018-01-01,236650
2018-01-02,236650
2018-01-03,232254
2018-01-04,232254
2018-01-05,224348
2018-01-06,219698
2018-01-07,209950
2018-01-08,209950
2018-01-09,206288
2018-01-10,206288
2018-01-11,200952
2018-01-12,200952
2018-01-13,195928
2018-01-14,195928
2018-01-15,197651
2018-01-16,197651
2018-01-17,196085
2018-01-18,196085
2018-01-19,198482
2018-01-20,198482
2018-01-21,207434
2018-01-22,215029
2018-01-23,215029
2018-01-24,220580
2018-01-25,220580
2018-01-26,224478
2018-01-27,224478
2018-01-28,232213
2018-01-29,238517
2018-01-30,238517
2018-01-31,234826
2018-02-01,234826
2018-02-02,233481
2018-02-03,234355
2018-02-04,234355
2018-02-05,234355
2018-02-06,228606
2018-02-07,228606
2018-02-08,228606
2018-02-09,223296
2018-02-10,223296
2018-02-11,218796
2018-02-12,218796
2018-02-13,218796
2018-02-14,218122
2018-02-15,218122
2018-02-16,218122
2018-02-17,222002
2018-02-18,222002
2018-02-19,217166
2018-02-20,217166
2018-02-21,216762
2018-02-22,216762
2018-02-23,219680
2018-02-24,219680
2018-02-25,220389
2018-02-26,220389
2018-02-27,226296
2018-02-28,226296
2018-03-01,232049
2018-03-02,232049
2018-03-03,236195
2018-03-04,236195
2018-03-05,238505
2018-03-06,238505
2018-03-07,238153
2018-03-08,238153
2018-03-09,237431
2018-03-10,237431
2018-03-11,234488
2018-03-12,234488
2018-03-13,234488
2018-03-14,236090
2018-03-15,236090
2018-03-16,235439
2018-03-17,235913
2018-03-18,235913
2018-03-20,242793
2018-03-21,242793
2018-03-23,238863
2018-03-24,242318
2018-03-25,242318
2018-03-26,242318
2018-03-27,251024
2018-03-28,251024
2018-03-29,256481
2018-03-30,256481
2018-03-31,258247
2018-04-01,258079
2018-04-02,259213
2018-04-03,259213
2018-04-04,261083
2018-04-05,261083
2018-04-06,264182
2018-04-07,264182
2018-04-08,267917
2018-04-09,276577
2018-04-10,280173
2018-04-11,288606
2018-04-12,298895
2018-04-13,298895
2018-04-14,298895
2018-04-15,313683
2018-04-16,313683
2018-04-17,319956
2018-04-18,319956
2018-04-19,319956
2018-04-20,328428
2018-04-21,328428
2018-04-22,338388
2018-04-23,338388
2018-04-24,338388
2018-04-25,350791
2018-04-26,350791
2018-04-27,350791
2018-04-28,351761
2018-04-29,351761
2018-04-30,349889
2018-05-01,349889
2018-05-02,340766
2018-05-03,340766
2018-05-04,336977
2018-05-05,333964
2018-05-06,333964
2018-05-07,334000
2018-05-08,334000
2018-05-09,333463
2018-05-10,333463
2018-05-11,337623
2018-05-12,341056
2018-05-13,341056
2018-05-14,345910
2018-05-15,345910
2018-05-16,347190
2018-05-17,347190
2018-05-18,348207
2018-05-19,348207
2018-05-20,359873
2018-05-21,364658
2018-05-22,364658
2018-05-23,351232
2018-05-24,351232
2018-05-25,349937
2018-05-26,349937
2018-05-27,341045
2018-05-28,344554
2018-05-29,344554
2018-05-30,353343
2018-05-31,353343
2018-06-01,359314
2018-06-02,362884
2018-06-03,362884
2018-06-04,371750
2018-06-05,374450
2018-06-06,374450
2018-06-07,374450
2018-06-08,376869
2018-06-09,376869
2018-06-10,376055
2018-06-11,376055
2018-06-12,363956
2018-06-13,363956
2018-06-14,357162
2018-06-15,357162
2018-06-16,358438
2018-06-17,358438
2018-06-18,353510
2018-06-19,353510
2018-06-20,353510
2018-06-21,362707
2018-06-22,362707
2018-06-23,369692
2018-06-24,369692
2018-06-25,375121
2018-06-26,375121
2018-06-27,375121
2018-06-28,373802
2018-06-29,373802
2018-06-30,374606
2018-07-01,363990
2018-07-02,363990
2018-07-03,360447
2018-07-04,360447
2018-07-05,364210
2018-07-06,364210
2018-07-07,362838
2018-07-08,362838
2018-07-09,354657
2018-07-10,354657
2018-07-11,354657
2018-07-12,354657
2018-07-13,354524
2018-07-14,354524
2018-07-15,355130
2018-07-16,355130
2018-07-17,359654
2018-07-18,359654
2018-07-19,359654
2018-07-20,361530
2018-07-21,359771
2018-07-22,359771
2018-07-23,365849
2018-07-24,365849
2018-07-25,365849
2018-07-26,370869
2018-07-27,370869
2018-07-28,382844
2018-07-29,382844
2018-07-30,391314
2018-07-31,391314
2018-08-01,392716
2018-08-02,381297
2018-08-03,381297
2018-08-04,382375
2018-08-05,382375
2018-08-06,382375
2018-08-07,380648
2018-08-08,380648
2018-08-09,383536
2018-08-10,383536
2018-08-11,383536
2018-08-12,388482
2018-08-14,399340
2018-08-16,405136
2018-08-17,405136
2018-08-18,407693
2018-08-19,407693
2018-08-20,407030
2018-08-21,407030
2018-08-22,399847
2018-08-23,399847
2018-08-24,395710
2018-08-25,395710
2018-08-26,396038
2018-08-27,396038
2018-08-28,388908
2018-08-29,388908
2018-08-30,389508
2018-08-31,389508
2018-09-01,390749
2018-09-02,390749
2018-09-03,387329
2018-09-04,387329
2018-09-05,381541
2018-09-06,381541
2018-09-07,381541
2018-09-08,382332
2018-09-09,382332
2018-09-10,382332
2018-09-11,374798
2018-09-12,374798
2018-09-13,366444
2018-09-14,366444
2018-09-15,360509
2018-09-16,360509
2018-09-17,360219
2018-09-18,360219
2018-09-19,362461
2018-09-20,362461
2018-09-21,354851
2018-09-22,344543
2018-09-23,344543
2018-09-24,347002
2018-09-25,347002
2018-09-26,357831
2018-09-27,357831
2018-09-28,360576
2018-09-29,360576
2018-09-30,362581
2018-10-01,362581
2018-10-02,360175
2018-10-03,360175
2018-10-04,363371
2018-10-05,363371
2018-10-06,366390
2018-10-07,366390
2018-10-08,365217
2018-10-09,365217
2018-10-10,355144
2018-10-11,355144
2018-10-12,362879
2018-10-13,363070
2018-10-14,363070
2018-10-15,352630
2018-10-16,352630
2018-10-17,352932
2018-10-18,351779
2018-10-19,351779
2018-10-20,353300
2018-10-21,353300
2018-10-22,357817
2018-10-23,357817
2018-10-24,362989
2018-10-25,362989
2018-10-26,357526
2018-10-27,355957
2018-10-28,358048
2018-10-29,358048
2018-10-30,364153
2018-10-31,364063
2018-11-01,354201
2018-11-03,359975
2018-11-04,375839
2018-11-05,378125
2018-11-06,378125
2018-11-07,385818
2018-11-08,385818
2018-11-09,401946
2018-11-10,404767
2018-11-11,404767
2018-11-12,415985
2018-11-13,424741
2018-11-14,437871
2018-11-15,451647
2018-11-16,471518
2018-11-17,471518
2018-11-18,494897
2018-11-19,515558
2018-11-20,537960
2018-11-21,537960
2018-11-22,564858
2018-11-23,564858
2018-11-24,583596
2018-11-25,581249
2018-11-26,581249
2018-11-27,576506
2018-11-28,565308
2018-11-29,565308
2018-12-01,552554
2018-12-02,540519
2018-12-03,540519
2018-12-04,517304
2018-12-05,494861
2018-12-07,473309
2018-12-09,465499
2018-12-10,444849
2018-12-11,444849
2018-12-12,425243
2018-12-13,410359
2018-12-14,392547
2018-12-15,377629
2018-12-16,360769
2018-12-17,360769
2018-12-18,343780
2018-12-19,332078
2018-12-20,332078
2018-12-21,331397
2018-12-22,331397
2018-12-23,346219
2018-12-24,359349
2018-12-25,359349
2018-12-26,371883
2018-12-27,386024
2018-12-28,386024
2018-12-29,387248
2018-12-30,387248
2018-12-31,389406
2019-01-01,389406
2019-01-02,383112
2019-01-03,383112
2019-01-04,383112
2019-01-05,379300
2019-01-06,375624
2019-01-08,372172
2019-01-10,366600
2019-01-11,366600
2019-01-12,357338
2019-01-13,357338
2019-01-14,347398
2019-01-15,344542
2019-01-16,344542
2019-01-17,346279
2019-01-18,340915
2019-01-19,340915
2019-01-20,350565
2019-01-21,350565
2019-01-22,337992
2019-01-23,337992
2019-01-24,332590
2019-01-25,337214
2019-01-26,341111
2019-01-27,341111
2019-01-28,341659
2019-01-29,332741
2019-01-30,326967
2019-01-31,326967
2019-02-01,337528
2019-02-02,349108
2019-02-03,340270
2019-02-04,340270
2019-02-05,332288
2019-02-06,332288
2019-02-07,332333
2019-02-08,332333
2019-02-09,334557
2019-02-10,334557
