date_obj,Red%20d'hide%20chaps price
2016-08-31,4944
2016-09-01,4894
2016-09-02,4894
2016-09-03,4845
2016-09-04,4824
2016-09-05,4733
2016-09-06,4829
2016-09-07,4823
2016-09-08,4761
2016-09-09,4787
2016-09-10,4697
2016-09-11,4641
2016-09-12,4658
2016-09-13,4645
2016-09-14,4618
2016-09-15,4712
2016-09-16,4655
2016-09-17,4665
2016-09-18,4695
2016-09-19,4627
2016-09-20,4487
2016-09-21,4570
2016-09-22,4617
2016-09-23,4685
2016-09-24,4685
2016-09-25,4673
2016-09-26,4728
2016-09-27,4821
2016-09-28,4792
2016-09-29,4886
2016-09-30,4773
2016-10-01,4803
2016-10-02,4779
2016-10-03,4634
2016-10-04,4563
2016-10-05,4504
2016-10-06,4450
2016-10-07,4227
2016-10-08,4064
2016-10-09,4012
2016-10-10,4068
2016-10-11,4026
2016-10-12,4040
2016-10-13,3941
2016-10-14,3866
2016-10-15,3819
2016-10-16,3845
2016-10-17,3873
2016-10-18,4044
2016-10-19,3969
2016-10-20,3914
2016-10-21,3854
2016-10-22,3848
2016-10-23,3926
2016-10-24,3850
2016-10-25,3769
2016-10-26,3828
2016-10-27,3935
2016-10-28,4079
2016-10-29,4209
2016-10-30,4201
2016-10-31,4206
2016-11-01,4309
2016-11-02,4284
2016-11-03,4449
2016-11-04,4544
2016-11-05,4601
2016-11-06,4506
2016-11-07,4362
2016-11-08,4391
2016-11-09,4439
2016-11-10,4446
2016-11-11,4528
2016-11-12,4477
2016-11-13,4407
2016-11-14,4339
2016-12-08,5132
2016-12-09,5014
2016-12-10,4978
2016-12-11,4928
2016-12-12,4925
2016-12-13,4949
2016-12-14,5182
2016-12-15,5385
2016-12-16,5655
2016-12-17,5728
2016-12-18,5698
2016-12-19,5727
2016-12-20,5440
2016-12-21,5287
2016-12-22,5225
2016-12-23,5101
2016-12-24,4850
2016-12-25,4672
2016-12-26,4558
2016-12-27,4556
2016-12-28,4637
2016-12-29,4728
2016-12-30,4809
2016-12-31,4779
2017-01-01,4799
2017-01-02,4563
2017-01-03,4428
2017-01-04,4270
2017-01-05,4162
2017-01-06,4074
2017-01-07,3937
2017-01-08,3748
2017-01-09,3771
2017-01-10,3860
2017-01-11,3954
2017-01-12,3870
2017-01-13,3927
2017-01-14,3927
2017-01-15,3790
2017-01-16,3841
2017-01-17,3837
2017-01-18,3906
2017-01-19,3892
2017-01-20,3794
2017-01-21,3742
2017-01-22,3794
2017-01-27,3933
2017-01-28,4008
2017-01-29,4025
2017-01-30,4062
2017-01-31,4185
2017-02-01,4231
2017-02-02,4150
2017-02-03,4045
2017-02-04,4183
2017-02-05,4349
2017-02-06,4199
2017-02-07,4198
2017-02-08,4253
2017-02-09,4343
2017-02-10,4275
2017-02-11,4196
2017-02-12,4279
2017-02-13,4308
2017-02-14,4309
2017-02-15,4166
2017-02-16,4169
2017-02-18,4067
2017-02-19,4167
2017-02-20,4232
