date_obj,Fremennik%20red%20shirt price
2016-04-26,2588
2016-04-27,2588
2016-04-28,2588
2016-04-29,2588
2016-04-30,2588
2016-05-01,2588
2016-05-02,2459
2016-05-03,2459
2016-05-04,2459
2016-05-05,2459
2016-05-06,2459
2016-05-07,2459
2016-05-08,2459
2016-05-09,2459
2016-05-10,2337
2016-05-11,2337
2016-05-12,2337
2016-05-13,2337
2016-05-14,2337
2016-05-15,2337
2016-05-16,2337
2016-05-17,2223
2016-05-18,2223
2016-05-19,2223
2016-05-22,2223
2016-05-23,2223
2016-05-24,2125
2016-05-25,2125
2016-05-26,2125
2016-05-27,2125
2016-05-28,2125
2016-05-29,2125
2016-05-30,2125
2016-05-31,2125
2016-06-01,2125
2016-06-02,2101
2016-06-03,2101
2016-06-04,2101
2016-06-05,2101
2016-06-06,2101
2016-06-07,2101
2016-06-08,2101
2016-06-09,2101
2016-06-10,2056
2016-06-11,2056
2016-06-12,2056
2016-06-13,2056
2016-06-14,2056
2016-06-15,2056
2016-06-16,2056
2016-06-17,2056
2016-06-18,2003
2016-06-19,2003
2016-06-20,2003
2016-06-21,2003
2016-06-22,2003
2016-06-23,2003
2016-06-24,2003
2016-06-25,1903
2016-06-26,1903
2016-06-27,1903
2016-06-28,1903
2016-06-29,1903
2016-06-30,1903
2016-07-01,1903
2016-07-02,1810
2016-07-03,1810
2016-07-04,1810
2016-07-05,1810
2016-07-06,1810
2016-07-07,1810
2016-07-08,1810
2016-07-09,1721
2016-07-10,1721
2016-07-11,1721
2016-07-12,1721
2016-07-13,1721
2016-07-14,1721
2016-07-15,1721
2016-07-16,1721
2016-07-17,1635
2016-07-18,1635
2016-07-23,1635
2016-07-24,1635
2016-07-25,1626
2016-07-26,1626
2016-07-27,1626
2016-07-28,1626
2016-07-29,1626
2016-07-30,1626
2016-07-31,1626
2016-08-01,1626
2016-08-02,1626
2016-08-03,1632
2016-08-04,1632
2016-08-05,1632
2016-08-06,1632
2016-08-07,1632
2016-08-08,1632
2016-08-09,1632
2016-08-10,1632
2016-08-11,1632
2016-08-12,1632
2016-08-13,1632
2016-08-14,1606
2016-08-15,1606
2016-08-16,1606
2016-08-17,1606
2016-08-18,1606
2016-08-19,1606
2016-08-20,1606
2016-08-21,1606
2016-08-22,1606
2016-08-23,1606
2016-08-24,1606
2016-08-25,1620
2016-08-26,1620
2016-08-28,1620
2016-08-31,1620
2016-09-01,1620
2016-09-02,1620
2016-09-03,1620
2016-09-04,1620
2016-09-05,1620
2016-09-06,1620
2016-09-07,1614
2016-09-08,1614
2016-09-09,1614
2016-09-10,1614
2016-09-11,1614
2016-09-12,1614
2016-09-13,1614
2016-09-14,1614
2016-09-15,1614
2016-09-16,1614
2016-09-17,1614
2016-09-18,1647
2016-09-19,1647
2016-09-20,1647
2016-09-21,1647
2016-09-22,1647
2016-09-23,1647
2016-09-24,1647
2016-09-25,1647
2016-09-26,1647
2016-09-27,1647
2016-09-28,1647
2016-09-29,1647
2016-09-30,1647
2016-10-01,1599
2016-10-02,1599
2016-10-03,1599
2016-10-04,1599
2016-10-05,1599
2016-10-06,1599
2016-10-07,1599
2016-10-08,1599
2016-10-09,1599
2016-10-10,1599
2016-10-11,1599
2016-10-12,1599
2016-10-13,1599
2016-10-14,1614
2016-10-15,1614
2016-10-16,1614
2016-10-17,1614
2016-10-18,1614
2016-10-19,1614
2016-10-20,1614
2016-10-21,1614
2016-10-22,1614
2016-10-23,1614
2016-10-24,1614
2016-10-25,1614
2016-10-26,1649
2016-10-27,1649
2016-10-28,1649
2016-10-29,1649
2016-10-30,1649
2016-10-31,1649
2016-11-01,1649
2016-11-02,1649
2016-11-03,1649
2016-11-04,1649
2016-11-05,1649
2016-11-06,1649
2016-11-07,1649
2016-11-08,1649
2016-11-09,1645
2016-11-10,1645
2016-11-11,1645
2016-11-12,1645
2016-11-13,1645
2016-11-14,1645
2016-11-15,1645
2016-12-07,1716
2016-12-08,1716
2016-12-09,1716
2016-12-10,1716
2016-12-11,1716
2016-12-12,1716
2016-12-13,1716
2016-12-14,1750
2016-12-15,1750
2016-12-16,1750
2016-12-17,1750
2016-12-18,1750
2016-12-19,1750
2016-12-20,1750
