date_obj,Jar%20of%20chemicals price
2019-09-23,95658
2019-09-24,95658
2019-09-25,95658
2019-09-26,95658
2019-09-27,95658
2019-09-28,99531
2019-09-29,99531
2019-09-30,99531
2019-10-01,99531
2019-10-02,99531
2019-10-03,99531
2019-10-04,99531
2019-10-05,98381
2019-10-06,98381
2019-10-07,98381
2019-10-08,98381
2019-10-09,98381
2019-10-10,95509
2019-10-11,95509
2019-10-12,95509
2019-10-13,95509
2019-10-14,93297
2019-10-15,93297
2019-10-16,93297
2019-10-17,93297
2019-10-18,93297
2019-10-19,90970
2019-10-20,90970
2019-10-21,90970
2019-10-22,90970
2019-10-23,90970
2019-10-24,91968
2019-10-25,91968
2019-10-26,91968
2019-10-27,91968
2019-10-28,88542
2019-10-29,88542
2019-10-30,88542
2019-10-31,88542
2019-11-01,88542
2019-11-02,88542
2019-11-03,86052
2019-11-04,86052
2019-11-05,86052
2019-11-06,86052
2019-11-07,86052
2019-11-08,86052
2019-11-09,84876
2019-11-10,84876
2019-11-11,84876
2019-11-12,84876
2019-11-13,84876
2019-11-14,84876
2019-11-15,81782
2019-11-16,81782
2019-11-17,81782
2019-11-18,81782
2019-11-19,81782
2019-11-20,81230
2019-11-21,81230
2019-11-22,81230
2019-11-23,81230
2019-11-24,81230
2019-11-25,79207
2019-11-26,79207
2019-11-27,79207
2019-11-28,79207
2019-11-29,79207
2019-11-30,76453
2019-12-01,76453
2019-12-02,76453
2019-12-03,76453
2019-12-04,76453
2019-12-05,76453
2019-12-06,74553
2019-12-07,74553
2019-12-08,74553
2019-12-09,74553
2019-12-10,74553
2019-12-11,71641
2019-12-12,71641
2019-12-13,71641
2019-12-14,71641
2019-12-15,71641
2019-12-16,70185
2019-12-17,70185
2019-12-18,70185
2019-12-19,70185
2019-12-20,70185
2019-12-21,70185
2019-12-22,70961
2019-12-23,70961
2019-12-24,70961
2019-12-25,70961
2019-12-26,70961
2019-12-27,73906
2019-12-28,73906
2019-12-29,73906
2019-12-30,73906
2019-12-31,75585
2020-01-01,75585
2020-01-02,75585
2020-01-03,75585
2020-01-04,75585
2020-01-05,76473
2020-01-06,76473
2020-01-07,76473
2020-01-08,76473
2020-01-09,76473
2020-01-10,75066
2020-01-11,75066
2020-01-12,75066
2020-01-13,75066
2020-01-14,75066
2020-01-15,72409
2020-01-16,72409
2020-01-17,72409
2020-01-18,72409
2020-01-19,71048
2020-01-20,71048
2020-01-21,71048
2020-01-22,71048
2020-01-23,69800
2020-01-24,69800
2020-01-25,69800
2020-01-26,69800
2020-01-27,66703
2020-01-28,66703
2020-01-29,66703
2020-01-30,66703
2020-01-31,65514
2020-02-01,65514
2020-02-02,65514
2020-02-03,65514
2020-02-04,66198
2020-02-05,66198
2020-02-06,66198
2020-02-07,65166
2020-02-08,65166
2020-02-09,65166
2020-02-10,64422
2020-02-11,64422
2020-02-12,64422
2020-02-13,64422
2020-02-14,63873
2020-02-15,63873
2020-02-16,63873
2020-02-17,63873
2020-02-18,63648
2020-02-19,63648
2020-02-20,63648
2020-02-21,63648
2020-02-22,63448
2020-02-23,63448
2020-02-24,63448
2020-02-25,63448
2020-02-26,63589
2020-02-27,63589
2020-02-28,63589
2020-02-29,63589
2020-03-01,61460
2020-03-02,61460
2020-03-03,61460
2020-03-04,61460
2020-03-05,58838
2020-03-06,58838
2020-03-07,58838
2020-03-08,58838
2020-03-09,56138
2020-03-10,56138
2020-03-11,56138
2020-03-12,53596
2020-03-13,53596
2020-03-14,53596
2020-03-15,51068
2020-03-16,51068
2020-03-17,51068
2020-03-18,51068
2020-03-19,49740
2020-03-20,49740
2020-03-21,49740
2020-03-22,48345
2020-03-23,48345
2020-03-24,48345
2020-03-25,46253
2020-03-26,46253
2020-03-27,45650
2020-03-28,45650
2020-03-29,47348
2020-03-30,47348
2020-03-31,47348
2020-04-01,48568
2020-04-02,48568
2020-04-03,48568
2020-04-04,48790
2020-04-05,48790
2020-04-06,48790
2020-04-07,49956
2020-04-08,49956
2020-04-09,50894
2020-04-10,50894
2020-04-11,50894
2020-04-12,50031
2020-04-13,50031
2020-04-14,50031
2020-04-15,50642
2020-04-16,50642
2020-04-17,50642
2020-04-18,51740
2020-04-19,51740
2020-04-20,53096
2020-04-21,53096
2020-04-22,53096
2020-04-23,53763
2020-04-24,53763
2020-04-25,53763
2020-04-26,55349
2020-04-27,55349
2020-04-28,55870
2020-04-29,55870
2020-04-30,55488
2020-05-01,55488
2020-05-02,55488
2020-05-03,56280
2020-05-04,56280
2020-05-05,56280
2020-05-06,53791
2020-05-07,53791
2020-05-08,53791
2020-05-09,53356
2020-05-10,53356
2020-05-11,53356
2020-05-12,52459
2020-05-13,52459
