date_obj,Redwood%20sapling price
2020-03-26,31831
2020-03-27,31300
2020-03-28,31300
2020-03-29,32320
2020-03-30,33039
2020-03-31,33039
2020-04-01,34279
2020-04-02,34210
2020-04-03,34210
2020-04-04,33044
2020-04-05,33044
2020-04-06,32054
2020-04-07,31101
2020-04-08,30498
2020-04-09,30470
2020-04-10,30470
2020-04-11,29733
2020-04-12,28586
2020-04-13,27949
2020-04-14,27713
2020-04-15,27722
2020-04-16,27722
2020-04-17,28999
2020-04-18,30322
2020-04-19,30635
2020-04-20,31590
2020-04-21,32617
2020-04-22,33668
2020-04-23,34182
2020-04-24,35113
2020-04-25,35567
2020-04-26,35183
2020-04-27,34242
2020-04-28,34264
2020-04-29,33989
2020-04-30,33601
2020-05-01,33601
2020-05-02,34068
2020-05-03,34770
2020-05-04,35726
2020-05-05,36130
2020-05-06,37125
2020-05-07,37341
2020-05-08,37341
2020-05-09,36410
2020-05-10,36597
2020-05-11,36597
2020-05-12,36114
2020-05-13,36053
