date_obj,Saradomin%20page%204 price
2016-11-09,2138
2016-11-10,2056
2016-11-11,2056
2016-11-12,1953
2016-11-13,1953
2016-11-14,1864
2016-12-08,2229
2016-12-09,2229
2016-12-10,2178
2016-12-11,2178
2016-12-12,2146
2016-12-13,2146
2016-12-14,2163
2016-12-15,2163
2016-12-16,2163
2016-12-17,2161
2016-12-18,2161
2016-12-19,2144
2016-12-20,2144
2016-12-21,2225
2016-12-22,2225
2016-12-23,2328
2016-12-24,2328
2016-12-25,2404
2016-12-26,2404
2016-12-27,2446
2016-12-28,2446
2016-12-29,2498
2016-12-30,2498
2016-12-31,2559
2017-01-01,2559
2017-01-02,2583
2017-01-03,2583
2017-01-04,2593
2017-01-05,2593
2017-01-06,2577
2017-01-07,2654
2017-01-08,2654
2017-01-09,2644
2017-01-10,2644
2017-01-11,2704
2017-01-12,2781
2017-01-13,2781
2017-01-14,2794
2017-01-15,2858
2017-01-16,2858
2017-01-17,2863
2017-01-18,2863
2017-01-19,2904
2017-01-20,2904
2017-01-21,2986
2017-01-22,2986
2017-01-27,3127
2017-01-28,3234
2017-01-29,3234
2017-01-30,3244
2017-01-31,3244
2017-02-01,3193
2017-02-02,3193
2017-02-03,3214
2017-02-04,3215
2017-02-05,3215
2017-02-06,3172
2017-02-07,3172
2017-02-08,3148
2017-02-09,3148
2017-02-10,3136
2017-02-11,3099
2017-02-12,3099
2017-02-13,3048
2017-02-14,3184
2017-02-15,3184
2017-02-16,3216
2017-02-18,3223
2017-02-19,3272
2017-02-20,3272
2017-02-21,3320
2017-02-22,3320
2017-02-23,3348
2017-02-24,3348
2017-02-25,3319
2017-02-26,3319
2017-02-27,3310
2017-02-28,3225
2017-03-01,3225
2017-03-02,3320
2017-03-03,3320
2017-03-04,3351
2017-03-05,3351
2017-03-06,3398
2017-03-07,3398
2017-03-08,3345
2017-03-09,3345
2017-03-10,3267
2017-03-11,3283
2017-03-12,3283
2017-03-13,3389
2017-03-14,3487
2017-03-15,3602
2017-03-16,3602
2017-03-17,3723
2017-03-18,3723
2017-03-19,3685
2017-03-20,3682
2017-03-21,3682
2017-03-22,3628
2017-03-23,3628
2017-03-24,3648
2017-03-25,3648
2017-03-26,3687
2017-03-27,3687
2017-03-28,3798
2017-03-29,3886
2017-03-30,3886
2017-03-31,4007
2017-04-01,4007
2017-04-02,4105
2017-04-03,4217
2017-04-04,4217
2017-04-12,4437
2017-04-13,4361
2017-04-14,4361
2017-04-15,4167
2017-04-16,4016
2017-04-17,3858
2017-04-18,3858
2017-04-19,3721
2017-04-20,3721
2017-04-21,3607
2017-04-22,3607
2017-04-23,3552
2017-04-24,3552
2017-04-25,3601
2017-04-26,3601
2017-04-27,3756
2017-04-28,3756
2017-04-29,3845
2017-04-30,3845
2017-05-01,4010
2017-05-02,4177
2017-05-03,4177
2017-05-04,4246
2017-05-05,4125
2017-05-06,4125
2017-05-07,4020
2017-05-08,4020
2017-05-09,4014
2017-05-10,4014
2017-05-11,3957
2017-05-12,3956
2017-05-13,3956
2017-05-14,3869
2017-05-15,3869
2017-05-16,3822
2017-05-17,3822
2017-05-18,3759
2017-05-19,3759
2017-05-20,3618
2017-05-21,3618
2017-05-22,3478
2017-05-23,3478
2017-05-24,3389
2017-05-25,3389
2017-05-26,3272
2017-05-27,3272
2017-05-28,3208
2017-05-29,3208
2017-05-30,3147
2017-05-31,3147
2017-06-01,3052
2017-06-02,3052
2017-06-03,3012
2017-06-06,3070
2017-06-07,3070
2017-06-08,3096
2017-06-09,3096
2017-06-10,3129
2017-06-11,3129
2017-06-12,3248
2017-06-13,3248
2017-06-14,3299
2017-06-15,3299
2017-06-16,3215
2017-06-17,3215
2017-06-18,3158
