date_obj,Tuna%20potato price
2016-06-21,1837
2016-06-22,1822
2016-06-23,1748
2016-06-24,1713
2016-06-25,1711
2016-06-26,1715
2016-06-27,1737
2016-06-28,1739
2016-06-29,1727
2016-06-30,1729
2016-07-01,1753
2016-07-02,1815
2016-07-03,1884
2016-07-04,1917
2016-07-05,1944
2016-07-06,1923
2016-07-07,1928
2016-07-08,1969
2016-07-09,1920
2016-07-10,1829
2016-07-11,1838
2016-07-12,1846
2016-07-13,1860
2016-07-14,1868
2016-07-15,1852
2016-07-16,1794
2016-07-17,1803
2016-07-18,1798
2016-07-24,1719
2016-07-25,1709
2016-07-26,1697
2016-07-27,1689
2016-07-28,1686
2016-07-29,1669
2016-07-30,1687
2016-07-31,1769
2016-08-01,1777
2016-08-02,1809
2016-08-03,1831
2016-08-04,1761
2016-08-05,1725
2016-08-06,1714
2016-08-07,1694
2016-08-08,1684
2016-08-09,1684
2016-08-10,1698
2016-08-11,1725
2016-08-12,1718
2016-08-13,1759
2016-08-14,1757
2016-08-15,1821
2016-08-16,1734
2016-08-17,1765
2016-08-18,1784
2016-08-19,1766
2016-08-20,1732
2016-08-21,1702
2016-08-22,1678
2016-08-23,1616
2016-08-24,1639
2016-08-25,1675
2016-08-26,1675
2016-08-28,1605
2016-08-31,1587
2016-09-01,1623
2016-09-02,1623
2016-09-03,1670
2016-09-04,1679
2016-09-05,1693
2016-09-06,1730
2016-09-07,1669
2016-09-08,1661
2016-09-09,1692
2016-09-10,1718
2016-09-11,1718
2016-09-12,1755
2016-09-13,1713
2016-09-14,1708
2016-09-15,1682
2016-09-16,1682
2016-09-17,1705
2016-09-18,1701
2016-09-19,1704
2016-09-20,1699
2016-09-21,1676
2016-09-22,1649
2016-09-23,1637
2016-09-24,1637
2016-09-25,1623
2016-09-26,1623
2016-09-27,1617
2016-09-28,1646
2016-09-29,1672
2016-09-30,1706
2016-10-01,1685
2016-10-02,1685
2016-10-03,1699
2016-10-04,1676
2016-10-05,1642
2016-10-06,1665
2016-10-07,1659
2016-10-08,1679
2016-10-09,1679
2016-10-10,1694
