date_obj,Rain%20bow price
2020-03-31,195853
2020-04-01,191629
2020-04-02,191629
2020-04-03,191629
2020-04-04,191629
2020-04-05,191629
2020-04-06,193306
2020-04-07,193306
2020-04-08,193306
2020-04-09,193306
2020-04-10,195117
2020-04-11,195117
2020-04-12,195117
2020-04-13,195117
2020-04-14,187477
2020-04-15,187477
2020-04-16,187477
2020-04-17,187477
2020-04-18,181266
2020-04-19,181266
2020-04-20,181266
2020-04-21,181266
2020-04-22,174682
2020-04-23,174682
2020-04-24,174682
2020-04-25,174682
2020-04-26,167716
2020-04-27,167716
2020-04-28,167716
2020-04-29,167716
2020-04-30,165303
2020-05-01,165303
2020-05-02,165303
2020-05-03,165303
2020-05-04,165303
2020-05-05,169932
2020-05-06,169932
2020-05-07,169932
2020-05-08,169932
2020-05-09,175552
2020-05-10,175552
2020-05-11,175552
2020-05-12,175552
2020-05-13,175552
