date_obj,Bucket%20of%20wax price
2017-09-24,609
2017-09-25,609
2017-09-26,609
2017-09-27,609
2017-09-28,609
2017-09-29,609
2017-09-30,609
2017-10-01,609
2017-10-02,609
2017-10-03,597
2017-10-04,597
2017-10-05,597
2017-10-06,597
2017-10-07,597
2017-10-08,606
2017-10-09,606
2017-10-11,606
2017-10-12,606
2017-10-13,603
2017-10-14,603
2017-10-15,603
2017-10-16,603
2017-10-17,603
2017-10-18,587
2017-10-19,587
2017-10-20,587
2017-10-21,587
2017-10-22,587
2017-10-23,609
2017-10-24,609
2017-10-25,609
2017-10-26,609
2017-10-27,609
2017-10-28,605
2017-10-29,605
2017-10-30,605
2017-10-31,605
2017-11-01,613
2017-11-02,613
2017-11-03,613
2017-11-04,613
2017-11-05,582
2017-11-06,582
2017-11-07,582
2017-11-08,582
2017-11-09,582
2017-11-10,569
2017-11-11,569
2017-11-12,569
2017-11-13,569
2017-11-14,569
2017-11-15,560
2017-11-16,560
2017-11-17,560
2017-11-18,560
2017-11-19,578
2017-11-20,578
2017-11-21,578
2017-11-22,578
2017-11-23,578
2017-11-24,587
2017-11-25,587
2017-11-26,587
2017-11-27,587
2017-11-28,587
2017-11-29,576
2017-11-30,576
2017-12-01,576
2017-12-02,576
2017-12-03,576
2017-12-04,584
2017-12-05,584
2017-12-06,584
2017-12-07,584
2017-12-08,584
2017-12-09,578
2017-12-10,578
2017-12-11,578
2017-12-12,578
2017-12-13,577
2017-12-14,577
2017-12-15,577
2017-12-16,577
2017-12-17,577
2017-12-18,590
2017-12-19,590
2017-12-20,590
2017-12-21,590
2017-12-22,590
2017-12-23,611
2017-12-24,611
2017-12-25,611
2017-12-26,611
2017-12-27,596
2017-12-28,596
2017-12-29,596
2017-12-30,596
2017-12-31,580
2018-01-01,580
2018-01-02,580
2018-01-03,573
2018-01-04,573
2018-01-05,573
2018-01-06,575
2018-01-07,575
2018-01-08,575
2018-01-09,575
2018-01-10,570
2018-01-11,570
2018-01-12,570
2018-01-13,570
2018-01-14,572
2018-01-15,572
2018-01-16,572
2018-01-17,589
2018-01-18,589
2018-01-19,589
2018-01-20,589
2018-01-21,559
2018-01-22,559
2018-01-23,559
2018-01-24,573
2018-01-25,573
2018-01-26,573
2018-01-27,573
2018-01-28,588
2018-01-29,588
2018-01-30,588
2018-01-31,562
2018-02-01,562
2018-02-02,562
2018-02-03,553
2018-02-04,553
2018-02-05,553
2018-02-06,562
2018-02-07,562
2018-02-08,562
2018-02-09,557
2018-02-10,557
2018-02-11,557
2018-02-12,529
2018-02-13,529
2018-02-14,529
2018-02-15,529
2018-02-16,521
2018-02-17,521
2018-02-18,521
2018-02-19,542
2018-02-20,542
2018-02-21,542
2018-02-22,542
2018-02-23,556
2018-02-24,556
2018-02-25,556
2018-02-26,548
2018-02-27,548
2018-02-28,548
2018-03-01,548
2018-03-02,556
2018-03-03,556
2018-03-04,556
2018-03-05,570
2018-03-06,570
2018-03-07,570
2018-03-08,597
2018-03-09,597
2018-03-10,597
2018-03-11,605
2018-03-12,605
2018-03-13,605
2018-03-14,574
2018-03-15,574
2018-03-16,574
2018-03-17,557
2018-03-18,557
2018-03-19,557
2018-03-20,541
2018-03-21,541
2018-03-23,541
2018-03-24,541
2018-03-25,541
2018-03-26,541
2018-03-27,541
2018-03-28,541
2018-03-29,541
2018-03-30,541
2018-03-31,548
2018-04-01,548
2018-04-02,548
2018-04-03,564
2018-04-04,564
2018-04-05,564
2018-04-06,562
2018-04-07,562
2018-04-08,562
2018-04-09,543
2018-04-10,543
2018-04-11,543
2018-04-12,517
2018-04-13,517
2018-04-14,517
2018-04-15,502
2018-04-16,502
2018-04-17,502
2018-04-18,502
2018-04-19,505
2018-04-20,505
2018-04-21,505
2018-04-22,481
2018-04-23,481
2018-04-24,481
2018-04-25,472
2018-04-26,472
2018-04-27,472
2018-04-28,472
2018-04-29,485
2018-04-30,485
2018-05-01,485
2018-05-02,485
2018-05-03,501
2018-05-04,501
2018-05-05,501
2018-05-06,501
2018-05-07,514
2018-05-08,514
2018-05-09,514
2018-05-10,540
2018-05-11,540
2018-05-12,540
2018-05-13,540
2018-05-14,563
2018-05-15,563
2018-05-16,563
2018-05-17,563
2018-05-18,584
2018-05-19,584
2018-05-20,584
2018-05-21,589
2018-05-22,589
2018-05-23,589
2018-05-24,604
2018-05-25,604
2018-05-26,604
2018-05-27,633
2018-05-28,633
2018-05-29,646
2018-05-30,646
2018-05-31,646
2018-06-01,643
2018-06-02,643
2018-06-03,643
2018-06-04,664
2018-06-05,664
2018-06-06,665
2018-06-07,665
2018-06-08,665
2018-06-09,652
2018-06-10,652
2018-06-11,652
2018-06-12,620
2018-06-13,620
2018-06-14,620
2018-06-15,589
2018-06-16,589
2018-06-17,589
2018-06-18,559
2018-06-19,559
2018-06-20,559
2018-06-21,531
2018-06-22,531
2018-06-23,531
2018-06-24,520
2018-06-25,520
2018-06-26,520
