date_obj,Red%20d'hide%20shield price
2019-08-27,8940
2019-08-27,8940
2019-08-28,8529
2019-08-29,8117
2019-08-30,7844
2019-08-31,7715
2019-09-01,7428
2019-09-02,7276
2019-09-03,7493
2019-09-04,7771
2019-09-05,7715
2019-09-06,7558
2019-09-07,7567
2019-09-08,7946
2019-09-09,8342
2019-09-10,8760
2019-09-11,9154
2019-09-12,9271
2019-09-13,8917
2019-09-14,8643
2019-09-15,8338
2019-09-16,7931
2019-09-17,7534
2019-09-18,7278
2019-09-19,7056
2019-09-20,6860
2019-09-21,6939
2019-09-22,6909
2019-09-23,6764
2019-09-24,6747
2019-09-25,6540
2019-09-26,6520
2019-09-27,6486
2019-09-28,6477
2019-09-29,6373
2019-09-30,6286
2019-10-01,6390
2019-10-02,6444
2019-10-03,6490
2019-10-04,6607
2019-10-05,6728
2019-10-06,7008
2019-10-07,7359
2019-10-08,7727
2019-10-09,7727
2019-10-10,8114
2019-10-11,8520
2019-10-12,8909
2019-10-13,9286
2019-10-14,9484
2019-10-15,9578
2019-10-16,9117
2019-10-17,8765
2019-10-18,8326
2019-10-19,7909
2019-10-20,7513
2019-10-21,7137
2019-10-22,6780
2019-10-23,6791
2019-10-24,6882
2019-10-25,6979
2019-10-26,7312
2019-10-27,7660
2019-10-28,8038
2019-10-29,8038
2019-10-30,8440
2019-10-31,8862
2019-11-01,9100
2019-11-02,8790
2019-11-03,8588
2019-11-04,8350
2019-11-05,8350
2019-11-06,8115
2019-11-07,7813
2019-11-08,7466
2019-11-09,7300
2019-11-10,7310
2019-11-11,7218
2019-11-12,7060
2019-11-13,6803
2019-11-14,6705
2019-11-15,6687
2019-11-16,6713
2019-11-17,6713
2019-11-18,6836
2019-11-19,7123
2019-11-20,7440
2019-11-21,7440
2019-11-22,7812
2019-11-23,8203
2019-11-24,7974
2019-11-25,7798
2019-11-26,7610
2019-11-27,7610
2019-11-28,7358
2019-11-29,7262
2019-11-30,7330
2019-12-01,7602
2019-12-02,7612
2019-12-03,7497
2019-12-04,7505
2019-12-05,7505
2019-12-06,7511
2019-12-07,7517
2019-12-08,7154
2019-12-09,6796
2019-12-10,6711
2019-12-11,6703
2019-12-12,6703
2019-12-13,6733
2019-12-14,6875
2019-12-15,7030
2019-12-16,7267
2019-12-17,7578
2019-12-18,7849
2019-12-19,8201
2019-12-20,8610
2019-12-21,8976
2019-12-22,9129
2019-12-23,8948
2019-12-24,8902
2019-12-25,8735
2019-12-26,8939
2019-12-27,9383
2019-12-28,8984
2019-12-29,8779
2019-12-30,8372
2019-12-31,8372
2020-01-01,7999
2020-01-02,7789
2020-01-03,7399
2020-01-04,7029
2020-01-05,6996
2020-01-06,7064
2020-01-07,7075
2020-01-08,7075
2020-01-09,7202
2020-01-10,7166
2020-01-11,6927
2020-01-12,6797
2020-01-13,6797
2020-01-14,6921
2020-01-15,6901
2020-01-16,6807
2020-01-17,6831
2020-01-18,6911
2020-01-19,7064
2020-01-20,6923
2020-01-21,7129
2020-01-22,7191
2020-01-23,7533
2020-01-24,7910
2020-01-25,8306
2020-01-26,8179
2020-01-27,7870
2020-01-28,7724
2020-01-29,7463
2020-01-30,7262
2020-01-31,7141
2020-02-01,7033
2020-02-02,6945
2020-02-03,6664
2020-02-04,6408
2020-02-05,6613
2020-02-06,6807
2020-02-07,6668
2020-02-08,6710
2020-02-09,7046
2020-02-10,6997
2020-02-11,6986
2020-02-12,7244
2020-02-13,7472
2020-02-14,7395
2020-02-15,7202
2020-02-16,7265
2020-02-17,7216
2020-02-18,6956
2020-02-19,6868
2020-02-20,6620
2020-02-21,6620
2020-02-22,6584
2020-02-23,6708
2020-02-24,7026
2020-02-25,7207
2020-02-26,7273
2020-02-27,7233
2020-02-28,7219
2020-02-29,7219
2020-03-01,7435
2020-03-02,7660
2020-03-03,7768
2020-03-04,7631
2020-03-05,7696
2020-03-06,7934
2020-03-07,8331
2020-03-08,8748
2020-03-09,8873
2020-03-10,8606
2020-03-11,8342
2020-03-12,7958
2020-03-13,7677
2020-03-14,7551
2020-03-15,7509
2020-03-16,7541
2020-03-17,7732
2020-03-18,7818
2020-03-19,8121
2020-03-20,8245
2020-03-21,8580
2020-03-22,8611
2020-03-23,8634
2020-03-24,8768
2020-03-25,9207
2020-03-26,9467
2020-03-27,9941
2020-03-28,10416
2020-03-29,10337
2020-03-30,9849
2020-03-31,9496
2020-04-01,9144
2020-04-02,8766
2020-04-03,8396
2020-04-04,8096
2020-04-05,7930
2020-04-06,7860
2020-04-07,7809
2020-04-08,7853
2020-04-09,7733
2020-04-10,7742
2020-04-11,7769
2020-04-12,7559
2020-04-13,7394
2020-04-14,7218
2020-04-15,7114
2020-04-16,7249
2020-04-17,7486
2020-04-18,7375
2020-04-19,7137
2020-04-20,7049
2020-04-21,7078
2020-04-22,6976
2020-04-23,6994
2020-04-24,7053
2020-04-25,7007
2020-04-26,6987
2020-04-27,7184
2020-04-28,7488
2020-04-29,7612
2020-04-30,7795
2020-05-01,8081
2020-05-02,7956
2020-05-03,8154
2020-05-04,8377
2020-05-05,8697
2020-05-06,8680
2020-05-07,8280
2020-05-08,8080
2020-05-09,7837
2020-05-10,7810
2020-05-11,7916
2020-05-12,8162
2020-05-13,8146
