date_obj,Elven%20top%20(yellow) price
2020-01-10,6581
2020-01-11,6581
2020-01-12,6581
2020-01-13,6581
2020-01-14,6384
2020-01-15,6384
2020-01-16,6384
2020-01-17,6384
2020-01-18,6384
2020-01-19,6327
2020-01-20,6327
2020-01-21,6327
2020-01-22,6327
2020-01-23,6327
2020-01-24,6327
2020-01-25,6327
2020-01-26,6459
2020-01-27,6459
2020-01-28,6459
2020-01-29,6459
2020-01-30,6459
2020-01-31,6459
2020-02-01,6603
2020-02-02,6603
2020-02-03,6603
2020-02-04,6603
2020-02-05,6603
2020-02-06,6603
2020-02-07,6550
2020-02-08,6550
2020-02-09,6550
2020-02-10,6550
2020-02-11,6550
2020-02-12,6550
2020-02-13,6414
2020-02-14,6414
2020-02-15,6414
2020-02-16,6414
2020-02-17,6414
2020-02-18,6360
2020-02-19,6360
2020-02-20,6360
2020-02-21,6360
2020-02-22,6360
2020-02-23,6360
2020-02-24,6201
2020-02-25,6201
2020-02-26,6201
2020-02-27,6201
2020-02-28,6201
2020-02-29,6201
2020-03-01,6269
2020-03-02,6269
2020-03-03,6269
2020-03-04,6269
2020-03-05,6269
2020-03-06,6269
2020-03-07,6269
2020-03-08,6231
2020-03-09,6231
2020-03-10,6231
2020-03-11,6231
2020-03-12,6231
2020-03-13,6231
2020-03-14,6330
2020-03-15,6330
2020-03-16,6330
2020-03-17,6330
2020-03-18,6330
2020-03-19,6330
2020-03-20,6507
2020-03-21,6507
2020-03-22,6507
2020-03-23,6507
2020-03-24,6507
2020-03-25,6507
2020-03-26,6633
2020-03-27,6633
2020-03-28,6633
2020-03-29,6633
2020-03-30,6633
2020-03-31,6634
2020-04-01,6634
2020-04-02,6634
2020-04-03,6634
2020-04-04,6634
2020-04-05,6835
2020-04-06,6835
2020-04-07,6835
2020-04-08,6835
2020-04-09,6968
2020-04-10,6968
2020-04-11,6968
2020-04-12,6968
2020-04-13,6968
2020-04-14,6978
2020-04-15,6978
2020-04-16,6978
2020-04-17,6978
2020-04-18,6771
2020-04-19,6771
2020-04-20,6771
2020-04-21,6771
2020-04-22,6491
2020-04-23,6491
2020-04-24,6491
2020-04-25,6491
2020-04-26,6491
2020-04-27,6166
2020-04-28,6166
2020-04-29,6166
2020-04-30,6166
2020-05-01,6166
2020-05-02,6274
2020-05-03,6274
2020-05-04,6274
2020-05-05,6274
2020-05-06,6274
2020-05-07,6428
2020-05-08,6428
2020-05-09,6428
2020-05-10,6428
2020-05-11,6428
2020-05-12,6428
2020-05-13,6215
