date_obj,Blue%20d'hide%20chaps price
2016-06-14,2404
2016-06-15,2467
2016-06-16,2481
2016-06-17,2425
2016-06-18,2462
2016-06-19,2442
2016-06-20,2453
2016-06-21,2437
2016-06-22,2413
2016-06-23,2393
2016-06-24,2342
2016-06-25,2291
2016-06-26,2348
2016-06-27,2351
2016-06-28,2403
2016-06-29,2451
2016-06-30,2390
2016-07-01,2461
2016-07-02,2480
2016-07-03,2441
2016-07-04,2425
2016-07-05,2429
2016-07-06,2381
2016-07-07,2346
2016-07-08,2382
2016-07-09,2391
2016-07-10,2410
2016-07-11,2363
2016-07-12,2358
2016-07-13,2374
2016-07-14,2350
2016-07-15,2365
2016-07-16,2370
2016-07-17,2392
2016-07-18,2404
2016-07-23,2338
2016-07-24,2389
2016-07-25,2390
2016-07-26,2405
2016-07-27,2404
2016-07-28,2385
2016-07-29,2405
2016-07-30,2354
2016-07-31,2371
2016-08-01,2380
2016-08-02,2408
2016-08-03,2418
2016-08-04,2386
2016-08-05,2363
2016-08-06,2365
2016-08-07,2361
2016-08-08,2410
2016-08-09,2382
2016-08-10,2399
2016-08-11,2381
2016-08-12,2359
2016-08-13,2393
2016-08-14,2400
2016-08-15,2386
2016-08-16,2427
2016-08-17,2419
2016-08-18,2397
2016-08-19,2420
2016-08-20,2447
2016-08-21,2411
2016-08-22,2397
2016-08-23,2380
2016-08-24,2331
2016-08-25,2349
2016-08-26,2349
2016-08-28,2385
2016-08-31,2387
2016-09-01,2427
2016-09-02,2427
2016-09-03,2408
2016-09-04,2428
2016-09-05,2425
2016-09-06,2449
2016-09-07,2372
2016-09-08,2366
2016-09-09,2383
2016-09-10,2382
2016-09-11,2373
2016-09-12,2343
2016-09-13,2405
2016-09-14,2370
2016-09-15,2388
2016-09-16,2430
2016-09-17,2373
2016-09-18,2345
2016-09-19,2367
2016-09-20,2354
2016-09-21,2347
2016-09-22,2335
2016-09-23,2340
2016-09-24,2340
2016-09-25,2365
2016-09-26,2391
2016-09-27,2457
2016-09-28,2466
2016-09-29,2364
2016-09-30,2389
2016-10-01,2389
2016-10-02,2387
2016-10-03,2420
2016-10-04,2348
2016-10-05,2349
2016-10-06,2376
2016-10-07,2394
2016-10-08,2337
2016-10-09,2389
2016-10-10,2374
2016-10-11,2390
2016-10-12,2344
2016-10-13,2384
2016-10-14,2416
2016-10-15,2361
2016-10-16,2384
2016-10-17,2403
2016-10-18,2439
2016-10-19,2389
2016-10-20,2386
2016-10-21,2398
2016-10-22,2378
2016-10-23,2395
2016-10-24,2390
2016-10-25,2383
2016-10-26,2381
2016-10-27,2381
2016-10-28,2358
2016-10-29,2379
2016-10-30,2377
2016-10-31,2393
2016-11-01,2385
2016-11-02,2374
2016-11-03,2419
2016-11-04,2406
2016-11-05,2384
2016-11-06,2379
2016-11-07,2406
2016-11-08,2413
2016-11-09,2444
2016-11-10,2447
2016-11-11,2410
2016-11-12,2414
2016-11-13,2454
2016-11-14,2400
2016-11-15,2448
2016-12-07,2400
2016-12-08,2381
2016-12-09,2383
2016-12-10,2371
2016-12-11,2376
2016-12-12,2389
2016-12-13,2400
2016-12-14,2460
2016-12-15,2407
2016-12-16,2439
2016-12-17,2395
2016-12-18,2357
2016-12-19,2368
2016-12-20,2389
2016-12-21,2371
2016-12-22,2368
2016-12-23,2376
2016-12-24,2383
2016-12-25,2360
2016-12-26,2379
2016-12-27,2393
2016-12-28,2384
2016-12-29,2393
2016-12-30,2397
2016-12-31,2400
2017-01-01,2376
2017-01-02,2377
2017-01-03,2372
2017-01-04,2339
2017-01-05,2366
2017-01-06,2395
2017-01-07,2364
2017-01-08,2392
2017-01-09,2403
2017-01-10,2417
2017-01-11,2408
2017-01-12,2429
2017-01-13,2430
2017-01-14,2458
2017-01-15,2447
2017-01-16,2414
2017-01-17,2382
2017-01-18,2393
2017-01-19,2386
2017-01-20,2416
2017-01-21,2414
2017-01-22,2429
2017-01-23,2460
2017-01-27,2433
2017-01-28,2422
2017-01-29,2378
2017-01-30,2325
2017-01-31,2368
2017-02-01,2388
2017-02-02,2404
2017-02-03,2385
2017-02-04,2420
2017-02-05,2378
2017-02-06,2394
2017-02-07,2396
2017-02-08,2389
2017-02-09,2401
2017-02-10,2386
2017-02-11,2389
2017-02-12,2379
2017-02-13,2381
2017-02-14,2382
2017-02-15,2404
2017-02-16,2382
2017-02-18,2357
2017-02-19,2377
2017-02-20,2372
2017-02-21,2401
2017-02-22,2367
2017-02-23,2396
2017-02-24,2402
2017-02-25,2403
2017-02-26,2422
2017-02-27,2402
2017-02-28,2419
2017-03-01,2406
2017-03-02,2401
2017-03-03,2461
2017-03-04,2407
2017-03-05,2412
2017-03-06,2400
2017-03-07,2402
2017-03-08,2410
2017-03-09,2405
2017-03-10,2394
2017-03-11,2391
2017-03-12,2399
2017-03-13,2387
2017-03-14,2409
2017-03-15,2384
2017-03-16,2372
2017-03-17,2381
2017-03-18,2414
2017-03-19,2374
2017-03-20,2394
2017-03-21,2379
2017-03-22,2416
2017-03-23,2425
2017-03-24,2422
2017-03-25,2440
2017-03-26,2385
2017-03-27,2353
2017-03-28,2374
2017-03-29,2367
2017-03-30,2361
2017-03-31,2364
2017-04-01,2351
2017-04-02,2398
2017-04-03,2383
2017-04-04,2338
2017-04-12,2424
2017-04-13,2449
2017-04-14,2420
2017-04-15,2392
2017-04-16,2408
2017-04-17,2394
2017-04-18,2403
2017-04-19,2411
2017-04-20,2398
2017-04-21,2431
2017-04-22,2383
2017-04-23,2349
2017-04-24,2394
2017-04-25,2398
2017-04-26,2355
2017-04-27,2393
2017-04-28,2379
2017-04-29,2379
2017-04-30,2378
2017-05-01,2416
2017-05-02,2404
2017-05-03,2451
2017-05-04,2464
2017-05-05,2412
2017-05-06,2411
2017-05-07,2404
2017-05-08,2415
2017-05-09,2398
2017-05-10,2386
2017-05-11,2408
2017-05-12,2393
2017-05-13,2388
2017-05-14,2394
2017-05-15,2412
2017-05-16,2368
2017-05-17,2350
2017-05-18,2360
2017-05-19,2364
2017-05-20,2370
2017-05-21,2378
2017-05-22,2388
