date_obj,Dragonfruit price
2019-04-30,653
2019-05-01,637
2019-05-02,615
2019-05-03,612
2019-05-04,620
2019-05-05,618
2019-05-06,638
2019-05-07,670
2019-05-08,704
2019-05-09,740
2019-05-10,772
2019-05-11,800
2019-05-12,840
2019-05-13,882
2019-05-14,917
2019-05-15,956
2019-05-16,965
2019-05-17,919
2019-05-18,879
2019-05-19,848
2019-05-20,847
2019-05-21,816
2019-05-22,782
2019-05-23,764
2019-05-24,753
2019-05-25,732
2019-05-26,736
2019-05-27,763
2019-05-28,798
2019-05-29,821
2019-05-30,813
2019-05-31,796
2019-06-01,814
2019-06-02,848
2019-06-03,889
2019-06-04,922
2019-06-05,958
2019-06-06,981
2019-06-07,971
2019-06-08,949
2019-06-09,911
2019-06-10,911
2019-06-11,946
2019-06-12,978
2019-06-13,1005
2019-06-14,1024
2019-06-15,1072
2019-06-16,1069
2019-06-17,1017
2019-06-18,1020
2019-06-19,1064
2019-06-20,1112
2019-06-21,1093
2019-06-22,1038
2019-06-23,987
2019-06-24,937
2019-06-25,890
2019-06-26,845
2019-06-27,802
2019-06-28,770
2019-06-29,762
2019-06-30,754
2019-07-01,747
2019-07-02,717
2019-07-03,689
2019-07-04,661
2019-07-05,684
2019-07-06,700
2019-07-07,692
2019-07-08,675
2019-07-09,672
2019-07-10,683
2019-07-11,700
2019-07-12,735
2019-07-13,735
2019-07-14,772
2019-07-15,811
2019-07-16,852
2019-07-17,895
2019-07-18,936
2019-07-19,981
2019-07-20,976
2019-07-21,1015
2019-07-22,1056
2019-07-23,1093
2019-07-24,1148
2019-07-25,1115
2019-07-26,1062
2019-07-27,1040
2019-07-28,1058
2019-07-29,1108
2019-07-30,1154
2019-07-31,1211
2019-08-01,1267
2019-08-02,1331
2019-08-03,1278
2019-08-04,1240
2019-08-05,1239
2019-08-06,1292
2019-08-07,1357
2019-08-08,1364
2019-08-09,1332
2019-08-10,1370
2019-08-11,1412
2019-08-12,1354
2019-08-13,1287
2019-08-14,1225
2019-08-15,1172
2019-08-16,1140
2019-08-17,1140
2019-08-18,1104
2019-08-19,1093
2019-08-20,1038
2019-08-21,986
2019-08-22,936
2019-08-23,891
2019-08-24,870
2019-08-24,870
2019-08-25,911
2019-08-25,911
2019-08-26,937
2019-08-27,978
2019-08-27,978
2019-08-28,985
2019-08-29,1027
2019-08-30,1060
2019-08-31,1060
2019-09-01,1096
2019-09-02,1096
2019-09-03,1102
2019-09-04,1102
2019-09-05,1083
2019-09-06,1086
2019-09-07,1068
2019-09-08,1044
2019-09-09,1032
2019-09-10,1002
2019-09-11,973
2019-09-12,980
2019-09-13,972
2019-09-14,951
2019-09-15,912
2019-09-16,897
2019-09-17,891
2019-09-18,926
2019-09-19,943
2019-09-20,910
2019-09-21,891
2019-09-22,928
2019-09-23,963
2019-09-24,963
2019-09-25,969
2019-09-26,956
2019-09-27,937
2019-09-28,901
2019-09-29,901
2019-09-30,903
2019-10-01,921
2019-10-02,915
2019-10-03,920
2019-10-04,916
2019-10-05,915
2019-10-06,920
2019-10-07,933
2019-10-08,925
2019-10-09,925
2019-10-10,908
2019-10-11,875
2019-10-12,852
2019-10-13,836
2019-10-14,816
2019-10-15,841
2019-10-16,816
2019-10-17,809
2019-10-18,836
2019-10-19,804
2019-10-20,805
2019-10-21,801
2019-10-22,799
2019-10-23,792
2019-10-24,806
2019-10-25,782
2019-10-26,779
2019-10-27,756
2019-10-28,787
2019-10-29,787
2019-10-30,801
2019-10-31,817
2019-11-01,826
2019-11-02,839
2019-11-03,817
2019-11-04,805
2019-11-05,805
2019-11-06,790
2019-11-07,774
2019-11-08,765
2019-11-09,742
2019-11-10,728
2019-11-11,722
2019-11-12,734
2019-11-13,702
2019-11-14,682
2019-11-15,681
2019-11-16,695
2019-11-17,695
2019-11-18,712
2019-11-19,713
2019-11-20,737
2019-11-21,737
2019-11-22,737
2019-11-23,766
2019-11-24,749
2019-11-25,727
2019-11-26,713
2019-11-27,713
2019-11-28,722
2019-11-29,722
2019-11-30,744
2019-12-01,771
2019-12-02,810
2019-12-03,839
2019-12-04,867
2019-12-05,867
2019-12-06,903
2019-12-07,899
2019-12-08,914
2019-12-09,922
2019-12-10,891
2019-12-11,865
2019-12-12,879
2019-12-13,883
2019-12-14,846
2019-12-15,817
2019-12-16,802
2019-12-17,835
2019-12-18,821
2019-12-19,782
2019-12-20,774
2019-12-21,783
2019-12-22,801
2019-12-23,835
2019-12-24,811
2019-12-25,828
2019-12-26,866
2019-12-27,891
2019-12-28,896
2019-12-29,933
2019-12-30,968
2019-12-31,987
2020-01-01,1012
2020-01-02,1060
2020-01-03,1100
2020-01-04,1124
2020-01-05,1172
2020-01-06,1165
2020-01-07,1143
2020-01-08,1143
2020-01-09,1143
2020-01-10,1137
2020-01-11,1122
2020-01-12,1115
2020-01-13,1115
2020-01-14,1090
2020-01-15,1064
2020-01-16,1079
2020-01-17,1053
2020-01-18,1044
2020-01-19,1058
2020-01-20,1007
2020-01-21,964
2020-01-22,921
2020-01-23,890
2020-01-24,865
2020-01-25,879
2020-01-26,915
2020-01-27,951
2020-01-28,959
2020-01-29,989
2020-01-30,1037
2020-01-31,1064
2020-02-01,1026
2020-02-02,1062
2020-02-03,1116
2020-02-04,1172
2020-02-05,1225
2020-02-06,1178
2020-02-07,1164
2020-02-08,1116
2020-02-09,1068
2020-02-10,1079
2020-02-11,1130
2020-02-12,1103
2020-02-13,1054
2020-02-14,1023
2020-02-15,998
2020-02-16,957
2020-02-17,964
2020-02-18,997
2020-02-19,1009
2020-02-20,1014
2020-02-21,1014
2020-02-22,1024
2020-02-23,1026
2020-02-24,1037
2020-02-25,1010
2020-02-26,1048
2020-02-27,1101
2020-02-28,1147
2020-02-29,1147
2020-03-01,1121
2020-03-02,1090
2020-03-03,1094
2020-03-04,1114
2020-03-05,1106
2020-03-06,1108
2020-03-07,1087
2020-03-08,1108
2020-03-09,1105
2020-03-10,1135
2020-03-11,1159
2020-03-12,1148
2020-03-13,1158
2020-03-14,1204
2020-03-15,1214
2020-03-16,1228
2020-03-17,1225
2020-03-18,1211
2020-03-19,1179
2020-03-20,1193
2020-03-21,1196
2020-03-22,1228
2020-03-23,1259
2020-03-24,1291
2020-03-25,1346
2020-03-26,1388
2020-03-27,1385
2020-03-28,1349
2020-03-29,1334
2020-03-30,1367
2020-03-31,1355
2020-04-01,1323
2020-04-02,1324
2020-04-03,1348
2020-04-04,1381
2020-04-05,1369
2020-04-06,1331
2020-04-07,1316
2020-04-08,1311
2020-04-09,1292
2020-04-10,1285
2020-04-11,1296
2020-04-12,1294
2020-04-13,1278
2020-04-14,1283
2020-04-15,1300
2020-04-16,1352
2020-04-17,1413
2020-04-18,1457
2020-04-19,1415
2020-04-20,1358
2020-04-21,1344
2020-04-22,1331
2020-04-23,1287
2020-04-24,1243
2020-04-25,1251
2020-04-26,1275
2020-04-27,1301
2020-04-28,1280
2020-04-29,1281
2020-04-30,1311
2020-05-01,1300
2020-05-02,1302
2020-05-03,1297
2020-05-04,1297
2020-05-05,1330
2020-05-06,1312
2020-05-07,1323
2020-05-08,1278
2020-05-09,1307
2020-05-10,1354
2020-05-11,1405
2020-05-12,1357
2020-05-13,1334
