date_obj,Desert%20goat%20horn price
2016-08-22,129
2016-08-23,123
2016-08-24,123
2016-08-25,123
2016-08-26,123
2016-08-28,121
2016-08-31,115
2016-09-01,115
2016-09-02,115
2016-09-03,115
2016-09-04,109
2016-09-05,109
2016-09-06,109
2016-09-07,105
2016-09-08,105
2016-09-09,105
2016-09-10,105
2016-09-11,105
2016-09-12,100
2016-09-13,100
2016-09-14,100
2016-09-15,100
2016-09-16,95
2016-09-17,95
2016-09-18,95
2016-09-19,95
2016-09-20,90
2016-09-21,90
2016-09-22,90
2016-09-23,85
2016-09-24,85
2016-09-25,85
2016-09-26,85
2016-09-27,80
2016-09-28,80
2016-09-29,80
2016-09-30,76
2016-10-01,76
2016-10-02,76
2016-10-03,76
2016-10-04,72
2016-10-05,72
2016-10-06,72
2016-10-07,72
2016-10-08,68
2016-10-09,68
2016-10-10,68
2016-10-11,68
2016-10-12,67
2016-10-13,67
2016-10-14,67
2016-10-15,67
2016-10-16,64
2016-10-17,64
2016-10-18,64
2016-10-19,64
2016-10-20,60
2016-10-21,60
2016-10-22,60
2016-10-23,58
2016-10-24,58
2016-10-25,58
2016-10-26,57
2016-10-27,57
2016-10-28,57
2016-10-29,57
2016-10-30,57
2016-10-31,57
2016-11-01,57
2016-11-02,57
2016-11-03,59
2016-11-04,59
2016-11-05,59
2016-11-06,58
2016-11-07,58
2016-11-08,58
2016-11-09,58
2016-11-10,58
2016-11-11,58
2016-11-12,58
2016-11-13,58
2016-11-14,56
2016-11-15,56
2016-12-07,59
2016-12-08,60
2016-12-09,60
2016-12-10,60
2016-12-11,60
2016-12-12,58
2016-12-13,58
2016-12-14,58
2016-12-15,58
2016-12-16,59
2016-12-17,59
2016-12-18,59
2016-12-19,61
2016-12-20,61
2016-12-21,61
2016-12-22,61
2016-12-23,64
2016-12-24,64
2016-12-25,64
2016-12-26,64
2016-12-27,68
2016-12-28,68
2016-12-29,68
2016-12-30,69
2016-12-31,69
2017-01-01,69
2017-01-02,72
2017-01-03,72
2017-01-04,72
2017-01-05,75
2017-01-06,75
2017-01-07,75
2017-01-08,79
2017-01-09,79
2017-01-10,79
2017-01-11,79
2017-01-12,82
2017-01-13,82
2017-01-14,82
2017-01-15,82
2017-01-16,87
2017-01-17,87
2017-01-18,87
2017-01-19,87
2017-01-20,87
2017-01-21,87
2017-01-22,87
2017-01-23,86
2017-01-27,82
2017-01-28,82
2017-01-29,78
2017-01-30,78
2017-01-31,78
2017-02-01,78
2017-02-02,78
2017-02-03,78
2017-02-04,78
2017-02-05,80
2017-02-06,80
2017-02-07,80
2017-02-08,80
2017-02-09,81
2017-02-10,81
2017-02-11,81
2017-02-12,82
2017-02-13,82
2017-02-14,82
2017-02-15,82
2017-02-16,83
2017-02-18,83
2017-02-19,82
2017-02-20,82
2017-02-21,82
2017-02-22,82
2017-02-23,82
2017-02-24,85
2017-02-25,85
2017-02-26,85
2017-02-27,85
2017-02-28,86
2017-03-01,86
2017-03-02,86
2017-03-03,86
2017-03-04,90
2017-03-05,90
2017-03-06,90
2017-03-07,90
2017-03-08,93
2017-03-09,93
2017-03-10,93
2017-03-11,93
2017-03-12,93
2017-03-13,93
2017-03-14,93
2017-03-15,93
2017-03-16,90
2017-03-17,90
2017-03-18,90
2017-03-19,90
2017-03-20,89
2017-03-21,89
2017-03-22,89
2017-03-23,89
2017-03-24,87
2017-03-25,87
2017-03-26,87
2017-03-27,87
2017-03-28,87
2017-03-29,84
2017-03-30,84
2017-03-31,84
2017-04-01,84
2017-04-02,84
2017-04-03,85
2017-04-04,85
2017-04-12,83
2017-04-13,83
2017-04-14,83
2017-04-15,83
2017-04-16,80
2017-04-17,80
2017-04-18,80
2017-04-19,80
2017-04-20,80
2017-04-21,80
2017-04-22,80
2017-04-23,80
2017-04-24,80
2017-04-25,80
2017-04-26,80
2017-04-27,80
2017-04-28,80
2017-04-29,80
2017-04-30,80
2017-05-01,80
2017-05-02,78
2017-05-03,78
2017-05-04,78
2017-05-05,78
2017-05-06,78
2017-05-07,78
2017-05-08,78
2017-05-09,78
2017-05-10,78
2017-05-11,78
2017-05-12,78
2017-05-13,76
2017-05-14,76
2017-05-15,76
2017-05-16,76
2017-05-17,76
2017-05-18,77
2017-05-19,77
2017-05-20,77
2017-05-21,77
2017-05-22,78
2017-05-23,78
2017-05-24,78
2017-05-25,78
2017-05-26,79
2017-05-27,79
2017-05-28,79
2017-05-29,79
2017-05-30,78
2017-05-31,78
2017-06-01,78
2017-06-02,78
2017-06-03,79
2017-06-04,79
2017-06-05,79
2017-06-06,81
2017-06-07,81
2017-06-08,81
2017-06-09,81
2017-06-10,83
2017-06-11,83
2017-06-12,83
2017-06-13,84
2017-06-14,84
2017-06-15,84
2017-06-16,84
2017-06-17,85
2017-06-18,85
2017-06-19,85
2017-06-20,86
2017-06-21,86
2017-06-22,86
2017-06-23,86
2017-06-24,87
2017-06-25,87
2017-06-26,87
2017-06-27,90
2017-06-28,90
2017-06-29,90
2017-06-30,95
2017-07-01,95
2017-07-02,95
2017-07-03,95
2017-07-04,100
2017-07-05,100
2017-07-06,100
2017-07-07,100
2017-07-08,100
2017-07-13,111
2017-07-14,111
2017-07-15,111
2017-07-16,117
2017-07-17,117
2017-07-18,117
2017-07-19,123
2017-07-20,123
2017-07-21,123
2017-07-22,130
2017-07-23,130
2017-07-24,130
2017-07-25,130
2017-07-26,137
2017-07-27,137
2017-07-28,137
2017-07-29,137
2017-07-30,144
2017-07-31,144
2017-08-01,144
2017-08-02,151
2017-08-03,151
2017-08-04,151
2017-08-05,154
2017-08-06,154
2017-08-09,155
2017-08-10,155
2017-08-11,155
2017-08-12,157
2017-08-13,157
2017-08-14,157
2017-08-15,157
2017-08-16,161
2017-08-17,161
2017-08-18,161
2017-08-19,161
2017-08-20,167
2017-08-21,167
2017-08-22,167
2017-08-23,167
2017-08-24,164
2017-08-25,164
2017-08-26,164
2017-08-27,161
2017-08-28,161
2017-08-29,161
2017-08-30,162
2017-08-31,162
2017-09-01,162
2017-09-03,160
2017-09-04,160
2017-09-05,160
2017-09-06,154
2017-09-07,154
2017-09-08,154
2017-09-09,147
2017-09-10,147
2017-09-11,147
2017-09-12,147
2017-09-13,139
2017-09-14,139
2017-09-15,139
2017-09-16,132
2017-09-17,132
2017-09-18,132
2017-09-19,125
2017-09-20,125
2017-09-21,125
2017-09-22,118
2017-09-23,118
2017-09-24,118
2017-09-25,112
2017-09-26,112
2017-09-27,112
2017-09-28,106
2017-09-29,106
2017-09-30,106
2017-10-01,100
2017-10-02,100
2017-10-03,100
2017-10-04,100
2017-10-05,95
2017-10-06,95
2017-10-07,95
2017-10-08,91
2017-10-09,91
2017-10-10,91
2017-10-11,91
2017-10-12,87
2017-10-13,87
2017-10-14,87
2017-10-15,85
2017-10-16,85
2017-10-17,85
2017-10-18,86
2017-10-19,86
2017-10-20,86
2017-10-21,86
2017-10-22,86
2017-10-23,86
2017-10-24,86
2017-10-25,82
2017-10-26,82
2017-10-27,82
2017-10-28,82
2017-10-29,80
2017-10-30,80
2017-10-31,80
2017-11-01,80
2017-11-02,80
2017-11-03,80
2017-11-04,80
2017-11-05,77
2017-11-06,77
2017-11-07,77
2017-11-08,77
2017-11-09,76
2017-11-10,76
2017-11-11,76
2017-11-12,76
2017-11-13,75
2017-11-14,75
2017-11-15,75
2017-11-16,78
2017-11-17,78
2017-11-18,78
2017-11-19,78
2017-11-20,78
2017-11-21,78
2017-11-22,75
2017-11-23,75
2017-11-24,75
2017-11-25,72
2017-11-26,72
2017-11-27,72
2017-11-28,72
2017-11-29,71
2017-11-30,71
2017-12-01,71
2017-12-02,70
2017-12-03,70
2017-12-04,70
2017-12-05,70
2017-12-06,70
2017-12-07,70
2017-12-08,70
2017-12-09,69
2017-12-10,69
2017-12-11,69
2017-12-12,69
2017-12-13,69
2017-12-14,69
2017-12-15,69
2017-12-16,72
2017-12-17,72
2017-12-18,72
2017-12-19,76
2017-12-20,76
2017-12-21,76
2017-12-22,79
2017-12-23,79
2017-12-24,79
2017-12-25,80
2017-12-26,80
2017-12-27,80
2017-12-28,84
2017-12-29,84
2017-12-30,84
2017-12-31,87
2018-01-01,87
2018-01-02,87
2018-01-03,89
2018-01-04,89
2018-01-05,89
2018-01-06,94
2018-01-07,94
2018-01-08,94
2018-01-09,99
2018-01-10,99
2018-01-11,99
2018-01-12,99
2018-01-13,104
2018-01-14,104
2018-01-15,104
2018-01-16,110
