date_obj,Infinity%20bottoms price
2016-09-10,6739295
2016-09-11,6739295
2016-09-12,6739295
2016-09-13,7031340
2016-09-14,7031340
2016-09-15,7031340
2016-09-16,7031340
2016-09-17,7031340
2016-09-18,7031340
2016-09-19,7031340
2016-09-20,7031340
2016-09-21,7031340
2016-09-22,7358624
2016-09-23,7358624
2016-09-24,7358624
2016-09-25,7358624
2016-09-26,7358624
2016-09-27,7358624
2016-09-28,7358624
2016-09-29,7358624
2016-09-30,7007340
2016-10-01,7007340
2016-10-02,7007340
2016-10-03,7007340
2016-10-04,7007340
2016-10-05,7007340
2016-10-06,7007340
2016-10-07,7007340
2016-10-08,6658928
2016-10-09,6658928
2016-10-10,6658928
2016-10-11,6658928
2016-10-12,6658928
2016-10-13,6658928
2016-10-14,6658928
2016-10-15,6658928
2016-10-16,6658928
2016-10-17,6487574
2016-10-18,6487574
2016-10-19,6487574
2016-10-20,6487574
2016-10-21,6487574
2016-10-22,6487574
2016-10-23,6487574
2016-10-24,6487574
2016-10-25,6487574
2016-10-26,6327084
2016-10-27,6327084
2016-10-28,6327084
2016-10-29,6327084
2016-10-30,6327084
2016-10-31,6327084
2016-11-01,6327084
2016-11-02,6327084
2016-11-03,6327084
2016-11-04,6511750
2016-11-05,6511750
2016-11-06,6511750
2016-11-07,6511750
2016-11-08,6511750
2016-11-09,6511750
2016-11-10,6511750
2016-11-11,6695084
2016-11-12,6695084
2016-11-13,6695084
2016-11-14,6695084
2016-11-15,6695084
2016-12-07,6388742
2016-12-08,6138850
2016-12-09,6138850
2016-12-10,6138850
2016-12-11,6138850
2016-12-12,6138850
2016-12-13,6138850
2016-12-14,5849817
2016-12-15,5849817
2016-12-16,5849817
2016-12-17,5849817
2016-12-18,5849817
2016-12-19,5849817
2016-12-20,5849817
2016-12-21,5645594
2016-12-22,5645594
2016-12-23,5645594
2016-12-24,5645594
2016-12-25,5645594
2016-12-26,5645594
2016-12-27,5831076
2016-12-28,5831076
2016-12-29,5831076
2016-12-30,5831076
2016-12-31,5831076
2017-01-01,5831076
2017-01-02,5936061
2017-01-03,5936061
2017-01-04,5936061
2017-01-05,5936061
2017-01-06,5936061
2017-01-07,5670746
2017-01-08,5670746
2017-01-09,5670746
2017-01-10,5670746
2017-01-11,5670746
2017-01-12,5394924
2017-01-13,5394924
2017-01-14,5394924
2017-01-15,5394924
2017-01-16,5394924
2017-01-17,5394924
2017-01-18,5190653
2017-01-19,5190653
2017-01-20,5190653
2017-01-21,5190653
2017-01-22,5190653
2017-01-23,5171198
2017-01-27,5171198
2017-01-28,5373279
2017-01-29,5373279
2017-01-30,5373279
2017-01-31,5373279
2017-02-01,5373279
2017-02-02,5555494
2017-02-03,5555494
2017-02-04,5555494
2017-02-05,5555494
2017-02-06,5555494
2017-02-07,5555494
2017-02-08,5733407
2017-02-09,5733407
2017-02-10,5733407
2017-02-11,5733407
2017-02-12,5733407
2017-02-13,5733407
2017-02-14,5620371
2017-02-15,5620371
2017-02-16,5620371
2017-02-18,5620371
2017-02-19,5620371
2017-02-20,5695625
2017-02-21,5695625
2017-02-22,5695625
2017-02-23,5695625
2017-02-24,5695625
2017-02-25,5695625
2017-02-26,5695625
2017-02-27,5553589
2017-02-28,5553589
2017-03-01,5553589
2017-03-02,5553589
2017-03-03,5553589
2017-03-04,5553589
2017-03-05,5308847
2017-03-06,5308847
2017-03-07,5308847
2017-03-08,5308847
2017-03-09,5308847
2017-03-10,5308847
2017-03-11,5194599
2017-03-12,5194599
2017-03-13,5194599
2017-03-14,5194599
2017-03-15,5194599
2017-03-16,4946507
2017-03-17,4946507
2017-03-18,4946507
2017-03-19,4946507
2017-03-20,4946507
2017-03-21,4699181
2017-03-22,4699181
2017-03-23,4699181
2017-03-24,4699181
2017-03-25,4699181
2017-03-26,4662224
2017-03-27,4662224
2017-03-28,4662224
2017-03-29,4662224
2017-03-30,4827195
2017-03-31,4827195
2017-04-01,4827195
2017-04-02,4827195
2017-04-03,4913976
2017-04-04,4913976
2017-04-12,5366532
2017-04-13,5366532
2017-04-14,5538335
2017-04-15,5538335
2017-04-16,5538335
2017-04-17,5538335
2017-04-18,5797614
2017-04-19,5797614
2017-04-20,5797614
2017-04-21,5797614
2017-04-22,6069182
2017-04-23,6069182
2017-04-24,6069182
2017-04-25,6069182
2017-04-26,6069182
2017-04-27,6358139
2017-04-28,6358139
2017-04-29,6358139
2017-04-30,6358139
2017-05-01,6660336
2017-05-02,6660336
2017-05-03,6660336
2017-05-04,6660336
2017-05-05,6976271
2017-05-06,6976271
2017-05-07,6976271
2017-05-08,6976271
2017-05-09,7065035
2017-05-10,7065035
2017-05-11,7065035
2017-05-12,7065035
2017-05-13,7065035
2017-05-14,6736509
2017-05-15,6736509
2017-05-16,6736509
2017-05-17,6736509
2017-05-18,6736509
2017-05-19,6408148
2017-05-20,6408148
2017-05-21,6408148
2017-05-22,6408148
2017-05-23,6095290
2017-05-24,6095290
2017-05-25,6095290
2017-05-26,6095290
2017-05-27,6095290
2017-05-28,5792413
2017-05-29,5792413
2017-05-30,5792413
2017-05-31,5792413
2017-06-01,5507827
2017-06-02,5507827
2017-06-03,5507827
2017-06-04,5507827
2017-06-06,5292058
2017-06-07,5292058
2017-06-08,5292058
2017-06-09,5292058
2017-06-10,5292058
2017-06-11,5464984
2017-06-12,5464984
2017-06-13,5464984
2017-06-14,5464984
2017-06-15,5464984
2017-06-16,5220076
2017-06-17,5220076
2017-06-18,5220076
2017-06-19,5220076
2017-06-20,5220076
2017-06-21,5220076
2017-06-22,5193945
2017-06-23,5193945
2017-06-24,5193945
2017-06-25,5193945
2017-06-26,5193945
2017-06-27,5190144
2017-06-28,5190144
2017-06-29,5190144
2017-06-30,5190144
2017-07-01,5190144
2017-07-02,5190144
2017-07-03,5082257
2017-07-04,5082257
2017-07-05,5082257
2017-07-06,5082257
2017-07-07,5082257
2017-07-08,5082257
2017-07-13,4918039
2017-07-14,4888323
2017-07-15,4888323
2017-07-16,4888323
2017-07-17,4888323
2017-07-18,4888323
2017-07-19,5113169
2017-07-20,5113169
2017-07-21,5113169
2017-07-22,5113169
2017-07-23,5076836
2017-07-24,5076836
2017-07-25,5076836
2017-07-26,5076836
2017-07-27,5076836
2017-07-28,4952514
2017-07-29,4952514
2017-07-30,4952514
2017-07-31,4952514
2017-08-01,5055825
2017-08-02,5055825
2017-08-03,5055825
2017-08-04,5055825
2017-08-05,4955302
2017-08-06,4955302
2017-08-09,4955302
2017-08-10,4932919
2017-08-11,4932919
2017-08-12,4932919
2017-08-13,4932919
2017-08-14,5079345
2017-08-15,5079345
2017-08-16,5079345
2017-08-17,5079345
2017-08-18,5079345
2017-08-19,5046116
2017-08-20,5046116
2017-08-21,5046116
2017-08-22,5046116
2017-08-23,4814100
2017-08-24,4814100
2017-08-25,4814100
2017-08-26,4814100
2017-08-27,4814100
2017-08-28,4652781
2017-08-29,4652781
2017-08-30,4652781
2017-08-31,4652781
2017-09-01,4652781
2017-09-02,4445355
2017-09-03,4445355
2017-09-04,4445355
2017-09-05,4445355
2017-09-06,4445355
2017-09-07,4331177
2017-09-08,4331177
2017-09-09,4331177
2017-09-10,4331177
2017-09-11,4331177
2017-09-12,4153323
2017-09-13,4153323
2017-09-14,4153323
2017-09-15,4153323
2017-09-16,4153323
2017-09-17,4244960
2017-09-18,4244960
2017-09-19,4244960
2017-09-20,4244960
2017-09-21,4440086
2017-09-22,4440086
2017-09-23,4440086
2017-09-24,4440086
2017-09-25,4640629
2017-09-26,4640629
2017-09-27,4640629
2017-09-28,4640629
2017-09-29,4851224
2017-09-30,4851224
2017-10-01,4851224
2017-10-02,4851224
2017-10-03,5043596
2017-10-04,5043596
2017-10-05,5043596
2017-10-06,5043596
2017-10-07,5043596
2017-10-08,4825271
2017-10-09,4825271
2017-10-10,4825271
2017-10-11,4825271
2017-10-12,4825271
2017-10-13,4661498
2017-10-14,4661498
2017-10-15,4661498
2017-10-16,4661498
2017-10-17,4661498
2017-10-18,4787848
2017-10-19,4787848
2017-10-20,4787848
2017-10-21,4787848
2017-10-22,4963435
2017-10-23,4963435
2017-10-24,4963435
2017-10-25,4963435
2017-10-26,4963435
2017-10-27,4836761
2017-10-28,4836761
2017-10-29,4836761
2017-10-30,4836761
2017-10-31,4852509
2017-11-01,4852509
2017-11-02,4852509
2017-11-03,4852509
2017-11-04,5079131
2017-11-05,5079131
2017-11-06,5079131
2017-11-07,5079131
2017-11-08,5079131
2017-11-09,5192590
2017-11-10,5192590
2017-11-11,5192590
2017-11-12,5192590
2017-11-13,5192590
2017-11-14,5192590
2017-11-15,5212372
2017-11-16,5212372
2017-11-17,5212372
2017-11-18,5212372
2017-11-19,5212372
2017-11-20,5132293
2017-11-21,5132293
2017-11-22,5132293
2017-11-23,5132293
2017-11-24,5132293
2017-11-25,5042878
2017-11-26,5042878
2017-11-27,5042878
2017-11-28,5042878
2017-11-29,5042878
2017-11-30,4806925
2017-12-01,4806925
2017-12-02,4806925
2017-12-03,4705662
2017-12-04,4705662
2017-12-05,4705662
2017-12-06,4705662
2017-12-07,4592202
2017-12-08,4592202
2017-12-09,4592202
2017-12-10,4592202
2017-12-11,4592202
2017-12-12,4467433
2017-12-13,4467433
2017-12-14,4467433
2017-12-15,4467433
2017-12-16,4467433
2017-12-17,4339928
2017-12-18,4339928
2017-12-19,4339928
2017-12-20,4339928
2017-12-21,4541125
2017-12-22,4541125
2017-12-23,4541125
2017-12-24,4541125
2017-12-25,4756332
2017-12-26,4756332
2017-12-27,4756332
2017-12-28,4756332
2017-12-29,4974413
2017-12-30,4974413
2017-12-31,4974413
2018-01-01,4974413
2018-01-02,4888175
2018-01-03,4888175
2018-01-04,4888175
2018-01-05,4653646
2018-01-06,4653646
2018-01-07,4653646
2018-01-08,4653646
2018-01-09,4523330
2018-01-10,4523330
2018-01-11,4523330
2018-01-12,4523330
2018-01-13,4297163
2018-01-14,4297163
2018-01-15,4297163
2018-01-16,4135724
2018-01-17,4135724
2018-01-18,4135724
2018-01-19,4135724
2018-01-20,4115186
2018-01-21,4115186
2018-01-22,4115186
2018-01-23,4115186
2018-01-25,4222799
2018-01-26,4406651
2018-01-27,4406651
2018-01-28,4621367
2018-01-29,4621367
2018-01-30,4765076
2018-01-31,4765076
2018-02-01,4765076
2018-02-02,4849075
2018-02-03,4849075
2018-02-04,5028944
2018-02-05,5028944
2018-02-06,5028944
2018-02-07,4955558
2018-02-08,4955558
2018-02-09,4955558
2018-02-10,5075714
2018-02-11,5075714
2018-02-12,5044171
2018-02-13,5044171
2018-02-14,5044171
2018-02-15,5003123
2018-02-16,5003123
2018-02-17,4872736
2018-02-18,4872736
2018-02-19,4703356
2018-02-20,4703356
2018-02-21,4703356
2018-02-22,4622668
2018-02-23,4622668
2018-02-24,4622668
2018-02-25,4600192
2018-02-26,4600192
2018-02-27,4679125
2018-02-28,4679125
2018-03-01,4679125
2018-03-02,4638054
2018-03-03,4638054
2018-03-04,4638054
2018-03-05,4573722
2018-03-06,4573722
2018-03-07,4573722
2018-03-08,4418255
2018-03-09,4418255
2018-03-10,4418255
2018-03-11,4372745
2018-03-12,4372745
2018-03-13,4372745
2018-03-14,4580023
2018-03-15,4580023
2018-03-16,4580023
2018-03-17,4769215
2018-03-18,4769215
2018-03-19,4769215
2018-03-20,5007676
2018-03-21,5007676
2018-03-23,5217986
2018-03-24,5217986
2018-03-25,5434266
2018-03-26,5434266
2018-03-27,5692189
2018-03-28,5692189
2018-03-29,5692189
2018-03-30,5949401
2018-03-31,5949401
2018-04-01,5949401
2018-04-02,6223500
2018-04-03,6223500
2018-04-04,6498013
2018-04-05,6498013
2018-04-06,6498013
2018-04-07,6699800
2018-04-08,6699800
2018-04-09,6804831
2018-04-10,6804831
2018-04-11,6804831
2018-04-12,6822670
2018-04-13,6822670
2018-04-14,6822670
