date_obj,Bandos%20kiteshield price
2016-12-25,33191
2016-12-26,33265
2016-12-27,32666
2016-12-28,32733
2016-12-29,32756
2016-12-30,33061
2016-12-31,33056
2017-01-01,32806
2017-01-02,32558
2017-01-03,32614
2017-01-04,32821
2017-01-05,32914
2017-01-06,33177
2017-01-07,33150
2017-01-08,33328
2017-01-09,33148
2017-01-10,33510
2017-01-11,33616
2017-01-12,33411
2017-01-13,33411
2017-01-14,33078
2017-01-15,33190
2017-01-16,33026
2017-01-17,33267
2017-01-18,33411
2017-01-19,33124
2017-01-20,33424
2017-01-21,33408
2017-01-22,32921
2017-01-23,33125
2017-01-27,33440
2017-01-28,32560
2017-01-29,33329
2017-01-30,33766
2017-01-31,33910
2017-02-01,33876
2017-02-02,34249
2017-02-03,34108
2017-02-04,33159
2017-02-05,32696
2017-02-06,33153
2017-02-07,33717
2017-02-08,33736
2017-02-09,33736
2017-02-10,33253
2017-02-11,33182
2017-02-12,33182
2017-02-13,33145
2017-02-14,33017
2017-02-15,33017
2017-02-16,32756
2017-02-18,32798
2017-02-19,32575
2017-02-20,32587
2017-02-21,32389
2017-02-22,32389
2017-02-23,32875
2017-02-24,32875
2017-02-25,33047
2017-02-26,33335
2017-02-27,32452
2017-02-28,32696
2017-03-01,32648
2017-03-02,32829
2017-03-03,32871
2017-03-04,32789
2017-03-05,32847
2017-03-06,33115
2017-03-07,33795
2017-03-08,34020
2017-03-09,34182
2017-03-10,33663
2017-03-11,32688
2017-03-12,32598
2017-03-13,32950
2017-03-14,33293
2017-03-15,33994
2017-03-16,33742
2017-03-17,33065
2017-03-18,33199
2017-03-19,33742
2017-03-20,33937
2017-03-21,34304
2017-03-22,33999
2017-03-23,33677
2017-03-24,34380
2017-03-25,34380
2017-03-26,34509
2017-03-27,34606
2017-03-28,34681
2017-03-29,34438
2017-03-30,34272
2017-03-31,34524
2017-04-01,35520
2017-04-02,35114
2017-04-03,34711
2017-04-04,34283
2017-04-05,34283
2017-04-12,35469
2017-04-13,35041
2017-04-14,35535
2017-04-15,35500
2017-04-16,35324
2017-04-17,35059
2017-04-18,35866
2017-04-19,36016
2017-04-20,36315
2017-04-21,36738
2017-04-22,36155
2017-04-23,34764
2017-04-24,33643
2017-04-25,33582
2017-04-26,33582
2017-04-27,33217
2017-04-28,32933
2017-04-29,32685
2017-04-30,33220
2017-05-01,33813
2017-05-02,34868
2017-05-03,34868
2017-05-04,34810
2017-05-05,34075
2017-05-06,33535
2017-05-07,33022
2017-05-08,33183
2017-05-09,32982
2017-05-10,33224
2017-05-11,34027
2017-05-12,33880
2017-05-13,33203
2017-05-14,32754
2017-05-15,33140
2017-05-16,33336
2017-05-17,33708
2017-05-18,34142
2017-05-19,33729
2017-05-20,33780
2017-05-21,33780
2017-05-22,33751
2017-05-23,33355
2017-05-24,33577
2017-05-25,33393
2017-05-26,33129
2017-05-27,33106
2017-05-28,32669
2017-05-29,33089
2017-05-30,32793
2017-05-31,32942
2017-06-01,33394
2017-06-02,33201
2017-06-03,33201
2017-06-04,33248
2017-06-05,33248
2017-06-06,33544
2017-06-07,33827
2017-06-08,33827
2017-06-09,34057
2017-06-10,34213
2017-06-11,33948
2017-06-12,33948
2017-06-13,33968
2017-06-14,34000
2017-06-15,34150
2017-06-16,34137
2017-06-17,33970
2017-06-18,33946
2017-06-19,33946
2017-06-20,33712
2017-06-21,32916
2017-06-22,32916
2017-06-23,33095
2017-06-24,32492
2017-06-25,32045
2017-06-26,32390
2017-06-27,32291
2017-06-28,32275
2017-06-29,31741
2017-06-30,32159
2017-07-01,32159
2017-07-02,32523
2017-07-03,32926
2017-07-04,32734
2017-07-05,32734
2017-07-06,33767
2017-07-07,33767
2017-07-08,33930
2017-07-09,33481
2017-07-13,32925
2017-07-14,32511
2017-07-15,32511
2017-07-16,32422
2017-07-17,32421
2017-07-18,32425
2017-07-19,32193
2017-07-20,32174
2017-07-21,32764
2017-07-22,32504
2017-07-23,32159
2017-07-24,32333
2017-07-25,32362
2017-07-26,32089
2017-07-27,32481
2017-07-28,32857
2017-07-29,32857
2017-07-30,32666
2017-07-31,32666
2017-08-01,32856
2017-08-02,32900
2017-08-03,32993
2017-08-04,32993
2017-08-05,33030
2017-08-06,33104
2017-08-07,32655
2017-08-08,32951
2017-08-09,32740
2017-08-10,32573
2017-08-11,32883
2017-08-12,32592
2017-08-13,32897
2017-08-14,33223
2017-08-15,33123
2017-08-16,32802
2017-08-17,33293
2017-08-18,33293
2017-08-19,33373
2017-08-20,33401
2017-08-21,33426
2017-08-22,33130
2017-08-23,32956
2017-08-24,32956
2017-08-25,32965
2017-08-26,32979
2017-08-27,33315
2017-08-28,33315
2017-08-29,33370
2017-08-30,34128
2017-08-31,34128
2017-09-01,33992
2017-09-02,33748
2017-09-03,33748
2017-09-04,33428
2017-09-05,32770
2017-09-06,33131
2017-09-07,33531
2017-09-08,33531
2017-09-09,33677
2017-09-10,33279
2017-09-11,33354
2017-09-12,33354
2017-09-13,33321
2017-09-14,33082
2017-09-15,33082
2017-09-16,32659
2017-09-17,32772
2017-09-18,33072
2017-09-19,33072
2017-09-20,33019
2017-09-22,32496
2017-09-23,32496
2017-09-24,32351
2017-09-25,32360
2017-09-26,32187
2017-09-27,32187
2017-09-28,32761
2017-09-29,33797
2017-09-30,34056
2017-10-01,34276
2017-10-02,33629
2017-10-03,33629
2017-10-04,33516
2017-10-05,35053
2017-10-06,36176
2017-10-07,36315
2017-10-08,35121
2017-10-09,34143
2017-10-10,33454
2017-10-11,33454
2017-10-12,32656
2017-10-13,32343
2017-10-14,31722
2017-10-15,31722
2017-10-16,32164
2017-10-17,32164
2017-10-18,32142
2017-10-19,32466
2017-10-20,32466
2017-10-21,33025
2017-10-22,32935
2017-10-23,33187
2017-10-24,32580
2017-10-25,32515
2017-10-26,32207
2017-10-27,32145
2017-10-28,32145
2017-10-29,31513
2017-10-30,31864
2017-10-31,31876
2017-11-01,31876
2017-11-02,31908
2017-11-03,32041
2017-11-04,31765
2017-11-05,32005
2017-11-06,31795
2017-11-07,32123
2017-11-08,32708
2017-11-09,32374
2017-11-10,32374
2017-11-11,32164
2017-11-12,31958
2017-11-13,32053
2017-11-14,32053
2017-11-15,32509
2017-11-16,32426
2017-11-17,32651
2017-11-18,33129
2017-11-19,33658
2017-11-20,33342
2017-11-21,32508
2017-11-22,32508
2017-11-23,32348
2017-11-24,31768
2017-11-25,32030
2017-11-26,32000
2017-11-27,32000
2017-11-28,32014
2017-11-29,32014
2017-11-30,32483
2017-12-01,32181
2017-12-02,32181
2017-12-03,32243
2017-12-04,32430
2017-12-05,32428
2017-12-06,32503
2017-12-07,32380
2017-12-08,32380
2017-12-09,32545
2017-12-10,32612
2017-12-11,32667
2017-12-12,32085
2017-12-13,32506
2017-12-14,32526
2017-12-15,32595
2017-12-16,33266
2017-12-17,33017
2017-12-18,32533
2017-12-19,32405
2017-12-20,32726
2017-12-21,32661
2017-12-22,32812
2017-12-23,33217
2017-12-24,33361
2017-12-25,33119
2017-12-26,33075
2017-12-27,33648
2017-12-28,33648
2017-12-29,33174
2017-12-30,33659
2017-12-31,33869
2018-01-01,33652
2018-01-02,33215
2018-01-03,33446
2018-01-04,32762
2018-01-05,32824
2018-01-06,32483
2018-01-07,32422
2018-01-08,32213
2018-01-09,31923
2018-01-10,32080
2018-01-11,31970
2018-01-12,32008
2018-01-13,32193
2018-01-14,32270
2018-01-15,32152
2018-01-16,32466
2018-01-17,32416
2018-01-18,31789
2018-01-19,31789
2018-01-20,32385
2018-01-21,32400
2018-01-22,32230
2018-01-23,32022
2018-01-24,31944
2018-01-25,31944
2018-01-26,32017
2018-01-27,32440
2018-01-28,32220
2018-01-29,32100
2018-01-30,32124
2018-01-31,32362
2018-02-01,32362
2018-02-02,32369
2018-02-03,32984
2018-02-04,32829
2018-02-05,32829
2018-02-06,32423
2018-02-07,32336
2018-02-08,32336
2018-02-09,32390
2018-02-10,32390
2018-02-11,32395
2018-02-12,32080
2018-02-13,32164
2018-02-14,31856
2018-02-15,32247
2018-02-16,32512
2018-02-17,33129
2018-02-18,32487
2018-02-19,32713
2018-02-20,32713
2018-02-21,32439
2018-02-22,32685
2018-02-23,32796
2018-02-24,32796
2018-02-25,32656
2018-02-26,32859
2018-02-27,32732
2018-02-28,32732
2018-03-01,32194
2018-03-02,32384
2018-03-03,32266
2018-03-04,32266
2018-03-05,32510
2018-03-06,32769
2018-03-07,32677
2018-03-08,32334
2018-03-09,32771
2018-03-10,33077
2018-03-11,33171
2018-03-12,32820
2018-03-13,32820
2018-03-14,33028
2018-03-15,32320
2018-03-16,32275
2018-03-17,32792
2018-03-18,32596
2018-03-20,32301
2018-03-21,32198
2018-03-22,32198
2018-03-23,32472
2018-03-24,32408
2018-03-25,32342
2018-03-26,32283
2018-03-27,32427
2018-03-28,32257
2018-03-29,32328
2018-03-30,31869
2018-03-31,32134
2018-04-01,32246
2018-04-02,32220
2018-04-03,32364
2018-04-04,32223
2018-04-05,32223
2018-04-06,32085
2018-04-07,32085
2018-04-08,31981
2018-04-09,31499
2018-04-10,31936
2018-04-11,32114
2018-04-12,32081
2018-04-13,32081
2018-04-14,32300
2018-04-15,32229
2018-04-16,32229
2018-04-17,32011
2018-04-18,32011
2018-04-19,32144
2018-04-20,32622
2018-04-21,32480
2018-04-22,32480
2018-04-23,32544
2018-04-24,32701
2018-04-25,32591
2018-04-26,32591
2018-04-27,32782
2018-04-28,33069
2018-04-29,33594
2018-04-30,32784
2018-05-01,32689
2018-05-02,32689
2018-05-03,32597
2018-05-04,32597
2018-05-05,33001
2018-05-06,33001
2018-05-07,33152
2018-05-08,33152
2018-05-09,33613
2018-05-10,33885
2018-05-11,33471
2018-05-12,33269
2018-05-13,33269
2018-05-14,33592
2018-05-15,33429
2018-05-16,33212
2018-05-17,33318
2018-05-18,33245
2018-05-19,33162
2018-05-20,32747
2018-05-21,33058
2018-05-22,33058
2018-05-23,33468
2018-05-24,33693
2018-05-25,33158
2018-05-26,33791
2018-05-27,33791
2018-05-28,33667
2018-05-29,33182
2018-05-30,33182
2018-05-31,33527
2018-06-01,32875
2018-06-02,32630
2018-06-03,32649
2018-06-04,32649
2018-06-05,32980
2018-06-06,32826
2018-06-07,32826
2018-06-08,32766
2018-06-09,32766
2018-06-10,32913
2018-06-11,32910
2018-06-12,32047
2018-06-13,32345
2018-06-14,32352
2018-06-15,32400
2018-06-16,32373
2018-06-17,32289
2018-06-18,32485
2018-06-19,32667
2018-06-20,32667
2018-06-21,32356
2018-06-22,32272
2018-06-23,32272
2018-06-24,32812
2018-06-25,32919
2018-06-26,33599
2018-06-27,33599
2018-06-28,34144
2018-06-29,33330
2018-06-30,33230
2018-07-01,32624
2018-07-02,32624
2018-07-03,32063
2018-07-04,32205
2018-07-05,32205
2018-07-06,32339
2018-07-07,32776
2018-07-08,32294
2018-07-09,32445
2018-07-10,32242
2018-07-11,32365
2018-07-12,31867
2018-07-13,31900
2018-07-14,32372
2018-07-15,32372
2018-07-16,32697
2018-07-17,32409
2018-07-18,32148
2018-07-19,32359
2018-07-20,32300
2018-07-21,32316
2018-07-22,33094
2018-07-23,32836
2018-07-24,33327
2018-07-25,33327
2018-07-26,34557
2018-07-27,33493
2018-07-28,33493
2018-07-29,33221
2018-07-30,32858
2018-07-31,32447
2018-08-01,32447
2018-08-02,32320
2018-08-03,32292
2018-08-04,32720
2018-08-05,33147
2018-08-06,33144
2018-08-07,33490
2018-08-08,33537
2018-08-09,33537
2018-08-10,34069
2018-08-11,34707
2018-08-12,35245
2018-08-14,34349
2018-08-16,34113
2018-08-17,34028
2018-08-18,33880
2018-08-19,33713
2018-08-20,34043
2018-08-21,35008
2018-08-22,34354
2018-08-23,34354
2018-08-24,34664
2018-08-25,34634
2018-08-26,33923
2018-08-27,34884
2018-08-28,34509
2018-08-29,34771
2018-08-30,34238
2018-08-31,33711
2018-09-01,32856
2018-09-02,32824
2018-09-03,32554
2018-09-04,32646
2018-09-05,32558
2018-09-06,32558
2018-09-07,33366
2018-09-08,33167
2018-09-09,32637
2018-09-10,32343
2018-09-11,32343
2018-09-12,32644
2018-09-13,33565
2018-09-14,34003
2018-09-15,33346
2018-09-16,33346
2018-09-17,33121
2018-09-18,33451
2018-09-19,33635
2018-09-20,33267
2018-09-21,33275
2018-09-22,33661
2018-09-23,33247
2018-09-24,33528
2018-09-25,33528
2018-09-26,33810
2018-09-27,33725
2018-09-28,33580
2018-09-29,33702
2018-09-30,34019
2018-10-01,34669
2018-10-02,34615
2018-10-03,35446
2018-10-04,35446
2018-10-05,35710
2018-10-06,36193
2018-10-07,36538
2018-10-08,35833
