date_obj,Bronze%20dragon%20mask price
2016-07-08,13574
2016-07-09,13574
2016-07-10,13574
2016-07-11,13074
2016-07-12,13074
2016-07-13,13074
2016-07-14,13074
2016-07-15,12878
2016-07-16,12878
2016-07-17,12878
2016-07-18,12878
2016-07-23,12437
2016-07-24,12042
2016-07-25,12042
2016-07-26,12042
2016-07-27,12042
2016-07-28,12042
2016-07-29,11663
2016-07-30,11663
2016-07-31,11663
2016-08-01,11663
2016-08-02,11230
2016-08-03,11230
2016-08-04,11230
2016-08-05,11230
2016-08-06,11230
2016-08-07,10766
2016-08-08,10766
2016-08-09,10766
2016-08-10,10766
2016-08-11,10766
2016-08-12,10278
2016-08-13,10278
2016-08-14,10278
2016-08-15,10278
2016-08-16,10278
2016-08-17,9902
2016-08-18,9902
2016-08-19,9902
2016-08-20,9902
2016-08-21,9902
2016-08-22,9594
2016-08-23,9594
2016-08-24,9594
2016-08-25,9594
2016-08-26,9594
2016-08-28,9653
2016-08-31,9653
2016-09-01,9712
2016-09-02,9712
2016-09-03,9712
2016-09-04,9712
2016-09-05,9712
2016-09-06,9550
2016-09-07,9550
2016-09-08,9550
2016-09-09,9550
2016-09-10,9550
2016-09-11,9373
2016-09-12,9373
2016-09-13,9373
2016-09-14,9373
2016-09-15,9373
2016-09-16,9373
2016-09-17,9101
2016-09-18,9101
2016-09-19,9101
2016-09-20,9101
2016-09-21,9101
2016-09-22,9246
2016-09-23,9246
2016-09-24,9246
2016-09-25,9246
2016-09-26,9246
2016-09-27,9246
2016-09-28,9246
2016-09-29,9294
2016-09-30,9294
2016-10-01,9294
2016-10-02,9294
2016-10-03,9294
2016-10-04,9294
2016-10-05,9294
2016-10-06,9329
2016-10-07,9329
2016-10-08,9329
2016-10-09,9329
2016-10-10,9329
2016-10-11,9329
2016-10-12,9341
2016-10-13,9341
2016-10-14,9341
2016-10-15,9341
2016-10-16,9167
2016-10-17,9167
2016-10-18,9167
2016-10-19,9167
2016-10-20,9138
2016-10-21,9138
2016-10-22,9138
2016-10-23,9138
2016-10-24,9032
2016-10-25,9032
2016-10-26,9032
2016-10-27,9032
2016-10-28,9032
2016-10-29,8976
2016-10-30,8976
2016-10-31,8976
2016-11-01,8976
2016-11-02,8976
2016-11-03,9094
2016-11-04,9094
2016-11-05,9094
2016-11-06,9094
2016-11-07,9094
2016-11-08,9162
2016-11-09,9162
2016-11-10,9162
2016-11-11,9162
2016-11-12,9162
2016-11-13,9352
2016-11-14,9352
2016-11-15,9352
2016-12-07,8755
2016-12-08,8755
2016-12-09,8755
2016-12-10,8755
2016-12-11,8914
2016-12-12,8914
2016-12-13,8914
2016-12-14,8914
2016-12-15,8914
2016-12-16,9017
2016-12-17,9017
2016-12-18,9017
2016-12-19,9017
2016-12-20,9017
2016-12-21,9017
2016-12-22,9038
2016-12-23,9038
2016-12-24,9038
2016-12-25,9038
2016-12-26,9038
2016-12-27,9278
2016-12-28,9278
2016-12-29,9278
2016-12-30,9278
2016-12-31,9278
2017-01-01,9278
2017-01-02,9221
2017-01-03,9221
2017-01-04,9221
2017-01-05,9221
2017-01-06,9221
2017-01-07,9221
2017-01-08,9307
2017-01-09,9307
2017-01-10,9307
2017-01-11,9307
2017-01-12,9586
2017-01-13,9586
2017-01-14,9586
2017-01-15,9586
2017-01-16,9586
2017-01-17,9575
2017-01-18,9575
2017-01-19,9575
2017-01-20,9575
2017-01-21,9575
2017-01-22,9228
2017-01-23,9228
2017-01-27,9331
2017-01-28,9331
2017-01-29,9331
2017-01-30,9336
2017-01-31,9336
2017-02-01,9336
2017-02-02,9336
2017-02-03,9192
2017-02-04,9192
2017-02-05,9192
2017-02-06,9192
2017-02-07,9192
2017-02-08,9130
2017-02-09,9130
2017-02-10,9130
2017-02-11,9130
2017-02-12,9130
2017-02-13,9116
2017-02-14,9116
2017-02-15,9116
2017-02-16,9116
2017-02-18,8914
2017-02-19,8914
2017-02-20,8914
2017-02-21,8914
2017-02-22,8521
2017-02-23,8521
2017-02-24,8521
2017-02-25,8521
2017-02-26,8379
2017-02-27,8379
2017-02-28,8379
2017-03-01,8379
2017-03-02,8045
2017-03-03,8045
2017-03-04,8045
2017-03-05,8045
2017-03-06,8015
2017-03-07,8015
2017-03-08,8015
2017-03-09,8015
2017-03-10,8015
2017-03-11,8007
2017-03-12,8007
2017-03-13,8007
2017-03-14,8007
2017-03-15,8158
2017-03-16,8158
2017-03-17,8158
2017-03-18,8158
2017-03-19,8158
2017-03-20,8158
2017-03-21,8158
2017-03-22,8158
2017-03-23,8201
2017-03-24,8201
2017-03-25,8201
2017-03-26,8201
2017-03-27,8195
2017-03-28,8195
2017-03-29,8195
2017-03-30,8195
2017-03-31,8378
2017-04-01,8378
2017-04-02,8378
2017-04-03,8378
2017-04-04,8378
2017-04-12,8942
2017-04-13,8942
2017-04-14,8942
2017-04-15,8942
2017-04-16,9071
2017-04-17,9071
2017-04-18,9071
2017-04-19,8921
2017-04-20,8921
2017-04-21,8921
2017-04-22,8921
2017-04-23,8921
2017-04-24,9202
2017-04-25,9202
2017-04-26,9202
2017-04-27,9202
2017-04-28,9202
2017-04-29,9079
2017-04-30,9079
2017-05-01,9079
2017-05-02,9079
2017-05-03,9079
2017-05-04,8867
2017-05-05,8867
2017-05-06,8867
2017-05-07,8867
2017-05-08,8867
2017-05-09,8898
2017-05-10,8898
2017-05-11,8898
2017-05-12,8898
2017-05-13,8572
2017-05-14,8572
2017-05-15,8572
2017-05-16,8572
2017-05-17,8572
2017-05-18,8646
2017-05-19,8646
2017-05-20,8646
2017-05-21,8646
2017-05-22,8646
2017-05-23,8522
2017-05-24,8522
2017-05-25,8522
2017-05-26,8522
2017-05-27,8522
2017-05-28,8435
2017-05-29,8435
2017-05-30,8435
2017-05-31,8435
2017-06-01,8181
2017-06-02,8181
2017-06-03,8181
2017-06-04,8181
2017-06-05,8181
2017-06-06,8214
2017-06-07,8214
2017-06-08,8214
2017-06-09,8214
2017-06-10,8155
2017-06-11,8155
2017-06-12,8155
2017-06-13,8155
2017-06-14,7950
2017-06-15,7950
2017-06-16,7950
2017-06-17,7950
2017-06-18,7950
2017-06-19,7934
2017-06-20,7934
2017-06-21,7934
2017-06-22,7934
2017-06-23,7934
2017-06-24,8324
2017-06-25,8324
2017-06-26,8324
2017-06-27,8324
2017-06-28,8324
2017-06-29,8452
2017-06-30,8452
