date_obj,Circular%20hide price
2016-02-21,70966
2016-02-22,70966
2016-02-23,70966
2016-02-24,70966
2016-02-25,70966
2016-02-26,70966
2016-02-27,70966
2016-02-28,70966
2016-02-29,70966
2016-03-01,70966
2016-03-02,70966
2016-03-03,70966
2016-03-04,70966
2016-03-05,70966
2016-03-06,70966
2016-03-07,70966
2016-03-08,70966
2016-03-09,70966
2016-03-10,70966
2016-03-11,71336
2016-03-12,71336
2016-03-13,71336
2016-03-14,71336
2016-03-15,71336
2016-03-16,71336
2016-03-17,71336
2016-03-18,71336
2016-03-19,71336
2016-03-20,71336
2016-03-21,71336
2016-03-22,71336
2016-03-23,71336
2016-03-24,71336
2016-03-25,71336
2016-03-26,71336
2016-03-27,71336
2016-03-28,71336
2016-03-29,71336
2016-03-30,71336
2016-03-31,71336
2016-04-01,71336
2016-04-02,71336
2016-04-03,71336
2016-04-04,71336
2016-04-05,71336
2016-04-06,71336
2016-04-07,71336
2016-04-08,71336
2016-04-09,71336
2016-04-10,71336
2016-04-11,71336
2016-04-12,71336
2016-04-13,71336
2016-04-14,71336
2016-04-15,71336
2016-04-16,71336
2016-04-17,71336
2016-04-18,71336
2016-04-19,71336
2016-04-20,71336
2016-04-21,71336
2016-04-22,71336
2016-04-23,71336
2016-04-24,71336
2016-04-25,71336
2016-04-26,71336
2016-04-27,71336
2016-04-28,71336
2016-04-29,71336
2016-04-30,71336
2016-05-01,71336
2016-05-02,71336
2016-05-03,71336
2016-05-04,71336
2016-05-05,71336
2016-05-06,71336
2016-05-07,71336
2016-05-08,71336
2016-05-09,71336
2016-05-10,71336
2016-05-11,71336
2016-05-12,71336
2016-05-13,71336
2016-05-14,71336
2016-05-15,71336
2016-05-16,71336
2016-05-17,71336
2016-05-18,71336
2016-05-19,71336
2016-05-22,71336
2016-05-23,71336
2016-05-24,71336
2016-05-25,71336
2016-05-26,71336
2016-05-27,71336
2016-05-28,71336
2016-05-29,71336
2016-05-30,71336
2016-05-31,71336
2016-06-01,71336
2016-06-02,71336
2016-06-03,71336
2016-06-04,71336
2016-06-05,71336
2016-06-06,71336
2016-06-07,71336
2016-06-08,71336
2016-06-09,71336
2016-06-10,71336
2016-06-11,71336
2016-06-12,71336
2016-06-13,71336
2016-06-14,71336
2016-06-15,71336
2016-06-16,71336
2016-06-17,71336
2016-06-18,71336
2016-06-19,71336
2016-06-20,71336
2016-06-21,71336
2016-06-22,71336
2016-06-23,71336
2016-06-24,71336
2016-06-25,71336
2016-06-26,71336
2016-06-27,71336
2016-06-28,71336
2016-06-29,71336
2016-06-30,71336
2016-07-01,71336
2016-07-02,71336
2016-07-03,71336
2016-07-04,71336
2016-07-05,71336
2016-07-06,71336
2016-07-07,71336
2016-07-08,71336
2016-07-09,71336
2016-07-10,71336
2016-07-11,71336
2016-07-12,71336
2016-07-13,71336
2016-07-14,71336
2016-07-15,71336
2016-07-16,71336
2016-07-17,71336
2016-07-18,71336
2016-07-23,71336
2016-07-24,71336
2016-07-25,71336
2016-07-26,71336
2016-07-27,71336
2016-07-28,71336
2016-07-29,71336
2016-07-30,71336
2016-07-31,71336
2016-08-01,71336
2016-08-02,71336
2016-08-03,71336
2016-08-04,71336
2016-08-05,71336
2016-08-06,71336
2016-08-07,71336
2016-08-08,71336
2016-08-09,71336
2016-08-10,71336
2016-08-11,71336
2016-08-12,71336
2016-08-13,71336
2016-08-14,71336
2016-08-15,71336
2016-08-16,71336
2016-08-17,71336
2016-08-18,71336
2016-08-19,71336
2016-08-20,71336
2016-08-21,71336
2016-08-22,71336
2016-08-23,71336
2016-08-24,71336
2016-08-25,71336
2016-08-26,71336
2016-08-28,71336
2016-08-31,71336
2016-09-01,71336
2016-09-02,71336
2016-09-03,71336
2016-09-04,71336
2016-09-05,71336
2016-09-06,69567
2016-09-07,69567
2016-09-08,69567
2016-09-09,69567
2016-09-10,69567
2016-09-11,69567
2016-09-12,69567
2016-09-13,69567
2016-09-14,69567
2016-09-15,69567
2016-09-16,69567
2016-09-17,69567
2016-09-18,69567
2016-09-19,69567
2016-09-20,69567
2016-09-21,69567
2016-09-22,69567
2016-09-23,69567
2016-09-24,69567
2016-09-25,69567
2016-09-26,69567
2016-09-27,69567
2016-09-28,69567
2016-09-29,69567
2016-09-30,69567
2016-10-01,69567
2016-10-02,69567
2016-10-03,69567
2016-10-04,69567
2016-10-05,69567
2016-10-06,69567
2016-10-07,69567
2016-10-08,69567
2016-10-09,69567
2016-10-10,69567
2016-10-11,69567
2016-10-12,69567
2016-10-13,69567
2016-10-14,69567
2016-10-15,69567
2016-10-16,69567
2016-10-17,69567
2016-10-18,69567
2016-10-19,69567
2016-10-20,69567
2016-10-21,69567
2016-10-22,69567
2016-10-23,69567
2016-10-24,69567
2016-10-25,69567
2016-10-26,69567
2016-10-27,69567
2016-10-28,69567
2016-10-29,69567
2016-10-30,69567
2016-10-31,69567
2016-11-01,69567
2016-11-02,69567
2016-11-03,69567
2016-11-04,69567
2016-11-05,69567
2016-11-06,69567
2016-11-07,69567
2016-11-08,69567
2016-11-09,69567
2016-11-10,69567
2016-11-11,69567
2016-11-12,69567
2016-11-13,69567
2016-11-14,69567
2016-11-15,69567
2016-12-07,69567
2016-12-08,69567
2016-12-09,69567
2016-12-10,69567
2016-12-11,69567
2016-12-12,69567
2016-12-13,69567
2016-12-14,69567
2016-12-15,69567
2016-12-16,69567
2016-12-17,69567
2016-12-18,69567
2016-12-19,69567
2016-12-20,69567
2016-12-21,69567
2016-12-22,69567
2016-12-23,69567
2016-12-24,69567
2016-12-25,69567
2016-12-26,69567
2016-12-27,69567
2016-12-28,69567
2016-12-29,69567
2016-12-30,69567
2016-12-31,69567
2017-01-01,69567
2017-01-02,69567
2017-01-03,69567
2017-01-04,69567
2017-01-05,69567
2017-01-06,69567
2017-01-07,69567
2017-01-08,69567
2017-01-09,69567
2017-01-10,69567
2017-01-11,69567
2017-01-12,69567
2017-01-13,69567
2017-01-14,69567
2017-01-15,69567
2017-01-16,69567
2017-01-17,69567
2017-01-18,69567
2017-01-19,69567
2017-01-20,69567
2017-01-21,69567
2017-01-22,69567
2017-01-23,69567
2017-01-27,69567
2017-01-28,69567
2017-01-29,69567
2017-01-30,69567
2017-01-31,69567
2017-02-01,69567
2017-02-02,69567
2017-02-03,69567
2017-02-04,68216
2017-02-05,68216
2017-02-06,68216
2017-02-07,68216
2017-02-08,68216
2017-02-09,68216
2017-02-10,68216
2017-02-11,68216
2017-02-12,68216
2017-02-13,68216
2017-02-14,68216
2017-02-15,68216
2017-02-16,68216
2017-02-18,68216
2017-02-19,68216
2017-02-20,68216
2017-02-21,68216
2017-02-22,68216
2017-02-23,68216
2017-02-24,68216
2017-02-25,68216
2017-02-26,68216
2017-02-27,68216
2017-02-28,68216
2017-03-01,68216
2017-03-02,68216
2017-03-03,68216
2017-03-04,68216
2017-03-05,68216
2017-03-06,68216
2017-03-07,68216
2017-03-08,68216
2017-03-09,68216
2017-03-10,68216
2017-03-11,68216
2017-03-12,68216
2017-03-13,68216
2017-03-14,68216
2017-03-15,68216
2017-03-16,68216
2017-03-17,68216
2017-03-18,68216
2017-03-19,68216
2017-03-20,68216
2017-03-21,68216
2017-03-22,68216
2017-03-23,68216
2017-03-24,68216
2017-03-25,68216
2017-03-26,68216
2017-03-27,68216
2017-03-28,68216
2017-03-29,68216
2017-03-30,68216
2017-03-31,68216
2017-04-01,68216
2017-04-02,68216
2017-04-03,68216
2017-04-04,68216
2017-04-12,68216
2017-04-13,68216
2017-04-14,68216
2017-04-15,68216
2017-04-16,68216
2017-04-17,68216
2017-04-18,68216
2017-04-19,68216
2017-04-20,68216
2017-04-21,68216
2017-04-22,68216
2017-04-23,68216
2017-04-24,68216
2017-04-25,68216
2017-04-26,68216
2017-04-27,68216
2017-04-28,68216
2017-04-29,68216
2017-04-30,68216
2017-05-01,68216
2017-05-02,68216
2017-05-03,68216
2017-05-04,68216
2017-05-05,68216
2017-05-06,68216
2017-05-07,68216
2017-05-08,68216
2017-05-09,68216
2017-05-10,68216
2017-05-11,68216
2017-05-12,68216
2017-05-13,68216
2017-05-14,68216
2017-05-15,68216
2017-05-16,68216
2017-05-17,68216
2017-05-18,68216
2017-05-19,68216
2017-05-20,68216
2017-05-21,68216
2017-05-22,68216
2017-05-23,68216
2017-05-24,68216
2017-05-25,68216
2017-05-26,68216
2017-05-27,68216
2017-05-28,68216
2017-05-29,68216
2017-05-30,68216
2017-05-31,68216
2017-06-01,68216
2017-06-02,68216
2017-06-03,68216
2017-06-04,68216
2017-06-05,68216
2017-06-06,68216
2017-06-07,68216
2017-06-08,68216
2017-06-09,68216
2017-06-10,68216
2017-06-11,68216
2017-06-12,68216
2017-06-13,68216
2017-06-14,68216
2017-06-15,68216
2017-06-16,65686
2017-06-17,65686
2017-06-18,65686
2017-06-19,65686
2017-06-20,65686
2017-06-21,65686
2017-06-22,65686
2017-06-23,65686
2017-06-24,65686
2017-06-25,65686
2017-06-26,65686
2017-06-27,65686
2017-06-28,65686
2017-06-29,65686
2017-06-30,65686
2017-07-01,65686
2017-07-02,65686
2017-07-03,65686
2017-07-04,65686
2017-07-05,65686
2017-07-06,65686
2017-07-07,65686
2017-07-08,65686
2017-07-13,65686
2017-07-14,65686
2017-07-15,65686
2017-07-16,65686
2017-07-17,65686
2017-07-18,65686
2017-07-19,65686
2017-07-20,65686
2017-07-21,65686
2017-07-22,65686
2017-07-23,65686
2017-07-24,65686
2017-07-25,65686
2017-07-26,65686
2017-07-27,65686
2017-07-28,65686
2017-07-29,65686
2017-07-30,65686
2017-07-31,65686
2017-08-01,65686
2017-08-02,65686
2017-08-03,65686
2017-08-04,65686
2017-08-05,65686
2017-08-06,65686
2017-08-09,65686
2017-08-10,65686
2017-08-11,65686
2017-08-12,65686
2017-08-13,65686
2017-08-14,65686
2017-08-15,65686
2017-08-16,65686
2017-08-17,65686
2017-08-18,65686
2017-08-19,65686
2017-08-20,65686
2017-08-21,65686
2017-08-22,65686
2017-08-23,65686
2017-08-24,65686
2017-08-25,65686
2017-08-26,65686
2017-08-27,65686
2017-08-28,65686
2017-08-29,65686
2017-08-30,65686
2017-08-31,65686
2017-09-01,65686
2017-09-02,65686
2017-09-03,65686
2017-09-04,65686
2017-09-05,65686
2017-09-06,65686
2017-09-07,65686
2017-09-08,65686
2017-09-09,65686
2017-09-10,65686
2017-09-11,65686
2017-09-12,65686
2017-09-13,65686
2017-09-14,65686
2017-09-15,65686
2017-09-16,65686
2017-09-17,65686
2017-09-18,65686
2017-09-19,65686
2017-09-20,65686
2017-09-21,65686
2017-09-22,65686
2017-09-23,65686
2017-09-24,65686
2017-09-25,65686
2017-09-26,65686
2017-09-27,65686
2017-09-28,65686
2017-09-29,65686
2017-09-30,65686
2017-10-01,65686
2017-10-02,65686
2017-10-03,65686
2017-10-04,65686
2017-10-05,65686
2017-10-06,65686
2017-10-07,65686
2017-10-08,65686
2017-10-09,65686
2017-10-10,65686
2017-10-11,65686
2017-10-12,65686
2017-10-13,65686
2017-10-14,65686
2017-10-15,65686
2017-10-16,65686
2017-10-17,65686
2017-10-18,64384
2017-10-19,64384
2017-10-20,64384
2017-10-21,64384
2017-10-22,64384
2017-10-23,64384
2017-10-24,64384
2017-10-25,64384
2017-10-26,64384
2017-10-27,64384
2017-10-28,64384
2017-10-29,64384
2017-10-30,64384
2017-10-31,64384
2017-11-01,64384
2017-11-02,64384
2017-11-03,64384
2017-11-04,64384
2017-11-05,64384
2017-11-06,64384
2017-11-07,64384
2017-11-08,64384
2017-11-09,64384
2017-11-10,64384
2017-11-11,64384
2017-11-12,64384
2017-11-13,64384
2017-11-14,64384
2017-11-15,64384
2017-11-16,64384
2017-11-17,64384
2017-11-18,64384
