date_obj,Keg%20of%20beer price
2015-07-27,1911
2015-07-28,1911
2015-07-29,1911
2015-07-30,1911
2015-07-31,1911
2015-08-01,1911
2015-08-02,1911
2015-08-03,1911
2015-08-04,1911
2015-08-05,1911
2015-08-06,1911
2015-08-07,1821
2015-08-08,1821
2015-08-09,1821
2015-08-10,1821
2015-08-11,1821
2015-08-12,1821
2015-08-13,1821
2015-08-14,1821
2015-08-15,1821
2015-08-16,1821
2015-08-17,1821
2015-08-18,1821
2015-08-19,1821
2015-08-20,1821
2015-08-21,1780
2015-08-22,1780
2015-08-23,1780
2015-08-24,1780
2015-08-25,1780
2015-08-26,1780
2015-08-27,1780
2015-08-28,1780
2015-08-29,1780
2015-08-30,1780
2015-08-31,1780
2015-09-01,1780
2015-09-02,1780
2015-09-03,1780
2015-09-04,1780
2015-09-05,1812
2015-09-06,1812
2015-09-07,1812
2015-09-08,1812
2015-09-09,1812
2015-09-10,1812
2015-09-11,1812
2015-09-12,1812
2015-09-13,1812
2015-09-14,1812
2015-09-15,1812
2015-09-16,1812
2015-09-17,1812
2015-09-18,1812
2015-09-19,1869
2015-09-20,1869
2015-09-21,1869
2015-09-22,1869
2015-09-23,1869
2015-09-24,1869
2015-09-25,1869
2015-09-27,1869
2015-09-28,1869
2015-09-29,1869
2015-09-30,1869
2015-10-05,1869
2015-10-06,1938
2015-10-07,1938
2015-10-08,1938
2015-10-09,1938
2015-10-10,1938
2015-10-11,1938
2015-10-12,1938
2015-10-13,1938
2015-10-14,1938
2015-10-15,1938
2015-10-16,1938
2015-10-17,1938
2015-10-18,1938
2015-10-19,1938
2015-10-20,1938
2015-10-22,1922
2015-10-23,1922
2015-10-24,1922
2015-10-25,1922
2015-10-26,1922
2015-10-27,1922
2015-10-29,1922
2015-10-30,1922
2015-10-31,1922
2015-11-01,1922
2015-11-02,1922
2015-11-03,1922
2015-11-04,1922
2015-11-05,1906
2015-11-06,1906
2015-11-07,1906
2015-11-08,1906
2015-11-09,1906
2015-11-10,1906
2015-11-11,1906
2015-11-12,1906
2015-11-13,1906
2015-11-14,1906
2015-11-15,1906
2015-11-16,1906
2015-11-17,1906
2015-11-18,1906
2015-11-19,1906
2015-11-20,1906
2015-11-21,1936
2015-11-22,1936
2015-11-23,1936
2015-11-24,1936
2015-11-25,1936
2015-11-26,1936
2015-11-27,1936
2015-11-28,1936
2015-11-29,1936
2015-11-30,1936
2015-12-01,1936
2015-12-02,1936
2015-12-03,1936
2015-12-04,1936
2015-12-05,1959
2015-12-06,1959
2015-12-07,1959
2015-12-08,1959
2015-12-09,1959
2015-12-10,1959
2015-12-11,1959
2015-12-12,1959
2015-12-13,1959
2015-12-14,1959
2015-12-15,1959
2015-12-16,1959
2015-12-17,1959
2015-12-18,1959
2015-12-19,1967
2015-12-20,1967
2015-12-21,1967
2015-12-22,1967
2015-12-23,1967
2015-12-24,1967
2015-12-25,1967
2015-12-26,1967
2015-12-27,1967
2015-12-28,1967
2015-12-29,2000
2015-12-30,2000
2015-12-31,2000
2016-01-01,2000
2016-01-02,2000
2016-01-03,2000
2016-01-04,2000
2016-01-05,2000
2016-01-06,2000
2016-01-07,2000
2016-01-08,2000
2016-01-09,2000
2016-01-10,2021
2016-01-11,2021
2016-01-12,2021
2016-01-13,2021
2016-01-14,2021
2016-01-15,2021
2016-01-16,2021
2016-01-17,2021
2016-01-18,2021
2016-01-19,2021
2016-01-20,2021
2016-01-21,2021
2016-01-22,2021
2016-01-23,2076
2016-01-24,2076
2016-01-25,2076
2016-01-26,2076
2016-01-27,2076
2016-01-28,2076
2016-01-29,2076
2016-01-30,2076
2016-01-31,2076
2016-02-01,2076
2016-02-02,2076
2016-02-03,2045
2016-02-04,2045
2016-02-05,2045
2016-02-06,2045
2016-02-07,2045
2016-02-08,2045
2016-02-09,2045
2016-02-10,2045
2016-02-11,2045
2016-02-12,2045
2016-02-13,2045
2016-02-14,2045
2016-02-15,1994
2016-02-16,1994
2016-02-17,1994
2016-02-18,1994
2016-02-19,1994
2016-02-20,1994
2016-02-21,1994
2016-02-22,1994
2016-02-23,1994
2016-02-24,1994
2016-02-25,1994
2016-02-26,1994
2016-02-27,1991
2016-02-28,1991
2016-02-29,1991
2016-03-01,1991
2016-03-02,1991
2016-03-03,1991
2016-03-04,1991
2016-03-05,1991
2016-03-06,1991
2016-03-07,1991
2016-03-08,1991
2016-03-09,1991
2016-03-10,1991
2016-03-11,1990
2016-03-12,1990
2016-03-13,1990
2016-03-14,1990
2016-03-15,1990
2016-03-16,1990
2016-03-17,1990
2016-03-18,1990
2016-03-19,1990
2016-03-20,1990
2016-03-21,1990
2016-03-22,1990
2016-03-23,2026
2016-03-24,2026
2016-03-25,2026
2016-03-26,2026
2016-03-27,2026
2016-03-28,2026
2016-03-29,2026
2016-03-30,2026
2016-03-31,2026
2016-04-01,2026
2016-04-02,2026
2016-04-03,2026
2016-04-04,1963
2016-04-05,1963
2016-04-06,1963
2016-04-07,1963
2016-04-08,1963
2016-04-09,1963
2016-04-10,1963
2016-04-11,1963
2016-04-12,1963
2016-04-13,1963
2016-04-14,1963
2016-04-15,1940
2016-04-16,1940
2016-04-17,1940
2016-04-18,1940
2016-04-19,1940
2016-04-20,1940
2016-04-21,1940
2016-04-22,1940
2016-04-23,1940
2016-04-24,1940
2016-04-25,1940
2016-04-26,1940
2016-04-27,1940
2016-04-28,1878
2016-04-29,1878
2016-04-30,1878
2016-05-01,1878
2016-05-02,1878
2016-05-03,1878
2016-05-04,1878
2016-05-05,1878
2016-05-06,1878
2016-05-07,1878
2016-05-08,1878
2016-05-09,1831
2016-05-10,1831
2016-05-11,1831
2016-05-12,1831
2016-05-13,1831
2016-05-14,1831
2016-05-15,1831
2016-05-16,1831
2016-05-17,1831
2016-05-18,1831
2016-05-19,1831
2016-05-22,1833
2016-05-23,1833
2016-05-24,1833
2016-05-25,1833
2016-05-26,1833
2016-05-27,1833
2016-05-28,1833
2016-05-29,1833
2016-05-30,1833
2016-05-31,1817
2016-06-01,1817
2016-06-02,1817
2016-06-03,1817
2016-06-04,1817
2016-06-05,1817
2016-06-06,1817
2016-06-07,1817
2016-06-08,1817
2016-06-09,1817
2016-06-10,1787
2016-06-11,1787
2016-06-12,1787
2016-06-13,1787
2016-06-14,1787
2016-06-15,1787
2016-06-16,1787
2016-06-17,1787
2016-06-18,1787
2016-06-19,1787
2016-06-20,1787
2016-06-21,1721
2016-06-22,1721
2016-06-23,1721
2016-06-24,1721
2016-06-25,1721
2016-06-26,1721
2016-06-27,1721
2016-06-28,1721
2016-06-29,1721
2016-06-30,1721
2016-07-01,1721
2016-07-02,1669
2016-07-03,1669
2016-07-04,1669
2016-07-05,1669
2016-07-06,1669
2016-07-07,1669
2016-07-08,1669
2016-07-09,1669
2016-07-10,1611
2016-07-11,1611
2016-07-12,1611
2016-07-13,1611
2016-07-14,1611
2016-07-15,1611
2016-07-16,1611
2016-07-17,1625
2016-07-18,1625
2016-07-23,1625
2016-07-24,1625
2016-07-25,1658
2016-07-26,1658
2016-07-27,1658
2016-07-28,1658
2016-07-29,1658
2016-07-30,1658
2016-07-31,1658
2016-08-01,1658
2016-08-02,1658
2016-08-03,1663
2016-08-04,1663
2016-08-05,1663
2016-08-06,1663
2016-08-07,1663
2016-08-08,1663
2016-08-09,1663
2016-08-10,1663
2016-08-11,1663
2016-08-12,1673
2016-08-13,1673
2016-08-14,1673
2016-08-15,1673
2016-08-16,1673
2016-08-17,1673
2016-08-18,1713
2016-08-19,1713
2016-08-20,1713
2016-08-21,1713
2016-08-22,1636
2016-08-23,1636
2016-08-24,1636
2016-08-25,1636
2016-08-26,1561
2016-08-28,1561
2016-08-31,1489
2016-09-01,1489
2016-09-02,1489
2016-09-03,1489
2016-09-04,1489
2016-09-05,1414
2016-09-06,1414
2016-09-07,1414
2016-09-08,1414
2016-09-09,1414
2016-09-10,1414
2016-09-11,1414
2016-09-12,1343
2016-09-13,1343
2016-09-14,1343
2016-09-15,1343
2016-09-16,1343
2016-09-17,1343
2016-09-18,1343
2016-09-19,1343
2016-09-20,1286
2016-09-21,1286
2016-09-22,1286
2016-09-23,1286
2016-09-24,1286
2016-09-25,1286
2016-09-26,1286
2016-09-27,1286
2016-09-28,1291
2016-09-29,1291
2016-09-30,1291
2016-10-01,1291
2016-10-02,1291
2016-10-03,1291
2016-10-04,1291
2016-10-05,1291
2016-10-06,1291
2016-10-07,1291
2016-10-08,1274
2016-10-09,1274
2016-10-10,1274
2016-10-11,1274
2016-10-12,1274
2016-10-13,1274
2016-10-14,1274
2016-10-15,1274
2016-10-16,1274
2016-10-17,1240
2016-10-18,1240
2016-10-19,1240
2016-10-20,1240
2016-10-21,1240
2016-10-22,1240
2016-10-23,1240
2016-10-24,1240
2016-10-25,1200
2016-10-26,1200
2016-10-27,1200
2016-10-28,1200
2016-10-29,1200
2016-10-30,1200
2016-10-31,1200
2016-11-01,1200
2016-11-02,1183
2016-11-03,1183
2016-11-04,1183
2016-11-05,1183
2016-11-06,1183
2016-11-07,1183
2016-11-08,1183
2016-11-09,1183
2016-11-10,1183
2016-11-11,1216
2016-11-12,1216
2016-11-13,1216
2016-11-14,1216
2016-12-07,1234
2016-12-08,1234
2016-12-09,1234
2016-12-10,1234
2016-12-11,1234
2016-12-12,1234
2016-12-13,1234
2016-12-14,1197
2016-12-15,1197
2016-12-16,1197
2016-12-17,1197
2016-12-18,1197
2016-12-19,1197
2016-12-20,1197
2016-12-21,1197
2016-12-22,1197
2016-12-23,1163
2016-12-24,1163
2016-12-25,1163
2016-12-26,1163
2016-12-27,1163
2016-12-28,1163
2016-12-29,1163
2016-12-30,1163
2016-12-31,1134
2017-01-01,1134
2017-01-02,1134
2017-01-03,1134
2017-01-04,1134
2017-01-05,1134
2017-01-06,1134
2017-01-07,1134
2017-01-08,1079
2017-01-09,1079
2017-01-10,1079
2017-01-11,1079
2017-01-12,1079
2017-01-13,1079
2017-01-14,1079
2017-01-15,1079
2017-01-16,1038
2017-01-17,1038
2017-01-18,1038
2017-01-19,1038
2017-01-20,1038
2017-01-21,1038
2017-01-22,1038
2017-01-27,999
2017-01-28,999
2017-01-29,999
2017-01-30,999
2017-01-31,984
2017-02-01,984
2017-02-02,984
2017-02-03,984
2017-02-04,984
2017-02-05,984
2017-02-06,984
2017-02-07,1017
2017-02-08,1017
2017-02-09,1017
2017-02-10,1017
2017-02-11,1017
2017-02-12,1017
2017-02-13,1017
2017-02-14,1006
2017-02-15,1006
2017-02-16,1006
2017-02-18,1006
2017-02-19,1006
2017-02-20,1006
2017-02-21,1006
2017-02-22,955
2017-02-23,955
2017-02-24,955
2017-02-25,955
2017-02-26,955
2017-02-27,955
2017-02-28,968
2017-03-01,968
2017-03-02,968
2017-03-03,968
2017-03-04,968
2017-03-05,968
2017-03-06,968
2017-03-07,968
2017-03-08,983
2017-03-09,983
2017-03-10,983
2017-03-11,983
2017-03-12,983
2017-03-13,983
2017-03-14,983
2017-03-15,1018
2017-03-16,1018
2017-03-17,1018
2017-03-18,1018
2017-03-19,1018
2017-03-20,1018
2017-03-21,1018
2017-03-22,1048
2017-03-23,1048
2017-03-24,1048
2017-03-25,1048
2017-03-26,1048
2017-03-27,1048
2017-03-28,1048
2017-03-29,1079
2017-03-30,1079
2017-03-31,1079
2017-04-01,1079
2017-04-02,1079
2017-04-03,1079
2017-04-04,1079
2017-04-12,1107
2017-04-13,1107
2017-04-14,1107
2017-04-15,1107
2017-04-16,1107
2017-04-17,1107
2017-04-18,1107
2017-04-19,1126
2017-04-20,1126
2017-04-21,1126
2017-04-22,1126
2017-04-23,1126
2017-04-24,1126
2017-04-25,1126
2017-04-26,1126
2017-04-27,1158
2017-04-28,1158
2017-04-29,1158
2017-04-30,1158
2017-05-01,1158
2017-05-02,1158
2017-05-03,1158
2017-05-04,1181
2017-05-05,1181
2017-05-06,1181
2017-05-07,1181
2017-05-08,1181
2017-05-09,1181
2017-05-10,1181
2017-05-11,1198
2017-05-12,1198
2017-05-13,1198
2017-05-14,1198
2017-05-15,1198
2017-05-16,1198
2017-05-17,1198
2017-05-18,1198
2017-05-19,1198
2017-05-20,1222
2017-05-21,1222
2017-05-22,1222
2017-05-23,1222
2017-05-24,1222
2017-05-25,1222
2017-05-26,1222
2017-05-27,1222
2017-05-28,1222
2017-05-29,1246
2017-05-30,1246
2017-05-31,1246
2017-06-01,1246
2017-06-02,1246
2017-06-03,1246
2017-06-04,1246
2017-06-06,1224
2017-06-07,1224
2017-06-08,1224
2017-06-09,1224
2017-06-10,1224
2017-06-11,1224
2017-06-12,1202
2017-06-13,1202
2017-06-14,1202
2017-06-15,1202
2017-06-16,1202
2017-06-17,1202
2017-06-18,1202
2017-06-19,1202
2017-06-20,1170
2017-06-21,1170
2017-06-22,1170
2017-06-23,1170
2017-06-24,1170
2017-06-25,1170
2017-06-26,1170
2017-06-27,1171
2017-06-28,1171
2017-06-29,1171
2017-06-30,1171
2017-07-01,1171
2017-07-02,1171
2017-07-03,1171
2017-07-04,1182
2017-07-05,1182
2017-07-06,1182
2017-07-07,1182
2017-07-08,1182
2017-07-13,1171
2017-07-14,1171
2017-07-15,1171
2017-07-16,1171
2017-07-17,1171
2017-07-18,1171
2017-07-19,1188
2017-07-20,1188
2017-07-21,1188
2017-07-22,1188
2017-07-23,1188
2017-07-24,1188
2017-07-25,1188
2017-07-26,1188
2017-07-27,1224
2017-07-28,1224
2017-07-29,1224
2017-07-30,1224
2017-07-31,1224
2017-08-01,1224
2017-08-02,1224
2017-08-03,1224
2017-08-04,1195
2017-08-05,1195
2017-08-06,1195
2017-08-09,1195
2017-08-10,1195
2017-08-11,1195
2017-08-12,1203
2017-08-13,1203
2017-08-14,1203
2017-08-15,1203
2017-08-17,1203
2017-08-18,1203
2017-08-19,1241
2017-08-20,1241
2017-08-21,1241
2017-08-22,1241
2017-08-23,1241
2017-08-24,1241
2017-08-25,1241
2017-08-26,1248
2017-08-27,1248
2017-08-28,1248
2017-08-29,1248
2017-08-30,1248
2017-08-31,1248
2017-09-01,1248
2017-09-02,1248
2017-09-03,1284
2017-09-04,1284
2017-09-05,1284
2017-09-06,1284
2017-09-07,1284
2017-09-08,1284
2017-09-09,1284
2017-09-10,1283
2017-09-11,1283
2017-09-12,1283
2017-09-13,1283
2017-09-14,1283
2017-09-15,1283
2017-09-16,1283
2017-09-17,1294
2017-09-19,1294
2017-09-20,1294
2017-09-21,1294
2017-09-22,1294
2017-09-23,1294
2017-09-24,1294
2017-09-25,1281
2017-09-26,1281
2017-09-27,1281
2017-09-28,1281
2017-09-29,1281
2017-09-30,1281
2017-10-01,1281
2017-10-02,1281
2017-10-03,1307
2017-10-04,1307
2017-10-05,1307
2017-10-06,1307
2017-10-07,1307
2017-10-08,1307
2017-10-09,1307
2017-10-10,1310
2017-10-11,1310
2017-10-12,1310
2017-10-13,1310
2017-10-14,1310
2017-10-15,1310
2017-10-16,1310
2017-10-17,1310
2017-10-18,1345
2017-10-19,1345
2017-10-20,1345
2017-10-21,1345
2017-10-22,1345
2017-10-23,1345
2017-10-24,1345
2017-10-25,1386
2017-10-26,1386
2017-10-27,1386
2017-10-28,1386
2017-10-29,1386
2017-10-30,1386
2017-10-31,1386
2017-11-01,1386
2017-11-02,1395
2017-11-03,1395
2017-11-04,1395
2017-11-05,1395
2017-11-06,1395
2017-11-07,1395
2017-11-08,1395
2017-11-09,1400
2017-11-10,1400
2017-11-11,1400
2017-11-12,1400
2017-11-13,1400
2017-11-14,1400
2017-11-15,1400
2017-11-16,1437
2017-11-17,1437
2017-11-18,1437
2017-11-19,1437
2017-11-20,1437
2017-11-21,1437
2017-11-22,1437
2017-11-23,1475
2017-11-24,1475
2017-11-25,1475
2017-11-26,1475
2017-11-27,1475
2017-11-28,1475
2017-11-29,1475
2017-11-30,1475
2017-12-01,1451
2017-12-02,1451
2017-12-03,1451
2017-12-04,1451
2017-12-05,1451
2017-12-06,1451
2017-12-07,1451
2017-12-08,1408
2017-12-09,1408
2017-12-10,1408
2017-12-11,1408
2017-12-12,1408
2017-12-14,1404
2017-12-15,1404
2017-12-16,1404
2017-12-17,1404
2017-12-18,1404
2017-12-19,1391
2017-12-20,1391
2017-12-21,1391
2017-12-22,1391
2017-12-23,1391
2017-12-24,1437
2017-12-25,1437
2017-12-26,1437
2017-12-27,1437
2017-12-28,1437
2017-12-29,1437
2017-12-30,1411
2017-12-31,1411
2018-01-01,1411
2018-01-02,1411
2018-01-03,1411
2018-01-04,1411
2018-01-05,1377
2018-01-06,1377
2018-01-07,1377
2018-01-08,1377
2018-01-09,1377
2018-01-10,1377
2018-01-11,1386
2018-01-12,1386
2018-01-13,1386
2018-01-14,1386
2018-01-15,1386
2018-01-16,1386
2018-01-17,1339
2018-01-18,1339
2018-01-19,1339
2018-01-20,1339
2018-01-21,1339
2018-01-22,1339
2018-01-23,1339
2018-01-25,1300
2018-01-26,1300
2018-01-27,1300
2018-01-28,1262
2018-01-29,1262
2018-01-31,1262
2018-02-01,1241
2018-02-02,1241
2018-02-03,1241
2018-02-04,1241
2018-02-05,1215
2018-02-06,1215
2018-02-07,1215
2018-02-08,1215
2018-02-09,1213
2018-02-10,1213
2018-02-11,1213
2018-02-12,1213
2018-02-13,1219
2018-02-14,1219
2018-02-15,1219
2018-02-16,1205
2018-02-17,1205
2018-02-18,1205
2018-02-19,1175
2018-02-20,1175
2018-02-21,1175
2018-02-22,1176
2018-02-23,1176
2018-02-24,1176
2018-02-25,1176
2018-02-26,1198
2018-02-27,1198
2018-02-28,1198
2018-03-01,1198
2018-03-02,1215
2018-03-03,1215
2018-03-04,1215
2018-03-05,1177
2018-03-06,1177
2018-03-07,1177
2018-03-08,1194
2018-03-09,1194
2018-03-10,1194
2018-03-11,1217
2018-03-12,1217
2018-03-13,1217
2018-03-14,1217
2018-03-15,1224
2018-03-16,1224
2018-03-17,1224
2018-03-18,1181
2018-03-19,1181
2018-03-20,1181
2018-03-21,1163
2018-03-23,1163
2018-03-24,1163
2018-03-25,1139
2018-03-26,1139
2018-03-27,1139
2018-03-28,1167
2018-03-29,1167
2018-03-30,1167
2018-03-31,1167
2018-04-01,1108
2018-04-02,1108
2018-04-03,1108
2018-04-04,1053
2018-04-05,1053
2018-04-06,1053
2018-04-07,1053
2018-04-08,1045
2018-04-09,1045
2018-04-10,1045
2018-04-11,1045
2018-04-12,1013
2018-04-13,1013
2018-04-14,1013
2018-04-15,1013
2018-04-16,1050
2018-04-17,1050
2018-04-18,1050
2018-04-19,1050
2018-04-20,1093
2018-04-21,1093
2018-04-22,1093
2018-04-23,1093
2018-04-24,1124
2018-04-25,1124
2018-04-26,1124
2018-04-27,1124
2018-04-28,1167
2018-04-29,1167
2018-04-30,1167
2018-05-01,1167
2018-05-04,1194
2018-05-05,1151
2018-05-06,1151
2018-05-07,1151
2018-05-08,1151
2018-05-09,1158
2018-05-10,1158
2018-05-11,1158
2018-05-12,1158
2018-05-13,1150
2018-05-14,1150
2018-05-15,1150
2018-05-16,1150
2018-05-17,1176
2018-05-18,1176
2018-05-19,1176
2018-05-20,1192
2018-05-21,1192
2018-05-22,1192
2018-05-23,1244
2018-05-24,1244
2018-05-25,1244
2018-05-26,1244
2018-05-27,1307
2018-05-28,1307
2018-05-29,1307
2018-05-30,1307
2018-05-31,1352
2018-06-01,1352
2018-06-02,1352
2018-06-03,1408
2018-06-04,1408
2018-06-05,1408
2018-06-06,1408
2018-06-07,1479
2018-06-08,1479
2018-06-09,1479
2018-06-10,1540
2018-06-11,1540
2018-06-12,1540
2018-06-13,1602
2018-06-14,1602
2018-06-15,1602
2018-06-16,1671
2018-06-17,1671
2018-06-18,1671
2018-06-19,1628
2018-06-20,1628
2018-06-21,1628
2018-06-22,1628
2018-06-23,1566
2018-06-24,1566
2018-06-25,1566
2018-06-26,1490
2018-06-27,1490
2018-06-28,1490
2018-06-29,1415
2018-06-30,1415
2018-07-01,1402
2018-07-02,1402
2018-07-03,1402
2018-07-04,1456
2018-07-05,1456
2018-07-06,1456
2018-07-07,1456
2018-07-08,1405
2018-07-09,1405
2018-07-10,1405
2018-07-11,1363
2018-07-12,1363
2018-07-13,1363
2018-07-14,1298
2018-07-15,1298
2018-07-16,1298
2018-07-17,1307
2018-07-18,1307
2018-07-19,1307
2018-07-20,1307
2018-07-21,1255
2018-07-22,1255
2018-07-23,1237
2018-07-24,1237
2018-07-25,1237
2018-07-26,1208
2018-07-27,1208
2018-07-28,1208
2018-07-29,1166
2018-07-30,1166
2018-07-31,1203
2018-08-01,1203
2018-08-02,1203
2018-08-03,1203
2018-08-04,1203
2018-08-05,1235
2018-08-06,1235
2018-08-07,1235
2018-08-08,1262
2018-08-09,1262
2018-08-10,1262
2018-08-11,1302
2018-08-12,1302
2018-08-14,1365
2018-08-16,1359
2018-08-17,1359
2018-08-18,1398
2018-08-19,1398
2018-08-20,1437
2018-08-21,1437
2018-08-22,1437
2018-08-23,1462
2018-08-24,1462
2018-08-25,1459
2018-08-26,1459
2018-08-27,1459
2018-08-28,1430
2018-08-29,1430
2018-08-30,1430
2018-08-31,1425
2018-09-01,1425
2018-09-02,1425
2018-09-03,1463
2018-09-04,1463
2018-09-05,1463
2018-09-06,1512
2018-09-07,1512
2018-09-08,1530
2018-09-09,1530
2018-09-10,1530
2018-09-11,1525
2018-09-12,1525
2018-09-13,1525
2018-09-14,1449
2018-09-15,1449
2018-09-16,1449
2018-09-17,1414
2018-09-18,1414
2018-09-19,1414
2018-09-20,1360
2018-09-21,1360
2018-09-22,1373
2018-09-23,1373
2018-09-24,1366
2018-09-25,1366
2018-09-26,1366
2018-09-27,1369
2018-09-28,1369
2018-09-29,1369
2018-09-30,1388
2018-10-02,1388
2018-10-03,1354
2018-10-04,1354
2018-10-05,1354
2018-10-06,1349
2018-10-07,1349
2018-10-08,1349
2018-10-09,1349
2018-10-10,1337
2018-10-11,1337
2018-10-12,1337
2018-10-13,1353
2018-10-14,1353
2018-10-15,1353
2018-10-16,1353
2018-10-17,1310
2018-10-18,1310
2018-10-19,1310
2018-10-20,1310
2018-10-21,1297
2018-10-22,1297
2018-10-23,1297
2018-10-24,1297
2018-10-25,1281
2018-10-26,1281
2018-10-27,1281
2018-10-28,1309
2018-10-29,1309
2018-10-30,1309
2018-10-31,1327
2018-11-01,1327
2018-11-03,1305
2018-11-04,1305
2018-11-05,1293
2018-11-06,1293
2018-11-07,1293
2018-11-08,1290
2018-11-09,1290
2018-11-10,1257
2018-11-11,1257
2018-11-12,1198
2018-11-13,1198
2018-11-14,1151
2018-11-15,1151
2018-11-16,1114
2018-11-17,1114
2018-11-18,1114
2018-11-19,1106
2018-11-20,1106
2018-11-21,1138
2018-11-22,1138
2018-11-23,1160
2018-11-24,1160
2018-11-25,1171
2018-11-26,1171
2018-11-27,1171
2018-11-28,1137
2018-11-29,1137
2018-12-01,1116
2018-12-02,1114
2018-12-03,1114
2018-12-04,1114
2018-12-05,1112
2018-12-07,1112
2018-12-09,1127
2018-12-10,1148
2018-12-11,1148
2018-12-12,1178
2018-12-13,1178
2018-12-14,1165
2018-12-15,1165
2018-12-16,1151
2018-12-17,1151
2018-12-18,1173
2018-12-19,1173
2018-12-20,1169
2018-12-21,1169
2018-12-22,1190
2018-12-23,1193
2018-12-24,1241
2018-12-25,1241
2018-12-26,1301
2018-12-27,1282
2018-12-28,1282
2018-12-29,1304
2018-12-30,1304
2018-12-31,1342
2019-01-01,1342
2019-01-02,1344
2019-01-03,1344
2019-01-04,1352
2019-01-05,1352
2019-01-06,1400
2019-01-08,1460
2019-01-10,1533
2019-01-11,1533
2019-01-12,1519
2019-01-13,1491
2019-01-14,1461
2019-01-15,1470
2019-01-16,1444
2019-01-17,1398
2019-01-18,1377
2019-01-19,1335
2019-01-20,1324
2019-01-21,1324
2019-01-22,1312
2019-01-23,1260
2019-01-24,1260
2019-01-25,1233
2019-01-26,1228
2019-01-27,1228
2019-01-28,1190
2019-01-29,1192
2019-01-30,1147
2019-01-31,1147
2019-02-01,1157
2019-02-02,1157
2019-02-03,1099
2019-02-04,1099
2019-02-05,1044
2019-02-06,1003
2019-02-07,955
2019-02-08,910
2019-02-09,910
2019-02-10,884
2019-02-11,884
2019-02-12,899
2019-02-13,944
2019-02-14,944
2019-02-15,990
2019-02-16,990
2019-02-17,1017
2019-02-18,1017
2019-02-19,994
2019-02-20,994
2019-02-21,975
2019-02-22,975
2019-02-23,949
2019-02-24,949
2019-02-25,979
2019-02-26,979
2019-02-27,979
2019-02-28,979
2019-03-01,1018
2019-03-02,1018
2019-03-03,1041
2019-03-04,1067
2019-03-05,1030
2019-03-06,989
2019-03-07,989
2019-03-08,1006
2019-03-09,1006
2019-03-10,1022
2019-03-11,1022
2019-03-12,1038
2019-03-13,1038
2019-03-14,1069
2019-03-15,1069
2019-03-16,1081
2019-03-17,1104
2019-03-18,1104
2019-03-19,1104
2019-03-20,1137
2019-03-21,1137
2019-03-22,1131
2019-03-23,1137
2019-03-24,1137
2019-03-25,1134
2019-03-26,1134
2019-03-27,1120
2019-03-28,1120
2019-03-29,1139
2019-03-30,1139
2019-03-31,1139
2019-04-01,1139
2019-04-02,1186
2019-04-03,1243
2019-04-04,1243
2019-04-05,1306
2019-04-06,1306
2019-04-07,1325
2019-04-08,1325
2019-04-09,1335
