date_obj,Rune%20dart price
2016-11-03,870
2016-11-04,895
2016-11-05,884
2016-11-06,878
2016-11-07,868
2016-11-08,873
2016-11-09,889
2016-11-10,899
2016-11-11,916
2016-11-12,911
2016-11-13,928
2016-11-14,921
2016-12-08,877
2016-12-09,856
2016-12-10,847
2016-12-11,838
2016-12-12,854
2016-12-13,841
2016-12-14,853
2016-12-15,860
2016-12-16,866
2016-12-17,891
2016-12-18,901
2016-12-19,916
2016-12-20,890
2016-12-21,875
2016-12-22,842
2016-12-23,847
2016-12-24,841
2016-12-25,850
2016-12-26,867
2016-12-27,871
2016-12-28,884
2016-12-29,913
2016-12-30,940
2016-12-31,937
2017-01-01,921
2017-01-02,906
2017-01-03,927
2017-01-04,971
2017-01-05,1011
2017-01-06,1048
2017-01-07,1091
2017-01-08,1145
2017-01-09,1154
2017-01-10,1146
2017-01-11,1123
2017-01-12,1154
2017-01-13,1212
2017-01-14,1270
2017-01-15,1316
2017-01-16,1286
2017-01-17,1226
2017-01-18,1164
2017-01-19,1105
2017-01-20,1100
2017-01-21,1106
2017-01-22,1105
2017-01-27,1121
2017-01-28,1111
2017-01-29,1093
2017-01-30,1098
2017-01-31,1117
2017-02-01,1146
2017-02-02,1175
2017-02-03,1195
2017-02-04,1183
2017-02-05,1154
2017-02-06,1135
2017-02-07,1106
2017-02-08,1070
2017-02-09,1086
2017-02-10,1127
2017-02-11,1164
2017-02-12,1217
2017-02-13,1273
2017-02-14,1234
2017-02-15,1204
2017-02-16,1224
2017-02-18,1240
2017-02-19,1258
2017-02-20,1227
2017-02-21,1167
2017-02-22,1108
2017-02-23,1093
2017-02-24,1132
2017-02-25,1149
2017-02-26,1115
2017-02-27,1093
2017-02-28,1097
2017-03-01,1079
2017-03-02,1094
2017-03-03,1125
2017-03-04,1160
2017-03-05,1175
2017-03-06,1231
2017-03-07,1238
2017-03-08,1252
2017-03-09,1250
2017-03-10,1246
2017-03-11,1215
2017-03-12,1193
2017-03-13,1171
2017-03-14,1176
2017-03-15,1132
2017-03-16,1132
2017-03-17,1111
2017-03-18,1090
2017-03-19,1072
2017-03-20,1112
2017-03-21,1116
2017-03-22,1113
2017-03-23,1106
2017-03-24,1111
2017-03-25,1149
2017-03-26,1172
2017-03-27,1160
2017-03-28,1168
2017-03-29,1172
2017-03-30,1195
2017-03-31,1209
2017-04-01,1256
2017-04-02,1311
2017-04-03,1282
2017-04-04,1239
2017-04-12,1218
2017-04-13,1245
2017-04-14,1275
2017-04-15,1315
2017-04-16,1280
2017-04-17,1270
2017-04-18,1259
2017-04-19,1241
2017-04-20,1214
2017-04-21,1206
2017-04-22,1202
2017-04-23,1206
2017-04-24,1188
2017-04-25,1161
2017-04-26,1143
2017-04-27,1121
2017-04-28,1110
2017-04-29,1114
2017-04-30,1107
2017-05-01,1118
2017-05-02,1125
2017-05-03,1121
2017-05-04,1125
2017-05-05,1121
2017-05-06,1113
2017-05-07,1110
2017-05-08,1100
2017-05-09,1070
2017-05-10,1072
2017-05-11,1092
2017-05-12,1085
2017-05-13,1075
2017-05-14,1070
2017-05-15,1056
2017-05-16,1055
2017-05-17,1048
2017-05-18,1001
2017-05-19,1015
2017-05-20,1051
2017-05-21,1044
2017-05-22,1078
2017-05-23,1113
2017-05-24,1111
2017-05-25,1089
2017-05-26,1065
2017-05-27,1043
2017-05-28,1053
2017-05-29,1072
2017-05-30,1094
2017-05-31,1147
2017-06-01,1125
2017-06-02,1080
2017-06-03,1058
2017-06-06,1070
2017-06-07,1023
2017-06-08,1034
2017-06-09,1037
2017-06-10,1024
2017-06-11,1020
2017-06-12,1012
2017-06-13,999
2017-06-14,1004
2017-06-15,1000
2017-06-16,1003
2017-06-17,997
2017-06-18,1005
2017-06-19,1008
2017-06-20,1000
2017-06-21,1009
2017-06-22,1017
2017-06-23,1013
2017-06-24,1010
2017-06-25,988
2017-06-26,980
2017-06-27,976
2017-06-28,965
2017-06-29,955
2017-06-30,954
2017-07-01,957
2017-07-02,961
2017-07-03,948
2017-07-04,956
2017-07-05,980
2017-07-06,979
2017-07-07,984
2017-07-08,979
2017-07-13,979
2017-07-14,1001
2017-07-15,1049
2017-07-16,1100
2017-07-17,1095
2017-07-18,1086
2017-07-19,1075
2017-07-20,1072
2017-07-21,1100
2017-07-22,1092
2017-07-23,1060
2017-07-24,1056
2017-07-25,1042
2017-07-26,1033
2017-07-27,1035
2017-07-28,1029
2017-07-29,1035
2017-07-30,1048
2017-07-31,1036
2017-08-01,1005
2017-08-02,1002
2017-08-03,1020
2017-08-04,1036
2017-08-05,1032
2017-08-06,1014
2017-08-09,1006
2017-08-10,1003
2017-08-11,1001
2017-08-12,1007
2017-08-13,999
2017-08-14,997
2017-08-15,1016
2017-08-17,1093
2017-08-18,1129
