date_obj,Celastrus%20sapling price
2019-04-28,81262
2019-04-29,80031
2019-04-30,79284
2019-05-01,78804
2019-05-02,80467
2019-05-03,83115
2019-05-04,85041
2019-05-05,82128
2019-05-06,82416
2019-05-07,84133
2019-05-08,83953
2019-05-09,84025
2019-05-10,83428
2019-05-11,82769
2019-05-12,84099
2019-05-13,83205
2019-05-14,81864
2019-05-15,80916
2019-05-16,81651
2019-05-17,81651
2019-05-18,84051
2019-05-19,84533
2019-05-20,88272
2019-05-21,91395
2019-05-22,94363
2019-05-23,93689
2019-05-24,91813
2019-05-25,90430
2019-05-26,88366
2019-05-27,89343
2019-05-28,88743
2019-05-29,90551
2019-05-30,92470
2019-05-31,96402
2019-06-01,98778
2019-06-02,97080
2019-06-03,97983
2019-06-04,101187
2019-06-05,100818
2019-06-06,101105
2019-06-07,104531
2019-06-08,106661
2019-06-09,105219
2019-06-10,105219
2019-06-11,103837
2019-06-12,102444
2019-06-13,101668
2019-06-14,100207
2019-06-15,100207
2019-06-16,98266
2019-06-17,96381
2019-06-18,95008
2019-06-19,94329
2019-06-20,92315
2019-06-21,91741
2019-06-22,91741
2019-06-23,90894
2019-06-24,89817
2019-06-25,89068
2019-06-26,87564
2019-06-27,85274
2019-06-28,85274
2019-06-29,82945
2019-06-30,79618
2019-07-01,79618
2019-07-02,77495
2019-07-03,76874
2019-07-04,76874
2019-07-05,77213
2019-07-06,79895
2019-07-07,78266
2019-07-08,77015
2019-07-09,78272
2019-07-10,76235
2019-07-11,76158
2019-07-12,76674
2019-07-13,76674
2019-07-14,77502
2019-07-15,77502
2019-07-16,81342
2019-07-17,80376
2019-07-18,81672
2019-07-19,81220
2019-07-20,80897
2019-07-21,80103
2019-07-22,80094
2019-07-23,80420
2019-07-24,82124
2019-07-25,84148
2019-07-26,82002
2019-07-27,80794
2019-07-28,79370
2019-07-29,81671
2019-07-30,84998
2019-07-31,88042
2019-08-01,87826
2019-08-02,88804
2019-08-03,90005
2019-08-04,88661
2019-08-05,89171
2019-08-06,93198
2019-08-07,96597
2019-08-08,98782
2019-08-09,98782
2019-08-10,99965
2019-08-11,99965
2019-08-12,97302
2019-08-13,95307
2019-08-14,95152
2019-08-15,93756
2019-08-16,96679
2019-08-17,96679
2019-08-18,95225
2019-08-19,94554
2019-08-20,94285
2019-08-21,94782
2019-08-22,94538
2019-08-23,94538
2019-08-24,93490
2019-08-24,93490
2019-08-25,93490
2019-08-25,93490
2019-08-26,91955
2019-08-27,94148
2019-08-27,94148
2019-08-28,93516
2019-08-29,94188
2019-08-30,97347
2019-08-31,97347
2019-09-01,96288
2019-09-02,96288
2019-09-03,95872
2019-09-04,97267
2019-09-05,96493
2019-09-06,96493
2019-09-07,95894
2019-09-08,95333
2019-09-09,95333
2019-09-10,97309
2019-09-11,99204
2019-09-12,99204
2019-09-13,98033
2019-09-14,97185
2019-09-15,96063
2019-09-16,94705
2019-09-17,92354
2019-09-18,91269
2019-09-19,91269
2019-09-20,91465
2019-09-21,89731
2019-09-22,88102
2019-09-23,87544
2019-09-24,87544
2019-09-25,89468
2019-09-26,90423
2019-09-27,90423
2019-09-28,91628
2019-09-29,91628
2019-09-30,94561
2019-10-01,95700
2019-10-02,95700
2019-10-03,94007
2019-10-04,93234
2019-10-05,91544
2019-10-06,91854
2019-10-07,91631
2019-10-08,92272
2019-10-09,92272
2019-10-10,93329
2019-10-11,93329
2019-10-12,93369
2019-10-13,92284
2019-10-14,91149
2019-10-15,91149
2019-10-16,90093
2019-10-17,90093
2019-10-18,90999
2019-10-19,90805
2019-10-20,91319
2019-10-21,91319
2019-10-22,91144
2019-10-23,91675
2019-10-24,91264
2019-10-25,91197
2019-10-26,90236
2019-10-27,91263
2019-10-28,91439
2019-10-29,91439
2019-10-30,91495
2019-10-31,92844
2019-11-01,93857
2019-11-02,92034
2019-11-03,92335
2019-11-04,93435
2019-11-05,93435
2019-11-06,93753
2019-11-07,92808
2019-11-08,93075
2019-11-09,92245
2019-11-10,93450
2019-11-11,91732
2019-11-12,91832
2019-11-13,93569
2019-11-14,97395
2019-11-15,101916
2019-11-16,101924
2019-11-17,101924
2019-11-18,99876
2019-11-19,99876
2019-11-20,100219
2019-11-21,100219
2019-11-22,97803
2019-11-23,96423
2019-11-24,94792
2019-11-25,93929
2019-11-26,95071
2019-11-27,95071
2019-11-28,93995
2019-11-29,93995
2019-11-30,93622
2019-12-01,94912
2019-12-02,93664
2019-12-03,93062
2019-12-04,92970
2019-12-05,92970
2019-12-06,94794
2019-12-07,92292
2019-12-08,92292
2019-12-09,92381
2019-12-10,93063
2019-12-11,92923
2019-12-12,92923
2019-12-13,92844
2019-12-14,92860
2019-12-15,91978
2019-12-16,91850
2019-12-17,90793
2019-12-18,90793
2019-12-19,89292
2019-12-20,89258
2019-12-21,90230
2019-12-22,90811
2019-12-23,90811
2019-12-24,92906
2019-12-25,92209
2019-12-26,92209
2019-12-27,91730
2019-12-28,91454
2019-12-29,91454
2019-12-30,91903
2019-12-31,92275
2020-01-01,91244
2020-01-02,94901
2020-01-03,94338
2020-01-04,94338
2020-01-05,94666
2020-01-06,93026
2020-01-07,93687
2020-01-08,93687
2020-01-09,95035
2020-01-10,95339
2020-01-11,98032
2020-01-12,96863
2020-01-13,96863
2020-01-14,94280
2020-01-15,93601
2020-01-16,92687
2020-01-17,92151
2020-01-18,92151
2020-01-19,89659
2020-01-20,88271
2020-01-21,88271
2020-01-22,90041
2020-01-23,91136
2020-01-24,91141
2020-01-25,91808
2020-01-26,90759
2020-01-27,89464
2020-01-28,89142
2020-01-29,87905
2020-01-30,87825
2020-01-31,87536
2020-02-01,87680
2020-02-02,91945
2020-02-03,92194
2020-02-04,91704
2020-02-05,90982
2020-02-06,88867
2020-02-07,87865
2020-02-08,86493
2020-02-09,83538
2020-02-10,83148
2020-02-11,80972
2020-02-12,81357
2020-02-13,81357
2020-02-14,79271
2020-02-15,76608
2020-02-16,75542
2020-02-17,76448
2020-02-18,74787
2020-02-19,74712
2020-02-20,74560
2020-02-21,74560
2020-02-22,76073
2020-02-23,75406
2020-02-24,75917
2020-02-25,78341
2020-02-26,79673
2020-02-27,81210
2020-02-28,81269
2020-02-29,81269
2020-03-01,80671
2020-03-02,81912
2020-03-03,80660
2020-03-04,80660
2020-03-05,80564
2020-03-06,80500
2020-03-07,80011
2020-03-08,80485
2020-03-09,81233
2020-03-10,81288
2020-03-11,80489
2020-03-12,80326
2020-03-13,80730
2020-03-14,81289
2020-03-15,80508
2020-03-16,79590
2020-03-17,79195
2020-03-18,78993
2020-03-19,79068
2020-03-20,78207
2020-03-21,78501
2020-03-22,76863
2020-03-23,77068
2020-03-24,77526
2020-03-25,77549
2020-03-26,76351
2020-03-27,76607
2020-03-28,76427
2020-03-29,76229
2020-03-30,75738
2020-03-31,76253
2020-04-01,75396
2020-04-02,75000
2020-04-03,75000
2020-04-04,74247
2020-04-05,73953
2020-04-06,73463
2020-04-07,73227
2020-04-08,72828
2020-04-09,73580
2020-04-10,72932
2020-04-11,73043
2020-04-12,72115
2020-04-13,72252
2020-04-14,71872
2020-04-15,71338
2020-04-16,73366
2020-04-17,73335
2020-04-18,75141
2020-04-19,76327
2020-04-20,79197
2020-04-21,81031
2020-04-22,81992
2020-04-23,85350
2020-04-24,86373
2020-04-25,85059
2020-04-26,85265
2020-04-27,87639
2020-04-28,88095
2020-04-29,89013
2020-04-30,87938
2020-05-01,88743
2020-05-02,91424
2020-05-03,91701
2020-05-04,90022
2020-05-05,89885
2020-05-06,90426
2020-05-07,94292
2020-05-08,92884
2020-05-09,92130
2020-05-10,91901
2020-05-11,95976
2020-05-12,100282
2020-05-13,103167
