date_obj,Zamorak%20d'hide%20shield price
2020-01-23,405736
2020-01-24,406336
2020-01-25,406336
2020-01-26,407386
2020-01-27,407386
2020-01-28,407386
2020-01-29,411307
2020-01-30,411307
2020-01-31,413206
2020-02-01,413206
2020-02-02,416932
2020-02-03,416932
2020-02-04,404113
2020-02-05,404113
2020-02-06,396954
2020-02-07,396954
2020-02-08,383414
2020-02-09,383414
2020-02-10,377111
2020-02-11,377111
2020-02-12,375979
2020-02-13,375979
2020-02-14,368612
2020-02-15,368612
2020-02-16,366622
2020-02-17,366622
2020-02-18,367591
2020-02-19,367591
2020-02-20,363738
2020-02-21,363738
2020-02-22,360525
2020-02-23,360525
2020-02-24,358490
2020-02-25,358490
2020-02-26,368505
2020-02-27,368505
2020-02-28,384287
2020-02-29,384287
2020-03-01,384806
2020-03-02,384806
2020-03-03,373943
2020-03-04,373943
2020-03-05,365479
2020-03-06,365479
2020-03-07,358208
2020-03-08,358208
2020-03-09,359895
2020-03-10,359895
2020-03-11,356988
2020-03-12,356988
2020-03-13,364178
2020-03-14,364178
2020-03-15,371762
2020-03-16,371762
2020-03-17,382126
2020-03-18,382126
2020-03-19,389866
2020-03-20,389866
2020-03-21,403244
2020-03-22,417644
2020-03-23,417644
2020-03-24,425475
2020-03-25,425475
2020-03-26,436888
2020-03-27,436888
2020-03-28,445678
2020-03-29,442168
2020-03-30,442168
2020-03-31,439110
2020-04-01,439110
2020-04-02,427675
2020-04-03,427675
2020-04-04,407489
2020-04-05,407489
2020-04-06,393519
2020-04-07,393519
2020-04-08,378920
2020-04-09,378920
2020-04-10,375117
2020-04-11,368622
2020-04-12,360563
2020-04-13,360563
2020-04-14,356994
2020-04-15,351513
2020-04-16,351513
2020-04-17,356705
2020-04-18,364834
2020-04-19,372396
2020-04-20,372396
2020-04-21,366816
2020-04-22,370403
2020-04-23,370403
2020-04-24,369439
2020-04-25,369439
2020-04-26,363240
2020-04-27,368037
2020-04-28,368037
2020-04-29,360871
2020-04-30,358415
2020-05-01,358415
2020-05-02,354866
2020-05-03,352890
2020-05-04,352890
2020-05-05,346495
2020-05-06,340010
2020-05-07,340010
2020-05-08,333255
2020-05-09,322973
2020-05-10,322973
2020-05-11,310508
2020-05-12,310508
2020-05-13,309403
