date_obj,Nose%20peg price
2017-03-01,358
2017-03-02,358
2017-03-03,356
2017-03-04,356
2017-03-05,356
2017-03-06,355
2017-03-07,355
2017-03-08,355
2017-03-09,355
2017-03-10,349
2017-03-11,349
2017-03-12,349
2017-03-13,355
2017-03-14,355
2017-03-15,355
2017-03-16,348
2017-03-17,348
2017-03-18,348
2017-03-19,349
2017-03-20,349
2017-03-21,357
2017-03-22,357
2017-03-23,357
2017-03-24,361
2017-03-25,361
2017-03-26,361
2017-03-27,369
2017-03-28,369
2017-03-29,369
2017-03-30,376
2017-03-31,376
2017-04-01,376
2017-04-02,365
2017-04-03,365
2017-04-04,380
2017-04-12,381
2017-04-13,381
2017-04-14,375
2017-04-15,375
2017-04-16,379
2017-04-17,379
2017-04-18,384
2017-04-19,384
2017-04-20,384
2017-04-21,380
2017-04-22,380
2017-04-23,380
2017-04-24,395
2017-04-25,395
2017-04-26,395
2017-04-27,398
2017-04-28,398
2017-04-29,398
2017-04-30,409
2017-05-01,409
2017-05-02,409
2017-05-03,392
2017-05-04,392
2017-05-05,384
2017-05-06,384
2017-05-07,384
2017-05-08,386
2017-05-09,386
2017-05-10,386
2017-05-11,377
2017-05-12,377
2017-05-13,377
2017-05-14,388
2017-05-15,388
2017-05-16,388
2017-05-17,382
2017-05-18,382
2017-05-19,382
2017-05-20,385
2017-05-21,385
2017-05-22,385
2017-05-23,385
2017-05-24,377
2017-05-25,377
2017-05-26,377
2017-05-27,381
2017-05-28,381
2017-05-29,381
2017-05-30,386
2017-05-31,386
2017-06-01,386
2017-06-02,397
2017-06-03,397
2017-06-06,415
2017-06-07,419
2017-06-08,419
2017-06-09,419
2017-06-10,398
2017-06-11,398
2017-06-12,398
2017-06-13,404
2017-06-14,404
2017-06-15,404
2017-06-16,401
2017-06-17,401
2017-06-18,401
2017-06-19,407
2017-06-20,407
2017-06-21,416
2017-06-22,416
2017-06-23,416
2017-06-24,416
2017-06-25,421
2017-06-26,421
2017-06-27,421
2017-06-28,402
2017-06-29,402
2017-06-30,402
2017-07-01,401
2017-07-02,401
2017-07-03,401
2017-07-04,399
2017-07-05,399
2017-07-06,399
2017-07-07,399
2017-07-08,410
2017-07-13,421
2017-07-14,400
2017-07-15,400
2017-07-16,400
2017-07-17,403
2017-07-18,403
2017-07-19,403
2017-07-20,407
2017-07-21,407
2017-07-22,407
2017-07-23,409
2017-07-24,409
2017-07-25,409
2017-07-26,411
2017-07-27,411
2017-07-28,411
2017-07-29,401
2017-07-30,401
2017-07-31,401
2017-08-01,387
2017-08-02,387
2017-08-03,387
2017-08-04,388
2017-08-05,388
2017-08-06,388
2017-08-09,401
2017-08-10,380
2017-08-11,380
2017-08-12,380
2017-08-13,361
2017-08-14,361
2017-08-15,361
2017-08-16,348
2017-08-17,348
2017-08-18,348
2017-08-19,347
2017-08-20,347
2017-08-22,343
2017-08-23,343
2017-08-24,343
2017-08-25,343
2017-08-26,337
2017-08-27,337
2017-08-28,337
2017-08-29,348
2017-08-30,348
2017-08-31,348
2017-09-01,356
2017-09-02,356
2017-09-03,356
2017-09-04,357
2017-09-05,357
2017-09-06,357
2017-09-07,357
2017-09-08,357
2017-09-09,357
2017-09-10,364
2017-09-11,364
2017-09-12,364
2017-09-13,362
2017-09-14,362
2017-09-15,362
2017-09-16,363
2017-09-17,363
2017-09-19,359
2017-09-20,359
2017-09-21,359
2017-09-22,368
2017-09-23,368
2017-09-24,368
2017-09-25,383
2017-09-26,383
2017-09-27,383
2017-09-28,378
2017-09-29,378
2017-09-30,378
2017-10-01,375
2017-10-02,375
2017-10-03,375
2017-10-04,375
2017-10-05,385
2017-10-06,385
2017-10-07,385
2017-10-08,394
2017-10-09,394
2017-10-10,394
2017-10-11,394
2017-10-12,394
2017-10-13,394
2017-10-14,385
2017-10-15,385
2017-10-16,385
2017-10-17,385
2017-10-18,379
2017-10-19,379
2017-10-20,379
2017-10-21,388
2017-10-22,388
2017-10-23,388
2017-10-24,392
2017-10-25,392
2017-10-26,397
2017-10-27,397
2017-10-28,397
2017-10-29,412
2017-10-30,412
2017-10-31,417
2017-11-01,417
2017-11-02,417
2017-11-03,418
2017-11-04,418
2017-11-05,429
2017-11-06,429
2017-11-07,429
2017-11-08,446
2017-11-09,446
2017-11-10,446
2017-11-11,449
2017-11-12,449
2017-11-13,449
2017-11-14,454
2017-11-15,454
2017-11-16,454
2017-11-17,454
2017-11-18,454
2017-11-19,454
2017-11-20,451
2017-11-21,451
2017-11-22,451
2017-11-23,434
2017-11-24,434
2017-11-25,434
2017-11-26,412
2017-11-27,412
2017-11-28,412
2017-11-29,406
2017-11-30,406
2017-12-01,406
2017-12-02,410
2017-12-03,410
2017-12-04,410
2017-12-05,421
2017-12-06,421
2017-12-07,421
2017-12-08,428
2017-12-09,428
2017-12-10,430
2017-12-11,430
2017-12-12,430
2017-12-14,418
2017-12-15,430
2017-12-17,430
2017-12-18,441
2017-12-19,441
2017-12-20,441
2017-12-21,434
2017-12-22,434
2017-12-23,434
2017-12-24,450
2017-12-25,450
2017-12-26,450
2017-12-27,456
2017-12-28,456
2017-12-29,456
2017-12-30,461
2017-12-31,461
2018-01-01,461
2018-01-02,444
2018-01-03,444
2018-01-04,453
2018-01-05,453
2018-01-06,447
2018-01-07,447
2018-01-08,459
2018-01-09,459
2018-01-10,454
2018-01-11,454
2018-01-12,444
2018-01-13,444
2018-01-14,425
2018-01-15,425
2018-01-16,424
2018-01-17,424
2018-01-18,429
2018-01-19,429
2018-01-20,429
2018-01-21,431
2018-01-22,431
2018-01-23,439
2018-01-24,439
2018-01-25,446
2018-01-26,446
2018-01-27,456
2018-01-28,458
2018-01-29,451
2018-01-31,468
2018-02-01,468
2018-02-02,475
2018-02-03,468
2018-02-04,468
2018-02-05,446
2018-02-06,445
2018-02-07,442
2018-02-08,442
2018-02-09,433
2018-02-10,433
2018-02-11,419
2018-02-12,419
2018-02-13,418
2018-02-14,418
2018-02-15,426
2018-02-16,426
2018-02-17,417
2018-02-18,417
2018-02-19,421
2018-02-20,421
2018-02-21,424
2018-02-22,424
2018-02-23,431
2018-02-24,431
2018-02-25,442
2018-02-26,442
2018-02-27,434
2018-03-01,426
2018-03-02,416
2018-03-03,416
2018-03-04,421
2018-03-05,415
2018-03-06,415
2018-03-07,418
2018-03-08,418
2018-03-09,400
2018-03-10,400
2018-03-11,385
2018-03-12,385
2018-03-13,375
2018-03-14,375
2018-03-15,381
2018-03-16,381
2018-03-17,391
2018-03-18,391
2018-03-19,403
2018-03-20,415
2018-03-21,415
2018-03-23,424
2018-03-24,415
2018-03-26,423
2018-03-27,428
2018-03-28,428
2018-03-29,438
2018-03-30,438
2018-03-31,426
2018-04-01,426
2018-04-02,414
2018-04-03,414
2018-04-04,425
2018-04-05,425
2018-04-06,428
2018-04-07,428
2018-04-08,420
2018-04-09,420
2018-04-10,409
2018-04-11,409
2018-04-12,416
2018-04-13,416
2018-04-14,411
2018-04-15,412
2018-04-16,412
2018-04-17,391
2018-04-18,391
2018-04-19,400
2018-04-20,400
2018-04-21,405
2018-04-22,405
2018-04-23,404
2018-04-24,404
2018-04-25,411
2018-04-26,411
2018-04-27,411
2018-04-28,411
2018-04-29,412
2018-04-30,412
2018-05-01,414
2018-05-02,414
2018-05-04,428
2018-05-05,438
2018-05-06,438
2018-05-07,446
2018-05-08,446
2018-05-09,451
2018-05-10,451
2018-05-11,448
2018-05-12,448
2018-05-13,441
2018-05-14,441
2018-05-15,438
2018-05-16,438
2018-05-17,429
2018-05-18,411
2018-05-19,411
2018-05-20,409
2018-05-21,415
2018-05-22,415
2018-05-23,408
2018-05-24,408
2018-05-25,388
2018-05-26,379
2018-05-27,379
2018-05-28,383
2018-05-29,383
2018-05-30,372
2018-05-31,372
2018-06-01,384
2018-06-02,384
2018-06-03,384
2018-06-04,372
2018-06-05,373
2018-06-06,373
2018-06-07,370
2018-06-08,360
2018-06-09,360
2018-06-10,373
2018-06-11,373
2018-06-12,364
2018-06-13,366
2018-06-14,366
2018-06-15,372
2018-06-16,372
2018-06-17,359
2018-06-18,359
2018-06-19,355
2018-06-20,355
2018-06-21,367
2018-06-22,367
2018-06-23,381
2018-06-24,381
2018-06-25,379
2018-06-26,379
2018-06-27,387
2018-06-28,387
2018-06-29,399
2018-06-30,399
2018-07-01,406
2018-07-02,406
2018-07-03,418
2018-07-04,418
2018-07-05,431
2018-07-06,427
2018-07-07,427
2018-07-08,434
2018-07-09,434
2018-07-10,425
2018-07-11,424
2018-07-12,424
2018-07-13,434
2018-07-14,435
2018-07-15,435
2018-07-16,441
2018-07-17,449
2018-07-18,449
2018-07-19,444
2018-07-20,444
2018-07-21,421
2018-07-22,410
2018-07-23,413
2018-07-24,413
2018-07-25,411
2018-07-26,411
2018-07-27,396
2018-07-28,396
2018-07-29,395
2018-07-30,395
2018-07-31,394
2018-08-01,394
2018-08-02,397
2018-08-03,397
2018-08-04,397
2018-08-05,397
2018-08-06,405
2018-08-07,405
2018-08-08,403
2018-08-09,403
2018-08-10,418
2018-08-11,418
2018-08-12,422
2018-08-14,427
2018-08-16,426
2018-08-17,406
2018-08-18,406
2018-08-19,415
2018-08-20,421
2018-08-21,421
2018-08-22,426
2018-08-23,426
2018-08-24,420
2018-08-25,426
2018-08-26,426
2018-08-27,422
2018-08-28,427
2018-08-29,427
2018-08-30,408
2018-08-31,399
2018-09-01,389
2018-09-02,389
2018-09-03,372
2018-09-04,382
2018-09-05,382
2018-09-06,387
2018-09-07,396
2018-09-08,398
2018-09-09,398
2018-09-10,410
2018-09-11,410
2018-09-12,416
2018-09-13,416
2018-09-14,428
2018-09-15,413
2018-09-16,413
2018-09-17,431
2018-09-18,447
2018-09-19,447
2018-09-20,446
2018-09-21,446
2018-09-22,450
2018-09-23,450
2018-09-24,439
2018-09-25,439
2018-09-26,438
2018-09-27,438
2018-09-28,442
2018-09-29,442
2018-09-30,449
2018-10-02,437
2018-10-03,436
2018-10-04,436
2018-10-05,447
2018-10-06,448
2018-10-07,448
2018-10-08,441
2018-10-09,452
2018-10-10,455
2018-10-11,455
2018-10-12,451
2018-10-13,439
2018-10-14,439
2018-10-15,435
2018-10-16,435
2018-10-17,423
2018-10-18,423
2018-10-19,413
2018-10-20,413
2018-10-21,417
2018-10-22,417
2018-10-23,417
2018-10-24,429
2018-10-25,429
2018-10-26,443
2018-10-27,430
2018-10-28,436
2018-10-29,436
2018-10-30,446
2018-10-31,427
2018-11-01,428
2018-11-03,426
2018-11-04,416
2018-11-05,414
2018-11-06,429
2018-11-07,429
2018-11-08,430
2018-11-09,430
2018-11-10,419
2018-11-11,419
2018-11-12,417
2018-11-13,404
2018-11-15,389
2018-11-16,369
2018-11-17,369
2018-11-18,374
2018-11-19,374
2018-11-20,374
2018-11-21,374
2018-11-22,387
2018-11-23,384
2018-11-24,399
2018-11-25,405
2018-11-26,405
2018-11-27,409
2018-11-28,416
2018-11-29,401
2018-12-01,406
2018-12-02,413
2018-12-03,413
2018-12-04,421
2018-12-05,411
2018-12-07,420
2018-12-09,433
2018-12-10,415
2018-12-11,415
2018-12-12,412
2018-12-13,414
2018-12-14,412
2018-12-15,411
2018-12-16,419
2018-12-17,419
2018-12-18,412
2018-12-19,420
2018-12-20,425
2018-12-21,405
2018-12-22,386
2018-12-23,388
2018-12-24,388
2018-12-25,388
2018-12-26,399
2018-12-27,406
2018-12-28,406
2018-12-29,406
2018-12-30,413
2018-12-31,414
2019-01-01,414
2019-01-02,410
2019-01-03,411
2019-01-04,414
2019-01-05,412
2019-01-06,391
2019-01-08,375
2019-01-10,378
2019-01-11,378
2019-01-12,380
2019-01-13,384
2019-01-14,387
2019-01-15,392
2019-01-16,382
2019-01-17,392
2019-01-18,378
2019-01-19,378
2019-01-20,390
2019-01-21,385
2019-01-22,386
2019-01-23,381
2019-01-24,393
2019-01-25,395
2019-01-26,399
2019-01-27,406
2019-01-28,403
2019-01-29,387
2019-01-30,380
