date_obj,Green%20elegant%20blouse price
2016-08-06,6285
2016-08-07,6285
2016-08-08,6285
2016-08-09,6047
2016-08-10,6047
2016-08-11,6047
2016-08-12,6047
2016-08-13,6047
2016-08-14,6047
2016-08-15,5850
2016-08-16,5850
2016-08-17,5850
2016-08-18,5850
2016-08-19,5850
2016-08-20,5694
2016-08-21,5694
2016-08-22,5694
2016-08-23,5694
2016-08-24,5694
2016-08-25,5600
2016-08-26,5600
2016-08-28,5600
2016-08-31,5579
2016-09-01,5579
2016-09-02,5579
2016-09-03,5579
2016-09-04,5579
2016-09-05,5579
2016-09-06,5542
2016-09-07,5542
2016-09-08,5542
2016-09-09,5542
2016-09-10,5542
2016-09-11,5542
2016-09-12,5394
2016-09-13,5394
2016-09-14,5394
2016-09-15,5394
2016-09-16,5394
2016-09-17,5450
2016-09-18,5450
2016-09-19,5450
2016-09-20,5450
2016-09-21,5450
2016-09-22,5450
2016-09-23,5450
2016-09-24,5524
2016-09-25,5524
2016-09-26,5524
2016-09-27,5524
2016-09-28,5524
2016-09-29,5524
2016-09-30,5524
2016-10-01,5459
2016-10-02,5459
2016-10-03,5459
2016-10-04,5459
2016-10-05,5459
2016-10-06,5459
2016-10-07,5459
2016-10-08,5481
2016-10-09,5481
2016-10-10,5481
2016-10-11,5481
2016-10-12,5481
2016-10-13,5481
2016-10-14,5547
2016-10-15,5547
2016-10-16,5547
2016-10-17,5547
2016-10-18,5547
2016-10-19,5630
2016-10-20,5630
2016-10-21,5630
2016-10-22,5630
2016-10-23,5630
2016-10-24,5630
2016-10-25,5630
2016-10-26,5564
2016-10-27,5564
2016-10-28,5564
2016-10-29,5564
2016-10-30,5564
2016-10-31,5564
2016-11-01,5564
2016-11-02,5367
2016-11-03,5367
2016-11-04,5367
2016-11-05,5367
2016-11-06,5367
2016-11-07,5367
2016-11-08,5367
2016-11-09,5354
2016-11-10,5354
2016-11-11,5354
2016-11-12,5354
2016-11-13,5354
2016-11-14,5354
2016-11-15,5354
2016-12-07,5724
2016-12-08,5724
2016-12-09,5724
2016-12-10,5724
2016-12-11,6009
2016-12-12,6009
2016-12-13,6009
2016-12-14,6009
2016-12-15,6009
2016-12-16,6009
2016-12-17,6172
2016-12-18,6172
2016-12-19,6172
2016-12-20,6172
2016-12-21,6172
2016-12-22,6172
2016-12-23,6175
2016-12-24,6175
2016-12-25,6175
2016-12-26,6175
2016-12-27,6175
2016-12-28,6175
2016-12-29,6175
2016-12-30,5976
2016-12-31,5976
2017-01-01,5976
2017-01-02,5976
2017-01-03,5976
2017-01-04,5733
2017-01-05,5733
2017-01-06,5733
2017-01-07,5733
2017-01-08,5733
2017-01-09,5733
2017-01-10,5555
2017-01-11,5555
2017-01-12,5555
2017-01-13,5555
2017-01-14,5555
2017-01-15,5555
2017-01-16,5284
2017-01-17,5284
2017-01-18,5284
2017-01-19,5284
2017-01-20,5028
2017-01-21,5028
2017-01-22,5028
2017-01-23,5028
2017-01-27,5069
2017-01-28,5069
2017-01-29,5023
2017-01-30,5023
2017-01-31,5023
2017-02-01,5023
2017-02-02,5023
2017-02-03,5023
2017-02-04,5025
2017-02-05,5025
2017-02-06,5025
2017-02-07,5025
2017-02-08,5025
2017-02-09,5025
2017-02-10,5022
2017-02-11,5022
2017-02-12,5022
2017-02-13,5022
2017-02-14,4931
2017-02-15,4931
2017-02-16,4931
2017-02-18,5077
2017-02-19,5077
2017-02-20,5077
2017-02-21,5077
2017-02-22,5077
2017-02-23,5261
2017-02-24,5261
2017-02-25,5261
2017-02-26,5261
2017-02-27,5261
2017-02-28,5240
2017-03-01,5240
2017-03-02,5240
2017-03-03,5134
2017-03-04,5134
2017-03-05,5134
2017-03-06,5134
2017-03-07,5146
2017-03-08,5146
2017-03-09,5146
2017-03-10,5146
2017-03-11,5171
2017-03-12,5171
2017-03-13,5171
2017-03-14,5171
2017-03-15,5172
2017-03-16,5172
2017-03-17,5172
2017-03-18,5172
2017-03-19,5172
2017-03-20,5292
2017-03-21,5292
2017-03-22,5292
2017-03-23,5292
2017-03-24,5292
2017-03-25,5294
2017-03-26,5294
2017-03-27,5294
2017-03-28,5294
2017-03-29,5294
2017-03-30,5409
2017-03-31,5409
2017-04-01,5409
2017-04-02,5409
2017-04-03,5490
2017-04-04,5490
2017-04-12,5595
2017-04-13,5595
2017-04-14,5822
2017-04-15,5822
2017-04-16,5822
2017-04-17,5822
2017-04-18,6096
2017-04-19,6096
2017-04-20,6096
2017-04-21,6096
2017-04-22,6374
2017-04-23,6374
2017-04-24,6374
2017-04-25,6374
2017-04-26,6473
2017-04-27,6473
2017-04-28,6473
2017-04-29,6473
2017-04-30,6473
2017-05-01,6332
2017-05-02,6332
2017-05-03,6332
2017-05-04,6332
2017-05-05,6533
2017-05-06,6533
2017-05-07,6533
2017-05-08,6533
2017-05-09,6533
2017-05-10,6849
2017-05-11,6849
2017-05-12,6849
2017-05-13,6849
2017-05-14,6849
2017-05-15,6849
2017-05-16,6849
2017-05-17,6849
2017-05-18,6849
2017-05-19,6849
2017-05-20,6665
2017-05-21,6665
2017-05-22,6665
2017-05-23,6665
2017-05-24,6474
2017-05-25,6474
2017-05-26,6474
2017-05-27,6474
2017-05-28,6474
2017-05-29,6474
2017-05-30,6159
2017-05-31,6159
2017-06-01,6159
2017-06-02,6159
2017-06-03,6159
2017-06-04,5874
2017-06-05,5874
2017-06-06,5874
2017-06-07,5874
2017-06-08,5837
2017-06-09,5837
2017-06-10,5837
2017-06-11,5697
2017-06-12,5697
2017-06-13,5697
2017-06-14,5697
2017-06-15,5697
2017-06-16,5526
2017-06-17,5526
2017-06-18,5526
2017-06-19,5526
2017-06-20,5560
2017-06-21,5560
2017-06-22,5560
2017-06-23,5560
2017-06-24,5560
2017-06-25,5812
2017-06-26,5812
2017-06-27,5812
2017-06-28,5812
2017-06-29,5812
2017-06-30,5825
2017-07-01,5825
2017-07-02,5825
2017-07-03,5825
2017-07-04,5825
2017-07-05,5825
2017-07-06,5634
2017-07-07,5634
2017-07-08,5634
2017-07-13,5662
2017-07-14,5662
2017-07-15,5662
2017-07-16,5662
2017-07-17,5506
2017-07-18,5506
2017-07-19,5506
2017-07-20,5506
2017-07-21,5506
2017-07-22,5479
2017-07-23,5479
2017-07-24,5479
2017-07-25,5479
2017-07-26,5479
2017-07-27,5257
2017-07-28,5257
2017-07-29,5257
2017-07-30,5257
2017-07-31,5257
2017-08-01,5257
2017-08-02,5288
2017-08-03,5288
2017-08-04,5288
2017-08-05,5288
2017-08-06,5151
2017-08-09,5151
2017-08-10,5151
2017-08-11,5151
2017-08-12,5013
2017-08-13,5013
2017-08-14,5013
2017-08-15,5013
2017-08-16,5013
2017-08-17,4973
2017-08-18,4973
2017-08-19,4973
2017-08-20,4973
2017-08-21,4973
2017-08-22,5192
2017-08-23,5192
2017-08-24,5192
2017-08-25,5192
2017-08-26,5192
2017-08-27,5192
2017-08-28,5431
2017-08-29,5431
2017-08-30,5431
2017-08-31,5431
2017-09-01,5431
2017-09-02,5609
2017-09-03,5609
2017-09-04,5609
2017-09-05,5609
2017-09-06,5609
2017-09-07,5839
2017-09-08,5839
2017-09-09,5839
2017-09-10,5839
2017-09-11,5839
2017-09-12,5839
2017-09-13,5807
2017-09-14,5807
2017-09-15,5807
2017-09-16,5807
2017-09-17,5788
2017-09-18,5788
2017-09-19,5788
2017-09-20,5788
2017-09-21,5788
2017-09-22,5973
2017-09-23,5973
2017-09-24,5973
2017-09-25,5973
2017-09-26,5973
2017-09-27,5973
2017-09-28,6266
2017-09-29,6266
2017-09-30,6266
2017-10-01,6266
2017-10-02,6266
2017-10-03,6266
2017-10-04,6266
2017-10-05,6542
2017-10-06,6542
2017-10-07,6542
2017-10-08,6542
2017-10-09,6542
2017-10-10,6757
2017-10-11,6757
2017-10-12,6757
2017-10-13,6757
2017-10-14,6757
2017-10-15,6757
2017-10-16,6757
2017-10-17,6709
2017-10-18,6709
2017-10-19,6709
2017-10-20,6709
2017-10-21,6709
2017-10-22,6709
2017-10-23,6397
2017-10-24,6397
2017-10-25,6397
2017-10-26,6397
2017-10-27,6397
2017-10-28,6397
2017-10-29,6397
2017-10-30,6206
2017-10-31,6206
2017-11-01,6206
2017-11-02,6206
2017-11-03,6206
2017-11-04,5950
2017-11-05,5950
2017-11-06,5950
2017-11-07,5950
2017-11-08,5950
2017-11-09,5817
2017-11-10,5817
2017-11-11,5817
2017-11-12,5817
2017-11-13,5817
2017-11-14,5817
2017-11-15,5683
2017-11-16,5683
2017-11-17,5683
2017-11-18,5683
2017-11-19,5683
2017-11-20,5721
2017-11-21,5721
2017-11-22,5721
2017-11-23,5721
2017-11-24,5631
2017-11-25,5631
2017-11-26,5631
2017-11-27,5631
2017-11-28,5631
2017-11-29,5631
2017-11-30,5631
2017-12-01,5666
2017-12-02,5666
2017-12-03,5666
2017-12-04,5666
2017-12-05,5666
2017-12-06,5666
2017-12-07,5855
2017-12-08,5855
2017-12-09,5855
2017-12-10,5855
2017-12-11,5855
2017-12-12,5808
2017-12-13,5808
2017-12-14,5808
2017-12-15,5808
2017-12-16,5808
2017-12-17,5808
2017-12-18,5808
2017-12-19,6078
2017-12-20,6078
2017-12-21,6078
2017-12-22,6078
2017-12-23,6360
2017-12-24,6360
2017-12-25,6360
2017-12-26,6360
2017-12-27,6360
2017-12-28,6360
2017-12-29,6360
2017-12-30,6574
2017-12-31,6574
2018-01-01,6574
2018-01-02,6574
2018-01-03,6574
2018-01-04,6574
2018-01-05,6432
2018-01-06,6432
2018-01-07,6432
2018-01-08,6432
2018-01-09,6432
2018-01-10,6432
2018-01-11,6392
2018-01-12,6392
2018-01-13,6392
2018-01-14,6392
2018-01-15,6392
2018-01-16,6288
2018-01-17,6288
2018-01-18,6288
2018-01-19,6288
2018-01-20,6288
2018-01-21,6288
2018-01-22,6406
2018-01-23,6406
2018-01-25,6406
2018-01-26,6406
2018-01-27,6673
2018-01-28,6673
2018-01-29,6673
2018-01-30,6673
2018-01-31,6673
2018-02-01,6972
2018-02-02,6972
2018-02-03,6972
2018-02-04,6972
2018-02-05,6972
2018-02-06,7252
2018-02-07,7252
2018-02-08,7252
2018-02-09,7252
2018-02-10,7252
2018-02-11,7230
2018-02-12,7230
2018-02-13,7230
2018-02-14,7230
2018-02-15,7230
2018-02-16,7056
2018-02-17,7056
2018-02-18,7056
2018-02-19,7056
2018-02-20,7056
2018-02-21,6822
2018-02-22,6822
2018-02-23,6822
2018-02-24,6822
2018-02-25,6822
2018-02-26,6494
2018-02-27,6494
2018-02-28,6494
2018-03-01,6494
2018-03-02,6266
2018-03-03,6266
2018-03-04,6266
2018-03-05,6266
2018-03-06,6266
2018-03-07,6156
2018-03-08,6156
2018-03-09,6156
2018-03-10,6156
2018-03-11,6064
2018-03-12,6064
2018-03-13,6064
2018-03-14,6064
2018-03-15,6064
2018-03-16,6156
2018-03-17,6156
2018-03-18,6156
2018-03-19,6156
2018-03-20,6143
2018-03-21,6143
2018-03-23,6143
2018-03-24,6143
2018-03-25,6143
2018-03-26,6153
2018-03-27,6153
2018-03-28,6153
2018-03-29,6153
2018-03-30,6153
2018-03-31,6153
2018-04-01,5976
2018-04-02,5976
2018-04-03,5976
2018-04-04,5976
2018-04-05,5976
2018-04-06,5780
2018-04-07,5780
2018-04-08,5780
2018-04-09,5780
2018-04-10,5780
2018-04-11,5780
2018-04-12,5586
2018-04-13,5586
2018-04-14,5586
2018-04-15,5586
2018-04-16,5586
2018-04-17,5586
2018-04-18,5438
2018-04-19,5438
2018-04-20,5438
2018-04-21,5438
2018-04-22,5438
2018-04-23,5374
2018-04-24,5374
2018-04-25,5374
2018-04-26,5374
2018-04-27,5374
2018-04-28,5374
2018-04-29,5522
2018-04-30,5522
2018-05-01,5522
2018-05-04,5522
2018-05-05,5655
2018-05-06,5655
2018-05-07,5655
2018-05-08,5655
2018-05-09,5655
2018-05-10,5655
2018-05-11,5850
2018-05-12,5850
2018-05-13,5850
2018-05-14,5850
2018-05-15,5850
2018-05-16,5850
2018-05-17,6043
2018-05-18,6043
2018-05-19,6043
2018-05-20,6043
2018-05-21,6043
2018-05-22,6241
2018-05-23,6241
2018-05-24,6241
2018-05-25,6241
2018-05-26,6241
2018-05-27,6241
2018-05-28,6153
2018-05-29,6153
2018-05-30,6153
2018-05-31,6153
2018-06-01,6153
2018-06-02,6153
2018-06-03,6406
2018-06-04,6406
2018-06-05,6406
2018-06-06,6406
2018-06-07,6406
2018-06-08,6347
2018-06-09,6347
2018-06-10,6347
2018-06-11,6347
2018-06-12,6347
2018-06-13,6474
2018-06-14,6474
2018-06-15,6474
2018-06-16,6474
2018-06-17,6474
2018-06-18,6356
2018-06-19,6356
2018-06-20,6356
2018-06-21,6356
2018-06-22,6356
2018-06-23,6262
2018-06-24,6262
2018-06-25,6262
2018-06-26,6262
2018-06-27,6262
2018-06-28,6262
2018-06-29,6168
2018-06-30,6168
2018-07-01,6168
2018-07-02,6168
2018-07-03,6168
2018-07-04,6168
2018-07-05,6238
2018-07-06,6238
2018-07-07,6238
2018-07-08,6238
2018-07-09,6238
2018-07-10,6238
2018-07-11,6238
2018-07-12,6238
2018-07-13,6238
2018-07-14,6238
2018-07-15,6238
2018-07-16,6238
2018-07-17,6427
2018-07-18,6427
2018-07-19,6427
2018-07-20,6427
2018-07-21,6427
2018-07-22,6427
2018-07-23,6458
2018-07-24,6458
2018-07-25,6458
2018-07-26,6458
2018-07-27,6458
2018-07-28,6580
2018-07-29,6580
2018-07-30,6580
2018-07-31,6580
2018-08-01,6580
2018-08-02,6458
2018-08-03,6458
2018-08-04,6458
2018-08-05,6458
2018-08-06,6458
2018-08-07,6400
2018-08-08,6400
2018-08-09,6400
2018-08-10,6400
2018-08-11,6400
2018-08-12,6258
2018-08-14,6258
2018-08-16,6258
2018-08-17,6220
2018-08-18,6220
2018-08-19,6220
2018-08-20,6220
2018-08-21,6220
2018-08-22,6170
2018-08-23,6170
2018-08-24,6170
2018-08-25,6085
2018-08-26,6085
2018-08-27,6085
2018-08-28,6085
2018-08-29,6085
2018-08-30,6226
2018-08-31,6226
2018-09-01,6226
2018-09-02,6119
2018-09-03,6119
2018-09-04,6119
2018-09-05,6092
2018-09-06,6092
2018-09-07,6092
2018-09-08,6092
2018-09-09,6190
2018-09-10,6190
2018-09-11,6190
2018-09-12,6190
2018-09-13,6491
2018-09-14,6491
2018-09-15,6491
2018-09-16,6491
2018-09-17,6779
2018-09-18,6779
2018-09-19,6779
2018-09-20,6779
2018-09-21,6779
2018-09-22,7055
2018-09-23,7055
2018-09-24,7055
2018-09-25,7055
2018-09-26,7055
2018-09-27,7055
2018-09-28,7304
2018-09-29,7304
2018-09-30,7304
2018-10-01,7304
2018-10-02,7304
2018-10-03,7304
2018-10-04,7633
2018-10-05,7633
2018-10-06,7633
2018-10-07,7633
2018-10-08,7633
2018-10-09,7983
2018-10-10,7983
2018-10-11,7983
2018-10-12,7983
2018-10-13,7983
2018-10-14,7663
2018-10-15,7663
2018-10-16,7663
2018-10-17,7663
2018-10-18,7663
2018-10-19,8020
2018-10-20,8020
2018-10-21,8020
2018-10-22,8020
2018-10-23,8020
2018-10-24,8020
2018-10-25,8374
2018-10-26,8374
2018-10-27,8374
2018-10-28,8374
2018-10-29,8374
2018-10-30,8777
2018-10-31,8777
2018-11-01,8777
2018-11-03,9038
2018-11-04,9038
2018-11-05,9038
2018-11-06,9314
2018-11-07,9314
2018-11-08,9314
2018-11-09,9314
2018-11-10,9753
2018-11-11,9753
2018-11-12,9753
2018-11-13,10069
2018-11-14,10069
2018-11-15,10069
2018-11-16,10249
2018-11-17,10249
2018-11-18,10206
2018-11-19,10206
2018-11-20,10206
2018-11-21,10206
2018-11-22,10261
2018-11-23,10261
2018-11-24,10261
2018-11-25,10320
2018-11-26,10320
2018-11-27,10320
2018-11-28,10224
2018-11-29,10224
2018-12-01,10149
2018-12-02,10149
2018-12-03,10149
2018-12-04,9980
2018-12-05,9980
2018-12-07,10006
2018-12-09,10006
2018-12-10,9766
2018-12-11,9766
2018-12-13,9946
2018-12-14,9946
2018-12-15,9946
2018-12-16,9946
2018-12-17,9967
2018-12-18,9967
2018-12-19,9967
2018-12-20,9967
2018-12-21,9920
2018-12-22,9920
2018-12-23,9920
2018-12-24,9920
2018-12-25,9866
2018-12-26,9866
2018-12-27,9866
2018-12-28,9866
2018-12-29,9587
2018-12-30,9587
2018-12-31,9587
2019-01-01,9418
2019-01-02,9418
2019-01-03,9418
2019-01-04,9418
2019-01-05,9405
2019-01-06,9405
2019-01-08,9240
2019-01-10,9240
2019-01-11,9240
2019-01-12,8968
2019-01-13,8968
2019-01-14,8968
2019-01-15,8849
2019-01-16,8849
2019-01-17,8849
2019-01-18,8849
2019-01-19,8456
2019-01-20,8456
2019-01-21,8456
2019-01-22,8070
2019-01-23,8070
2019-01-24,7713
2019-01-25,7713
2019-01-26,7713
2019-01-27,7516
2019-01-28,7516
2019-01-29,7516
2019-01-30,7407
2019-01-31,7407
2019-02-01,7407
2019-02-02,7263
2019-02-03,7263
2019-02-04,7263
2019-02-05,6921
2019-02-06,6921
2019-02-07,6921
2019-02-08,6691
2019-02-09,6691
2019-02-10,6691
2019-02-11,6691
2019-02-12,6673
2019-02-13,6673
2019-02-14,6673
2019-02-15,6540
2019-02-16,6540
2019-02-17,6540
2019-02-18,6540
2019-02-19,6753
2019-02-20,6753
2019-02-21,6753
2019-02-22,6753
2019-02-23,6628
2019-02-24,6628
2019-02-25,6628
2019-02-26,6628
2019-02-27,6335
2019-02-28,6335
2019-03-01,6335
2019-03-02,6213
2019-03-03,6213
2019-03-04,6213
2019-03-05,6120
2019-03-06,6120
2019-03-07,6120
2019-03-08,6120
2019-03-09,6290
2019-03-10,6290
2019-03-11,6290
2019-03-12,6434
2019-03-13,6434
2019-03-14,6434
2019-03-15,6434
2019-03-16,6307
2019-03-17,6307
2019-03-18,6307
2019-03-19,6307
2019-03-20,6130
2019-03-21,6130
2019-03-22,6130
2019-03-23,5971
2019-03-24,5971
2019-03-25,5971
