date_obj,Menaphite%20purple%20kilt price
2016-12-18,8278
2016-12-19,8278
2016-12-20,8278
2016-12-21,8278
2016-12-22,8278
2016-12-23,8278
2016-12-24,8278
2016-12-25,7867
2016-12-26,7867
2016-12-27,7867
2016-12-28,7867
2016-12-29,7867
2016-12-30,7867
2016-12-31,7867
2017-01-01,7867
2017-01-02,7867
2017-01-03,7867
2017-01-04,7867
2017-01-05,7867
2017-01-06,7867
2017-01-07,7867
2017-01-08,7867
2017-01-09,7867
2017-01-10,7867
2017-01-11,7484
2017-01-12,7484
2017-01-13,7484
2017-01-14,7484
2017-01-15,7484
2017-01-16,7484
2017-01-17,7484
2017-01-18,7484
2017-01-19,7484
2017-01-20,7484
2017-01-21,7484
2017-01-22,7484
2017-01-27,7484
2017-01-28,7484
2017-01-29,7484
2017-01-30,7484
2017-01-31,7484
2017-02-01,7128
2017-02-02,7128
2017-02-03,7128
2017-02-04,7128
2017-02-05,7128
2017-02-06,7128
2017-02-07,7128
2017-02-08,7128
2017-02-09,7128
2017-02-10,7128
2017-02-11,7128
2017-02-12,7128
2017-02-13,7128
2017-02-14,7128
2017-02-15,7128
2017-02-16,7128
2017-02-18,7128
2017-02-19,7128
2017-02-20,7128
2017-02-21,7128
2017-02-22,7128
2017-02-23,7128
2017-02-24,6782
2017-02-25,6782
2017-02-26,6782
2017-02-27,6782
2017-02-28,6782
2017-03-01,6782
2017-03-02,6782
2017-03-03,6782
2017-03-04,6782
2017-03-05,6782
2017-03-06,6782
2017-03-07,6782
2017-03-08,6782
2017-03-09,6782
2017-03-10,6782
2017-03-11,6782
2017-03-12,6782
2017-03-13,6782
2017-03-14,6782
2017-03-15,6782
2017-03-16,6782
2017-03-17,6782
2017-03-18,6450
2017-03-19,6450
2017-03-20,6450
2017-03-21,6450
2017-03-22,6450
2017-03-23,6450
2017-03-24,6450
2017-03-25,6450
2017-03-26,6450
2017-03-27,6450
2017-03-28,6450
2017-03-29,6450
2017-03-30,6450
2017-03-31,6145
2017-04-01,6145
2017-04-02,6145
2017-04-03,6145
2017-04-04,6145
2017-04-12,6145
2017-04-13,5843
2017-04-14,5843
2017-04-15,5843
2017-04-16,5843
2017-04-17,5843
2017-04-18,5843
2017-04-19,5843
2017-04-20,5843
2017-04-21,5843
2017-04-22,5843
2017-04-23,5843
2017-04-24,5843
2017-04-25,5843
2017-04-26,5660
2017-04-27,5660
2017-04-28,5660
2017-04-29,5660
2017-04-30,5660
2017-05-01,5660
2017-05-02,5660
2017-05-03,5660
2017-05-04,5660
2017-05-05,5660
2017-05-06,5660
2017-05-07,5660
2017-05-08,5660
2017-05-09,5660
2017-05-10,5660
2017-05-11,5660
2017-05-12,5385
2017-05-13,5385
2017-05-14,5385
2017-05-15,5385
2017-05-16,5385
2017-05-17,5385
2017-05-18,5385
2017-05-19,5385
2017-05-20,5385
2017-05-21,5385
2017-05-22,5385
2017-05-23,5385
2017-05-24,5385
2017-05-25,5385
2017-05-26,5385
2017-05-27,5385
2017-05-28,5385
2017-05-29,5385
2017-05-30,5126
2017-05-31,5126
2017-06-01,5126
2017-06-02,5126
2017-06-03,5126
2017-06-06,5126
2017-06-07,5126
2017-06-08,5126
2017-06-09,5126
2017-06-10,5126
2017-06-11,5126
2017-06-12,5126
2017-06-13,5126
2017-06-14,5126
2017-06-15,5126
2017-06-16,5126
2017-06-17,5126
2017-06-18,5126
2017-06-19,5126
2017-06-20,4876
2017-06-21,4876
2017-06-22,4876
2017-06-23,4876
2017-06-24,4876
2017-06-25,4876
2017-06-26,4876
2017-06-27,4876
2017-06-28,4876
2017-06-29,4876
2017-06-30,4876
2017-07-01,4876
2017-07-02,4876
2017-07-03,4876
2017-07-04,4876
2017-07-05,4876
2017-07-06,4876
2017-07-07,4876
2017-07-08,4876
2017-07-13,4725
2017-07-14,4725
2017-07-15,4725
