date_obj,Bowl%20of%20water price
2017-02-04,76
2017-02-05,76
2017-02-06,73
2017-02-07,72
2017-02-08,75
2017-02-09,75
2017-02-10,78
2017-02-11,79
2017-02-12,75
2017-02-13,71
2017-02-14,69
2017-02-15,70
2017-02-16,67
2017-02-18,63
2017-02-19,60
2017-02-20,62
2017-02-21,66
2017-02-22,66
2017-02-23,65
2017-02-24,61
2017-02-25,65
2017-02-26,69
2017-02-27,67
2017-02-28,67
2017-03-01,67
2017-03-02,67
2017-03-03,65
2017-03-04,66
2017-03-05,66
2017-03-06,66
2017-03-07,64
2017-03-08,65
2017-03-09,61
2017-03-10,60
2017-03-11,58
2017-03-12,58
2017-03-13,57
2017-03-14,57
2017-03-15,56
2017-03-16,56
2017-03-17,54
2017-03-18,53
2017-03-19,53
2017-03-20,52
2017-03-21,53
2017-03-22,52
2017-03-23,51
2017-03-24,48
2017-03-25,48
2017-03-26,45
2017-03-27,42
2017-03-28,41
2017-03-29,39
2017-03-30,37
2017-03-31,37
2017-04-01,35
2017-04-02,34
2017-04-03,33
2017-04-04,32
2017-04-12,31
2017-04-13,30
2017-04-14,32
2017-04-15,34
2017-04-16,36
2017-04-17,35
2017-04-18,36
2017-04-19,38
2017-04-20,40
2017-04-21,42
2017-04-22,43
2017-04-23,45
2017-04-24,45
2017-04-25,48
2017-04-26,48
2017-04-27,48
2017-04-28,50
2017-04-29,51
2017-04-30,48
2017-05-01,47
2017-05-02,44
2017-05-03,41
2017-05-04,38
2017-05-05,36
2017-05-06,34
2017-05-07,33
2017-05-08,31
2017-05-09,31
2017-05-10,31
2017-05-11,32
2017-05-12,31
2017-05-13,30
2017-05-14,28
2017-05-15,27
2017-05-16,27
2017-05-17,26
2017-05-18,26
2017-05-19,26
2017-05-20,26
2017-05-21,26
2017-05-22,26
2017-05-23,25
2017-05-24,27
2017-05-25,29
2017-05-26,31
2017-05-27,33
2017-05-28,35
2017-05-29,37
2017-05-30,39
2017-05-31,41
2017-06-01,44
2017-06-02,47
2017-06-03,50
2017-06-04,52
2017-06-05,54
2017-06-06,57
2017-06-07,59
2017-06-08,59
2017-06-09,62
2017-06-10,64
2017-06-11,60
2017-06-12,57
2017-06-13,54
2017-06-14,52
2017-06-15,50
2017-06-16,50
2017-06-17,50
2017-06-18,50
2017-06-19,50
2017-06-20,51
2017-06-21,51
2017-06-22,48
2017-06-23,47
2017-06-24,45
2017-06-25,42
2017-06-26,41
2017-06-27,39
2017-06-28,38
2017-06-29,36
2017-06-30,34
2017-07-01,34
2017-07-02,33
2017-07-03,33
2017-07-04,33
2017-07-05,33
2017-07-06,32
2017-07-07,32
2017-07-08,31
2017-07-13,30
2017-07-14,31
2017-07-15,31
2017-07-16,32
2017-07-17,33
2017-07-18,32
2017-07-19,32
2017-07-20,31
2017-07-21,30
2017-07-22,30
2017-07-23,30
2017-07-24,30
2017-07-25,30
2017-07-26,29
2017-07-27,28
2017-07-28,29
2017-07-29,31
2017-07-30,31
2017-07-31,31
2017-08-01,32
2017-08-02,34
2017-08-03,36
2017-08-04,38
2017-08-05,40
2017-08-06,40
2017-08-09,48
2017-08-10,50
2017-08-11,53
2017-08-12,55
2017-08-13,57
2017-08-14,58
2017-08-15,56
2017-08-16,53
2017-08-17,51
2017-08-18,51
2017-08-19,51
2017-08-20,52
2017-08-21,52
2017-08-22,55
2017-08-23,58
2017-08-24,61
2017-08-25,65
2017-08-26,69
2017-08-27,67
2017-08-28,64
2017-08-29,64
2017-08-30,67
2017-08-31,67
2017-09-01,67
2017-09-02,67
2017-09-03,67
2017-09-04,68
2017-09-05,66
2017-09-06,70
2017-09-07,69
2017-09-08,69
2017-09-09,67
2017-09-10,66
2017-09-11,63
2017-09-12,63
2017-09-13,65
2017-09-14,67
2017-09-15,67
2017-09-16,69
2017-09-17,66
2017-09-18,62
2017-09-19,58
2017-09-20,57
2017-09-21,56
2017-09-22,57
2017-09-23,57
2017-09-24,59
2017-09-25,60
2017-09-26,58
2017-09-27,57
2017-09-28,56
2017-09-29,57
2017-09-30,57
2017-10-01,60
2017-10-02,63
2017-10-03,66
2017-10-04,66
2017-10-05,70
2017-10-06,74
2017-10-07,71
2017-10-08,67
2017-10-09,64
2017-10-10,64
2017-10-11,64
2017-10-12,63
2017-10-13,62
2017-10-14,59
2017-10-15,59
2017-10-16,61
2017-10-17,61
2017-10-18,61
2017-10-19,63
2017-10-20,61
2017-10-21,63
2017-10-22,63
2017-10-23,65
2017-10-24,67
2017-10-25,69
2017-10-26,67
2017-10-27,69
2017-10-28,69
2017-10-29,70
2017-10-30,67
2017-10-31,69
2017-11-01,69
2017-11-02,68
2017-11-03,69
2017-11-04,68
2017-11-05,68
2017-11-06,64
2017-11-07,63
2017-11-08,59
2017-11-09,56
2017-11-10,53
2017-11-11,51
2017-11-12,51
2017-11-13,52
2017-11-14,55
2017-11-15,58
2017-11-16,61
2017-11-17,65
2017-11-18,68
2017-11-19,68
2017-11-20,70
2017-11-21,66
2017-11-22,67
2017-11-23,69
2017-11-24,68
2017-11-25,64
2017-11-26,61
2017-11-27,61
2017-11-28,61
2017-11-29,61
2017-11-30,60
2017-12-01,60
2017-12-02,60
2017-12-03,59
2017-12-04,61
2017-12-05,61
2017-12-06,61
2017-12-07,57
2017-12-08,57
2017-12-09,54
2017-12-10,53
2017-12-11,50
2017-12-12,49
2017-12-13,46
2017-12-14,44
2017-12-15,46
2017-12-16,46
2017-12-17,49
