date_obj,Black%20shield%20(h5) price
2015-10-31,1515
2015-11-01,1515
2015-11-02,1515
2015-11-03,1515
2015-11-04,1515
2015-11-05,1515
2015-11-06,1581
2015-11-07,1581
2015-11-08,1581
2015-11-09,1581
2015-11-10,1581
2015-11-11,1581
2015-11-12,1581
2015-11-13,1603
2015-11-14,1603
2015-11-15,1603
2015-11-16,1603
2015-11-17,1603
2015-11-18,1603
2015-11-19,1543
2015-11-20,1543
2015-11-21,1543
2015-11-22,1543
2015-11-23,1543
2015-11-24,1543
2015-11-25,1499
2015-11-26,1499
2015-11-27,1499
2015-11-28,1499
2015-11-29,1499
2015-11-30,1499
2015-12-01,1458
2015-12-02,1458
2015-12-03,1458
2015-12-04,1458
2015-12-05,1458
2015-12-06,1458
2015-12-07,1515
2015-12-08,1515
2015-12-09,1515
2015-12-10,1515
2015-12-11,1515
2015-12-12,1551
2015-12-13,1551
2015-12-14,1551
2015-12-15,1551
2015-12-16,1551
2015-12-17,1551
2015-12-18,1510
2015-12-19,1510
2015-12-20,1510
2015-12-21,1510
2015-12-22,1510
2015-12-23,1443
2015-12-24,1443
2015-12-25,1443
2015-12-26,1443
2015-12-27,1443
2015-12-28,1443
2015-12-29,1414
2015-12-30,1414
2015-12-31,1414
2016-01-01,1414
2016-01-02,1414
2016-01-03,1414
2016-01-04,1477
2016-01-05,1477
2016-01-06,1477
2016-01-07,1477
2016-01-08,1477
2016-01-09,1477
2016-01-10,1480
2016-01-11,1480
2016-01-12,1480
2016-01-13,1480
2016-01-14,1480
2016-01-15,1480
2016-01-16,1508
2016-01-17,1508
2016-01-18,1508
2016-01-19,1508
2016-01-20,1508
2016-01-21,1508
2016-01-22,1566
2016-01-23,1566
2016-01-24,1566
2016-01-25,1566
2016-01-26,1566
2016-01-27,1566
2016-01-28,1566
2016-01-29,1566
2016-01-30,1566
2016-01-31,1566
2016-02-01,1566
2016-02-02,1566
2016-02-03,1533
2016-02-04,1533
2016-02-05,1533
2016-02-06,1533
2016-02-07,1533
2016-02-08,1533
2016-02-09,1533
2016-02-10,1511
2016-02-11,1511
2016-02-12,1511
2016-02-13,1511
2016-02-14,1511
2016-02-15,1451
2016-02-16,1451
2016-02-17,1451
2016-02-18,1451
2016-02-19,1451
2016-02-20,1417
2016-02-21,1417
2016-02-22,1417
2016-02-23,1417
2016-02-24,1417
2016-02-25,1424
2016-02-26,1424
2016-02-27,1424
2016-02-28,1424
2016-02-29,1424
2016-03-01,1417
2016-03-02,1417
2016-03-03,1417
2016-03-04,1417
2016-03-05,1417
2016-03-06,1368
2016-03-07,1368
2016-03-08,1368
2016-03-09,1368
2016-03-10,1368
2016-03-11,1368
2016-03-12,1328
2016-03-13,1328
2016-03-14,1328
2016-03-15,1328
2016-03-16,1328
2016-03-17,1328
2016-03-18,1328
2016-03-19,1390
2016-03-20,1390
2016-03-21,1390
2016-03-22,1390
2016-03-23,1349
2016-03-24,1349
2016-03-25,1349
2016-03-26,1349
2016-03-27,1349
2016-03-28,1314
2016-03-29,1314
2016-03-30,1314
2016-03-31,1314
2016-04-01,1314
2016-04-02,1314
2016-04-03,1288
2016-04-04,1288
2016-04-05,1288
2016-04-06,1288
2016-04-07,1288
2016-04-08,1288
2016-04-09,1256
2016-04-10,1256
2016-04-11,1256
2016-04-12,1256
2016-04-13,1202
2016-04-14,1202
2016-04-15,1202
2016-04-16,1202
2016-04-17,1150
2016-04-18,1150
2016-04-19,1150
2016-04-20,1150
2016-04-21,1195
2016-04-22,1195
2016-04-23,1195
2016-04-24,1195
2016-04-25,1195
2016-04-26,1195
2016-04-27,1220
2016-04-28,1220
2016-04-29,1220
2016-04-30,1220
2016-05-01,1220
2016-05-02,1170
2016-05-03,1170
2016-05-04,1170
2016-05-05,1170
2016-05-06,1170
2016-05-07,1153
2016-05-08,1153
2016-05-09,1153
2016-05-10,1153
2016-05-11,1153
2016-05-12,1132
2016-05-13,1132
2016-05-14,1132
2016-05-15,1132
2016-05-16,1165
2016-05-17,1165
2016-05-18,1165
2016-05-19,1165
2016-05-22,1155
2016-05-23,1155
2016-05-24,1155
2016-05-25,1155
2016-05-26,1158
2016-05-27,1158
2016-05-28,1158
2016-05-29,1158
2016-05-30,1153
2016-05-31,1153
2016-06-01,1153
2016-06-02,1153
2016-06-03,1136
2016-06-04,1136
2016-06-05,1136
2016-06-06,1136
2016-06-07,1136
2016-06-08,1114
2016-06-09,1114
2016-06-10,1114
2016-06-11,1114
2016-06-12,1095
2016-06-13,1095
2016-06-14,1095
2016-06-15,1095
2016-06-16,1095
2016-06-17,1095
2016-06-18,1085
2016-06-19,1085
2016-06-20,1085
2016-06-21,1085
2016-06-22,1088
2016-06-23,1088
2016-06-24,1088
2016-06-25,1088
2016-06-26,1088
2016-06-27,1067
2016-06-28,1067
2016-06-29,1067
2016-06-30,1067
2016-07-01,1067
2016-07-02,1081
2016-07-03,1081
2016-07-04,1131
2016-07-05,1131
2016-07-06,1131
2016-07-07,1180
2016-07-08,1180
2016-07-09,1185
2016-07-10,1185
2016-07-11,1179
2016-07-12,1179
2016-07-13,1179
2016-07-14,1179
2016-07-15,1145
2016-07-16,1145
2016-07-17,1145
2016-07-18,1096
2016-07-23,1044
2016-07-24,1044
2016-07-25,1044
2016-07-26,1014
2016-07-27,1014
2016-07-28,1014
2016-07-29,1014
2016-07-30,975
2016-07-31,975
2016-08-01,975
2016-08-02,975
2016-08-03,975
2016-08-04,938
