date_obj,Desert%20legs price
2015-12-15,591
2015-12-16,591
2015-12-17,591
2015-12-18,591
2015-12-19,591
2015-12-20,587
2015-12-21,587
2015-12-22,587
2015-12-23,587
2015-12-24,587
2015-12-25,587
2015-12-26,587
2015-12-27,587
2015-12-28,587
2015-12-29,590
2015-12-30,590
2015-12-31,590
2016-01-01,590
2016-01-02,590
2016-01-03,590
2016-01-04,590
2016-01-05,570
2016-01-06,570
2016-01-07,570
2016-01-08,570
2016-01-09,570
2016-01-10,570
2016-01-11,570
2016-01-12,587
2016-01-13,587
2016-01-14,587
2016-01-15,587
2016-01-16,587
2016-01-17,587
2016-01-18,587
2016-01-19,587
2016-01-20,616
2016-01-21,616
2016-01-22,616
2016-01-23,616
2016-01-24,616
2016-01-25,616
2016-01-26,616
2016-01-27,621
2016-01-28,621
2016-01-29,621
2016-01-30,621
2016-01-31,621
2016-02-01,621
2016-02-02,621
2016-02-03,621
2016-02-04,621
2016-02-05,647
2016-02-06,647
2016-02-07,647
2016-02-08,647
2016-02-09,647
2016-02-10,647
2016-02-11,647
2016-02-12,669
2016-02-13,669
2016-02-14,669
2016-02-15,669
2016-02-16,669
2016-02-17,669
2016-02-18,669
2016-02-19,669
2016-02-20,702
2016-02-21,702
2016-02-22,702
2016-02-23,702
2016-02-24,702
2016-02-25,702
2016-02-26,702
2016-02-27,738
2016-02-28,738
2016-03-01,738
2016-03-02,738
2016-03-03,738
2016-03-04,738
2016-03-05,738
2016-03-06,765
2016-03-07,765
2016-03-08,765
2016-03-09,765
2016-03-10,765
2016-03-11,765
2016-03-12,757
2016-03-13,757
2016-03-14,757
2016-03-15,757
2016-03-16,757
2016-03-17,757
2016-03-18,757
2016-03-19,748
2016-03-20,748
2016-03-21,748
2016-03-22,748
2016-03-23,748
2016-03-24,748
2016-03-25,748
2016-03-26,765
2016-03-27,765
2016-03-28,765
2016-03-29,765
2016-03-30,765
2016-03-31,765
2016-04-01,765
2016-04-02,747
2016-04-03,747
2016-04-04,747
2016-04-05,747
2016-04-06,747
2016-04-07,747
2016-04-08,730
2016-04-09,730
2016-04-10,730
2016-04-11,730
2016-04-12,730
2016-04-13,730
2016-04-14,730
2016-04-15,730
2016-04-16,741
2016-04-17,741
2016-04-18,741
2016-04-19,741
2016-04-20,741
2016-04-21,741
2016-04-22,741
2016-04-23,751
2016-04-24,751
2016-04-25,751
2016-04-26,751
2016-04-27,751
2016-04-28,751
2016-04-29,751
2016-04-30,781
2016-05-01,781
2016-05-02,781
2016-05-03,781
2016-05-04,781
2016-05-05,781
2016-05-06,781
2016-05-07,773
2016-05-08,773
2016-05-09,773
2016-05-10,773
2016-05-11,773
2016-05-12,773
2016-05-13,769
2016-05-14,769
2016-05-15,769
2016-05-16,769
2016-05-17,769
