date_obj,Dragon%20boots%20ornament%20kit price
2019-05-08,140378
2019-05-09,137075
2019-05-10,133768
2019-05-11,131283
2019-05-12,132720
2019-05-13,134136
2019-05-14,136106
2019-05-15,137447
2019-05-16,138348
2019-05-17,138878
2019-05-18,138311
2019-05-19,139500
2019-05-20,141595
2019-05-21,139178
2019-05-22,140952
2019-05-23,141235
2019-05-24,139529
2019-05-25,136722
2019-05-26,134248
2019-05-27,132397
2019-05-28,130845
2019-05-29,130587
2019-05-30,128737
2019-05-31,128910
2019-06-01,129230
2019-06-02,129074
2019-06-03,128413
2019-06-04,128210
2019-06-05,127752
2019-06-06,129547
2019-06-07,130661
2019-06-08,129066
2019-06-09,127906
2019-06-10,127825
2019-06-11,128379
2019-06-12,127148
2019-06-13,128336
2019-06-14,126723
2019-06-15,128318
2019-06-16,133538
2019-06-17,140023
2019-06-18,145584
2019-06-19,152339
2019-06-20,159748
2019-06-21,167101
2019-06-22,174144
2019-06-23,168962
2019-06-24,162372
2019-06-25,158464
2019-06-26,155625
2019-06-27,152021
2019-06-28,151001
2019-06-29,150883
2019-06-30,151192
2019-07-01,152993
2019-07-02,154095
2019-07-03,152028
2019-07-04,153971
2019-07-05,153527
2019-07-06,154200
2019-07-07,155710
2019-07-08,155366
2019-07-09,154978
2019-07-10,154846
2019-07-11,153519
2019-07-12,153829
2019-07-13,152369
2019-07-14,148728
2019-07-15,143920
2019-07-16,139805
2019-07-17,135906
2019-07-18,136027
2019-07-19,135141
2019-07-20,136168
2019-07-21,138518
2019-07-22,139577
2019-07-23,137828
2019-07-24,136146
2019-07-25,137061
2019-07-26,136335
2019-07-27,136155
2019-07-28,134468
2019-07-29,131360
2019-07-30,128497
2019-07-31,128558
2019-08-01,126412
2019-08-02,123625
2019-08-03,121405
2019-08-04,119299
2019-08-05,117800
2019-08-06,116890
2019-08-07,115753
2019-08-08,117397
2019-08-09,121061
2019-08-10,123346
2019-08-11,120725
2019-08-12,122153
2019-08-13,125045
2019-08-14,127179
2019-08-15,129744
2019-08-16,132593
2019-08-17,133902
2019-08-18,137267
2019-08-19,139859
2019-08-20,142986
2019-08-21,146309
2019-08-22,148783
2019-08-23,152412
2019-08-24,149636
2019-08-24,149636
2019-08-25,145727
2019-08-25,145727
2019-08-26,141155
2019-08-27,137138
2019-08-27,137138
2019-08-28,136041
2019-08-29,136430
2019-08-30,137441
2019-08-31,138877
2019-09-01,140152
2019-09-02,141026
2019-09-03,141934
2019-09-04,144914
2019-09-05,145253
2019-09-06,143436
2019-09-07,143155
2019-09-08,141728
2019-09-09,141880
2019-09-10,141834
2019-09-11,141468
2019-09-12,140283
2019-09-13,140954
2019-09-14,139903
2019-09-15,138034
2019-09-16,138669
2019-09-17,138702
2019-09-18,137863
2019-09-19,139688
2019-09-20,138965
2019-09-21,139995
2019-09-22,140316
2019-09-23,139541
2019-09-24,139382
2019-09-25,138779
2019-09-26,137266
2019-09-27,136108
2019-09-28,135970
2019-09-29,134488
2019-09-30,134082
2019-10-01,136080
2019-10-02,137001
2019-10-03,137864
2019-10-04,138362
2019-10-05,139074
2019-10-06,138155
2019-10-07,138803
2019-10-08,138679
2019-10-09,139867
2019-10-10,140334
2019-10-11,139045
2019-10-12,139182
2019-10-13,138135
2019-10-14,138080
2019-10-15,139418
2019-10-16,139490
2019-10-17,139898
2019-10-18,140677
2019-10-19,139664
2019-10-20,136353
2019-10-21,132480
2019-10-22,129919
2019-10-23,125440
2019-10-24,120952
2019-10-25,120059
2019-10-26,118291
2019-10-27,117432
2019-10-28,117038
2019-10-29,115613
2019-10-30,116535
2019-10-31,114782
2019-11-01,114363
2019-11-02,111874
2019-11-03,110843
2019-11-04,107862
2019-11-05,106462
2019-11-06,107446
2019-11-07,108396
2019-11-08,107032
2019-11-09,106488
2019-11-10,106151
2019-11-11,106040
2019-11-12,106700
2019-11-13,106336
2019-11-14,106563
2019-11-15,106510
2019-11-16,104515
2019-11-17,103797
2019-11-18,102631
2019-11-19,100829
2019-11-20,99862
2019-11-21,98710
2019-11-22,97211
2019-11-23,94418
2019-11-24,92760
2019-11-25,89223
2019-11-26,87325
2019-11-27,85605
2019-11-28,85722
2019-11-29,86407
2019-11-30,89199
2019-12-01,93129
2019-12-02,96561
2019-12-03,100841
2019-12-04,105408
2019-12-05,107369
2019-12-06,109893
2019-12-07,112686
2019-12-08,116334
2019-12-09,119526
2019-12-10,119117
2019-12-11,117873
2019-12-12,119464
2019-12-13,120149
2019-12-14,122425
2019-12-15,123562
2019-12-16,123547
2019-12-17,125077
2019-12-18,124226
2019-12-19,125805
2019-12-20,126957
2019-12-21,126960
2019-12-22,127389
2019-12-23,125387
2019-12-24,124044
2019-12-25,122266
2019-12-26,119026
2019-12-27,115658
2019-12-28,113786
2019-12-29,114409
2019-12-30,118176
2019-12-31,121338
2020-01-01,124152
2020-01-02,126340
2020-01-03,126915
2020-01-04,125639
2020-01-05,124079
2020-01-06,122694
2020-01-07,119817
2020-01-08,118423
2020-01-09,115306
2020-01-10,112330
2020-01-11,109125
2020-01-12,105969
2020-01-13,103276
2020-01-14,99695
2020-01-15,97309
2020-01-16,96640
2020-01-17,96464
2020-01-18,98138
2020-01-19,100923
2020-01-20,102613
2020-01-21,106773
2020-01-22,107621
2020-01-23,107881
2020-01-24,106442
2020-01-25,105473
2020-01-26,105451
2020-01-27,105056
2020-01-28,105699
2020-01-29,104167
2020-01-30,103296
2020-01-31,102027
2020-02-01,100864
2020-02-02,99146
2020-02-03,97325
2020-02-04,95703
2020-02-05,95287
2020-02-06,95394
2020-02-07,95283
2020-02-08,94650
2020-02-09,94559
2020-02-10,97467
2020-02-11,101617
2020-02-12,104149
2020-02-13,104940
2020-02-14,103713
2020-02-15,103483
2020-02-16,103441
2020-02-17,103367
2020-02-18,102917
2020-02-19,103401
2020-02-20,103353
2020-02-21,104846
2020-02-22,105157
2020-02-23,104484
2020-02-24,103839
2020-02-25,103479
2020-02-26,102793
2020-02-27,102912
2020-02-28,103734
2020-02-29,103971
2020-03-01,103731
2020-03-02,103883
2020-03-03,103932
2020-03-04,102293
2020-03-05,102562
2020-03-06,101999
2020-03-07,100679
2020-03-08,99349
2020-03-09,99650
2020-03-10,100607
2020-03-11,101367
2020-03-12,100346
2020-03-13,100265
2020-03-14,99405
2020-03-15,98731
2020-03-16,97178
2020-03-17,94925
2020-03-18,93065
2020-03-19,91927
2020-03-20,91308
2020-03-21,90278
2020-03-22,89850
2020-03-23,88798
2020-03-24,87493
2020-03-25,86108
2020-03-26,85543
2020-03-27,85284
2020-03-28,85283
2020-03-29,84267
2020-03-30,84446
2020-03-31,84876
2020-04-01,84380
2020-04-02,84156
2020-04-03,83845
2020-04-04,83875
2020-04-05,83940
2020-04-06,84003
2020-04-07,84013
2020-04-08,84507
2020-04-09,84454
2020-04-10,84161
2020-04-11,84344
2020-04-12,83512
2020-04-13,84075
2020-04-14,84678
2020-04-15,84727
2020-04-16,84653
2020-04-17,84577
2020-04-18,84532
2020-04-19,84260
2020-04-20,84655
2020-04-21,85170
2020-04-22,85708
2020-04-23,86427
2020-04-24,86329
2020-04-25,86038
2020-04-26,86247
2020-04-27,86707
2020-04-28,88437
2020-04-29,89338
2020-04-30,89286
2020-05-01,88903
2020-05-02,87936
2020-05-03,87860
2020-05-04,88243
2020-05-05,88962
2020-05-06,89602
2020-05-07,90490
2020-05-08,91154
2020-05-09,90131
2020-05-10,89490
2020-05-11,89626
2020-05-12,90019
2020-05-13,89716
