date_obj,Dragonbone%20necklace price
2019-01-20,318674
2019-01-21,302740
2019-01-22,288002
2019-01-23,281903
2019-01-24,270122
2019-01-25,265070
2019-01-26,258312
2019-01-27,245823
2019-01-28,235295
2019-01-29,228539
2019-01-30,224533
2019-01-31,221396
2019-02-01,226456
2019-02-02,227490
2019-02-03,227594
2019-02-04,223500
2019-02-05,213843
2019-02-06,203150
2019-02-07,193586
2019-02-08,184122
2019-02-09,180949
2019-02-10,182759
2019-02-11,186421
2019-02-12,179333
2019-02-13,170865
2019-02-14,163291
2019-02-15,155126
2019-02-16,147369
2019-02-17,141657
2019-02-18,138691
2019-02-19,138477
2019-02-20,135292
2019-02-21,129580
2019-02-22,127097
2019-02-23,130242
2019-02-24,134904
2019-02-25,133802
2019-02-26,133926
2019-02-27,135466
2019-02-28,133984
2019-03-01,136655
2019-03-02,138983
2019-03-03,140921
2019-03-04,141515
2019-03-05,139007
2019-03-06,143146
2019-03-07,145574
2019-03-08,145574
2019-03-09,144248
2019-03-10,145339
2019-03-11,146007
2019-03-12,151957
2019-03-13,154369
2019-03-14,154362
2019-03-15,153902
2019-03-16,157385
2019-03-17,158633
2019-03-18,158633
2019-03-19,161539
2019-03-20,163457
2019-03-21,167240
2019-03-22,169217
2019-03-23,169358
2019-03-24,167615
2019-03-25,169060
2019-03-26,163914
2019-03-27,159146
2019-03-28,162737
2019-03-29,163966
2019-03-30,165597
2019-03-31,164476
2019-04-01,166396
2019-04-02,168517
2019-04-03,160771
2019-04-04,152732
2019-04-05,145095
2019-04-06,137840
2019-04-07,133036
2019-04-08,127804
2019-04-09,125241
2019-04-10,129052
2019-04-11,133365
2019-04-12,137958
2019-04-13,142459
2019-04-14,146275
2019-04-15,141831
2019-04-16,140673
2019-04-17,136677
2019-04-18,133284
2019-04-19,133769
2019-04-20,135254
2019-04-21,131549
2019-04-22,127534
2019-04-23,124082
2019-04-24,121280
2019-04-25,115791
2019-04-26,110001
2019-04-27,106115
2019-04-28,106486
2019-04-29,110676
2019-04-30,115833
2019-05-01,114569
2019-05-02,115094
2019-05-03,116777
2019-05-04,115816
2019-05-05,116237
2019-05-06,113789
2019-05-07,113524
2019-05-08,110268
2019-05-09,108813
2019-05-10,104900
2019-05-11,101755
2019-05-12,101298
2019-05-13,103684
2019-05-14,103637
2019-05-15,103499
2019-05-16,102645
2019-05-17,102353
2019-05-18,101012
2019-05-19,102467
2019-05-20,104060
2019-05-21,102152
2019-05-22,102254
2019-05-23,103894
2019-05-24,107185
2019-05-25,108477
2019-05-26,107678
2019-05-27,104665
2019-05-28,99696
2019-05-29,98762
2019-05-30,102461
2019-05-31,106121
2019-06-01,108094
2019-06-02,108574
2019-06-03,107484
2019-06-04,104113
2019-06-05,102146
2019-06-06,101709
2019-06-07,102796
2019-06-08,101968
2019-06-09,100847
2019-06-10,100847
2019-06-11,101326
2019-06-12,102217
2019-06-13,102718
2019-06-14,104232
2019-06-15,103605
2019-06-16,103519
2019-06-17,101989
2019-06-18,100326
2019-06-19,99728
2019-06-20,100413
2019-06-21,99639
2019-06-22,101220
2019-06-23,99180
2019-06-24,97109
2019-06-25,95269
2019-06-26,94329
2019-06-27,95084
2019-06-28,98165
2019-06-29,99398
2019-06-30,98690
2019-07-01,96169
2019-07-02,97759
2019-07-03,99175
2019-07-04,99784
2019-07-05,98883
2019-07-06,96024
2019-07-07,94051
2019-07-08,92022
2019-07-09,92152
2019-07-10,91245
2019-07-11,90305
2019-07-12,88872
2019-07-13,88779
2019-07-14,86412
2019-07-15,86673
2019-07-16,89090
2019-07-17,92387
2019-07-18,95133
2019-07-19,98039
2019-07-20,101413
2019-07-21,105307
2019-07-22,107752
2019-07-23,110610
2019-07-24,105079
2019-07-25,100374
2019-07-26,96497
2019-07-27,92844
2019-07-28,88701
2019-07-29,86773
2019-07-30,83238
2019-07-31,79770
2019-08-01,77452
2019-08-02,76837
2019-08-03,78779
2019-08-04,76619
2019-08-05,74524
2019-08-06,72262
2019-08-07,71757
2019-08-08,73943
2019-08-09,75337
2019-08-10,77963
2019-08-11,80238
2019-08-12,80566
2019-08-13,79669
2019-08-14,77752
2019-08-15,74159
2019-08-16,70963
2019-08-17,70947
2019-08-18,72561
2019-08-19,72965
2019-08-20,75059
2019-08-21,77833
2019-08-22,81035
2019-08-23,82733
2019-08-24,84309
2019-08-24,84309
2019-08-25,86633
2019-08-25,86633
2019-08-26,86354
2019-08-27,84489
2019-08-27,84489
2019-08-28,82936
2019-08-29,79268
2019-08-30,78239
2019-08-31,78197
2019-09-01,77946
2019-09-02,79271
2019-09-03,79409
2019-09-04,79981
2019-09-05,78690
2019-09-06,80155
2019-09-07,79768
2019-09-08,80052
2019-09-09,80754
2019-09-10,82257
2019-09-11,82042
2019-09-12,81632
2019-09-13,79619
2019-09-14,79606
2019-09-15,80102
2019-09-16,80272
2019-09-17,80829
2019-09-18,80607
2019-09-19,80668
2019-09-20,79736
2019-09-21,77752
2019-09-22,74964
2019-09-23,72764
2019-09-24,71136
2019-09-25,71298
2019-09-26,70180
2019-09-27,67483
2019-09-28,66449
2019-09-29,67673
2019-09-30,69254
2019-10-01,70958
2019-10-02,72711
2019-10-03,71858
2019-10-04,74521
2019-10-05,76947
2019-10-06,78135
2019-10-07,78330
2019-10-08,79287
2019-10-09,79493
2019-10-10,79772
2019-10-11,78362
2019-10-12,78614
2019-10-13,78403
2019-10-14,77438
2019-10-15,77295
2019-10-16,78235
2019-10-17,78519
2019-10-18,78841
2019-10-19,79494
2019-10-20,78162
2019-10-21,74367
2019-10-22,70648
2019-10-23,67115
2019-10-24,64359
2019-10-25,61526
2019-10-26,60250
2019-10-27,59625
2019-10-28,60301
2019-10-29,60301
2019-10-30,58520
2019-10-31,58864
2019-11-01,59564
2019-11-02,60737
2019-11-03,61467
2019-11-04,62235
2019-11-05,62107
2019-11-06,62247
2019-11-07,62552
2019-11-08,63847
2019-11-09,65697
2019-11-10,67191
2019-11-11,68046
2019-11-12,69304
2019-11-13,70355
2019-11-14,70427
2019-11-15,71432
2019-11-16,73053
2019-11-17,73053
2019-11-18,72850
2019-11-19,73651
2019-11-20,75693
2019-11-21,75693
2019-11-22,74109
2019-11-23,71323
2019-11-24,69155
2019-11-25,68154
2019-11-26,67778
2019-11-27,67778
2019-11-28,70205
2019-11-29,72210
2019-11-30,72332
2019-12-01,73469
2019-12-02,73572
2019-12-03,74725
2019-12-04,72269
2019-12-05,72269
2019-12-06,68655
2019-12-07,67049
2019-12-08,68922
2019-12-09,69600
2019-12-10,67249
2019-12-11,69922
2019-12-12,73415
2019-12-13,75772
2019-12-14,75876
2019-12-15,77172
2019-12-16,77559
2019-12-17,78646
2019-12-18,79062
2019-12-19,79040
2019-12-20,78855
2019-12-21,77809
2019-12-22,76895
2019-12-23,75938
2019-12-24,75927
2019-12-25,79416
2019-12-26,82983
2019-12-27,86215
2019-12-28,90526
2019-12-29,94920
2019-12-30,97126
2019-12-31,99536
2020-01-01,101220
2020-01-02,101468
2020-01-03,97038
2020-01-04,92186
2020-01-05,87597
2020-01-06,83217
2020-01-07,79073
2020-01-08,75543
2020-01-09,74024
2020-01-10,75222
2020-01-11,77012
2020-01-12,76745
2020-01-13,73569
2020-01-14,70572
2020-01-15,68388
2020-01-16,67650
2020-01-17,66616
2020-01-18,64336
2020-01-19,63051
2020-01-20,63699
2020-01-21,65539
2020-01-22,65175
2020-01-23,65759
2020-01-24,67271
2020-01-25,70049
2020-01-26,72025
2020-01-27,72838
2020-01-28,74997
2020-01-29,76167
2020-01-30,77268
2020-01-31,76676
2020-02-01,78362
2020-02-02,79246
2020-02-03,78762
2020-02-04,80988
2020-02-05,83560
2020-02-06,82523
2020-02-07,81931
2020-02-08,81843
2020-02-09,81051
2020-02-10,78707
2020-02-11,75099
2020-02-12,77493
2020-02-13,78867
2020-02-14,79117
2020-02-15,80579
2020-02-16,79938
2020-02-17,80532
2020-02-18,81392
2020-02-19,82240
2020-02-20,80858
2020-02-21,80858
2020-02-22,82739
2020-02-23,84473
2020-02-24,87048
2020-02-25,86657
2020-02-26,87692
2020-02-27,88660
2020-02-28,90612
2020-02-29,92064
2020-03-01,92489
2020-03-02,91710
2020-03-03,91151
2020-03-04,91075
2020-03-05,89699
2020-03-06,86721
2020-03-07,83961
2020-03-08,79762
2020-03-09,75773
2020-03-10,73057
2020-03-11,72469
2020-03-12,72564
2020-03-13,72616
2020-03-14,74095
2020-03-15,74433
2020-03-16,71126
2020-03-17,69010
2020-03-18,67855
2020-03-19,65994
2020-03-20,65864
2020-03-21,67437
2020-03-22,70434
2020-03-23,72408
2020-03-24,74713
2020-03-25,78449
2020-03-26,81808
2020-03-27,85899
2020-03-28,90191
2020-03-29,94656
2020-03-30,93014
2020-03-31,89228
2020-04-01,84766
2020-04-02,80527
2020-04-03,76500
2020-04-04,72675
2020-04-05,69041
2020-04-06,65589
2020-04-07,64023
2020-04-08,64186
2020-04-09,66452
2020-04-10,67809
2020-04-11,70194
2020-04-12,72033
2020-04-13,73667
2020-04-14,73386
2020-04-15,74757
2020-04-16,75509
2020-04-17,75296
2020-04-18,73876
2020-04-19,70885
2020-04-20,69740
2020-04-21,68331
2020-04-22,67020
2020-04-23,66511
2020-04-24,66445
2020-04-25,66738
2020-04-26,66606
2020-04-27,67427
2020-04-28,68686
2020-04-29,68743
2020-04-30,68854
2020-05-01,67370
2020-05-02,65897
2020-05-03,64532
2020-05-04,64338
2020-05-05,64970
2020-05-06,65467
2020-05-07,64978
2020-05-08,65426
2020-05-09,66534
2020-05-10,66447
2020-05-11,67287
2020-05-12,67587
2020-05-13,66859
