date_obj,Ancestral%20robe%20bottom price
2018-10-18,73233766
2018-10-19,72936243
2018-10-20,72864917
2018-10-21,73062112
2018-10-22,72400934
2018-10-23,72163406
2018-10-24,71855787
2018-10-25,71390164
2018-10-26,70944021
2018-10-27,71642724
2018-10-28,71843244
2018-10-29,71270364
2018-10-30,71471535
2018-10-31,71140580
2018-11-01,70886704
2018-11-03,70657699
2018-11-04,70324833
2018-11-05,70141488
2018-11-06,70146984
2018-11-07,70135696
2018-11-08,69641096
2018-11-09,68890806
2018-11-10,67051071
2018-11-11,65804480
2018-11-12,64548140
2018-11-13,63073914
2018-11-14,63381487
2018-11-15,65080508
2018-11-16,65286416
2018-11-17,64848217
2018-11-18,63520928
2018-11-19,64077250
2018-11-20,61535294
2018-11-21,60916363
2018-11-22,60395539
2018-11-23,58933436
2018-11-24,59195421
2018-11-25,60238550
2018-11-26,60136802
2018-11-27,61608915
2018-11-28,62294031
2018-11-29,61738411
2018-12-01,59598072
2018-12-02,60218578
2018-12-03,60655704
2018-12-04,60687264
2018-12-05,60122069
2018-12-07,59893679
2018-12-09,60299092
2018-12-10,60220062
2018-12-11,60614216
2018-12-12,60527439
2018-12-13,60218160
2018-12-14,60221770
2018-12-15,60179300
2018-12-16,59914851
2018-12-17,59863688
2018-12-18,59518805
2018-12-19,59718400
2018-12-20,59489525
2018-12-21,59382527
2018-12-22,59331708
2018-12-23,59662023
2018-12-24,59859080
2018-12-25,60042102
2018-12-26,60026263
2018-12-27,62029148
2018-12-28,61930949
2018-12-29,62624240
2018-12-30,62462833
2018-12-31,63463603
2019-01-01,62091646
2019-01-02,63367663
2019-01-03,64071709
2019-01-04,63921684
2019-01-05,63896245
2019-01-06,63922966
2019-01-08,64378162
2019-01-10,61381410
2019-01-11,60498228
2019-01-12,60665263
2019-01-13,60729495
2019-01-14,60415152
2019-01-15,60511487
2019-01-16,59927852
2019-01-17,60589699
2019-01-18,61968427
2019-01-19,63436626
2019-01-20,63448813
2019-01-21,63114688
2019-01-22,62960616
2019-01-23,62680296
2019-01-24,62674589
2019-01-25,63732296
2019-01-26,64315708
2019-01-27,63901834
2019-01-28,63291929
2019-01-29,62967787
2019-01-30,62992631
2019-01-31,63293227
2019-02-01,63892962
2019-02-02,64846837
2019-02-03,66022985
2019-02-04,66892974
2019-02-05,67313858
2019-02-06,67762053
2019-02-07,68579437
2019-02-08,68041706
2019-02-09,68995802
2019-02-10,68803980
2019-02-11,66887292
2019-02-12,66520471
2019-02-13,63710182
2019-02-14,62919649
2019-02-15,63532012
2019-02-16,63924063
