date_obj,Black%20d'hide%20chaps%20(g) price
2017-02-11,1584291
2017-02-12,1628209
2017-02-13,1620652
2017-02-14,1623663
2017-02-15,1624313
2017-02-16,1603878
2017-02-18,1585567
2017-02-19,1582392
2017-02-20,1585612
2017-02-21,1599993
2017-02-22,1634791
2017-02-23,1660362
2017-02-24,1695447
2017-02-25,1716119
2017-02-26,1727556
2017-02-27,1705745
2017-02-28,1671620
2017-03-01,1661754
2017-03-02,1658348
2017-03-03,1656737
2017-03-04,1655631
2017-03-05,1655587
2017-03-06,1662068
2017-03-07,1669471
2017-03-08,1669083
2017-03-09,1648639
2017-03-10,1631014
2017-03-11,1621104
2017-03-12,1616540
2017-03-13,1617632
2017-03-14,1625244
2017-03-15,1621003
2017-03-16,1605827
2017-03-17,1603815
2017-03-18,1596702
2017-03-19,1570409
2017-03-20,1545099
2017-03-21,1518496
2017-03-22,1562646
2017-03-23,1591311
2017-03-24,1616205
2017-03-25,1641571
2017-03-26,1666510
2017-03-27,1690632
2017-03-28,1694932
2017-03-29,1697580
2017-03-30,1730007
2017-03-31,1757981
2017-04-01,1823503
2017-04-02,1846769
2017-04-03,1836530
2017-04-04,1867834
2017-04-12,1852424
2017-04-13,1827772
2017-04-14,1801985
2017-04-15,1807084
2017-04-16,1808188
2017-04-17,1829450
2017-04-18,1842177
2017-04-19,1840285
2017-04-20,1850439
2017-04-21,1847509
2017-04-22,1858861
2017-04-23,1825820
2017-04-24,1803371
2017-04-25,1781356
2017-04-26,1762408
2017-04-27,1751947
2017-04-28,1778702
2017-04-29,1825481
2017-04-30,1818854
2017-05-01,1850091
2017-05-02,1867536
2017-05-03,1882645
2017-05-04,1912506
2017-05-05,1935171
2017-05-06,1955124
2017-05-07,1958544
2017-05-08,1946803
2017-05-09,1895085
2017-05-10,1851878
2017-05-11,1802993
2017-05-12,1750591
2017-05-13,1719464
2017-05-14,1711851
2017-05-15,1704395
2017-05-16,1690856
2017-05-17,1697319
2017-05-18,1768661
2017-05-19,1798116
2017-05-20,1780743
2017-05-21,1737444
2017-05-22,1706139
2017-05-23,1670308
2017-05-24,1652074
2017-05-25,1644767
2017-05-26,1623711
2017-05-27,1599656
2017-05-28,1592070
2017-05-29,1600873
2017-05-30,1594844
2017-05-31,1593666
2017-06-01,1563032
2017-06-02,1524154
2017-06-03,1499464
2017-06-04,1446266
2017-06-05,1375221
2017-06-06,1362941
2017-06-07,1332475
2017-06-08,1352251
2017-06-09,1366650
2017-06-10,1384748
2017-06-11,1379800
2017-06-12,1332416
2017-06-13,1286556
2017-06-14,1226017
2017-06-15,1182733
2017-06-16,1170839
2017-06-17,1173588
2017-06-18,1196579
2017-06-19,1246753
2017-06-20,1305011
2017-06-21,1370262
2017-06-22,1434809
2017-06-23,1496730
2017-06-24,1547845
2017-06-25,1576910
2017-06-26,1597420
2017-06-27,1647194
2017-06-28,1707792
2017-06-29,1733766
2017-06-30,1762796
2017-07-01,1779375
2017-07-02,1764194
2017-07-03,1718191
2017-07-04,1678590
2017-07-05,1667891
2017-07-06,1699372
2017-07-07,1719503
2017-07-08,1734291
2017-07-13,1577497
2017-07-14,1536660
2017-07-15,1540251
2017-07-16,1521400
2017-07-17,1576787
2017-07-18,1654859
2017-07-19,1719795
2017-07-20,1727204
2017-07-21,1670291
2017-07-22,1679844
2017-07-23,1671064
2017-07-24,1675562
2017-07-25,1697031
2017-07-26,1753832
2017-07-27,1790555
2017-07-28,1803359
2017-07-29,1771555
2017-07-30,1730175
2017-07-31,1695651
2017-08-01,1691999
2017-08-02,1659198
2017-08-03,1644190
2017-08-04,1632777
2017-08-05,1650199
2017-08-06,1660123
2017-08-07,1661330
2017-08-08,1650995
2017-08-09,1640049
2017-08-10,1620036
2017-08-11,1585630
2017-08-12,1586284
2017-08-13,1577647
2017-08-14,1577711
2017-08-15,1595790
2017-08-16,1576992
2017-08-17,1609807
2017-08-18,1635895
2017-08-19,1630966
2017-08-20,1614492
2017-08-21,1589406
2017-08-22,1567879
2017-08-23,1568853
2017-08-24,1551535
