date_obj,Amulet%20of%20chemistry price
2017-09-15,1490
2017-09-16,1559
2017-09-17,1563
2017-09-18,1563
2017-09-19,1486
2017-09-20,1502
2017-09-21,1502
2017-09-22,1441
2017-09-23,1441
2017-09-24,1415
2017-09-25,1415
2017-09-26,1375
2017-09-27,1375
2017-09-28,1422
2017-09-29,1422
2017-09-30,1448
2017-10-01,1448
2017-10-02,1432
2017-10-03,1432
2017-10-04,1432
2017-10-05,1419
2017-10-06,1419
2017-10-07,1370
2017-10-08,1370
2017-10-09,1367
2017-10-10,1367
2017-10-11,1404
2017-10-12,1404
2017-10-13,1466
2017-10-14,1466
2017-10-15,1484
2017-10-16,1484
2017-10-17,1490
2017-10-18,1490
2017-10-19,1475
2017-10-20,1475
2017-10-21,1499
2017-10-22,1499
2017-10-23,1553
2017-10-24,1553
2017-10-25,1594
2017-10-26,1594
2017-10-27,1532
2017-10-28,1532
2017-10-29,1556
2017-10-30,1556
2017-10-31,1578
2017-11-01,1578
2017-11-02,1500
2017-11-03,1500
2017-11-04,1491
2017-11-05,1491
2017-11-06,1547
2017-11-07,1547
2017-11-08,1539
2017-11-09,1539
2017-11-10,1470
2017-11-11,1470
2017-11-12,1417
2017-11-13,1417
2017-11-14,1456
2017-11-15,1456
2017-11-16,1493
2017-11-17,1493
2017-11-18,1473
2017-11-19,1473
2017-11-20,1454
2017-11-21,1454
2017-11-22,1411
2017-11-23,1411
2017-11-24,1464
2017-11-25,1464
2017-11-26,1532
2017-11-27,1532
2017-11-28,1586
2017-11-29,1586
2017-11-30,1512
2017-12-01,1436
2017-12-02,1436
2017-12-03,1447
2017-12-04,1447
2017-12-05,1514
2017-12-06,1514
2017-12-07,1554
2017-12-08,1554
2017-12-09,1629
2017-12-10,1683
2017-12-11,1683
2017-12-12,1619
2017-12-13,1619
2017-12-14,1560
2017-12-15,1516
2017-12-16,1516
2017-12-17,1444
2017-12-18,1376
2017-12-19,1376
2017-12-20,1334
2017-12-21,1347
2017-12-22,1347
2017-12-23,1340
2017-12-24,1340
2017-12-25,1339
2017-12-26,1378
2017-12-27,1426
2017-12-28,1426
2017-12-29,1428
2017-12-30,1377
2017-12-31,1377
2018-01-01,1397
2018-01-02,1397
2018-01-03,1401
2018-01-04,1401
2018-01-05,1341
2018-01-06,1313
2018-01-07,1313
2018-01-08,1258
2018-01-09,1207
2018-01-10,1207
2018-01-11,1171
2018-01-12,1171
2018-01-13,1148
2018-01-14,1105
2018-01-15,1095
2018-01-16,1106
2018-01-17,1145
2018-01-18,1145
2018-01-19,1192
2018-01-20,1252
2018-01-21,1252
2018-01-22,1315
2018-01-23,1371
2018-01-24,1331
2018-01-25,1297
2018-01-26,1236
2018-01-27,1229
2018-01-28,1196
2018-01-29,1184
2018-01-30,1161
2018-01-31,1133
2018-02-01,1099
2018-02-02,1089
2018-02-03,1085
2018-02-04,1092
2018-02-05,1108
2018-02-06,1134
2018-02-07,1163
2018-02-08,1163
2018-02-09,1194
2018-02-10,1194
2018-02-11,1226
2018-02-12,1234
2018-02-13,1181
2018-02-14,1144
2018-02-15,1114
2018-02-16,1133
2018-02-17,1137
2018-02-18,1169
2018-02-19,1175
2018-02-20,1219
2018-02-21,1247
2018-02-22,1222
2018-02-23,1160
2018-02-24,1130
2018-02-25,1171
2018-02-26,1219
2018-02-27,1233
2018-02-28,1243
2018-03-01,1229
2018-03-02,1227
2018-03-03,1216
2018-03-04,1216
2018-03-05,1183
2018-03-06,1183
2018-03-07,1208
2018-03-08,1247
2018-03-09,1309
2018-03-10,1375
2018-03-11,1429
2018-03-12,1438
2018-03-13,1383
2018-03-14,1316
2018-03-15,1278
2018-03-16,1215
2018-03-17,1160
2018-03-18,1125
2018-03-19,1120
2018-03-20,1148
2018-03-22,1165
2018-03-23,1180
2018-03-24,1186
2018-03-25,1193
2018-03-26,1214
2018-03-27,1250
2018-03-28,1301
2018-03-29,1268
2018-03-30,1204
2018-03-31,1148
2018-04-01,1090
2018-04-02,1052
2018-04-03,1051
2018-04-04,1098
2018-04-05,1098
2018-04-06,1116
2018-04-07,1122
2018-04-08,1139
2018-04-09,1168
2018-04-10,1207
2018-04-11,1252
2018-04-12,1190
2018-04-13,1130
2018-04-14,1104
2018-04-15,1087
2018-04-16,1087
2018-04-17,1083
2018-04-18,1083
2018-04-19,1047
2018-04-20,1035
2018-04-21,1050
2018-04-22,1065
2018-04-23,1068
2018-04-24,1047
2018-04-25,1026
2018-04-26,1026
2018-04-27,1006
2018-04-28,1007
2018-04-29,1028
2018-04-30,1025
2018-05-01,1026
2018-05-02,1026
2018-05-03,1007
2018-05-04,1049
2018-05-05,1086
2018-05-06,1086
2018-05-07,1083
2018-05-08,1089
2018-05-09,1111
2018-05-10,1151
2018-05-11,1132
2018-05-12,1100
2018-05-13,1100
2018-05-14,1086
2018-05-15,1111
2018-05-16,1093
2018-05-17,1056
2018-05-18,1074
2018-05-19,1123
2018-05-20,1155
2018-05-21,1187
2018-05-22,1187
2018-05-23,1246
2018-05-24,1304
2018-05-25,1333
2018-05-26,1369
2018-05-27,1308
2018-05-28,1270
2018-05-29,1243
2018-05-30,1224
2018-05-31,1204
2018-06-01,1188
2018-06-02,1156
2018-06-03,1137
2018-06-04,1164
2018-06-05,1171
2018-06-06,1162
2018-06-07,1197
2018-06-08,1223
2018-06-09,1273
2018-06-10,1314
2018-06-11,1358
2018-06-12,1383
2018-06-13,1327
2018-06-14,1260
2018-06-15,1208
2018-06-16,1161
2018-06-17,1129
2018-06-18,1101
2018-06-19,1082
2018-06-20,1082
2018-06-21,1093
2018-06-22,1101
2018-06-23,1101
2018-06-24,1062
2018-06-25,1043
2018-06-26,1044
2018-06-27,1036
2018-06-28,1027
2018-06-29,1025
2018-06-30,1031
2018-07-01,1005
2018-07-02,1008
2018-07-03,1013
2018-07-04,1039
2018-07-05,1044
2018-07-06,1040
2018-07-07,1034
2018-07-08,1031
2018-07-09,1027
2018-07-10,1039
2018-07-11,1028
2018-07-12,1023
2018-07-13,1043
2018-07-14,1038
2018-07-15,1026
2018-07-16,1022
2018-07-17,1023
2018-07-18,1023
2018-07-19,1023
2018-07-20,1022
2018-07-21,1014
2018-07-22,1035
2018-07-23,1065
2018-07-24,1074
2018-07-25,1064
2018-07-26,1074
2018-07-27,1059
2018-07-28,1049
2018-07-29,1055
2018-07-30,1068
2018-07-31,1104
2018-08-01,1104
2018-08-02,1112
2018-08-03,1104
2018-08-04,1086
2018-08-05,1050
2018-08-06,1075
2018-08-07,1055
2018-08-08,1022
2018-08-09,971
2018-08-10,945
2018-08-11,940
2018-08-12,936
2018-08-14,968
2018-08-16,930
2018-08-17,931
2018-08-18,922
2018-08-19,942
2018-08-20,961
2018-08-21,974
2018-08-22,990
2018-08-23,975
2018-08-24,958
2018-08-25,961
2018-08-26,939
2018-08-27,931
2018-08-28,915
2018-08-29,905
2018-08-30,877
2018-08-31,898
2018-09-01,931
2018-09-02,930
2018-09-03,904
2018-09-04,916
2018-09-05,918
2018-09-06,918
2018-09-07,925
2018-09-08,949
2018-09-09,979
2018-09-10,988
2018-09-11,992
2018-09-12,1028
2018-09-13,1059
2018-09-14,1078
2018-09-15,1118
2018-09-16,1113
2018-09-17,1127
2018-09-18,1168
2018-09-19,1151
2018-09-20,1135
2018-09-21,1117
2018-09-22,1092
2018-09-23,1078
2018-09-24,1063
2018-09-25,1071
2018-09-26,1072
2018-09-27,1055
2018-09-28,1047
2018-09-29,1059
2018-09-30,1020
2018-10-02,1007
2018-10-03,979
2018-10-04,979
2018-10-05,969
2018-10-06,977
2018-10-07,960
2018-10-08,982
2018-10-09,950
2018-10-10,976
2018-10-11,993
2018-10-12,1002
2018-10-13,1019
2018-10-14,1009
2018-10-15,1032
2018-10-16,1075
2018-10-17,1048
2018-10-18,1069
2018-10-19,1058
2018-10-20,1058
2018-10-21,1062
2018-10-22,1082
2018-10-23,1116
2018-10-24,1163
2018-10-25,1184
2018-10-26,1191
2018-10-27,1211
2018-10-28,1215
2018-10-29,1196
2018-10-30,1235
2018-10-31,1239
2018-11-01,1260
2018-11-03,1269
2018-11-04,1270
2018-11-05,1236
2018-11-06,1217
2018-11-07,1213
2018-11-08,1209
2018-11-09,1219
2018-11-10,1220
2018-11-11,1248
2018-11-12,1250
2018-11-13,1252
2018-11-14,1260
2018-11-15,1283
2018-11-16,1302
2018-11-17,1309
2018-11-18,1322
2018-11-19,1339
2018-11-20,1296
2018-11-21,1234
2018-11-22,1173
2018-11-23,1138
2018-11-24,1088
2018-11-25,1035
2018-11-26,991
2018-11-27,964
2018-11-28,954
2018-11-29,953
2018-12-01,943
2018-12-02,981
2018-12-03,1031
2018-12-04,1083
2018-12-05,1089
2018-12-07,1071
2018-12-09,1115
2018-12-10,1171
2018-12-11,1230
2018-12-12,1284
2018-12-13,1301
2018-12-14,1316
2018-12-15,1301
2018-12-16,1312
2018-12-17,1351
2018-12-18,1333
2018-12-19,1317
2018-12-20,1290
2018-12-21,1244
2018-12-22,1228
2018-12-23,1215
2018-12-24,1166
2018-12-25,1132
2018-12-26,1113
2018-12-27,1106
2018-12-28,1120
2018-12-29,1122
2018-12-30,1140
2018-12-31,1138
2019-01-01,1141
2019-01-02,1123
2019-01-03,1115
2019-01-04,1087
2019-01-05,1079
2019-01-06,1065
2019-01-08,1046
2019-01-10,1092
2019-01-11,1128
2019-01-12,1153
2019-01-13,1122
2019-01-14,1108
2019-01-15,1151
2019-01-16,1176
2019-01-17,1191
2019-01-18,1208
2019-01-19,1167
2019-01-20,1134
2019-01-21,1111
2019-01-22,1116
2019-01-23,1099
2019-01-24,1097
2019-01-25,1107
2019-01-26,1114
2019-01-27,1153
2019-01-28,1142
2019-01-29,1177
2019-01-30,1157
2019-01-31,1139
2019-02-01,1132
2019-02-02,1105
2019-02-03,1117
2019-02-04,1085
2019-02-05,1091
2019-02-06,1123
2019-02-07,1129
2019-02-08,1108
2019-02-09,1083
2019-02-10,1065
2019-02-11,1082
2019-02-12,1107
2019-02-13,1118
2019-02-14,1124
2019-02-15,1140
2019-02-16,1144
2019-02-17,1128
2019-02-18,1100
2019-02-19,1132
2019-02-20,1171
2019-02-21,1153
2019-02-22,1130
2019-02-23,1093
2019-02-24,1045
2019-02-25,1026
2019-02-26,1027
2019-02-27,1067
2019-02-28,1098
2019-03-01,1085
2019-03-02,1043
2019-03-03,1042
2019-03-04,1042
2019-03-05,1035
2019-03-06,1025
2019-03-07,1011
2019-03-08,1011
2019-03-09,1034
2019-03-10,1044
2019-03-11,1050
2019-03-12,1060
2019-03-13,1067
2019-03-14,1043
2019-03-15,1027
2019-03-16,1024
2019-03-17,1033
2019-03-18,1054
2019-03-19,1070
2019-03-20,1072
2019-03-21,1100
2019-03-22,1093
2019-03-23,1117
2019-03-24,1112
2019-03-25,1089
2019-03-26,1103
2019-03-27,1135
2019-03-28,1092
2019-03-29,1042
2019-03-30,1048
2019-03-31,1064
2019-04-01,1056
2019-04-02,1039
2019-04-03,1027
2019-04-04,1036
2019-04-05,1057
2019-04-06,1052
2019-04-07,1055
2019-04-08,1056
2019-04-09,1033
2019-04-10,1017
2019-04-11,1028
2019-04-12,1017
2019-04-13,1011
2019-04-14,1035
2019-04-15,1025
2019-04-16,1016
2019-04-17,1024
2019-04-18,1021
2019-04-19,1032
2019-04-20,1037
2019-04-21,1046
2019-04-22,1052
2019-04-23,1040
2019-04-24,1031
2019-04-25,1027
2019-04-26,1021
2019-04-27,1025
2019-04-28,1046
2019-04-29,1035
2019-04-30,1060
2019-05-01,1086
2019-05-02,1105
2019-05-03,1121
2019-05-04,1131
2019-05-05,1135
2019-05-06,1149
2019-05-07,1138
2019-05-08,1118
2019-05-09,1117
2019-05-10,1085
2019-05-11,1086
2019-05-12,1103
2019-05-13,1102
2019-05-14,1077
2019-05-15,1055
2019-05-16,1036
2019-05-17,1027
2019-05-18,1018
2019-05-19,998
2019-05-20,1004
2019-05-21,986
2019-05-22,982
2019-05-23,993
2019-05-24,989
2019-05-25,990
2019-05-26,978
2019-05-27,978
2019-05-28,986
2019-05-29,1025
2019-05-30,1064
2019-05-31,1046
2019-06-01,1034
2019-06-02,1056
2019-06-03,1070
2019-06-04,1082
2019-06-05,1077
2019-06-06,1044
2019-06-07,1032
2019-06-08,1065
2019-06-09,1098
2019-06-10,1098
2019-06-11,1085
2019-06-12,1069
2019-06-13,1069
2019-06-14,1075
2019-06-15,1107
2019-06-16,1099
2019-06-17,1076
2019-06-18,1069
2019-06-19,1063
2019-06-20,1064
2019-06-21,1091
2019-06-22,1096
2019-06-23,1096
2019-06-24,1095
2019-06-25,1086
2019-06-26,1070
2019-06-27,1077
2019-06-28,1078
2019-06-29,1058
2019-06-30,1033
2019-07-01,1035
2019-07-02,1052
2019-07-03,1096
2019-07-04,1125
2019-07-05,1159
2019-07-06,1201
2019-07-07,1262
2019-07-08,1311
2019-07-09,1256
2019-07-10,1204
2019-07-11,1149
2019-07-12,1095
2019-07-13,1055
2019-07-14,1033
2019-07-15,1047
2019-07-16,1061
2019-07-17,1060
2019-07-18,1081
2019-07-19,1090
2019-07-20,1143
2019-07-21,1182
2019-07-22,1212
2019-07-23,1227
2019-07-24,1245
2019-07-25,1267
2019-07-26,1264
2019-07-27,1224
2019-07-28,1198
2019-07-29,1139
2019-07-30,1102
2019-07-31,1064
2019-08-01,1055
2019-08-02,1064
2019-08-03,1094
2019-08-04,1113
2019-08-05,1082
2019-08-06,1041
2019-08-07,1067
2019-08-08,1076
2019-08-09,1048
2019-08-10,1059
2019-08-11,1070
2019-08-12,1055
2019-08-13,1043
2019-08-14,1043
2019-08-15,1044
2019-08-16,1048
2019-08-17,1048
2019-08-18,1038
2019-08-19,1015
2019-08-20,984
2019-08-21,959
2019-08-22,930
2019-08-23,918
2019-08-24,915
2019-08-24,915
2019-08-25,913
2019-08-25,913
2019-08-26,948
2019-08-27,982
2019-08-27,982
2019-08-28,1016
2019-08-29,1050
2019-08-30,1094
2019-08-31,1140
2019-09-01,1112
2019-09-02,1061
2019-09-03,1044
2019-09-04,1035
2019-09-05,1017
2019-09-06,1006
2019-09-07,1012
2019-09-08,1014
2019-09-09,998
2019-09-10,1034
2019-09-11,1043
2019-09-12,1090
2019-09-13,1102
2019-09-14,1134
2019-09-15,1152
2019-09-16,1140
2019-09-17,1172
2019-09-18,1148
2019-09-19,1107
2019-09-20,1072
2019-09-21,1050
2019-09-22,1012
2019-09-23,1016
2019-09-24,1016
2019-09-25,1010
2019-09-26,1010
2019-09-27,1003
2019-09-28,989
2019-09-29,998
2019-09-30,1009
2019-10-01,998
2019-10-02,1008
2019-10-03,988
2019-10-04,1007
2019-10-05,1047
2019-10-06,1100
2019-10-07,1138
2019-10-08,1175
2019-10-09,1175
2019-10-10,1231
2019-10-11,1276
2019-10-12,1252
2019-10-13,1243
2019-10-14,1306
2019-10-15,1342
2019-10-16,1388
2019-10-17,1376
2019-10-18,1307
2019-10-19,1246
2019-10-20,1208
2019-10-21,1172
2019-10-22,1129
2019-10-23,1101
2019-10-24,1078
2019-10-25,1083
2019-10-26,1064
2019-10-27,1050
2019-10-28,1037
2019-10-29,1037
2019-10-30,1050
2019-10-31,1022
2019-11-01,996
2019-11-02,988
2019-11-03,980
2019-11-04,976
2019-11-05,982
2019-11-06,1013
2019-11-07,1056
2019-11-08,1089
2019-11-09,1064
2019-11-10,1043
2019-11-11,1015
2019-11-12,1005
2019-11-13,1008
2019-11-14,1001
2019-11-15,1010
2019-11-16,1031
2019-11-17,1031
2019-11-18,1078
2019-11-19,1131
2019-11-20,1186
2019-11-21,1186
2019-11-22,1232
2019-11-23,1196
2019-11-24,1155
2019-11-25,1155
2019-11-26,1136
2019-11-27,1136
2019-11-28,1090
2019-11-29,1060
2019-11-30,1060
2019-12-01,1082
2019-12-02,1075
2019-12-03,1033
2019-12-04,994
2019-12-05,994
2019-12-06,1008
2019-12-07,1048
2019-12-08,1097
2019-12-09,1144
2019-12-10,1189
2019-12-11,1197
2019-12-12,1193
2019-12-13,1212
2019-12-14,1255
2019-12-15,1254
2019-12-16,1215
2019-12-17,1194
2019-12-18,1151
2019-12-19,1115
2019-12-20,1081
2019-12-21,1053
2019-12-22,1027
2019-12-23,1004
2019-12-24,1025
2019-12-25,1045
2019-12-26,1025
2019-12-27,997
2019-12-28,1004
2019-12-29,995
2019-12-30,1004
2019-12-31,1026
2020-01-01,1019
2020-01-02,1004
2020-01-03,970
2020-01-04,951
2020-01-05,979
2020-01-06,992
2020-01-07,1024
2020-01-08,1024
2020-01-09,1032
2020-01-10,1056
2020-01-11,1059
2020-01-12,1052
2020-01-13,1052
2020-01-14,1039
2020-01-15,1026
2020-01-16,1017
2020-01-17,1023
2020-01-18,1027
2020-01-19,1044
2020-01-20,1017
2020-01-21,1017
2020-01-22,997
2020-01-23,997
2020-01-24,1009
2020-01-25,1032
2020-01-26,1050
2020-01-27,1029
2020-01-28,1034
2020-01-29,1016
2020-01-30,999
2020-01-31,1026
2020-02-01,1034
2020-02-02,1036
2020-02-03,1022
2020-02-04,1035
2020-02-05,1038
2020-02-06,1045
2020-02-07,1039
2020-02-08,1046
2020-02-09,1015
2020-02-10,996
2020-02-11,1024
2020-02-12,1020
2020-02-13,980
2020-02-14,990
2020-02-15,968
2020-02-16,992
2020-02-17,1007
2020-02-18,1032
2020-02-19,1061
2020-02-20,1019
2020-02-21,1019
2020-02-22,1016
2020-02-23,998
2020-02-24,999
2020-02-25,1005
2020-02-26,1029
2020-02-27,1041
2020-02-28,1046
2020-02-29,1022
2020-03-01,995
2020-03-02,1019
2020-03-03,1023
2020-03-04,1028
2020-03-05,1016
2020-03-06,1031
2020-03-07,1040
2020-03-08,1063
2020-03-09,1097
2020-03-10,1089
2020-03-11,1100
2020-03-12,1114
2020-03-13,1128
2020-03-14,1182
2020-03-15,1217
2020-03-16,1244
2020-03-17,1263
2020-03-18,1276
2020-03-19,1334
2020-03-20,1313
2020-03-21,1247
2020-03-22,1233
2020-03-23,1204
2020-03-24,1144
2020-03-25,1153
2020-03-26,1147
2020-03-27,1205
2020-03-28,1266
2020-03-29,1330
2020-03-30,1389
2020-03-31,1428
2020-04-01,1379
2020-04-02,1313
2020-04-03,1250
2020-04-04,1213
2020-04-05,1174
2020-04-06,1126
2020-04-07,1084
2020-04-08,1040
2020-04-09,1003
2020-04-10,1007
2020-04-11,1045
2020-04-12,1054
2020-04-13,1078
2020-04-14,1035
2020-04-15,999
2020-04-16,1002
2020-04-17,991
2020-04-18,987
2020-04-19,1015
2020-04-20,1021
2020-04-21,1007
2020-04-22,993
2020-04-23,971
2020-04-24,961
2020-04-25,941
2020-04-26,947
2020-04-27,940
2020-04-28,953
2020-04-29,957
2020-04-30,948
2020-05-01,934
2020-05-02,946
2020-05-03,945
2020-05-04,951
2020-05-05,957
2020-05-06,950
2020-05-07,946
2020-05-08,938
2020-05-09,950
2020-05-10,956
2020-05-11,964
2020-05-12,962
2020-05-13,952
