date_obj,Mystic%20set%20(light) price
2019-12-06,154682
2019-12-07,154682
2019-12-08,154682
2019-12-09,158839
2019-12-10,158839
2019-12-11,158839
2019-12-12,161299
2019-12-13,161299
2019-12-14,161299
2019-12-15,164891
2019-12-16,164891
2019-12-17,161025
2019-12-18,161025
2019-12-19,161025
2019-12-20,158500
2019-12-21,158500
2019-12-22,159198
2019-12-23,159198
2019-12-24,161528
2019-12-25,161528
2019-12-26,163152
2019-12-27,163152
2019-12-28,164092
2019-12-29,164092
2019-12-30,164092
2019-12-31,161777
2020-01-01,161777
2020-01-02,162935
2020-01-03,162935
2020-01-04,162935
2020-01-05,160678
2020-01-06,160678
2020-01-07,158841
2020-01-08,158841
2020-01-09,158841
2020-01-10,162442
2020-01-11,162442
2020-01-12,164336
2020-01-13,164336
2020-01-14,164336
2020-01-15,160231
2020-01-16,160231
2020-01-17,158557
2020-01-18,158557
2020-01-19,159737
2020-01-20,159737
2020-01-21,159737
2020-01-22,160733
2020-01-23,160733
2020-01-24,159200
2020-01-25,159200
2020-01-26,159200
2020-01-27,157820
2020-01-28,157820
2020-01-29,157820
2020-01-30,156546
2020-01-31,156546
2020-02-01,155468
2020-02-02,155468
2020-02-03,155124
2020-02-04,155124
2020-02-05,155124
2020-02-06,154294
2020-02-07,154294
2020-02-08,154294
2020-02-09,153862
2020-02-10,153862
2020-02-11,156506
2020-02-12,156506
2020-02-13,156506
2020-02-14,158858
2020-02-15,158858
2020-02-16,158858
2020-02-17,162281
2020-02-18,162281
2020-02-19,162281
2020-02-20,160821
2020-02-21,160821
2020-02-22,160821
2020-02-23,160366
2020-02-24,160366
2020-02-25,163839
2020-02-26,163839
2020-02-27,163839
2020-02-28,170792
2020-02-29,170792
2020-03-01,170792
2020-03-02,169789
2020-03-03,169789
2020-03-04,169789
2020-03-05,173070
2020-03-06,173070
2020-03-07,175714
2020-03-08,175714
2020-03-09,173266
2020-03-10,173266
2020-03-11,174597
2020-03-12,174597
2020-03-13,172771
2020-03-14,172771
2020-03-15,169143
2020-03-16,169143
2020-03-17,173951
2020-03-18,173951
2020-03-19,178415
2020-03-20,178415
2020-03-21,176808
2020-03-22,170071
2020-03-23,170071
2020-03-24,163017
2020-03-25,163017
2020-03-26,158848
2020-03-27,158848
2020-03-28,163310
2020-03-29,166583
2020-03-30,166583
2020-03-31,172102
2020-04-01,172102
2020-04-02,174611
2020-04-03,174611
2020-04-04,170203
2020-04-05,170203
2020-04-06,165737
2020-04-07,165737
2020-04-08,163880
2020-04-09,163880
2020-04-10,168038
2020-04-11,165206
2020-04-12,165206
2020-04-13,162226
2020-04-14,162226
2020-04-15,162234
2020-04-16,162234
2020-04-17,157472
2020-04-18,156890
2020-04-19,159280
2020-04-20,159280
2020-04-21,158831
2020-04-22,161314
2020-04-23,161314
2020-04-24,157897
2020-04-25,157897
2020-04-26,154639
2020-04-27,151916
2020-04-28,150279
2020-04-29,150279
2020-04-30,154706
2020-05-01,154706
2020-05-02,157573
2020-05-03,162910
2020-05-04,162910
2020-05-05,162221
2020-05-06,159131
2020-05-07,159131
2020-05-08,162642
2020-05-09,162642
2020-05-10,168978
2020-05-11,168978
2020-05-12,164019
2020-05-13,164019
