date_obj,Fenkenstrain's%20castle%20teleport%20(tablet) price
2018-01-08,1710
2018-01-09,1682
2018-01-10,1682
2018-01-11,1682
2018-01-12,1647
2018-01-13,1647
2018-01-14,1647
2018-01-15,1681
2018-01-16,1681
2018-01-17,1678
2018-01-18,1678
2018-01-19,1678
2018-01-20,1633
2018-01-21,1633
2018-01-22,1633
2018-01-23,1651
2018-01-24,1651
2018-01-25,1651
2018-01-26,1591
2018-01-27,1591
2018-01-28,1602
2018-01-29,1602
2018-01-30,1629
2018-01-31,1629
2018-02-01,1629
2018-02-02,1594
2018-02-03,1594
2018-02-04,1541
2018-02-05,1541
2018-02-06,1541
2018-02-07,1506
2018-02-08,1506
2018-02-09,1506
2018-02-10,1501
2018-02-11,1501
2018-02-12,1527
2018-02-13,1527
2018-02-14,1527
2018-02-15,1580
2018-02-16,1580
2018-02-17,1580
2018-02-18,1588
2018-02-19,1588
2018-02-20,1508
2018-02-21,1508
2018-02-22,1508
2018-02-23,1469
2018-02-24,1469
2018-02-25,1520
2018-02-26,1520
2018-02-27,1593
2018-02-28,1593
2018-03-01,1593
2018-03-02,1624
2018-03-03,1624
2018-03-04,1624
2018-03-05,1663
2018-03-06,1663
2018-03-07,1744
2018-03-08,1744
2018-03-09,1744
2018-03-10,1801
2018-03-11,1801
2018-03-12,1734
2018-03-13,1734
2018-03-14,1734
2018-03-15,1705
2018-03-16,1705
2018-03-17,1672
2018-03-18,1672
2018-03-20,1729
2018-03-21,1729
2018-03-23,1773
2018-03-24,1773
2018-03-25,1838
2018-03-26,1838
2018-03-27,1882
2018-03-28,1882
2018-03-29,1861
2018-03-30,1861
2018-03-31,1861
2018-04-01,1771
2018-04-02,1771
2018-04-03,1816
2018-04-04,1816
2018-04-05,1816
2018-04-06,1725
2018-04-07,1725
2018-04-08,1725
2018-04-09,1768
2018-04-10,1768
2018-04-11,1768
2018-04-12,1707
2018-04-13,1707
2018-04-14,1707
2018-04-15,1669
2018-04-16,1669
2018-04-17,1661
2018-04-18,1661
2018-04-19,1661
2018-04-20,1629
2018-04-21,1629
2018-04-22,1629
2018-04-23,1628
2018-04-24,1628
2018-04-25,1628
2018-04-26,1608
2018-04-27,1608
2018-04-28,1646
2018-04-29,1646
2018-04-30,1629
2018-05-01,1629
2018-05-03,1608
2018-05-04,1608
2018-05-05,1600
2018-05-06,1600
2018-05-07,1600
2018-05-08,1589
2018-05-09,1589
2018-05-10,1560
2018-05-11,1560
2018-05-12,1522
2018-05-13,1522
2018-05-14,1549
2018-05-15,1549
2018-05-16,1558
2018-05-17,1558
2018-05-18,1571
2018-05-19,1571
2018-05-20,1610
2018-05-21,1610
2018-05-22,1603
2018-05-23,1603
2018-05-24,1523
2018-05-25,1523
2018-05-26,1532
2018-05-27,1532
2018-05-28,1574
2018-05-29,1574
2018-05-30,1611
2018-05-31,1611
2018-06-01,1678
2018-06-02,1728
2018-06-03,1728
2018-06-04,1717
2018-06-05,1717
2018-06-06,1730
2018-06-07,1730
2018-06-08,1696
2018-06-09,1696
2018-06-10,1723
2018-06-11,1723
2018-06-12,1708
2018-06-13,1651
2018-06-14,1651
2018-06-15,1688
2018-06-16,1688
2018-06-17,1663
2018-06-18,1663
2018-06-19,1605
2018-06-20,1605
2018-06-21,1594
2018-06-22,1594
2018-06-23,1605
2018-06-24,1605
2018-06-25,1642
2018-06-26,1642
2018-06-27,1696
2018-06-28,1696
2018-06-29,1741
2018-06-30,1741
2018-07-01,1678
2018-07-02,1678
2018-07-03,1735
2018-07-04,1735
2018-07-05,1751
2018-07-06,1694
2018-07-07,1694
2018-07-08,1771
2018-07-09,1771
2018-07-10,1824
2018-07-11,1824
2018-07-12,1824
2018-07-13,1770
2018-07-14,1759
2018-07-15,1759
2018-07-16,1786
2018-07-17,1809
2018-07-18,1809
2018-07-19,1802
2018-07-20,1802
2018-07-21,1748
2018-07-22,1705
2018-07-23,1670
2018-07-24,1670
2018-07-25,1682
2018-07-26,1682
2018-07-27,1673
2018-07-28,1673
2018-07-29,1602
2018-07-30,1600
2018-07-31,1652
2018-08-01,1652
2018-08-02,1623
2018-08-03,1623
2018-08-04,1667
2018-08-05,1745
2018-08-06,1781
2018-08-07,1860
2018-08-08,1949
2018-08-09,1949
2018-08-10,2013
2018-08-11,2007
2018-08-12,2037
2018-08-14,2101
2018-08-16,2121
2018-08-17,2092
2018-08-18,2092
2018-08-19,2032
2018-08-20,1973
2018-08-21,1973
2018-08-22,1878
2018-08-23,1878
2018-08-24,1805
2018-08-25,1768
2018-08-26,1768
2018-08-27,1718
2018-08-28,1694
2018-08-29,1694
2018-08-30,1681
2018-08-31,1692
2018-09-01,1728
2018-09-02,1728
2018-09-03,1745
2018-09-04,1697
2018-09-05,1730
2018-09-06,1730
2018-09-07,1685
2018-09-08,1695
2018-09-09,1695
