date_obj,Dragon%20platebody%20ornament%20kit price
2018-05-12,3669919
2018-05-13,3669919
2018-05-14,3669919
2018-05-15,3669919
2018-05-16,3843084
2018-05-17,3843084
2018-05-18,3843084
2018-05-19,4027739
2018-05-20,4027739
2018-05-21,4027739
2018-05-22,4215044
2018-05-23,4215044
2018-05-24,4410936
2018-05-25,4410936
2018-05-26,4410936
2018-05-27,4610700
2018-05-28,4610700
2018-05-29,4828849
2018-05-30,4828849
2018-05-31,4828849
2018-06-01,5055424
2018-06-02,5055424
2018-06-03,5055424
2018-06-04,5284168
2018-06-05,5284168
2018-06-06,5511014
2018-06-07,5511014
2018-06-08,5511014
2018-06-09,5511014
2018-06-10,5755948
2018-06-11,5755948
2018-06-12,5755948
2018-06-13,5755948
2018-06-14,6019701
2018-06-15,6019701
2018-06-16,6019701
2018-06-17,6019701
2018-06-18,6310654
2018-06-19,6310654
2018-06-20,6310654
2018-06-21,6310654
2018-06-22,6591789
2018-06-23,6591789
2018-06-24,6913655
2018-06-25,6913655
2018-06-26,6913655
2018-06-27,7230191
2018-06-28,7230191
2018-06-29,7230191
2018-06-30,7542998
2018-07-01,7542998
2018-07-02,7542998
2018-07-03,7542998
2018-07-04,7890568
2018-07-05,7890568
2018-07-06,7890568
2018-07-07,8237048
2018-07-08,8237048
2018-07-09,8237048
2018-07-10,8623811
2018-07-11,8623811
2018-07-12,8623811
2018-07-13,8623811
2018-07-14,8623811
2018-07-15,8623811
2018-07-16,9032888
2018-07-17,9032888
2018-07-18,9032888
2018-07-19,9032888
2018-07-20,9032888
2018-07-21,9451885
2018-07-22,9451885
2018-07-23,9451885
2018-07-24,9900372
2018-07-25,9900372
2018-07-26,9900372
2018-07-27,9900372
2018-07-28,10357818
2018-07-29,10357818
2018-07-30,10357818
2018-07-31,10357818
2018-08-01,10357818
2018-08-02,10834311
2018-08-03,10834311
2018-08-04,10834311
2018-08-05,10834311
2018-08-06,11327389
2018-08-07,11327389
2018-08-08,11327389
2018-08-09,11327389
2018-08-10,11846766
2018-08-11,11846766
2018-08-12,11846766
2018-08-14,12383367
2018-08-16,12383367
2018-08-17,12383367
2018-08-18,12383367
2018-08-19,12383367
2018-08-20,12954655
2018-08-21,12954655
2018-08-22,12954655
2018-08-23,12954655
2018-08-24,13545864
2018-08-25,13545864
2018-08-26,13545864
2018-08-27,13545864
2018-08-28,14156629
2018-08-29,14156629
2018-08-30,14156629
2018-08-31,14156629
2018-09-01,14798685
2018-09-02,14798685
2018-09-03,14798685
2018-09-04,14798685
2018-09-05,15482230
2018-09-06,15482230
2018-09-07,15482230
2018-09-08,16210207
2018-09-09,16210207
2018-09-10,16210207
2018-09-11,16210207
2018-09-12,16210207
2018-09-13,16957034
2018-09-14,16957034
2018-09-15,16957034
2018-09-16,16957034
2018-09-17,17733850
2018-09-18,17733850
2018-09-19,17733850
2018-09-20,17733850
2018-09-21,18549965
2018-09-22,18549965
2018-09-23,18549965
2018-09-24,18549965
2018-09-25,18549965
2018-09-26,19395391
2018-09-27,19395391
2018-09-28,19395391
2018-09-29,19395391
2018-09-30,19395391
2018-10-02,20289404
2018-10-03,20289404
2018-10-04,20289404
2018-10-05,20289404
2018-10-06,21207017
2018-10-07,21207017
2018-10-08,21207017
2018-10-09,21207017
2018-10-10,21207017
2018-10-11,21207017
2018-10-12,21207017
2018-10-13,22198964
2018-10-14,22198964
2018-10-15,22198964
2018-10-16,22198964
2018-10-17,22198964
2018-10-18,22198964
2018-10-19,23250760
2018-10-20,23250760
2018-10-21,23250760
2018-10-22,23250760
2018-10-23,23250760
2018-10-24,23250760
2018-10-25,23250760
2018-10-26,23250760
2018-10-27,24325902
2018-10-28,24325902
2018-10-29,24325902
2018-10-30,24325902
2018-10-31,24325902
2018-11-01,25405307
2018-11-03,25405307
2018-11-04,25405307
2018-11-05,26564943
2018-11-06,26564943
2018-11-07,26564943
2018-11-08,26564943
2018-11-09,27746341
2018-11-10,27746341
2018-11-11,27746341
2018-11-12,28961357
2018-11-13,28961357
2018-11-14,28961357
2018-11-15,28961357
2018-11-16,30309124
2018-11-17,30309124
2018-11-18,30309124
2018-11-19,30309124
2018-11-20,30309124
2018-11-21,31616506
2018-11-22,31616506
2018-11-23,31616506
2018-11-24,31616506
2018-11-25,33111664
2018-11-26,33111664
2018-11-27,33111664
2018-11-28,33111664
2018-11-29,33111664
2018-12-01,34697777
2018-12-02,34697777
2018-12-03,34697777
2018-12-04,34697777
2018-12-05,34697777
2018-12-07,36236206
2018-12-09,36236206
2018-12-10,36236206
2018-12-11,37807896
2018-12-12,37807896
