date_obj,Tan%20cavalier price
2017-01-29,4699
2017-01-30,4699
2017-01-31,4699
2017-02-01,4503
2017-02-02,4503
2017-02-03,4503
2017-02-04,4503
2017-02-05,4503
2017-02-06,4488
2017-02-07,4488
2017-02-08,4488
2017-02-09,4488
2017-02-10,4488
2017-02-11,4444
2017-02-12,4444
2017-02-13,4444
2017-02-14,4444
2017-02-15,4444
2017-02-16,4535
2017-02-18,4535
2017-02-19,4535
2017-02-20,4535
2017-02-21,4449
2017-02-22,4449
2017-02-23,4449
2017-02-24,4449
2017-02-25,4449
2017-02-26,4449
2017-02-27,4569
2017-02-28,4569
2017-03-01,4569
2017-03-02,4569
2017-03-03,4569
2017-03-04,4476
2017-03-05,4476
2017-03-06,4476
2017-03-07,4476
2017-03-08,4476
2017-03-09,4400
2017-03-10,4400
2017-03-11,4400
2017-03-12,4400
2017-03-13,4484
2017-03-14,4484
2017-03-15,4484
2017-03-16,4484
2017-03-17,4484
2017-03-18,4485
2017-03-19,4485
2017-03-20,4485
2017-03-21,4485
2017-03-22,4449
2017-03-23,4449
2017-03-24,4449
2017-03-25,4449
2017-03-26,4449
2017-03-27,4477
2017-03-28,4477
2017-03-29,4477
2017-03-30,4477
2017-03-31,4448
2017-04-01,4448
2017-04-02,4448
2017-04-03,4448
2017-04-04,4448
2017-04-12,4183
2017-04-13,4183
2017-04-14,4031
2017-04-15,4031
2017-04-16,4031
2017-04-17,4031
2017-04-18,4031
2017-04-19,3863
2017-04-20,3863
2017-04-21,3863
2017-04-22,3863
2017-04-23,3863
2017-04-24,3863
2017-04-25,3804
2017-04-26,3804
2017-04-27,3804
2017-04-28,3804
2017-04-29,3804
2017-04-30,3959
2017-05-01,3959
2017-05-02,3959
2017-05-03,3959
2017-05-04,4005
2017-05-05,4005
2017-05-06,4005
2017-05-07,4005
2017-05-08,4005
2017-05-09,4023
2017-05-10,4023
2017-05-11,4023
2017-05-12,4023
2017-05-13,4023
2017-05-14,4132
2017-05-15,4132
2017-05-16,4132
2017-05-17,4132
2017-05-18,4132
2017-05-19,4132
2017-05-20,4075
2017-05-21,4075
2017-05-22,4075
2017-05-23,4075
2017-05-24,4075
2017-05-25,4075
2017-05-26,4200
2017-05-27,4200
2017-05-28,4200
2017-05-29,4200
2017-05-30,4200
2017-05-31,4161
2017-06-01,4161
2017-06-02,4161
2017-06-03,4161
2017-06-06,4169
2017-06-07,4169
2017-06-08,4169
2017-06-09,4169
2017-06-10,4169
2017-06-11,4216
2017-06-12,4216
2017-06-13,4216
2017-06-14,4216
2017-06-15,4216
2017-06-16,4130
2017-06-17,4130
2017-06-18,4130
2017-06-19,4130
2017-06-20,4130
2017-06-21,3965
2017-06-22,3965
2017-06-23,3965
2017-06-24,3965
2017-06-25,3965
2017-06-26,3965
2017-06-27,3872
2017-06-28,3872
2017-06-29,3872
2017-06-30,3872
2017-07-01,3872
2017-07-02,3872
2017-07-03,3793
2017-07-04,3793
2017-07-05,3793
2017-07-06,3793
2017-07-07,3793
2017-07-08,3793
2017-07-13,3701
2017-07-14,3701
2017-07-15,3650
2017-07-16,3650
2017-07-17,3650
2017-07-18,3650
2017-07-19,3650
2017-07-20,3732
2017-07-21,3732
2017-07-22,3732
2017-07-23,3732
2017-07-24,3732
2017-07-25,3732
2017-07-26,3747
