date_obj,Uri's%20hat price
2019-08-13,64069
2019-08-14,64069
2019-08-15,63716
2019-08-16,63716
2019-08-17,63786
2019-08-18,63786
2019-08-19,64180
2019-08-20,64180
2019-08-21,64180
2019-08-22,62145
2019-08-23,62145
2019-08-24,59399
2019-08-24,59399
2019-08-25,59399
2019-08-25,59399
2019-08-26,57315
2019-08-26,57315
2019-08-27,57315
2019-08-27,57315
2019-08-28,55595
2019-08-29,55595
2019-08-30,55754
2019-08-31,55754
2019-09-01,57346
2019-09-02,57346
2019-09-03,57346
2019-09-04,57124
2019-09-05,57124
2019-09-06,57124
2019-09-07,58367
2019-09-08,58367
2019-09-09,58934
2019-09-10,58934
2019-09-11,59127
2019-09-12,59127
2019-09-13,59127
2019-09-14,60159
2019-09-15,60159
2019-09-16,60450
2019-09-17,60450
2019-09-18,60254
2019-09-19,60254
2019-09-20,60254
2019-09-21,59469
2019-09-22,59469
2019-09-23,57638
2019-09-24,57638
2019-09-25,57638
2019-09-26,54756
2019-09-27,54756
2019-09-28,53223
2019-09-29,53223
2019-09-30,53223
2019-10-01,51014
2019-10-02,51014
2019-10-03,51014
2019-10-04,49963
2019-10-05,49963
2019-10-06,49018
2019-10-07,49018
2019-10-08,48375
2019-10-09,48375
2019-10-10,48375
2019-10-11,48026
2019-10-12,48026
2019-10-13,47762
2019-10-14,47762
2019-10-15,46953
2019-10-16,46953
2019-10-17,46953
2019-10-18,46288
2019-10-19,46288
2019-10-20,46398
2019-10-21,46398
2019-10-22,46398
2019-10-23,46108
2019-10-24,46108
2019-10-25,46385
2019-10-26,46385
2019-10-27,46385
2019-10-28,45916
2019-10-29,45916
2019-10-30,45916
2019-10-31,44129
2019-11-01,44129
2019-11-02,44129
2019-11-03,43409
2019-11-04,43409
2019-11-05,43409
2019-11-06,42784
2019-11-07,42784
2019-11-08,42784
2019-11-09,41789
2019-11-10,41789
2019-11-11,42966
2019-11-12,42966
2019-11-13,42966
2019-11-14,44041
2019-11-15,44041
2019-11-16,44775
2019-11-17,44775
2019-11-18,44775
2019-11-19,42591
2019-11-20,42591
2019-11-21,42312
2019-11-22,42312
2019-11-23,41864
2019-11-24,41864
2019-11-25,41864
2019-11-26,43249
2019-11-27,43249
2019-11-28,43249
2019-11-29,43249
2019-11-30,45412
2019-12-01,45412
2019-12-02,45412
2019-12-03,45675
2019-12-04,45675
2019-12-05,45675
2019-12-06,45138
2019-12-07,45138
2019-12-08,45138
2019-12-09,44790
2019-12-10,44790
2019-12-11,44790
2019-12-12,45674
2019-12-13,45674
2019-12-14,45674
2019-12-15,46622
2019-12-16,46622
2019-12-17,48263
2019-12-18,48263
2019-12-19,48263
2019-12-20,49636
2019-12-21,49636
2019-12-22,50352
2019-12-23,50352
2019-12-24,50352
2019-12-25,48859
2019-12-26,48859
2019-12-27,48859
2019-12-28,47727
2019-12-29,47727
2019-12-30,47727
2019-12-31,47527
2020-01-01,47527
2020-01-02,46816
2020-01-03,46816
2020-01-04,46816
2020-01-05,45929
2020-01-06,45929
2020-01-07,45990
2020-01-08,45990
2020-01-09,45990
2020-01-10,45563
2020-01-11,45563
2020-01-12,45116
2020-01-13,45116
2020-01-14,45116
2020-01-15,43836
2020-01-16,43836
2020-01-17,43363
2020-01-18,43363
2020-01-19,43363
2020-01-20,42961
2020-01-21,42961
2020-01-22,42961
2020-01-23,42372
2020-01-24,42372
2020-01-25,42372
2020-01-26,40592
2020-01-27,40592
2020-01-28,40592
2020-01-29,38887
2020-01-30,38887
2020-01-31,37744
2020-02-01,37744
2020-02-02,36664
2020-02-03,36664
2020-02-04,35186
2020-02-05,35186
2020-02-06,34116
2020-02-07,34116
2020-02-08,32542
2020-02-09,32542
2020-02-10,31833
2020-02-11,31833
2020-02-12,31833
2020-02-13,30786
2020-02-14,30786
2020-02-15,29472
2020-02-16,29472
2020-02-17,28604
2020-02-18,28604
2020-02-19,28604
2020-02-20,27906
2020-02-21,27906
2020-02-22,27364
2020-02-23,27364
2020-02-24,27768
2020-02-25,27768
2020-02-26,27713
2020-02-27,27713
2020-02-28,27246
2020-02-29,27246
2020-03-01,27425
2020-03-02,27425
2020-03-03,26488
2020-03-04,26488
2020-03-05,26556
2020-03-06,26556
2020-03-07,26556
2020-03-08,26194
2020-03-09,26194
2020-03-10,26100
2020-03-11,26100
2020-03-12,25243
2020-03-13,25243
2020-03-14,24431
2020-03-15,24431
2020-03-16,23628
2020-03-17,23628
2020-03-18,22590
2020-03-19,22590
2020-03-20,21901
2020-03-21,21901
2020-03-22,22387
2020-03-23,22387
2020-03-24,22027
2020-03-25,22027
2020-03-26,21491
2020-03-27,21491
2020-03-28,21036
2020-03-29,20327
2020-03-30,20327
2020-03-31,19948
2020-04-01,19864
2020-04-02,19864
2020-04-03,19241
2020-04-04,19099
2020-04-05,19099
2020-04-06,18721
2020-04-07,18721
2020-04-08,18191
2020-04-09,18191
2020-04-10,17801
2020-04-11,17445
2020-04-12,17445
2020-04-13,17408
2020-04-14,17408
2020-04-15,17330
2020-04-16,17330
2020-04-17,17727
2020-04-18,17679
2020-04-19,17512
2020-04-20,17512
2020-04-21,17976
2020-04-22,17661
2020-04-23,17661
2020-04-24,17935
2020-04-25,17935
2020-04-26,18633
2020-04-27,18633
2020-04-28,19077
2020-04-29,19077
2020-04-30,19516
2020-05-01,19516
2020-05-02,19662
2020-05-03,19662
2020-05-04,19964
2020-05-05,19964
2020-05-06,20229
2020-05-07,20229
2020-05-08,21150
2020-05-09,21806
2020-05-10,21806
2020-05-11,22470
2020-05-12,22470
2020-05-13,22648
