date_obj,Ancient%20rune%20armour%20set%20(lg) price
2015-10-17,183326
2015-10-18,183326
2015-10-19,183326
2015-10-20,181930
2015-10-22,181930
2015-10-23,177267
2015-10-24,177267
2015-10-25,177267
2015-10-26,174054
2015-10-27,174054
2015-10-28,174054
2015-10-29,174054
2015-10-30,170828
2015-10-31,170828
2015-11-01,170828
2015-11-02,167718
2015-11-03,167718
2015-11-04,167718
2015-11-05,168974
2015-11-06,168974
2015-11-07,168974
2015-11-08,168974
2015-11-09,174009
2015-11-10,174009
2015-11-11,174009
2015-11-12,179898
2015-11-13,179898
2015-11-14,179898
2015-11-15,179898
2015-11-16,181668
2015-11-17,181668
2015-11-18,181668
2015-11-19,181668
2015-11-20,181343
2015-11-21,181343
2015-11-22,181343
2015-11-23,181343
2015-11-24,181790
2015-11-25,181790
2015-11-26,181790
2015-11-27,179644
2015-11-28,179644
2015-11-29,179644
2015-11-30,180299
2015-12-01,180299
2015-12-02,180299
2015-12-03,180299
2015-12-04,179298
2015-12-05,179298
2015-12-06,179298
2015-12-07,179847
2015-12-08,179847
2015-12-09,179847
2015-12-10,180826
2015-12-11,180826
2015-12-12,180826
2015-12-13,180486
2015-12-14,180486
2015-12-15,180486
2015-12-16,179693
2015-12-17,179693
2015-12-18,179693
2015-12-19,180927
2015-12-20,180927
2015-12-21,180927
2015-12-22,180109
2015-12-23,180109
2015-12-24,180109
2015-12-25,179559
2015-12-26,179559
2015-12-27,179559
2015-12-28,177852
2015-12-29,177852
2015-12-30,179157
2015-12-31,179157
2016-01-01,179157
2016-01-02,175689
2016-01-03,175689
2016-01-04,170439
2016-01-05,170439
2016-01-06,170439
2016-01-07,166858
2016-01-08,166858
2016-01-09,166858
2016-01-10,163320
2016-01-11,163320
2016-01-12,160377
2016-01-13,160377
2016-01-14,159198
2016-01-15,159198
2016-01-16,159198
2016-01-17,160523
2016-01-18,160523
2016-01-19,160523
2016-01-20,162342
2016-01-21,162342
2016-01-22,162342
2016-01-23,162995
2016-01-24,162995
2016-01-25,160102
2016-01-26,160102
2016-01-27,156203
2016-01-28,156203
2016-01-29,156203
2016-01-30,152998
2016-01-31,152998
2016-02-01,150108
2016-02-02,150108
2016-02-03,150108
2016-02-04,151006
2016-02-05,151006
2016-02-06,151767
2016-02-07,151767
2016-02-08,151767
2016-02-09,152218
2016-02-10,152218
2016-02-11,149557
2016-02-12,149557
2016-02-13,148444
2016-02-14,148444
2016-02-15,148444
2016-02-16,148262
2016-02-17,148262
2016-02-18,148262
2016-02-19,145286
2016-02-20,145286
2016-02-21,145888
2016-02-22,145888
2016-02-23,145888
2016-02-24,143300
2016-02-25,143300
2016-02-26,143300
2016-02-27,145252
2016-02-28,145252
2016-02-29,145252
2016-03-01,146580
2016-03-02,146580
2016-03-03,146580
2016-03-04,150098
2016-03-05,150098
2016-03-06,154139
2016-03-07,154139
2016-03-08,154139
2016-03-09,157430
2016-03-10,157430
2016-03-11,162771
2016-03-12,162771
2016-03-13,166481
2016-03-14,166481
2016-03-15,166481
2016-03-16,171006
2016-03-17,171006
2016-03-18,171006
2016-03-19,172618
2016-03-20,172618
2016-03-21,172618
2016-03-22,172374
2016-03-23,172374
2016-03-24,172374
2016-03-25,168669
2016-03-26,168669
2016-03-27,168669
2016-03-28,165336
2016-03-29,165336
2016-03-30,165336
