date_obj,Ring%20of%203rd%20age price
2019-07-31,6010595
2019-08-01,5945574
2019-08-02,5857275
2019-08-03,5815241
2019-08-04,5815241
2019-08-05,5825976
2019-08-06,5870239
2019-08-07,6014402
2019-08-08,6014402
2019-08-09,6013301
2019-08-10,6218922
2019-08-11,6218922
2019-08-12,6389760
2019-08-13,6252501
2019-08-14,6185760
2019-08-15,6117030
2019-08-16,6056393
2019-08-17,6056393
2019-08-18,6011829
2019-08-19,5930938
2019-08-20,5932358
2019-08-21,5913674
2019-08-22,5965831
2019-08-23,6102880
2019-08-24,6198826
2019-08-24,6198826
2019-08-25,6198826
2019-08-25,6198826
2019-08-26,6192274
2019-08-26,6192274
2019-08-27,6192274
2019-08-27,6192274
2019-08-28,6166186
2019-08-29,6153696
2019-08-30,6193144
2019-08-31,6193144
2019-09-01,6175435
2019-09-02,6175435
2019-09-03,6162640
2019-09-04,6170755
2019-09-05,6121354
2019-09-06,6121354
2019-09-07,6153555
2019-09-08,6144813
2019-09-09,6139465
2019-09-10,6139465
2019-09-11,6175381
2019-09-12,6175381
2019-09-13,6177205
2019-09-14,6185524
2019-09-15,6183949
2019-09-16,6197047
2019-09-17,6162031
2019-09-18,6171223
2019-09-19,6171223
2019-09-20,6174233
2019-09-21,6138829
2019-09-22,6092533
2019-09-23,6035177
2019-09-24,6035177
2019-09-25,5974302
2019-09-26,5928592
2019-09-27,5917549
2019-09-28,5893329
2019-09-29,5893329
2019-09-30,5863334
2019-10-01,5835896
2019-10-02,5835896
2019-10-03,5804329
2019-10-04,5770010
2019-10-05,5738617
2019-10-06,5641911
2019-10-07,5486332
2019-10-08,5453701
2019-10-09,5453701
2019-10-10,5439559
2019-10-11,5509277
2019-10-12,5589676
2019-10-13,5640945
2019-10-14,5674755
2019-10-15,5823378
2019-10-16,5922060
2019-10-17,5922060
2019-10-18,5866009
2019-10-19,5708867
2019-10-20,5613048
2019-10-21,5484099
2019-10-22,5382624
2019-10-23,5289242
2019-10-24,5093691
2019-10-25,5000334
2019-10-26,4836933
2019-10-27,4653322
2019-10-28,4477590
2019-10-29,4477590
2019-10-30,4389823
2019-10-31,4381081
2019-11-01,4430438
2019-11-02,4457278
2019-11-03,4558486
2019-11-04,4720181
2019-11-05,4720181
2019-11-06,4801652
2019-11-07,4766710
2019-11-08,4743981
2019-11-09,4719358
2019-11-10,4608821
2019-11-11,4534009
2019-11-12,4500293
2019-11-13,4425458
2019-11-14,4425458
2019-11-15,4290597
2019-11-16,4187831
2019-11-17,4187831
2019-11-18,4135587
2019-11-19,4145684
2019-11-20,4148332
2019-11-21,4148332
2019-11-22,4124687
2019-11-23,4115576
2019-11-24,4109081
2019-11-25,4260364
2019-11-26,4450287
2019-11-27,4634916
2019-11-28,4824808
2019-11-29,4824808
2019-11-30,4900716
2019-12-01,4766092
2019-12-02,4722686
2019-12-03,4607800
2019-12-04,4527382
2019-12-05,4527382
2019-12-06,4454112
2019-12-07,4431366
2019-12-08,4431366
2019-12-09,4415965
2019-12-10,4370480
2019-12-11,4426661
2019-12-12,4396395
2019-12-13,4355613
2019-12-14,4355215
2019-12-15,4325887
2019-12-16,4308838
2019-12-17,4325090
2019-12-18,4325641
2019-12-19,4350276
2019-12-20,4354171
2019-12-21,4339101
2019-12-22,4345196
2019-12-23,4365640
2019-12-24,4524371
2019-12-25,4712581
2019-12-26,4891232
2019-12-27,5125173
2019-12-28,5336213
2019-12-29,5583795
2019-12-30,5763692
2019-12-31,5773070
2020-01-01,5738308
2020-01-02,5804991
2020-01-03,5804991
2020-01-04,5755385
2020-01-05,5701171
2020-01-06,5733381
2020-01-07,5686583
2020-01-08,5686583
2020-01-09,5666614
2020-01-10,5680715
2020-01-11,5622271
2020-01-12,5382886
2020-01-13,5382886
2020-01-14,5325968
2020-01-15,5234012
2020-01-16,5204800
2020-01-17,5139894
2020-01-18,5058889
2020-01-19,5049579
2020-01-20,4997355
2020-01-21,4997355
2020-01-22,4854609
2020-01-23,4851380
2020-01-24,4813223
2020-01-25,4762886
2020-01-26,4721679
2020-01-27,4622216
2020-01-28,4622216
2020-01-29,4558349
2020-01-30,4478467
2020-01-31,4402588
2020-02-01,4372172
2020-02-02,4350043
2020-02-03,4324538
2020-02-04,4281138
2020-02-05,4220985
2020-02-06,4061735
2020-02-07,3962797
2020-02-08,4121560
2020-02-09,4078536
2020-02-10,4158919
2020-02-11,4158919
2020-02-12,4135145
2020-02-13,4297509
2020-02-14,4511183
2020-02-15,4615646
2020-02-16,4543939
2020-02-17,4488611
2020-02-18,4420847
2020-02-19,4349796
2020-02-20,4286339
2020-02-21,4286339
2020-02-22,4274024
2020-02-23,4230696
2020-02-24,4188399
2020-02-25,4163766
2020-02-26,4137692
2020-02-27,4129167
2020-02-28,4131189
2020-02-29,4131189
2020-03-01,4128962
2020-03-02,4118297
2020-03-03,4113511
2020-03-04,4096451
2020-03-05,4060027
2020-03-06,4038613
2020-03-07,4042079
2020-03-08,4032756
2020-03-09,4057395
2020-03-10,3996519
2020-03-11,3952243
2020-03-12,3927719
2020-03-13,3882250
2020-03-14,3816920
2020-03-15,3773497
2020-03-16,3738856
2020-03-17,3718120
2020-03-18,3714371
2020-03-19,3754666
2020-03-20,3724732
2020-03-21,3719170
2020-03-22,3762217
2020-03-23,3841573
2020-03-24,3898247
2020-03-25,3958845
2020-03-26,3928003
2020-03-27,3892628
2020-03-28,3863063
2020-03-29,3861199
2020-03-30,3865328
2020-03-31,3969183
2020-04-01,4004750
2020-04-02,4036271
2020-04-03,4036271
2020-04-04,4033655
2020-04-05,4056810
2020-04-06,4023443
2020-04-07,4015391
2020-04-08,4076869
2020-04-09,4185891
2020-04-10,4316093
2020-04-11,4349389
2020-04-12,4297872
2020-04-13,4254579
2020-04-14,4173940
2020-04-15,4062043
2020-04-16,4006145
2020-04-17,3976833
2020-04-18,3911561
2020-04-19,3911849
2020-04-20,3874913
2020-04-21,3830001
2020-04-22,3774192
2020-04-23,3800846
2020-04-24,3802998
2020-04-25,3785071
2020-04-26,3772438
2020-04-27,3743503
2020-04-28,3707002
2020-04-29,3696495
2020-04-30,3668440
2020-05-01,3639801
2020-05-02,3681440
2020-05-03,3661825
2020-05-04,3671897
2020-05-05,3659426
2020-05-06,3602197
2020-05-07,3531206
2020-05-08,3511961
2020-05-09,3429586
2020-05-10,3403864
2020-05-11,3364936
2020-05-12,3275588
2020-05-13,3236359
