date_obj,Berserker%20necklace%20ornament%20kit price
2019-09-01,14989
2019-09-02,14989
2019-09-03,14854
2019-09-04,15115
2019-09-05,15120
2019-09-06,15238
2019-09-07,15178
2019-09-08,15142
2019-09-09,15278
2019-09-10,15863
2019-09-11,16301
2019-09-12,16506
2019-09-13,17110
2019-09-14,17232
2019-09-15,17623
2019-09-16,18166
2019-09-17,18418
2019-09-18,18797
2019-09-19,18856
2019-09-20,19247
2019-09-21,19412
2019-09-22,19313
2019-09-23,18410
2019-09-24,17682
2019-09-25,16797
2019-09-26,16245
2019-09-27,16141
2019-09-28,15522
2019-09-29,15060
2019-09-30,15374
2019-10-01,15257
2019-10-02,15257
2019-10-03,15398
2019-10-04,15727
2019-10-05,15586
2019-10-06,16063
2019-10-07,16602
2019-10-08,17043
2019-10-09,17043
2019-10-10,17611
2019-10-11,18027
2019-10-12,18261
2019-10-13,18534
2019-10-14,18448
2019-10-15,19076
2019-10-16,19623
2019-10-17,19623
2019-10-18,19566
2019-10-19,19257
2019-10-20,19309
2019-10-21,19787
2019-10-22,20696
2019-10-23,20752
2019-10-24,20727
2019-10-25,20775
2019-10-26,20846
2019-10-27,20573
2019-10-28,20381
2019-10-29,20381
2019-10-30,20396
2019-10-31,20928
2019-11-01,21585
2019-11-02,22084
2019-11-03,22444
2019-11-04,22871
2019-11-05,22845
2019-11-06,23290
2019-11-07,23829
2019-11-08,24521
2019-11-09,24537
2019-11-10,24510
2019-11-11,25015
2019-11-12,25640
2019-11-13,25734
2019-11-14,25641
2019-11-15,25000
2019-11-16,24725
2019-11-17,24725
2019-11-18,24994
2019-11-19,25177
2019-11-20,25452
2019-11-21,25452
2019-11-22,25754
2019-11-23,25778
2019-11-24,25317
2019-11-25,25389
2019-11-26,24119
2019-11-27,23122
2019-11-28,22809
2019-11-29,22809
2019-11-30,22656
2019-12-01,22576
2019-12-02,22827
2019-12-03,23063
2019-12-04,22658
2019-12-05,22658
2019-12-06,22977
2019-12-07,22410
2019-12-08,21666
2019-12-09,21379
2019-12-10,21450
2019-12-11,21200
2019-12-12,21510
2019-12-13,20513
2019-12-14,19698
2019-12-15,18772
2019-12-16,17940
2019-12-17,17043
2019-12-18,16502
2019-12-19,16018
2019-12-20,15602
2019-12-21,15267
2019-12-22,15218
2019-12-23,15280
2019-12-24,15469
2019-12-25,15547
2019-12-26,15553
2019-12-27,15889
2019-12-28,16120
2019-12-29,16194
2019-12-30,16165
2019-12-31,16132
2020-01-01,16148
2020-01-02,16064
2020-01-03,16083
2020-01-04,16101
2020-01-05,16187
2020-01-06,16898
2020-01-07,17720
2020-01-08,17720
2020-01-09,18431
2020-01-10,18712
2020-01-11,18658
2020-01-12,18285
2020-01-13,17721
2020-01-14,16924
2020-01-15,16130
2020-01-16,15648
2020-01-17,15119
2020-01-18,14433
2020-01-19,14173
2020-01-20,14283
2020-01-21,13635
2020-01-22,13479
2020-01-23,13356
2020-01-24,13197
2020-01-25,12981
2020-01-26,12890
2020-01-27,12827
2020-01-28,12820
2020-01-29,12684
2020-01-30,12217
2020-01-31,11818
2020-02-01,11658
2020-02-02,11794
2020-02-03,12011
2020-02-04,12288
2020-02-05,12309
2020-02-06,12285
2020-02-07,12210
2020-02-08,11979
2020-02-09,11708
2020-02-10,11324
2020-02-11,11089
2020-02-12,11112
2020-02-13,10893
2020-02-14,10786
2020-02-15,10742
2020-02-16,10544
2020-02-17,10729
2020-02-18,11013
2020-02-19,11145
2020-02-20,11011
2020-02-21,10904
2020-02-22,11006
2020-02-23,11062
2020-02-24,11379
2020-02-25,11500
2020-02-26,11465
2020-02-27,11148
2020-02-28,10859
2020-02-29,10592
2020-03-01,10214
2020-03-02,9782
2020-03-03,9458
2020-03-04,9057
2020-03-05,8816
2020-03-06,8804
2020-03-07,8873
2020-03-08,8934
2020-03-09,9284
2020-03-10,9580
2020-03-11,9726
2020-03-12,10144
2020-03-13,10573
2020-03-14,11102
2020-03-15,11658
2020-03-16,12226
2020-03-17,12811
2020-03-18,13452
2020-03-19,14063
2020-03-20,14716
2020-03-21,15309
2020-03-22,15875
2020-03-23,15994
2020-03-24,16023
2020-03-25,15971
2020-03-26,15712
2020-03-27,15583
2020-03-28,15182
2020-03-29,15051
2020-03-30,14575
2020-03-31,14726
2020-04-01,14589
2020-04-02,14353
2020-04-03,14032
2020-04-04,13797
2020-04-05,13212
2020-04-06,12987
2020-04-07,12797
2020-04-08,12643
2020-04-09,12376
2020-04-10,12221
2020-04-11,11814
2020-04-12,11415
2020-04-13,11140
2020-04-14,10877
2020-04-15,10816
2020-04-16,10845
2020-04-17,10828
2020-04-18,10875
2020-04-19,10968
2020-04-20,11050
2020-04-21,11018
2020-04-22,11011
2020-04-23,10588
2020-04-24,10058
2020-04-25,9555
2020-04-26,9160
2020-04-27,9156
2020-04-28,9036
2020-04-29,9078
2020-04-30,9225
2020-05-01,9459
2020-05-02,9588
2020-05-03,9838
2020-05-04,10045
2020-05-05,10130
2020-05-06,10477
2020-05-07,10262
2020-05-08,10470
2020-05-09,10749
2020-05-10,11002
2020-05-11,11299
2020-05-12,11532
2020-05-13,11995
