date_obj,Onyx%20bolt%20tips price
2016-08-26,8491
2016-08-28,8480
2016-08-31,8530
2016-09-01,8454
2016-09-02,8454
2016-09-03,8441
2016-09-04,8565
2016-09-05,8662
2016-09-06,8718
2016-09-07,8685
2016-09-08,8586
2016-09-09,8623
2016-09-10,8636
2016-09-11,8661
2016-09-12,8607
2016-09-13,8571
2016-09-14,8614
2016-09-15,8586
2016-09-16,8569
2016-09-17,8512
2016-09-18,8549
2016-09-19,8624
2016-09-20,8618
2016-09-21,8591
2016-09-22,8583
2016-09-23,8626
2016-09-24,8606
2016-09-25,8588
2016-09-26,8648
2016-09-27,8673
2016-09-28,8610
2016-09-29,8558
2016-09-30,8600
2016-10-01,8608
2016-10-02,8555
2016-10-03,8678
2016-10-04,8611
2016-10-05,8523
2016-10-06,8579
2016-10-07,8551
2016-10-08,8541
2016-10-09,8615
2016-10-10,8562
2016-10-11,8551
2016-10-12,8578
2016-10-13,8587
2016-10-14,8524
2016-10-15,8558
2016-10-16,8482
2016-10-17,8506
2016-10-18,8525
2016-10-19,8537
2016-10-20,8546
2016-10-21,8517
2016-10-22,8524
2016-10-23,8520
2016-10-24,8534
2016-10-25,8539
2016-10-26,8614
2016-10-27,8672
2016-10-28,8569
2016-10-29,8590
2016-10-30,8567
2016-10-31,8593
2016-11-01,8588
2016-11-02,8489
2016-11-03,8509
2016-11-04,8506
2016-11-05,8500
2016-11-06,8553
2016-11-07,8633
2016-11-08,8817
2016-11-09,8623
2016-11-10,8651
2016-11-11,8539
2016-11-12,8547
2016-11-13,8562
2016-11-14,8586
2016-12-07,8456
2016-12-08,8533
2016-12-09,8543
2016-12-10,8498
2016-12-11,8539
2016-12-12,8527
2016-12-13,8513
2016-12-14,8488
2016-12-15,8290
2016-12-16,8369
2016-12-17,8416
2016-12-18,8479
2016-12-19,8416
2016-12-20,8503
2016-12-21,8512
2016-12-22,8613
2016-12-23,8539
2016-12-24,8561
2016-12-25,8562
2016-12-26,8551
2016-12-27,8564
2016-12-28,8534
2016-12-29,8585
2016-12-30,8540
2016-12-31,8521
2017-01-01,8451
2017-01-02,8444
2017-01-03,8443
2017-01-04,8485
2017-01-05,8473
2017-01-06,8514
2017-01-07,8541
2017-01-08,8534
2017-01-09,8528
2017-01-10,8604
2017-01-11,8571
2017-01-12,8587
2017-01-13,8701
2017-01-14,8570
2017-01-15,8552
2017-01-16,8518
2017-01-17,8525
2017-01-18,8534
2017-01-19,8549
2017-01-20,8534
2017-01-21,8560
2017-01-22,8573
2017-01-27,8555
2017-01-28,8483
2017-01-29,8457
2017-01-30,8420
2017-01-31,8562
2017-02-01,8603
2017-02-02,8686
2017-02-03,8630
2017-02-04,8663
2017-02-05,8710
2017-02-06,8818
2017-02-07,8896
2017-02-08,8837
2017-02-09,8721
2017-02-10,8664
2017-02-11,8680
2017-02-12,8573
2017-02-13,8560
2017-02-14,8575
2017-02-15,8570
2017-02-16,8549
2017-02-18,8628
2017-02-19,8492
2017-02-20,8538
2017-02-21,8580
2017-02-22,8608
2017-02-23,8557
2017-02-24,8513
2017-02-25,8528
2017-02-26,8575
2017-02-27,8538
2017-02-28,8580
2017-03-01,8594
2017-03-02,8619
2017-03-03,8589
2017-03-04,8544
2017-03-05,8458
2017-03-06,8524
2017-03-07,8535
2017-03-08,8520
2017-03-09,8508
2017-03-10,8467
2017-03-11,8506
2017-03-12,8513
2017-03-13,8540
2017-03-14,8555
2017-03-15,8548
2017-03-16,8532
2017-03-17,8549
2017-03-18,8544
2017-03-19,8558
2017-03-20,8579
2017-03-21,8561
2017-03-22,8498
2017-03-23,8556
2017-03-24,8549
2017-03-25,8546
2017-03-26,8528
2017-03-27,8541
2017-03-28,8494
2017-03-29,8480
2017-03-30,8348
2017-03-31,8356
2017-04-01,8440
2017-04-02,8517
2017-04-03,8598
2017-04-04,8582
2017-04-12,8679
2017-04-13,8638
2017-04-14,8602
2017-04-15,8589
2017-04-16,8613
2017-04-17,8537
2017-04-18,8334
2017-04-19,8347
2017-04-20,8374
2017-04-21,8330
2017-04-22,8289
2017-04-23,8415
2017-04-24,8406
2017-04-25,8365
2017-04-26,8447
2017-04-27,8467
2017-04-28,8474
2017-04-29,8550
2017-04-30,8480
2017-05-01,8462
2017-05-02,8506
2017-05-03,8566
2017-05-04,8474
2017-05-05,8478
2017-05-06,8336
2017-05-07,8292
2017-05-08,8328
2017-05-09,8363
2017-05-10,8393
2017-05-11,8363
2017-05-12,8402
2017-05-13,8282
2017-05-14,8256
2017-05-15,8237
2017-05-16,8302
2017-05-17,8176
2017-05-18,8223
2017-05-19,8260
2017-05-20,8320
2017-05-21,8348
2017-05-22,8378
2017-05-23,8392
2017-05-24,8440
2017-05-25,8428
2017-05-26,8273
2017-05-27,8286
2017-05-28,8387
2017-05-29,8418
2017-05-30,8380
2017-05-31,8421
2017-06-01,8372
2017-06-02,8386
2017-06-03,8423
2017-06-06,8425
2017-06-07,8403
2017-06-08,8457
2017-06-09,8468
2017-06-10,8415
2017-06-11,8369
2017-06-12,8380
2017-06-13,8414
2017-06-14,8442
2017-06-15,8500
2017-06-16,8347
2017-06-17,8402
2017-06-18,8409
2017-06-19,8389
2017-06-20,8290
2017-06-21,8352
2017-06-22,8288
2017-06-23,8140
2017-06-24,8036
2017-06-25,8153
2017-06-26,8327
2017-06-27,8370
2017-06-28,8493
2017-06-29,8572
2017-06-30,8661
2017-07-01,8728
2017-07-02,8489
2017-07-03,8360
2017-07-04,8272
2017-07-05,8286
2017-07-06,8477
2017-07-07,8395
2017-07-08,8391
2017-07-13,8331
2017-07-14,8283
2017-07-15,8203
2017-07-16,8268
2017-07-17,8309
2017-07-18,8287
2017-07-19,8273
2017-07-20,8283
2017-07-21,8305
2017-07-22,8285
2017-07-23,8332
2017-07-24,8351
2017-07-25,8417
2017-07-26,8439
2017-07-27,8415
2017-07-28,8440
2017-07-29,8444
2017-07-30,8386
2017-07-31,8431
2017-08-01,8458
2017-08-02,8388
2017-08-03,8425
2017-08-04,8409
2017-08-05,8423
2017-08-06,8429
2017-08-09,8399
2017-08-10,8400
2017-08-11,8431
2017-08-12,8438
2017-08-13,8449
2017-08-14,8436
2017-08-15,8469
2017-08-17,8416
2017-08-18,8443
2017-08-19,8435
2017-08-20,8471
2017-08-21,8562
2017-08-22,8559
2017-08-23,8474
2017-08-24,8359
2017-08-25,8273
2017-08-26,8347
2017-08-27,8431
2017-08-28,8403
2017-08-29,8423
2017-08-30,8374
2017-08-31,8395
2017-09-01,8405
2017-09-02,8412
2017-09-03,8413
2017-09-04,8411
2017-09-05,8424
2017-09-06,8428
2017-09-07,8370
2017-09-08,8349
2017-09-09,8364
2017-09-10,8409
2017-09-11,8412
2017-09-12,8403
2017-09-13,8462
2017-09-14,8456
2017-09-15,8448
2017-09-16,8423
2017-09-17,8421
2017-09-19,8440
2017-09-20,8443
2017-09-21,8384
2017-09-22,8368
2017-09-23,8418
2017-09-24,8449
2017-09-25,8438
2017-09-26,8411
2017-09-27,8413
2017-09-28,8420
2017-09-29,8384
2017-09-30,8375
2017-10-01,8380
2017-10-02,8403
2017-10-03,8414
2017-10-04,8404
2017-10-05,8403
2017-10-06,8352
2017-10-07,8353
2017-10-08,8386
2017-10-09,8425
2017-10-10,8414
2017-10-11,8424
2017-10-12,8401
2017-10-13,8410
2017-10-14,8429
2017-10-15,8398
2017-10-16,8403
2017-10-17,8417
2017-10-18,8424
2017-10-19,8424
2017-10-20,8422
2017-10-21,8446
2017-10-22,8470
2017-10-23,8445
2017-10-24,8426
2017-10-25,8427
2017-10-26,8383
2017-10-27,8368
2017-10-28,8392
2017-10-29,8403
2017-10-30,8433
2017-10-31,8458
2017-11-01,8484
2017-11-02,8447
2017-11-03,8428
