date_obj,Shade%20robe%20top price
2017-09-11,942
2017-09-12,942
2017-09-13,985
2017-09-14,985
2017-09-15,985
2017-09-16,1035
2017-09-17,1035
2017-09-19,1087
2017-09-20,1136
2017-09-21,1136
2017-09-22,1189
2017-09-23,1189
2017-09-24,1237
2017-09-25,1237
2017-09-26,1247
2017-09-27,1247
2017-09-28,1226
2017-09-29,1226
2017-09-30,1242
2017-10-01,1242
2017-10-02,1239
2017-10-03,1239
2017-10-04,1239
2017-10-05,1211
2017-10-06,1211
2017-10-07,1192
2017-10-08,1192
2017-10-09,1149
2017-10-10,1149
2017-10-11,1138
2017-10-12,1138
2017-10-13,1111
2017-10-14,1111
2017-10-15,1063
2017-10-16,1063
2017-10-17,1043
2017-10-18,1043
2017-10-19,1028
2017-10-20,1028
2017-10-21,1036
2017-10-22,1036
2017-10-23,1048
2017-10-24,1048
2017-10-25,1055
2017-10-26,1055
2017-10-27,1106
2017-10-28,1106
2017-10-29,1159
2017-10-30,1159
2017-10-31,1217
2017-11-01,1217
2017-11-02,1203
2017-11-03,1203
2017-11-04,1182
2017-11-05,1182
2017-11-06,1139
2017-11-07,1139
2017-11-08,1085
2017-11-09,1085
2017-11-10,1031
2017-11-11,1031
2017-11-12,1001
2017-11-13,1001
2017-11-14,1001
2017-11-15,972
2017-11-16,972
2017-11-17,925
2017-11-18,925
2017-11-19,894
2017-11-20,894
2017-11-21,851
2017-11-22,851
2017-11-23,834
2017-11-24,834
2017-11-25,868
2017-11-26,868
2017-11-27,911
2017-11-28,911
2017-11-29,956
2017-11-30,956
2017-12-01,1004
2017-12-02,1004
2017-12-03,1051
2017-12-04,1051
2017-12-05,1104
2017-12-06,1104
2017-12-07,1160
2017-12-08,1160
2017-12-09,1211
2017-12-10,1211
2017-12-11,1272
2017-12-12,1272
2017-12-13,1336
2017-12-14,1336
2017-12-15,1403
2017-12-16,1403
2017-12-17,1472
2017-12-18,1525
2017-12-19,1525
2017-12-20,1565
2017-12-21,1565
2017-12-22,1589
2017-12-23,1589
2017-12-24,1567
2017-12-25,1567
2017-12-26,1579
2017-12-27,1579
2017-12-28,1509
2017-12-29,1509
2017-12-30,1556
2017-12-31,1556
2018-01-01,1581
2018-01-02,1581
2018-01-04,1580
2018-01-05,1549
2018-01-06,1549
2018-01-07,1526
2018-01-08,1526
2018-01-09,1449
2018-01-10,1449
2018-01-11,1407
2018-01-12,1407
2018-01-13,1336
2018-01-14,1336
2018-01-15,1278
2018-01-16,1278
2018-01-17,1246
2018-01-18,1246
2018-01-19,1184
2018-01-20,1142
2018-01-21,1142
2018-01-22,1127
2018-01-23,1127
2018-01-24,1092
2018-01-25,1073
2018-01-26,1060
2018-01-27,1022
2018-01-28,1025
2018-01-29,1034
2018-01-30,1086
2018-02-01,1123
2018-02-02,1077
2018-02-03,1049
2018-02-04,1011
2018-02-05,968
2018-02-06,955
2018-02-07,950
2018-02-08,950
2018-02-09,937
2018-02-10,937
2018-02-11,908
2018-02-12,872
2018-02-13,864
2018-02-14,892
2018-02-15,923
2018-02-16,922
2018-02-17,907
2018-02-18,912
2018-02-19,926
2018-02-20,937
2018-02-21,934
2018-02-22,895
2018-02-23,933
2018-02-24,978
2018-02-25,1027
2018-02-26,1074
2018-02-27,1101
2018-02-28,1119
2018-03-01,1163
2018-03-02,1151
2018-03-03,1168
2018-03-04,1168
2018-03-05,1131
2018-03-06,1094
2018-03-07,1066
2018-03-08,1019
2018-03-09,987
2018-03-10,1009
2018-03-11,989
2018-03-12,963
2018-03-13,1001
2018-03-14,1052
2018-03-15,1052
2018-03-16,1077
2018-03-17,1067
2018-03-18,1036
2018-03-19,1036
2018-03-20,1018
2018-03-21,985
2018-03-23,1005
2018-03-24,1009
2018-03-26,965
2018-03-27,957
2018-03-28,957
2018-03-29,929
2018-03-30,907
2018-03-31,902
2018-04-01,874
2018-04-02,863
2018-04-03,856
2018-04-04,863
2018-04-05,863
2018-04-06,880
2018-04-08,871
2018-04-09,896
2018-04-10,928
2018-04-11,923
2018-04-12,899
2018-04-13,899
2018-04-14,901
2018-04-15,889
2018-04-16,889
2018-04-17,915
2018-04-18,915
2018-04-19,930
2018-04-20,920
2018-04-21,911
2018-04-22,911
2018-04-23,911
2018-04-24,911
2018-04-25,920
2018-04-26,920
2018-04-27,917
2018-04-28,910
2018-04-29,943
2018-04-30,952
2018-05-01,973
2018-05-02,946
2018-05-03,946
2018-05-04,942
2018-05-05,946
2018-05-06,946
2018-05-07,963
2018-05-08,967
2018-05-09,991
2018-05-10,998
2018-05-11,970
2018-05-12,986
2018-05-13,986
2018-05-14,957
2018-05-15,957
2018-05-16,990
2018-05-17,965
2018-05-18,987
2018-05-19,1027
2018-05-20,1069
2018-05-21,1101
2018-05-22,1101
2018-05-23,1151
2018-05-24,1127
