date_obj,Fish%20food price
2017-01-18,262
2017-01-19,262
2017-01-20,262
2017-01-21,262
2017-01-22,262
2017-01-23,262
2017-01-27,272
2017-01-28,272
2017-01-29,272
2017-01-30,272
2017-01-31,272
2017-02-01,272
2017-02-02,272
2017-02-03,272
2017-02-04,272
2017-02-05,272
2017-02-06,272
2017-02-07,272
2017-02-08,272
2017-02-09,272
2017-02-10,272
2017-02-11,272
2017-02-12,272
2017-02-13,272
2017-02-14,272
2017-02-15,272
2017-02-16,272
2017-02-18,272
2017-02-19,272
2017-02-20,272
2017-02-21,272
2017-02-22,272
2017-02-23,272
2017-02-24,272
2017-02-25,272
2017-02-26,272
2017-02-27,272
2017-02-28,272
2017-03-01,272
2017-03-02,272
2017-03-03,272
2017-03-04,282
2017-03-05,282
2017-03-06,282
2017-03-07,282
2017-03-08,282
2017-03-09,282
2017-03-10,282
2017-03-11,282
2017-03-12,282
2017-03-13,282
2017-03-14,282
2017-03-15,282
2017-03-16,282
2017-03-17,282
2017-03-18,282
2017-03-19,282
2017-03-20,282
2017-03-21,290
2017-03-22,290
2017-03-23,290
2017-03-24,290
2017-03-25,290
2017-03-26,290
2017-03-27,290
2017-03-28,290
2017-03-29,290
2017-03-30,290
2017-03-31,290
2017-04-01,290
2017-04-02,290
2017-04-03,290
2017-04-04,290
2017-04-12,302
2017-04-13,302
2017-04-14,302
2017-04-15,302
2017-04-16,302
2017-04-17,302
2017-04-18,302
2017-04-19,302
2017-04-20,302
2017-04-21,302
2017-04-22,302
2017-04-23,302
2017-04-24,302
2017-04-25,311
2017-04-26,311
2017-04-27,311
2017-04-28,311
2017-04-29,311
2017-04-30,311
2017-05-01,311
2017-05-02,311
2017-05-03,311
2017-05-04,311
2017-05-05,311
2017-05-06,311
2017-05-07,311
2017-05-08,311
2017-05-09,311
2017-05-10,311
2017-05-11,311
2017-05-12,324
2017-05-13,324
2017-05-14,324
2017-05-15,324
2017-05-16,324
2017-05-17,324
2017-05-18,324
2017-05-19,324
2017-05-20,324
2017-05-21,324
2017-05-22,324
2017-05-23,324
2017-05-24,324
2017-05-25,324
2017-05-26,324
2017-05-27,324
2017-05-28,324
2017-05-29,324
2017-05-30,330
2017-05-31,330
2017-06-01,330
2017-06-02,330
2017-06-03,330
2017-06-04,330
2017-06-05,330
2017-06-06,330
2017-06-07,330
2017-06-08,330
2017-06-09,330
2017-06-10,330
2017-06-11,330
2017-06-12,330
2017-06-13,330
2017-06-14,330
2017-06-15,330
2017-06-16,328
2017-06-17,328
2017-06-18,328
2017-06-19,328
2017-06-20,328
2017-06-21,328
2017-06-22,328
2017-06-23,328
2017-06-24,328
2017-06-25,328
2017-06-26,328
2017-06-27,328
2017-06-28,328
2017-06-29,328
2017-06-30,328
2017-07-01,328
2017-07-02,328
2017-07-03,328
2017-07-04,328
2017-07-05,328
2017-07-06,332
2017-07-07,332
2017-07-08,332
2017-07-13,332
2017-07-14,332
2017-07-15,332
2017-07-16,332
2017-07-17,332
2017-07-18,332
2017-07-19,332
2017-07-20,332
2017-07-21,332
2017-07-22,332
2017-07-23,332
2017-07-24,332
2017-07-25,337
2017-07-26,337
2017-07-27,337
2017-07-28,337
2017-07-29,337
2017-07-30,337
2017-07-31,337
2017-08-01,337
2017-08-02,337
2017-08-03,337
2017-08-04,337
2017-08-05,337
2017-08-06,337
2017-08-09,337
2017-08-10,337
2017-08-11,337
2017-08-12,340
2017-08-13,340
2017-08-14,340
2017-08-15,340
2017-08-16,340
2017-08-17,340
2017-08-18,340
2017-08-19,340
2017-08-20,340
2017-08-21,340
2017-08-22,340
2017-08-23,340
2017-08-24,340
2017-08-25,340
2017-08-26,340
2017-08-27,340
2017-08-28,340
2017-08-29,340
2017-08-30,335
2017-08-31,335
2017-09-01,335
2017-09-02,335
2017-09-03,335
2017-09-04,335
2017-09-05,335
2017-09-06,335
2017-09-07,335
2017-09-08,335
2017-09-09,335
2017-09-10,335
2017-09-11,335
2017-09-12,335
2017-09-13,335
2017-09-14,337
2017-09-15,337
2017-09-16,337
2017-09-17,337
2017-09-18,337
2017-09-19,337
2017-09-20,337
2017-09-21,337
2017-09-22,337
2017-09-23,337
2017-09-24,337
2017-09-25,337
2017-09-26,337
2017-09-27,337
2017-09-28,337
2017-09-29,337
2017-09-30,337
2017-10-01,342
2017-10-02,342
2017-10-03,342
2017-10-04,342
2017-10-05,342
2017-10-06,342
2017-10-07,342
2017-10-08,342
2017-10-09,342
2017-10-10,342
2017-10-11,342
2017-10-12,342
2017-10-13,342
2017-10-14,342
2017-10-15,342
2017-10-16,342
2017-10-17,342
2017-10-18,348
2017-10-19,348
2017-10-20,348
2017-10-21,348
2017-10-22,348
2017-10-23,348
2017-10-24,348
2017-10-25,348
2017-10-26,348
2017-10-27,348
2017-10-28,348
2017-10-29,348
2017-10-30,348
2017-10-31,348
2017-11-01,348
2017-11-02,348
2017-11-03,348
2017-11-04,355
2017-11-05,355
2017-11-06,355
2017-11-07,355
2017-11-08,355
2017-11-09,355
2017-11-10,355
2017-11-11,355
2017-11-12,355
2017-11-13,355
2017-11-14,355
2017-11-15,355
2017-11-16,355
2017-11-17,355
2017-11-18,355
2017-11-19,355
2017-11-20,355
2017-11-21,355
2017-11-22,344
2017-11-23,344
2017-11-24,344
2017-11-25,344
2017-11-26,344
2017-11-27,344
2017-11-28,344
2017-11-29,344
2017-11-30,344
2017-12-01,344
2017-12-02,344
2017-12-03,344
2017-12-04,344
2017-12-05,344
2017-12-06,344
2017-12-07,344
2017-12-08,344
2017-12-09,344
2017-12-10,344
2017-12-11,344
2017-12-12,344
2017-12-13,344
2017-12-14,344
2017-12-15,344
2017-12-16,344
2017-12-17,344
2017-12-18,344
2017-12-19,344
2017-12-20,344
2017-12-21,344
2017-12-22,344
2017-12-23,343
2017-12-24,343
2017-12-25,343
2017-12-26,343
2017-12-27,343
2017-12-28,343
2017-12-29,343
2017-12-30,343
2017-12-31,343
2018-01-01,343
2018-01-02,343
2018-01-03,343
2018-01-04,343
2018-01-05,343
2018-01-06,344
2018-01-07,344
2018-01-08,344
2018-01-09,344
2018-01-10,344
2018-01-11,344
2018-01-12,344
2018-01-13,344
2018-01-14,344
2018-01-15,344
2018-01-16,344
2018-01-17,344
2018-01-18,342
2018-01-19,342
2018-01-20,342
2018-01-21,342
2018-01-22,342
2018-01-23,342
2018-01-24,342
2018-01-25,342
2018-01-26,342
2018-01-27,342
2018-01-28,342
2018-01-29,339
2018-01-30,339
2018-01-31,339
2018-02-01,339
2018-02-02,339
2018-02-03,339
2018-02-04,339
2018-02-05,339
2018-02-06,339
2018-02-07,339
2018-02-08,339
2018-02-09,339
2018-02-10,335
2018-02-11,335
2018-02-12,335
2018-02-13,335
2018-02-14,335
2018-02-15,335
2018-02-16,335
2018-02-17,335
2018-02-18,335
2018-02-19,333
2018-02-20,333
2018-02-21,333
2018-02-22,333
2018-02-23,333
2018-02-24,333
2018-02-25,333
2018-02-26,333
2018-02-27,333
2018-02-28,333
2018-03-01,333
2018-03-02,331
2018-03-03,331
2018-03-04,331
2018-03-05,331
2018-03-06,331
2018-03-07,331
2018-03-08,331
2018-03-09,331
2018-03-10,331
2018-03-11,331
2018-03-12,331
2018-03-13,337
2018-03-14,337
2018-03-15,337
2018-03-16,337
2018-03-17,337
2018-03-18,337
2018-03-20,337
2018-03-21,337
2018-03-23,337
2018-03-24,337
2018-03-25,342
2018-03-26,342
2018-03-27,342
2018-03-28,342
2018-03-29,342
2018-03-30,342
2018-03-31,342
2018-04-01,342
2018-04-02,342
2018-04-03,342
2018-04-04,351
2018-04-05,351
2018-04-06,351
2018-04-07,351
2018-04-08,351
2018-04-09,351
2018-04-10,351
2018-04-11,351
2018-04-12,351
2018-04-13,351
2018-04-14,351
2018-04-15,346
2018-04-16,346
2018-04-17,346
2018-04-18,346
2018-04-19,346
2018-04-20,346
2018-04-21,346
2018-04-22,346
2018-04-23,346
2018-04-24,346
2018-04-25,346
2018-04-26,346
2018-04-27,346
2018-04-28,338
2018-04-29,338
2018-04-30,338
2018-05-01,338
2018-05-03,338
2018-05-04,338
2018-05-05,338
2018-05-06,338
2018-05-07,338
2018-05-08,338
2018-05-09,337
2018-05-10,337
2018-05-11,337
2018-05-12,337
2018-05-13,337
2018-05-14,337
2018-05-15,337
2018-05-16,337
2018-05-17,337
2018-05-18,337
2018-05-19,320
2018-05-20,320
2018-05-21,320
2018-05-22,320
2018-05-23,320
2018-05-24,320
2018-05-25,320
2018-05-26,320
2018-05-27,318
2018-05-28,318
2018-05-29,318
2018-05-30,318
2018-05-31,318
2018-06-01,318
2018-06-02,318
2018-06-03,318
2018-06-04,318
2018-06-05,318
2018-06-06,318
2018-06-07,318
2018-06-08,318
2018-06-09,318
2018-06-10,318
