date_obj,Katana price
2015-11-16,584036
2015-11-17,567252
2015-11-18,565558
2015-11-19,567132
2015-11-20,580142
2015-11-21,580142
2015-11-22,601551
2015-11-23,601551
2015-11-24,627653
2015-11-25,657505
2015-11-26,657505
2015-11-27,690381
2015-11-28,720559
2015-11-29,753791
2015-11-30,788897
2015-12-01,823895
2015-12-02,859965
2015-12-03,899578
2015-12-04,941054
2015-12-05,984948
2015-12-06,1033377
2015-12-07,1033377
2015-12-08,1055512
2015-12-09,1072893
2015-12-10,1072893
2015-12-11,1088105
2015-12-12,1088105
2015-12-13,1107518
2015-12-14,1107518
2015-12-15,1120646
2015-12-16,1122076
2015-12-17,1122076
2015-12-18,1077696
2015-12-19,1023811
2015-12-20,972620
2015-12-21,923989
2015-12-22,878635
2015-12-23,843444
2015-12-24,843444
2015-12-25,811393
2015-12-26,777958
2015-12-27,741319
2015-12-28,739849
2015-12-29,740318
2015-12-30,738068
2015-12-31,747387
2016-01-01,740778
2016-01-02,740778
2016-01-03,745402
2016-01-04,734886
2016-01-05,735366
2016-01-06,729654
2016-01-07,698253
2016-01-08,672747
2016-01-09,665782
2016-01-10,652871
2016-01-11,637132
2016-01-12,628882
2016-01-13,628882
2016-01-14,645415
2016-01-15,674890
2016-01-16,703564
2016-01-17,719956
2016-01-18,697684
2016-01-19,663186
2016-01-20,642153
2016-01-21,642153
2016-01-22,634077
2016-01-23,630473
2016-01-24,630473
2016-01-25,632435
2016-01-26,606497
2016-01-27,618972
2016-01-28,618972
2016-01-29,643414
2016-01-30,643414
2016-01-31,661426
2016-02-01,659406
2016-02-02,640098
2016-02-03,631636
2016-02-04,631636
2016-02-05,602465
2016-02-06,590078
2016-02-07,590078
2016-02-08,618588
2016-02-09,641971
2016-02-10,665870
2016-02-11,639181
2016-02-12,654811
2016-02-13,668400
2016-02-14,668400
2016-02-15,652248
2016-02-16,630695
2016-02-17,608599
2016-02-18,608599
2016-02-19,596192
2016-02-20,590109
2016-02-21,593707
2016-02-22,593707
2016-02-23,596656
2016-02-24,573199
2016-02-25,561071
2016-02-26,561071
2016-02-27,579556
2016-02-28,587470
2016-02-29,598735
2016-03-01,615400
2016-03-02,613005
2016-03-03,611515
2016-03-04,610163
2016-03-05,600744
2016-03-06,585251
2016-03-07,581548
2016-03-08,578948
2016-03-09,560073
2016-03-10,552159
2016-03-11,564056
2016-03-12,565592
2016-03-13,546210
2016-03-14,549011
2016-03-15,525911
2016-03-16,499615
2016-03-17,474634
2016-03-18,450902
2016-03-19,437204
2016-03-20,420880
2016-03-21,399850
2016-03-22,396554
2016-03-23,408869
2016-03-24,412814
2016-03-25,413240
2016-03-26,396234
2016-03-27,389678
2016-03-28,372256
2016-03-29,357807
2016-03-30,357807
2016-03-31,367718
2016-04-01,378280
2016-04-02,368971
2016-04-03,366670
2016-04-04,367736
2016-04-05,371327
2016-04-06,364674
2016-04-07,362816
2016-04-08,361932
2016-04-09,358392
2016-04-10,362346
2016-04-11,362346
2016-04-12,376539
2016-04-13,394486
2016-04-14,411282
2016-04-15,426479
2016-04-16,428195
2016-04-17,415918
2016-04-18,406670
2016-04-19,399494
2016-04-20,393896
2016-04-21,392265
2016-04-22,392265
2016-04-23,403426
2016-04-24,422756
2016-04-25,421862
2016-04-26,436117
2016-04-27,432683
2016-04-28,438098
2016-04-29,434668
2016-04-30,425654
2016-05-01,418507
2016-05-02,399391
2016-05-03,391114
2016-05-04,380473
2016-05-05,373270
2016-05-06,373270
2016-05-07,384111
2016-05-08,384111
2016-05-09,378712
2016-05-10,374412
2016-05-11,372879
2016-05-12,389826
2016-05-13,397395
2016-05-14,377525
2016-05-15,360863
2016-05-16,353354
2016-05-17,357717
2016-05-18,356484
2016-05-19,362504
2016-05-22,392497
2016-05-23,412122
2016-05-24,432729
2016-05-25,448214
2016-05-26,440081
2016-05-27,425926
2016-05-28,425926
2016-05-29,406832
2016-05-30,406832
2016-05-31,393465
2016-06-01,382367
2016-06-02,399392
2016-06-03,419362
2016-06-04,440331
2016-06-05,461016
2016-06-06,484067
2016-06-07,504506
2016-06-08,529732
2016-06-09,556219
2016-06-10,584030
2016-06-11,611071
2016-06-12,641625
2016-06-13,670140
2016-06-14,703647
2016-06-15,738830
2016-06-16,775772
2016-06-17,814561
2016-06-18,852648
2016-06-19,895281
2016-06-20,939939
