date_obj,Amulet%20of%20torture price
2017-10-28,11825089
2017-10-29,12022754
2017-10-30,12069947
2017-10-31,12327109
2017-11-01,12359858
2017-11-02,12597829
2017-11-03,12516090
2017-11-04,12528154
2017-11-05,12494131
2017-11-06,12420473
2017-11-07,12288715
2017-11-08,12274132
2017-11-09,12023147
2017-11-10,11974179
2017-11-11,12020498
2017-11-12,12057996
2017-11-13,12165639
2017-11-14,12216945
2017-11-15,12167941
2017-11-16,12113214
2017-11-17,12123322
2017-11-18,12137750
2017-11-19,12153440
2017-11-20,12123325
2017-11-21,12085861
2017-11-22,12076011
2017-11-23,11870177
2017-11-24,11905638
2017-11-25,11961347
2017-11-26,11980498
2017-11-27,11995556
2017-11-28,11976913
2017-11-29,11915078
2017-11-30,11951214
2017-12-01,11949351
2017-12-02,12011333
2017-12-03,11949089
2017-12-04,11925801
2017-12-05,11901921
2017-12-06,11879910
2017-12-07,11853442
2017-12-08,11910364
2017-12-09,11948894
2017-12-10,11971153
2017-12-11,12005701
2017-12-12,11975408
2017-12-13,11989257
2017-12-14,11920351
2017-12-15,12026754
2017-12-16,12058658
2017-12-17,12016946
2017-12-18,12012366
2017-12-19,12002138
2017-12-20,12003883
2017-12-21,12043741
2017-12-22,12164687
2017-12-23,12424767
2017-12-24,12402359
2017-12-25,12518188
2017-12-26,12658981
2017-12-27,12765454
2017-12-28,12798723
2017-12-29,12761676
2017-12-30,12803008
2017-12-31,12784328
2018-01-01,12794901
2018-01-02,12892619
2018-01-03,12893511
2018-01-04,12733762
2018-01-05,12746150
2018-01-06,12765405
2018-01-07,12727780
2018-01-08,12535761
2018-01-09,12220614
2018-01-10,12114278
2018-01-11,11976793
2018-01-12,12047232
2018-01-13,12245069
2018-01-14,12222261
2018-01-15,12120626
2018-01-16,12018438
2018-01-17,11932373
2018-01-18,11839628
2018-01-19,11781210
2018-01-20,11860724
2018-01-21,12086860
2018-01-22,12133426
2018-01-23,12143503
2018-01-24,12208318
2018-01-25,12150232
2018-01-26,12279507
2018-01-27,12341972
2018-01-28,12463045
2018-01-29,12430027
2018-01-30,12413143
2018-01-31,12345289
2018-02-01,12336286
2018-02-02,12592646
2018-02-03,12703218
2018-02-04,12646797
2018-02-05,12658632
2018-02-06,12646966
2018-02-07,12746899
2018-02-08,12622560
2018-02-09,12636339
2018-02-10,12661115
2018-02-11,12557115
2018-02-12,12423466
2018-02-13,12269096
2018-02-14,12226079
2018-02-15,12287254
2018-02-16,12353768
2018-02-17,12506194
2018-02-18,12599390
2018-02-19,12665326
2018-02-20,12836581
2018-02-21,13111280
2018-02-22,13254393
2018-02-23,13638131
2018-02-24,13966321
2018-02-25,13895445
2018-02-26,13931772
2018-02-27,13894452
2018-02-28,13921960
2018-03-01,13851326
2018-03-02,13936848
2018-03-03,13959026
2018-03-04,13881466
2018-03-05,13700280
2018-03-06,13721440
2018-03-07,13653942
2018-03-08,13677721
2018-03-09,13654287
2018-03-10,13731454
