date_obj,Iron%20set%20(lg) price
2016-10-01,889
2016-10-02,886
2016-10-03,854
2016-10-04,866
2016-10-05,865
2016-10-06,840
2016-10-07,841
2016-10-08,855
2016-10-09,835
2016-10-10,854
2016-10-11,827
2016-10-12,841
2016-10-13,830
2016-10-14,804
2016-10-15,799
2016-10-16,767
2016-10-17,775
2016-10-18,795
2016-10-19,763
2016-10-20,753
2016-10-21,756
2016-10-22,751
2016-10-23,759
2016-10-24,745
2016-10-25,761
2016-10-26,769
2016-10-27,767
2016-10-28,764
2016-10-29,750
2016-10-30,737
2016-10-31,722
2016-11-01,701
2016-11-02,700
2016-11-03,703
2016-11-04,682
2016-11-05,711
2016-11-06,728
2016-11-07,712
2016-11-08,719
2016-11-09,728
2016-11-10,729
2016-11-11,719
2016-11-12,733
2016-11-13,748
2016-11-14,770
2016-12-07,568
2016-12-08,566
2016-12-09,581
2016-12-10,598
2016-12-11,589
2016-12-12,610
2016-12-13,624
2016-12-14,649
2016-12-15,673
2016-12-16,702
2016-12-17,717
2016-12-18,724
2016-12-19,723
2016-12-20,732
2016-12-21,738
2016-12-22,734
2016-12-23,715
2016-12-24,705
2016-12-25,700
2016-12-26,714
2016-12-27,716
2016-12-28,730
2016-12-29,723
2016-12-30,686
2016-12-31,694
2017-01-01,676
2017-01-02,699
2017-01-03,707
2017-01-04,731
2017-01-05,738
2017-01-06,744
2017-01-07,736
2017-01-08,747
2017-01-09,746
2017-01-10,742
2017-01-11,731
2017-01-12,722
2017-01-13,689
2017-01-14,654
2017-01-15,648
2017-01-16,665
2017-01-17,667
2017-01-18,689
2017-01-19,715
2017-01-20,742
2017-01-21,760
2017-01-22,776
2017-01-27,745
2017-01-28,746
2017-01-29,766
2017-01-30,772
2017-01-31,778
2017-02-01,794
2017-02-02,795
2017-02-03,783
2017-02-04,765
2017-02-05,737
2017-02-06,725
2017-02-07,736
2017-02-08,755
2017-02-09,787
2017-02-10,804
2017-02-11,821
2017-02-12,824
2017-02-13,845
2017-02-14,802
2017-02-15,790
2017-02-16,780
2017-02-18,759
2017-02-19,722
2017-02-20,695
2017-02-21,660
2017-02-22,642
2017-02-23,636
2017-02-24,631
2017-02-25,641
2017-02-26,658
2017-02-27,673
2017-02-28,694
2017-03-01,682
2017-03-02,649
2017-03-03,645
2017-03-04,646
2017-03-05,656
2017-03-06,667
2017-03-07,677
2017-03-08,694
2017-03-09,725
2017-03-10,723
2017-03-11,726
2017-03-12,707
2017-03-13,693
2017-03-14,673
2017-03-15,671
2017-03-16,699
2017-03-17,719
2017-03-18,720
2017-03-19,715
2017-03-20,709
2017-03-21,708
2017-03-22,703
2017-03-23,701
2017-03-24,710
2017-03-25,706
2017-03-26,708
2017-03-27,694
2017-03-28,690
2017-03-29,685
2017-03-30,663
2017-03-31,656
2017-04-01,633
2017-04-02,633
2017-04-03,624
2017-04-04,620
2017-04-12,649
2017-04-13,678
2017-04-14,701
2017-04-15,699
2017-04-16,723
2017-04-17,744
2017-04-18,768
2017-04-19,761
2017-04-20,774
2017-04-21,779
2017-04-22,760
2017-04-23,754
2017-04-24,749
2017-04-25,748
2017-04-26,741
2017-04-27,755
2017-04-28,760
2017-04-29,744
2017-04-30,738
2017-05-01,735
2017-05-02,716
2017-05-03,708
2017-05-04,679
2017-05-05,657
2017-05-06,643
2017-05-07,638
2017-05-08,637
2017-05-09,632
2017-05-10,625
2017-05-11,617
2017-05-12,632
2017-05-13,650
2017-05-14,679
2017-05-15,652
2017-05-16,674
2017-05-17,694
2017-05-18,720
2017-05-19,720
2017-05-20,741
2017-05-21,753
2017-05-22,774
2017-05-23,772
2017-05-24,793
2017-05-25,774
2017-05-26,789
2017-05-27,800
2017-05-28,816
2017-05-29,844
2017-05-30,858
2017-05-31,874
2017-06-01,865
2017-06-02,846
2017-06-03,805
2017-06-04,783
2017-06-06,772
2017-06-07,749
2017-06-08,718
2017-06-09,709
2017-06-10,715
2017-06-11,719
2017-06-12,715
2017-06-13,692
2017-06-14,663
2017-06-15,668
2017-06-16,649
2017-06-17,650
2017-06-18,653
2017-06-19,665
2017-06-20,664
2017-06-21,644
2017-06-22,640
2017-06-23,631
2017-06-24,621
2017-06-25,597
2017-06-26,578
2017-06-27,594
2017-06-28,601
2017-06-29,621
2017-06-30,633
2017-07-01,642
2017-07-02,654
2017-07-03,665
2017-07-04,678
2017-07-05,678
2017-07-06,696
2017-07-07,715
2017-07-08,704
2017-07-13,720
2017-07-14,723
2017-07-15,709
2017-07-16,702
2017-07-17,676
2017-07-18,670
2017-07-19,685
2017-07-20,699
2017-07-21,704
2017-07-22,719
2017-07-23,744
2017-07-24,771
2017-07-25,783
2017-07-26,789
2017-07-27,769
2017-07-28,773
2017-07-29,768
2017-07-30,738
2017-07-31,729
2017-08-01,704
2017-08-02,672
2017-08-03,653
2017-08-04,640
2017-08-05,634
2017-08-06,617
2017-08-09,570
2017-08-10,541
2017-08-11,541
2017-08-12,554
2017-08-13,573
2017-08-14,579
2017-08-15,586
2017-08-16,601
2017-08-17,608
2017-08-18,631
2017-08-19,653
2017-08-20,649
2017-08-21,655
2017-08-22,669
2017-08-23,677
2017-08-24,686
2017-08-25,695
2017-08-26,704
2017-08-27,712
2017-08-28,700
2017-08-29,695
2017-08-30,683
2017-08-31,649
2017-09-01,624
2017-09-02,596
2017-09-03,581
2017-09-04,572
2017-09-05,560
2017-09-06,558
2017-09-07,550
2017-09-08,540
2017-09-09,549
2017-09-10,545
2017-09-11,543
2017-09-12,532
2017-09-13,544
2017-09-14,552
2017-09-15,575
2017-09-16,594
2017-09-17,605
2017-09-19,615
2017-09-20,618
2017-09-21,625
2017-09-22,623
2017-09-23,615
2017-09-24,604
2017-09-25,584
2017-09-26,599
2017-09-27,615
2017-09-28,610
2017-09-29,634
2017-09-30,632
2017-10-01,655
2017-10-02,674
2017-10-03,670
2017-10-04,684
2017-10-05,691
2017-10-06,702
2017-10-07,706
2017-10-08,683
2017-10-09,694
2017-10-10,690
2017-10-11,691
2017-10-12,670
2017-10-13,642
2017-10-14,621
2017-10-15,618
2017-10-16,618
2017-10-17,618
2017-10-18,607
2017-10-19,604
2017-10-20,596
2017-10-21,591
2017-10-22,585
2017-10-23,593
2017-10-24,599
2017-10-25,604
2017-10-26,607
2017-10-27,612
2017-10-28,595
2017-10-29,584
2017-10-30,583
2017-10-31,588
2017-11-01,599
2017-11-02,584
2017-11-03,583
2017-11-04,577
2017-11-05,580
2017-11-06,582
2017-11-07,575
2017-11-08,574
2017-11-09,567
2017-11-10,562
2017-11-11,557
2017-11-12,559
2017-11-13,550
2017-11-14,551
2017-11-15,544
2017-11-16,539
2017-11-17,535
2017-11-18,536
2017-11-19,533
2017-11-20,534
2017-11-21,535
2017-11-22,528
2017-11-23,527
2017-11-24,525
2017-11-25,520
2017-11-26,519
2017-11-27,515
2017-11-28,510
2017-11-29,502
2017-11-30,504
2017-12-01,494
2017-12-02,492
2017-12-03,486
2017-12-04,486
2017-12-05,477
2017-12-06,471
2017-12-07,469
2017-12-08,465
2017-12-09,459
2017-12-10,454
2017-12-11,450
2017-12-12,446
2017-12-14,445
2017-12-15,438
2017-12-16,434
2017-12-17,432
2017-12-18,429
2017-12-19,410
2017-12-20,406
2017-12-21,400
2017-12-22,390
2017-12-23,394
2017-12-24,397
2017-12-25,412
2017-12-26,422
2017-12-27,431
2017-12-28,419
2017-12-29,435
2017-12-30,434
2017-12-31,432
2018-01-01,431
2018-01-02,439
2018-01-03,433
2018-01-04,432
2018-01-05,426
2018-01-06,421
2018-01-07,420
2018-01-08,422
2018-01-09,408
2018-01-10,400
2018-01-11,401
2018-01-12,411
2018-01-13,424
2018-01-14,437
2018-01-15,448
2018-01-16,463
2018-01-17,479
2018-01-18,498
2018-01-19,519
2018-01-20,537
2018-01-21,545
2018-01-22,546
2018-01-23,518
2018-01-25,493
2018-01-26,515
2018-01-27,525
2018-01-28,536
2018-01-29,559
2018-01-30,566
2018-01-31,580
2018-02-01,597
2018-02-02,611
2018-02-03,610
2018-02-04,593
2018-02-05,596
2018-02-06,596
2018-02-07,600
2018-02-08,578
2018-02-09,572
2018-02-10,582
2018-02-11,606
2018-02-12,607
2018-02-13,617
2018-02-14,616
2018-02-15,615
2018-02-16,616
2018-02-17,625
2018-02-18,628
2018-02-19,637
2018-02-20,631
2018-02-21,636
2018-02-22,654
2018-02-23,668
2018-02-24,653
2018-02-25,635
2018-02-26,610
2018-02-27,601
2018-02-28,595
2018-03-01,606
2018-03-02,617
2018-03-03,624
2018-03-04,624
2018-03-05,625
2018-03-06,620
2018-03-07,610
2018-03-08,624
2018-03-09,600
2018-03-10,592
2018-03-11,574
2018-03-12,572
2018-03-13,574
2018-03-14,568
2018-03-15,557
2018-03-16,552
2018-03-17,551
2018-03-18,544
2018-03-19,546
2018-03-20,545
2018-03-21,542
2018-03-23,572
2018-03-24,569
2018-03-25,584
2018-03-26,581
2018-03-27,591
2018-03-28,614
2018-03-29,623
2018-03-30,610
2018-03-31,615
2018-04-01,628
2018-04-02,645
2018-04-03,658
2018-04-04,681
2018-04-05,698
2018-04-06,726
2018-04-07,735
2018-04-08,751
2018-04-09,760
2018-04-10,789
2018-04-11,775
2018-04-12,778
2018-04-13,805
2018-04-14,810
2018-04-15,831
2018-04-16,821
2018-04-17,811
2018-04-18,807
2018-04-19,805
2018-04-20,796
2018-04-21,760
2018-04-22,739
2018-04-23,714
2018-04-24,694
2018-04-25,667
2018-04-26,672
2018-04-27,658
2018-04-28,637
2018-04-29,608
2018-04-30,587
2018-05-01,581
2018-05-04,593
2018-05-05,604
2018-05-06,620
2018-05-07,639
2018-05-08,664
2018-05-09,692
2018-05-10,725
2018-05-11,737
2018-05-12,720
2018-05-13,717
2018-05-14,702
2018-05-15,692
2018-05-16,686
2018-05-17,676
2018-05-18,675
2018-05-19,652
2018-05-20,635
2018-05-21,620
2018-05-22,598
2018-05-23,577
2018-05-24,565
2018-05-25,557
2018-05-26,558
2018-05-27,556
2018-05-28,559
2018-05-29,559
2018-05-30,544
2018-05-31,545
2018-06-01,555
2018-06-02,571
2018-06-03,588
2018-06-04,595
2018-06-05,617
2018-06-06,629
2018-06-07,632
2018-06-08,623
2018-06-09,613
2018-06-10,597
2018-06-11,584
2018-06-12,575
2018-06-13,558
2018-06-14,530
2018-06-15,503
2018-06-16,507
2018-06-17,508
2018-06-18,484
2018-06-19,461
2018-06-20,478
2018-06-21,483
2018-06-22,493
2018-06-23,477
2018-06-24,477
2018-06-25,475
2018-06-26,478
2018-06-27,474
2018-06-28,474
2018-06-29,479
2018-06-30,493
2018-07-01,491
2018-07-02,466
2018-07-03,457
2018-07-04,452
2018-07-05,445
2018-07-06,448
2018-07-07,456
2018-07-08,455
2018-07-09,454
2018-07-10,455
2018-07-11,453
2018-07-12,463
2018-07-13,453
2018-07-14,446
2018-07-15,452
2018-07-16,456
2018-07-17,441
2018-07-18,446
2018-07-19,439
2018-07-20,437
2018-07-21,434
2018-07-22,417
2018-07-23,408
2018-07-24,406
2018-07-25,404
2018-07-26,421
2018-07-27,431
2018-07-28,437
2018-07-29,455
2018-07-30,474
2018-07-31,490
2018-08-01,510
2018-08-02,523
2018-08-03,542
2018-08-04,537
2018-08-05,549
2018-08-06,561
2018-08-07,570
2018-08-08,564
2018-08-09,560
2018-08-10,549
2018-08-11,558
2018-08-12,540
2018-08-14,499
2018-08-16,495
2018-08-17,504
2018-08-18,502
2018-08-19,496
2018-08-20,487
2018-08-21,475
2018-08-22,477
2018-08-23,486
2018-08-24,492
2018-08-25,484
2018-08-26,481
2018-08-27,483
2018-08-28,494
2018-08-29,494
2018-08-30,485
2018-08-31,496
2018-09-01,489
2018-09-02,494
2018-09-03,501
2018-09-04,495
2018-09-05,495
2018-09-06,490
2018-09-07,485
2018-09-08,485
2018-09-09,480
2018-09-10,470
2018-09-11,473
2018-09-12,455
2018-09-13,445
2018-09-14,440
2018-09-15,433
2018-09-16,432
2018-09-17,434
2018-09-18,445
2018-09-19,455
2018-09-20,470
2018-09-21,481
2018-09-22,494
2018-09-23,493
2018-09-24,486
2018-09-25,484
2018-09-26,478
2018-09-27,478
2018-09-28,477
2018-09-29,477
2018-09-30,486
2018-10-02,478
2018-10-03,484
2018-10-04,489
2018-10-05,485
2018-10-06,491
2018-10-07,512
2018-10-08,520
2018-10-09,538
2018-10-10,531
2018-10-11,546
2018-10-12,566
2018-10-13,574
2018-10-14,582
2018-10-15,597
2018-10-16,587
2018-10-17,596
2018-10-18,597
2018-10-19,617
2018-10-20,625
2018-10-21,643
2018-10-22,668
2018-10-23,688
2018-10-24,688
2018-10-25,665
2018-10-26,667
2018-10-27,659
2018-10-28,652
2018-10-29,632
2018-10-30,653
2018-10-31,684
2018-11-01,714
2018-11-03,749
2018-11-04,715
2018-11-05,681
2018-11-06,647
2018-11-07,617
2018-11-08,588
2018-11-09,558
2018-11-10,530
2018-11-11,504
2018-11-12,482
2018-11-13,458
2018-11-14,439
2018-11-15,423
2018-11-16,404
2018-11-17,385
2018-11-18,369
2018-11-19,352
2018-11-20,349
2018-11-21,339
2018-11-22,329
2018-11-23,317
2018-11-24,306
2018-11-25,298
2018-11-26,289
2018-11-27,296
2018-11-28,303
2018-11-29,310
2018-12-01,322
2018-12-02,330
2018-12-03,332
2018-12-04,335
2018-12-05,339
2018-12-07,347
2018-12-09,335
2018-12-10,332
2018-12-11,335
2018-12-12,327
2018-12-13,330
2018-12-14,322
2018-12-15,328
2018-12-16,329
2018-12-17,335
2018-12-18,343
2018-12-19,336
2018-12-20,339
2018-12-21,349
2018-12-22,359
2018-12-23,363
2018-12-24,362
2018-12-25,369
2018-12-26,366
2018-12-27,361
2018-12-28,359
2018-12-29,356
2018-12-30,350
2018-12-31,345
2019-01-01,341
2019-01-02,337
2019-01-03,338
2019-01-04,339
2019-01-05,337
2019-01-06,334
2019-01-08,333
2019-01-10,345
2019-01-11,350
2019-01-12,353
2019-01-13,346
2019-01-14,340
2019-01-15,339
2019-01-16,345
2019-01-17,351
2019-01-18,354
2019-01-19,355
2019-01-20,351
2019-01-21,352
2019-01-22,356
2019-01-23,362
2019-01-24,376
2019-01-25,377
2019-01-26,372
2019-01-27,365
2019-01-28,363
2019-01-29,361
2019-01-30,367
2019-01-31,367
2019-02-01,362
2019-02-02,361
2019-02-03,362
2019-02-04,358
2019-02-05,355
2019-02-06,361
2019-02-07,371
2019-02-08,377
2019-02-09,381
2019-02-10,384
2019-02-11,380
2019-02-12,379
2019-02-13,383
2019-02-14,385
2019-02-15,388
2019-02-16,388
2019-02-17,376
2019-02-18,388
2019-02-19,398
2019-02-20,388
2019-02-21,386
2019-02-22,381
2019-02-23,376
2019-02-24,364
2019-02-25,360
2019-02-26,352
2019-02-27,347
2019-02-28,340
2019-03-01,341
2019-03-02,337
2019-03-03,341
2019-03-04,338
2019-03-05,341
2019-03-06,348
2019-03-07,360
2019-03-08,351
2019-03-09,351
2019-03-10,350
2019-03-11,348
2019-03-12,349
2019-03-13,356
2019-03-14,356
2019-03-15,352
2019-03-16,350
2019-03-17,351
2019-03-18,356
2019-03-19,359
2019-03-20,369
2019-03-21,370
2019-03-22,371
2019-03-23,387
2019-03-24,402
2019-03-25,398
2019-03-26,400
2019-03-27,405
2019-03-28,422
2019-03-29,422
2019-03-30,415
2019-03-31,417
2019-04-01,421
2019-04-02,435
2019-04-03,417
2019-04-04,409
2019-04-05,404
2019-04-06,403
2019-04-07,400
2019-04-08,401
2019-04-09,396
2019-04-10,400
2019-04-11,389
2019-04-12,374
2019-04-13,364
2019-04-14,362
2019-04-15,366
2019-04-16,365
2019-04-17,367
2019-04-18,374
2019-04-19,381
2019-04-20,398
2019-04-21,410
2019-04-22,403
2019-04-23,398
2019-04-24,399
2019-04-25,415
2019-04-26,416
2019-04-27,410
2019-04-28,409
2019-04-29,422
2019-04-30,436
2019-05-01,433
2019-05-02,446
2019-05-03,456
2019-05-04,444
2019-05-05,438
2019-05-06,446
2019-05-07,450
2019-05-08,448
2019-05-09,446
2019-05-10,455
2019-05-11,459
2019-05-12,463
2019-05-13,460
2019-05-14,455
2019-05-15,457
2019-05-16,464
2019-05-17,460
2019-05-18,453
2019-05-19,456
2019-05-20,471
2019-05-21,483
2019-05-22,491
2019-05-23,487
2019-05-24,493
2019-05-25,497
2019-05-26,500
2019-05-27,506
2019-05-28,512
2019-05-29,531
2019-05-30,531
2019-05-31,516
2019-06-01,516
2019-06-02,514
2019-06-03,513
2019-06-04,516
2019-06-05,527
2019-06-06,542
2019-06-07,547
2019-06-08,567
2019-06-09,556
2019-06-10,532
2019-06-11,538
2019-06-12,535
2019-06-13,520
2019-06-14,513
2019-06-15,506
2019-06-16,494
2019-06-17,495
2019-06-18,485
2019-06-19,470
2019-06-20,468
2019-06-21,464
2019-06-22,452
2019-06-23,455
